SBFC IN Equity,price,volume,mc,pe,bm,div
2024-03-31,81.95,159426771.0,87829.0379,37.1121,3.1675,0.0
2024-04-30,87.35,116410387.0,93792.498,39.5575,3.3762,0.0
2024-05-31,81.2,47476806.0,87202.1582,36.7724,3.1385,0.0
2024-06-30,82.34,37347268.0,88426.425,37.2887,3.1825,0.0
2024-07-31,84.73,34910363.0,91018.3126,38.371,3.2749,0.0
2024-08-31,84.38,45011915.0,90842.463,38.2125,3.2614,0.0
2024-09-30,94.47,253985234.0,101705.232,42.7819,3.6514,0.0
2024-10-31,86.84,73027112.0,93506.9992,39.3266,3.3565,0.0
2024-11-30,86.92,33936081.0,94112.511,39.3628,3.3596,0.0
2024-12-31,90.71,51878391.0,98216.1283,41.0792,3.506,0.0
2025-01-31,85.25,34836829.0,92424.0653,38.6065,3.295,0.0
2025-02-28,88.27,36621439.0,95698.2082,39.9742,3.4117,0.0
2025-03-31,88.24,74173537.0,95828.5595,27.7315,3.0017,0.0
2025-04-30,102.25,77715960.0,111043.4067,32.1345,3.4783,0.0
2025-05-31,112.92,73637107.0,122833.9038,35.4878,3.8413,0.0
2025-06-30,112.13,67341906.0,122089.5168,35.2395,3.8144,0.0
2025-07-31,104.72,68528226.0,114021.352,32.9107,3.5623,0.0
2025-08-31,105.6,36955382.0,115022.4576,33.1873,3.5923,0.0
2025-09-30,105.99,48315439.0,115867.9925,33.3099,3.6055,0.0
2025-10-31,114.08,48198116.0,124711.9595,35.8523,3.8807,0.0
2025-11-30,108.38,61319475.0,118768.0949,34.061,3.6868,0.0
2025-12-31,104.05,33155394.0,114087.9558,32.7002,3.5395,0.0
2026-01-31,85.42,89596010.0,93660.6745,26.8453,2.9058,0.0
2026-02-28,93.09,27326103.0,102106.1242,29.2557,3.1667,0.0
2026-03-31,93.18,3345603.0,102204.8414,29.284,3.1698,0.0
