NEWGEN IN Equity,price,volume,mc,pe,bm,div
2021-07-31,302.02,15646302.0,42256.7412,33.0443,6.2888,1.75
2021-08-31,284.88,3720532.0,39857.2606,31.1679,5.9317,1.75
2021-09-30,291.8,7994380.0,40826.1471,31.9256,6.0759,1.75
2021-10-31,283.33,4397486.0,39640.398,30.9984,5.8994,1.75
2021-11-30,272.43,4112404.0,38115.3637,29.8058,5.6725,1.75
2021-12-31,294.58,5427836.0,41214.4012,32.2292,6.1337,1.75
2022-01-31,286.68,13409402.0,40109.1012,31.3649,5.9692,1.75
2022-02-28,249.7,4107214.0,34935.8771,27.3195,5.1993,1.75
2022-03-31,232.83,5982540.0,32574.8722,19.6892,3.9908,1.75
2022-04-30,233.95,4230820.0,32732.2725,19.7844,4.0101,1.75
2022-05-31,194.28,6060790.0,27181.2876,16.4292,3.33,1.75
2022-06-30,178.8,5092672.0,25016.1587,15.1205,3.0648,2.25
2022-07-31,185.05,7238460.0,25890.6049,15.649,3.1719,2.25
2022-08-31,197.2,11287122.0,27590.5285,16.6765,3.3802,2.25
2022-09-30,178.3,6074408.0,24946.203,15.0782,3.0562,2.25
2022-10-31,171.88,11549440.0,24047.2722,14.5349,2.9461,2.25
2022-11-30,178.23,2956450.0,24935.7096,15.0719,3.0549,2.25
2022-12-31,180.1,4265314.0,25198.0435,15.2304,3.0871,2.25
2023-01-31,213.55,11202158.0,29878.0799,18.0592,3.6604,2.25
2023-02-28,219.03,5142960.0,30644.0948,18.5222,3.7543,2.25
2023-03-31,225.35,5088456.0,31529.0344,17.8002,3.2141,2.25
2023-04-30,251.08,5223364.0,35128.2553,19.8321,3.581,2.25
2023-05-31,318.9,27077160.0,44617.7461,25.1896,4.5483,2.25
2023-06-30,339.35,11858480.0,47478.9343,26.8049,4.84,2.5
2023-07-31,426.3,42222428.0,59644.2307,33.673,6.0801,2.5
2023-08-31,429.48,13831298.0,60088.4494,33.9238,6.1254,2.5
2023-09-30,450.28,6807806.0,62998.6065,35.5667,6.4221,2.5
2023-10-31,562.88,15069614.0,78752.6304,44.4609,8.028,2.5
2023-11-30,727.83,3666948.0,101996.5236,57.4901,10.3807,2.5
2023-12-31,781.13,3390952.0,109465.9217,61.7002,11.1409,2.5
2024-01-31,849.8,4792108.0,119089.9539,67.1248,12.1203,2.5
2024-02-29,849.15,4611006.0,118998.8637,67.0735,12.1111,2.5
2024-03-31,795.2,5878805.0,111438.3754,44.1287,9.0847,2.5
2024-04-30,929.05,7255395.0,130338.0986,51.5566,10.6138,2.5
2024-05-31,913.7,5283158.0,128184.6195,50.7048,10.4385,2.5
2024-06-30,971.75,5427640.0,136328.5586,53.9262,11.1017,2.5
2024-07-31,1029.2,6799362.0,144388.3226,57.1143,11.758,4.0
2024-08-31,1114.5,3851786.0,156355.2133,61.8479,12.7325,4.0
2024-09-30,1341.35,11603506.0,188180.4086,74.4367,15.3241,4.0
2024-10-31,1283.75,10333647.0,180099.6008,71.2403,14.6661,4.0
2024-11-30,1180.5,6237584.0,165614.4723,65.5105,13.4865,4.0
2024-12-31,1701.8,13546154.0,238748.5886,94.4395,19.4421,4.0
2025-01-31,1048.15,21118342.0,147046.8523,58.1659,11.9745,4.0
2025-02-28,936.25,7775603.0,132596.5813,51.9562,10.6961,4.0
2025-03-31,996.3,9450613.0,141101.1738,44.221,9.212,4.0
2025-04-30,986.55,23783119.0,139720.3282,43.7883,9.1219,4.0
2025-05-31,1237.1,40340499.0,175204.5188,54.909,11.4385,4.0
2025-06-30,1171.8,19139911.0,165956.3941,52.0107,10.8347,4.0
2025-07-31,848.9,12570740.0,120225.6212,37.6787,7.8491,5.0
2025-08-31,883.2,59133655.0,125130.7047,39.2011,8.1663,5.0
2025-09-30,889.7,20908141.0,126051.6168,39.4896,8.2264,5.0
2025-10-31,976.1,37740282.0,138292.664,43.3245,9.0253,5.0
2025-11-30,881.15,8970750.0,125403.318,39.1101,8.1473,5.0
2025-12-31,845.1,6492836.0,120272.7618,37.51,7.814,5.0
2026-01-31,582.0,19473675.0,82828.952,25.8322,5.3813,5.0
2026-02-28,508.75,234505677.0,72404.1741,22.581,4.704,5.0
2026-03-31,468.95,9036417.0,66739.928,20.8145,4.336,5.0
