TTCH IN Equity,price,volume,mc,pe,bm,div
2011-01-31,154.69,8812294.0,89381.2485,6.0402,0.7978,9.0
2011-02-28,141.75,8405130.0,81904.1511,5.5349,0.7311,9.0
2011-03-31,150.79,9860110.0,87126.6552,5.7773,0.7046,9.0
2011-04-30,165.98,8355222.0,95903.0098,6.3592,0.7756,9.0
2011-05-31,168.14,9611231.0,97151.3157,6.442,0.7857,9.0
2011-06-30,164.37,5644377.0,94973.1493,6.2976,0.7681,9.0
2011-07-31,156.3,6018434.0,90311.109,5.9884,0.7304,10.0
2011-08-31,147.59,9978333.0,85279.6721,5.6548,0.6897,10.0
2011-09-30,139.39,7922756.0,80541.2048,5.3406,0.6514,10.0
2011-10-31,146.73,5021711.0,84782.8973,5.6219,0.6857,10.0
2011-11-30,152.57,7565948.0,88158.4183,5.8457,0.713,10.0
2011-12-31,137.8,5423764.0,79624.0822,5.2798,0.6439,10.0
2012-01-31,150.5,7266574.0,86961.0636,5.7663,0.7033,10.0
2012-02-29,159.8,8840498.0,92336.4216,6.1227,0.7468,10.0
2012-03-31,152.84,5053548.0,88311.272,4.6483,0.6145,10.0
2012-04-30,148.25,4148806.0,85661.8065,4.5089,0.5961,10.0
2012-05-31,135.73,3939755.0,78426.7275,4.128,0.5457,10.0
2012-06-30,137.12,8197807.0,79229.2099,4.1703,0.5513,10.0
2012-07-31,134.87,7186558.0,77929.9527,4.1019,0.5423,10.0
2012-08-31,134.43,8645950.0,77675.1964,4.0885,0.5405,10.0
2012-09-30,141.46,9228820.0,81738.5595,4.3024,0.5688,10.0
2012-10-31,139.52,12924880.0,80617.6317,4.2434,0.561,10.0
2012-11-30,144.26,8128665.0,83356.262,4.3875,0.58,10.0
2012-12-31,156.08,18394593.0,90183.7309,4.7469,0.6275,10.0
2013-01-31,157.77,15885426.0,91164.5426,4.7985,0.6344,10.0
2013-02-28,144.28,10398372.0,83368.9998,4.3882,0.5801,10.0
2013-03-31,141.79,6592154.0,81929.6267,9.0199,0.5632,10.0
2013-04-30,142.78,5665240.0,82502.8284,9.083,0.5672,10.0
2013-05-31,133.02,11250908.0,76859.9763,8.4617,0.5284,10.0
2013-06-30,124.13,8211970.0,71726.6282,7.8966,0.4931,10.0
2013-07-31,113.88,6333819.0,65803.5449,7.2445,0.4524,10.0
2013-08-31,109.19,6008582.0,63090.3906,6.9458,0.4337,10.0
2013-09-30,104.89,6659980.0,60606.517,6.6724,0.4166,10.0
2013-10-31,118.12,8530586.0,68249.2051,7.5138,0.4692,10.0
2013-11-30,122.53,9920198.0,70796.7678,7.7942,0.4867,10.0
2013-12-31,121.2,4927226.0,70032.499,7.7101,0.4814,10.0
2014-01-31,115.78,5024632.0,66898.9969,7.3651,0.4599,10.0
2014-02-28,118.09,5032385.0,68236.4673,7.5124,0.4691,10.0
2014-03-31,126.63,14594997.0,73166.0011,8.027,0.5796,10.0
2014-04-30,125.37,11694996.0,72439.9458,8.027,0.5739,10.0
2014-05-31,133.81,22233828.0,77318.5284,8.027,0.6125,10.0
2014-06-30,151.6,19877551.0,87597.9439,8.027,0.6939,10.0
2014-07-31,153.08,16065357.0,88451.3774,8.027,0.7007,10.0
2014-08-31,166.2,23393289.0,96030.3765,8.027,0.7607,10.0
2014-09-30,176.09,18491550.0,101749.6548,8.027,0.8061,10.0
2014-10-31,179.4,10553227.0,103660.3268,8.027,0.8212,10.0
2014-11-30,192.76,16145583.0,111379.4418,8.027,0.8823,10.0
2014-12-31,192.03,10482287.0,110959.094,8.027,0.879,10.0
