BHEL IN Equity,price,volume,mc,pe,bm,div
2009-03-31,201.41,291416468.0,739444.45,23.7359,5.7239,2.0333
2009-04-30,220.76,252709545.0,810498.2152,26.0167,6.2739,2.0333
2009-05-31,290.42,253024920.0,1066247.903,34.2261,8.2536,2.0333
2009-06-30,293.87,213362010.0,1078926.562,34.6331,8.3517,2.0333
2009-07-31,297.37,186395235.0,1091776.462,35.0456,8.4512,2.0333
2009-08-31,307.93,132098340.0,1130546.415,36.2901,8.7513,2.0333
2009-09-30,310.51,142527758.0,1140018.688,36.5941,8.8247,2.2667
2009-10-31,295.71,139057433.0,1085657.462,34.8492,8.4039,2.2667
2009-11-30,299.17,130273478.0,1098360.475,35.2569,8.5022,2.2667
2009-12-31,320.44,149873070.0,1176463.42,37.764,9.1068,2.2667
2010-01-31,320.69,107900573.0,1177393.447,37.7938,9.114,2.2667
2010-02-28,313.24,82081988.0,1150029.341,36.9155,8.9021,2.5333
2010-03-31,318.75,104710538.0,1170270.901,27.0466,7.3621,2.5333
2010-04-30,332.3,86393813.0,1220006.193,28.1961,7.6749,2.5333
2010-05-31,313.79,98085908.0,1152036.281,26.6252,7.2473,2.5333
2010-06-30,327.96,92629485.0,1204072.286,27.8278,7.5747,2.5333
2010-07-31,325.05,82530300.0,1193400.72,27.5812,7.5076,2.5333
2010-08-31,320.88,69110258.0,1178078.867,27.2271,7.4112,2.5333
2010-09-30,330.47,98319480.0,1213275.293,28.0405,7.6326,3.1067
2010-10-31,326.07,120071618.0,1197145.64,27.6677,7.5311,3.1067
2010-11-30,293.87,114799388.0,1078902.056,24.9349,6.7873,3.1067
2010-12-31,309.83,79353855.0,1137497.568,26.2892,7.1559,3.1067
2011-01-31,295.81,108750908.0,1086024.602,25.0996,6.8321,3.1067
2011-02-28,266.81,111568628.0,979578.45,22.6394,6.1624,3.1067
2011-03-31,275.02,159460185.0,1009708.344,16.68,5.0097,3.4067
2011-04-30,266.75,129558998.0,979333.69,16.1782,4.859,3.4067
2011-05-31,259.09,124532955.0,951210.7667,15.7137,4.7195,3.4067
2011-06-30,273.41,94208835.0,1003785.244,16.5822,4.9803,3.4067
2011-07-31,245.28,150411585.0,900520.9718,14.8763,4.468,3.4067
2011-08-31,235.78,136502138.0,865642.6726,14.3001,4.2949,4.1533
2011-09-30,218.62,120972165.0,802641.45,13.2593,3.9823,4.1533
2011-10-31,211.87,69560639.0,777847.311,12.8497,3.8593,4.1533
2011-11-30,188.47,136290984.0,691936.5476,11.4305,3.4331,4.1533
2011-12-31,159.23,132748001.0,584609.2833,9.6575,2.9006,4.1533
2012-01-31,167.07,184919507.0,613368.5845,10.1326,3.0433,4.1533
2012-02-29,204.9,282400791.0,752269.89,12.4272,3.7324,4.1533
2012-03-31,171.43,217431681.0,629400.3651,8.8795,2.4777,4.2
2012-04-30,149.83,195217905.0,550098.1219,7.7607,2.1655,4.2
2012-05-31,141.4,233155802.0,519135.9807,7.3239,2.0436,4.2
2012-06-30,154.97,164781807.0,568944.6427,8.0266,2.2397,4.2
2012-07-31,143.77,123596301.0,527824.9611,7.4465,2.0778,4.2
2012-08-31,142.17,100650752.0,521950.7208,7.3636,2.0547,4.2
2012-09-30,164.63,236850749.0,604434.8441,8.5273,2.3794,4.2667
2012-10-31,149.87,179634138.0,550220.502,7.7624,2.166,4.2667
2012-11-30,156.23,92067939.0,573595.0829,8.0922,2.258,4.2667
2012-12-31,152.17,115178399.0,558664.7223,7.8816,2.1992,4.2667
2013-01-31,151.87,131453979.0,557563.3022,7.866,2.1949,4.2667
2013-02-28,134.1,124657716.0,492334.7596,6.9458,1.9381,3.8667
2013-03-31,118.0,97485339.0,433225.2173,6.4717,1.4182,3.8667
2013-04-30,128.5,102089514.0,471774.9188,7.0475,1.5444,3.8667
2013-05-31,133.7,116228039.0,490866.1996,7.3327,1.6068,3.8667
2013-06-30,116.17,86624073.0,426494.317,6.3711,1.3961,3.8667
2013-07-31,105.53,153172880.0,387455.0955,5.7879,1.2683,3.8667
2013-08-31,79.33,393740811.0,291264.4116,4.351,0.9535,3.8667
2013-09-30,91.6,372799956.0,336300.2534,5.0238,1.1009,3.6067
2013-10-31,94.07,191121051.0,345356.3738,5.159,1.1305,3.6067
2013-11-30,104.23,209745776.0,382682.2753,5.7166,1.2527,3.6067
2013-12-31,117.93,198987449.0,432980.4573,6.468,1.4174,3.6067
2014-01-31,115.17,139587164.0,422822.9169,6.3163,1.3841,3.6067
2014-02-28,111.83,138742064.0,410584.9164,6.1335,1.344,3.0667
2014-03-31,130.7,316427471.0,479851.9991,13.7002,1.4466,3.0667
2014-04-30,120.3,133098524.0,441669.4376,12.6101,1.3315,3.0667
2014-05-31,161.47,369613169.0,592808.7437,16.9252,1.7872,3.0667
2014-06-30,166.87,252203232.0,612634.3044,17.4913,1.8469,3.0667
2014-07-31,152.23,208675725.0,558909.4823,15.9574,1.685,3.0667
2014-08-31,160.6,181681697.0,589626.8635,16.8344,1.7776,3.0667
2014-09-30,133.63,183948755.0,490621.4396,14.0077,1.4791,1.8867
2014-10-31,171.13,191764014.0,628298.9451,17.9385,1.8942,1.8867
2014-11-30,189.2,153847533.0,694628.9077,19.8323,2.0941,1.8867
2014-12-31,176.83,154696635.0,649225.9259,18.536,1.9573,1.8867
2015-01-31,194.5,138724154.0,714087.3285,20.3878,2.1528,1.8867
2015-02-28,174.77,147562275.0,641638.3656,18.3194,1.9344,1.3733
2015-03-31,156.9,109560236.0,576042.683,39.688,1.684,1.3733
2015-04-30,158.7,104468150.0,582651.2032,40.1433,1.7033,1.3733
2015-05-31,167.77,110995262.0,615938.5646,42.4368,1.8006,1.3733
2015-06-30,165.27,125355083.0,606760.0642,41.8044,1.7738,1.3733
2015-07-31,185.57,114993560.0,681289.4872,46.9393,1.9917,1.3733
2015-08-31,150.97,156187197.0,554259.0421,38.1872,1.6203,1.3733
2015-09-30,137.03,144695250.0,503104.2001,34.6627,1.4708,0.7733
2015-10-31,132.57,142871894.0,486705.2794,33.5329,1.4228,0.7733
2015-11-30,116.7,118201851.0,428452.3971,29.5194,1.2525,0.7733
2015-12-31,112.77,107242617.0,414011.5565,28.5245,1.2103,0.7733
2016-01-31,92.47,133057940.0,339482.1335,23.3895,0.9924,0.7733
2016-02-29,60.57,296084120.0,222364.4689,15.3204,0.6501,0.4133
2016-03-31,75.9,303880749.0,278659.2711,19.3676,0.8623,0.4133
2016-04-30,83.6,324911301.0,306929.0522,19.3676,0.9498,0.4133
2016-05-31,80.33,219419133.0,294935.8118,19.3676,0.9127,0.4133
2016-06-30,85.13,215672030.0,312558.5325,19.3676,0.9672,0.4133
2016-07-31,97.27,254577945.0,357104.8542,19.3676,1.1051,0.4133
2016-08-31,92.73,224639744.0,340461.1736,19.3676,1.0536,0.4133
2016-09-30,89.8,480081633.0,329691.7332,19.3676,1.0203,0.2667
2016-10-31,92.67,182132100.0,340216.4136,19.3676,1.0528,0.2667
2016-11-30,86.77,278075109.0,318555.1527,19.3676,0.9858,0.2667
2016-12-31,80.8,130934289.0,296649.1318,19.3676,0.918,0.2667
2017-01-31,91.37,195087632.0,335443.5934,19.3676,1.0381,0.2667
2017-02-28,108.3,312341717.0,397612.6359,19.3676,1.2305,0.8
2017-03-31,108.57,216319668.0,398591.6759,131.3306,1.2306,0.8
2017-04-30,117.13,184205169.0,430043.3372,141.6935,1.3277,0.8
2017-05-31,92.13,234793440.0,338258.3335,111.4516,1.0444,0.8
2017-06-30,90.2,146017110.0,331160.2932,109.1129,1.0224,0.8
2017-07-31,96.73,140694510.0,355146.7742,117.0161,1.0965,0.8
2017-08-31,85.93,147689606.0,315495.6526,103.9516,0.9741,1.0533
2017-09-30,83.95,240557447.0,308214.0218,101.5524,0.9516,1.0533
2017-10-31,98.0,185901438.0,359797.1904,118.5484,1.1109,1.0533
2017-11-30,92.0,315886299.0,337768.8,111.2903,1.0429,1.0533
2017-12-31,92.5,176464463.0,339604.5,111.8952,1.0485,1.0533
2018-01-31,100.2,300901867.0,367874.28,121.2097,1.1358,1.0533
2018-02-28,89.9,182856382.0,330058.86,108.75,1.019,1.32
2018-03-31,81.35,142172884.0,298668.39,68.3613,0.9237,1.32
2018-04-30,87.8,103717522.0,322348.92,73.7815,0.9969,1.32
2018-05-31,83.65,225997842.0,307112.61,70.2941,0.9498,1.32
2018-06-30,71.75,166139583.0,263422.95,60.2941,0.8147,1.32
2018-07-31,74.05,208051518.0,271867.17,62.2269,0.8408,1.32
2018-08-31,80.6,180768925.0,295914.84,67.7311,0.9152,1.32
2018-09-30,68.5,169964396.0,251490.9,57.563,0.7778,1.82
2018-10-31,68.75,279073438.0,252408.75,57.7731,0.7806,1.82
2018-11-30,68.15,336961615.0,250205.91,57.2689,0.7738,1.82
2018-12-31,73.1,285158856.0,268379.34,61.4286,0.83,1.82
2019-01-31,64.7,213302106.0,237539.58,54.3697,0.7346,1.82
2019-02-28,64.45,205389816.0,224418.9832,54.1597,0.7318,1.82
2019-03-31,74.95,347003968.0,260980.6485,25.9655,0.8454,1.82
2019-04-30,70.8,328375261.0,246530.0855,24.5278,0.7985,1.82
2019-05-31,70.2,353045537.0,244440.8475,24.32,0.7918,1.82
2019-06-30,73.15,264448386.0,254712.9344,25.342,0.8251,1.82
2019-07-31,58.9,221996870.0,205093.5316,20.4052,0.6643,1.82
2019-08-31,50.55,323473867.0,176018.3026,17.5124,0.5701,1.82
2019-09-30,48.4,276379287.0,168531.8664,16.7676,0.5459,2.0
2019-10-31,56.55,703848209.0,196910.6827,19.5911,0.6378,2.0
2019-11-30,53.3,374120870.0,185593.9768,18.4652,0.6012,2.0
2019-12-31,43.45,348823116.0,151295.6528,15.0527,0.4901,2.0
2020-01-31,42.75,359052011.0,148858.2084,14.8102,0.4822,2.0
2020-02-29,30.6,433524869.0,106551.1387,10.601,0.3451,2.0
2020-03-31,20.8,570989531.0,72426.9178,6.9981,0.2527,0.0
2020-04-30,22.45,518386954.0,78172.3223,6.9981,0.2728,0.0
2020-05-31,28.0,1777796748.0,97497.7739,6.9981,0.3402,0.0
2020-06-30,35.7,2240835353.0,124309.6618,6.9981,0.4337,0.0
2020-07-31,35.95,1613235466.0,125180.1776,6.9981,0.4368,0.0
2020-08-31,38.55,1283972921.0,134233.5423,6.9981,0.4684,0.0
2020-09-30,29.25,868441978.0,101850.3531,6.9981,0.3554,0.0
2020-10-31,28.0,444909430.0,97497.7719,6.9981,0.3402,0.0
2020-11-30,32.85,921404828.0,114385.7788,6.9981,0.3991,0.0
2020-12-31,35.9,1161742508.0,125006.0718,6.9981,0.4362,0.0
2021-01-31,36.05,1383466319.0,125528.3813,6.9981,0.438,0.0
2021-02-28,47.6,2000331999.0,165746.2122,6.9981,0.5783,0.0
2021-03-31,48.75,2049075000.0,169750.5849,6.9981,0.6533,0.0
2021-04-30,48.3,936360400.0,168183.6565,6.9981,0.6473,0.0
2021-05-31,71.05,3204524253.0,247400.5961,6.9981,0.9521,0.0
2021-06-30,65.55,1963180609.0,228249.2481,6.9981,0.8784,0.0
2021-07-31,59.4,955660955.0,206834.5633,6.9981,0.796,0.0
2021-08-31,52.55,816506589.0,182982.4293,6.9981,0.7042,0.0
2021-09-30,64.65,1055307925.0,225115.3959,6.9981,0.8664,0.0
2021-10-31,68.25,1673588531.0,237650.824,6.9981,0.9146,0.0
2021-11-30,58.9,850102999.0,205093.5316,6.9981,0.7893,0.0
2021-12-31,58.95,736473390.0,205267.6348,6.9981,0.79,0.0
2022-01-31,58.0,680687391.0,201959.6746,6.9981,0.7773,0.0
2022-02-28,49.85,742349988.0,173580.8582,6.9981,0.668,0.0
2022-03-31,49.35,550707760.0,171839.8266,38.5547,0.6483,0.0
2022-04-30,52.65,577908122.0,183330.6356,41.1328,0.6916,0.0
2022-05-31,51.2,662528881.0,178281.6438,40.0,0.6726,0.0
2022-06-30,44.95,369540716.0,156518.7478,35.1172,0.5905,0.0
2022-07-31,53.85,370330022.0,187509.1117,42.0703,0.7074,0.0
2022-08-31,58.8,608063995.0,204745.3253,45.9375,0.7724,0.0
2022-09-30,59.9,622377540.0,208575.595,46.7969,0.7869,0.4
2022-10-31,74.05,834318128.0,257846.7914,57.8516,0.9728,0.4
2022-11-30,83.7,823216124.0,291448.7028,65.3906,1.0995,0.4
2022-12-31,79.2,777559483.0,275779.4177,61.875,1.0404,0.4
2023-01-31,78.4,374938782.0,272993.767,61.25,1.0299,0.4
2023-02-28,69.8,326017028.0,243048.0222,54.5313,0.9169,0.4
2023-03-31,70.05,309920074.0,243918.538,37.2606,1.0006,0.4
2023-04-30,78.4,335066143.0,272993.767,41.7021,1.1198,0.4
2023-05-31,81.9,628125178.0,285180.9888,43.5638,1.1698,0.4
2023-06-30,87.65,441369463.0,305202.8531,46.6223,1.2519,0.4
2023-07-31,104.05,642477139.0,362308.6921,55.3457,1.4862,0.4
2023-08-31,121.25,838774175.0,422200.1818,64.4947,1.7319,0.4
2023-09-30,131.0,1112564656.0,456150.2995,69.6809,1.8711,0.4
2023-10-31,120.85,387928259.0,420807.3565,64.2819,1.7262,0.4
2023-11-30,170.45,802629380.0,593517.6989,90.6649,2.4346,0.4
2023-12-31,193.55,702457515.0,673953.3624,102.9521,2.7646,0.4
2024-01-31,228.25,997908794.0,794780.9608,121.4096,3.2602,0.4
2024-02-29,227.55,768851463.0,792343.5164,121.0372,3.2502,0.4
2024-03-31,247.3,872752473.0,861114.2677,305.3086,3.5236,0.4
2024-04-30,281.7,407987847.0,980897.2471,347.7778,4.0137,0.4
2024-05-31,298.9,800939887.0,1040788.737,369.0123,4.2588,0.4
2024-06-30,300.85,715481165.0,1047578.76,371.4198,4.2866,0.4
2024-07-31,315.25,591484578.0,1097720.473,389.1975,4.4917,0.4
2024-08-31,290.55,280458565.0,1011713.508,358.7037,4.1398,0.25
2024-09-30,279.7,333357923.0,973933.1204,345.3086,3.9852,0.25
2024-10-31,239.0,451156408.0,832213.1418,295.0617,3.4053,0.25
2024-11-30,251.09,245923364.0,874311.2878,309.9877,3.5776,0.25
2024-12-31,229.4,228747170.0,798785.3336,283.2099,3.2685,0.25
