BHEL IN Equity,price,volume,mc,pe,bm,div
2025-01-31,208.09,338894103.0,724582.5635,256.9012,2.9649,0.25
2025-02-28,179.17,326747591.0,623881.2913,221.1975,2.5528,0.25
2025-03-31,216.43,256389821.0,753622.9719,141.4575,3.0484,0.25
2025-04-30,226.84,280619117.0,789871.2514,148.2614,3.195,0.25
2025-05-31,259.83,355953713.0,904744.5215,169.8235,3.6596,0.25
2025-06-30,266.3,186422555.0,927273.4714,174.0523,3.7508,0.25
2025-07-31,238.45,101605137.0,830298.007,155.8497,3.3585,0.25
2025-08-31,208.01,152937961.0,724303.9985,135.9542,2.9298,0.5
2025-09-30,238.45,176373300.0,830298.007,155.8497,3.3585,0.5
2025-10-31,265.49,230018304.0,924453.0001,173.5229,3.7394,0.5
2025-11-30,290.85,246269334.0,1012758.127,190.098,4.0966,0.5
2025-12-31,287.45,146447800.0,1000919.111,187.8758,4.0487,0.5
2026-01-31,262.7,356008303.0,914738.0434,171.6993,3.7001,0.5
2026-02-28,264.95,374177962.0,922572.6859,173.1699,3.7318,0.5
2026-03-31,256.75,41292063.0,894019.7664,167.8105,3.6163,0.5
