DLFU IN Equity,price,volume,mc,pe,bm,div
2009-11-30,351.6,310927251.0,596752.3704,13.3994,2.6221,2.0
2009-12-31,361.2,250998128.0,613045.9504,13.7652,2.6937,2.0
2010-01-31,333.65,202429031.0,566319.4753,12.7153,2.4883,2.0
2010-02-28,298.45,220865313.0,506572.898,11.3739,2.2257,2.0
2010-03-31,308.9,218002685.0,524317.8932,30.4936,2.139,2.0
2010-04-30,310.7,177059574.0,527379.343,30.6713,2.1514,2.0
2010-05-31,276.7,179558451.0,469668.0873,27.3149,1.916,2.0
2010-06-30,288.65,169195926.0,489955.4332,28.4946,1.9988,2.0
2010-07-31,301.4,145153317.0,511597.324,29.7532,2.087,2.0
2010-08-31,301.95,132144615.0,512542.7275,29.8075,2.0908,2.0
2010-09-30,378.2,149046960.0,641972.7092,37.3346,2.6188,2.0
2010-10-31,350.7,120461859.0,595302.3762,34.6199,2.4284,2.0
2010-11-30,306.75,140317871.0,520699.3254,30.2813,2.1241,2.0
2010-12-31,291.95,135989822.0,495581.9175,28.8203,2.0216,2.0
2011-01-31,223.9,123902254.0,380080.0894,22.1027,1.5504,2.0
2011-02-28,211.85,213561126.0,359627.426,20.9131,1.467,2.0
2011-03-31,268.55,116904737.0,455882.9008,27.8002,1.8591,2.0
2011-04-30,222.8,135845979.0,378218.992,23.0642,1.5424,2.0
2011-05-31,238.95,129108302.0,405634.7762,24.736,1.6542,2.0
2011-06-30,210.45,128255004.0,357254.0319,21.7857,1.4569,2.0
2011-07-31,231.0,178675298.0,392139.137,23.913,1.5991,2.0
2011-08-31,196.75,192495477.0,333997.2952,20.3675,1.362,2.0
2011-09-30,218.9,170452879.0,371692.6008,22.6605,1.5154,2.0
2011-10-31,242.15,131119904.0,411202.3285,25.0673,1.6763,2.0
2011-11-30,208.05,142381529.0,353301.7126,21.5373,1.4403,2.0
2011-12-31,183.1,138797220.0,310943.2496,18.9545,1.2675,2.0
2012-01-31,216.05,279695197.0,366909.7344,22.3654,1.4956,2.0
2012-02-29,226.5,198347468.0,384656.5834,23.4472,1.568,2.0
2012-03-31,201.75,252466532.0,342628.5623,28.5361,1.3471,2.0
2012-04-30,187.0,121831089.0,317598.1338,26.4498,1.2486,2.0
2012-05-31,184.6,122406288.0,313522.008,26.1103,1.2326,2.0
2012-06-30,198.55,125868837.0,337221.3967,28.0835,1.3257,2.0
2012-07-31,209.05,122207953.0,355056.471,29.5686,1.3958,2.0
2012-08-31,195.05,117206696.0,331295.2584,27.5884,1.3023,2.0
2012-09-30,233.25,130715139.0,396190.0163,32.9915,1.5574,2.0
2012-10-31,202.8,209077364.0,344475.2829,28.6846,1.3541,2.0
2012-11-30,209.8,112649637.0,356365.4553,29.6747,1.4008,2.0
2012-12-31,230.6,164259543.0,391700.9545,32.6167,1.5397,2.0
2013-01-31,277.6,194079307.0,471550.1265,39.2645,1.8535,2.0
2013-02-28,277.35,217521533.0,471135.3456,39.2291,1.8518,2.0
2013-03-31,234.7,218946783.0,398685.6521,56.0143,1.5496,2.0
2013-04-30,238.2,181920299.0,404634.8935,56.8496,1.5727,2.0
2013-05-31,194.7,216070002.0,346514.9008,46.4678,1.2855,2.0
2013-06-30,181.25,207004587.0,322577.4307,43.2578,1.1967,2.0
2013-07-31,149.8,173360827.0,266713.981,35.7518,0.9891,2.0
2013-08-31,129.8,249950623.0,231104.6378,30.9785,0.857,2.0
2013-09-30,128.05,241990969.0,228033.4158,30.5609,0.8454,2.0
2013-10-31,151.65,232465656.0,270086.3915,36.1933,1.0013,2.0
2013-11-30,152.1,161757835.0,270887.8348,36.3007,1.0042,2.0
2013-12-31,166.7,161380568.0,296890.2174,39.7852,1.1006,2.0
2014-01-31,137.5,146474215.0,244946.1792,32.8162,0.9078,2.0
2014-02-28,141.15,116306290.0,251448.3869,33.6874,0.9319,2.0
2014-03-31,176.45,220843572.0,314332.7514,48.3425,1.1474,2.0
2014-04-30,140.15,272181661.0,249670.416,38.3973,0.9114,2.0
2014-05-31,210.1,388313918.0,374309.1024,57.5616,1.3663,2.0
2014-06-30,215.05,277758651.0,383137.9837,58.9178,1.3984,2.0
2014-07-31,198.25,243097446.0,353206.7206,54.3151,1.2892,2.0
2014-08-31,177.3,186513423.0,315907.6946,48.5753,1.153,2.0
2014-09-30,150.85,213802262.0,268803.7435,41.3288,0.981,2.0
2014-10-31,124.75,502696237.0,222295.4392,34.1781,0.8112,2.0
2014-11-30,149.1,264458057.0,265685.3706,40.8493,0.9696,2.0
2014-12-31,137.4,257751553.0,244836.8204,37.6438,0.8935,2.0
2015-01-31,169.9,198432955.0,302749.4599,46.5479,1.1048,2.0
2015-02-28,155.4,193497200.0,276911.4561,42.5753,1.0105,2.0
2015-03-31,158.25,186136710.0,281990.006,52.2277,1.0303,2.0
2015-04-30,136.45,139857213.0,243143.9894,45.033,0.8884,2.0
2015-05-31,117.75,173240262.0,209821.9476,38.8614,0.7666,2.0
2015-06-30,116.9,196163938.0,208351.5036,38.5809,0.7611,2.0
2015-07-31,115.05,147619239.0,205054.2386,37.9703,0.7491,2.0
2015-08-31,110.9,336289112.0,197725.3049,36.6007,0.722,2.0
2015-09-30,137.35,292256593.0,244883.4141,45.33,0.8943,2.0
2015-10-31,116.5,175298771.0,207726.9235,38.4488,0.7585,2.0
2015-11-30,114.6,256988567.0,204339.1024,37.8218,0.7461,2.0
2015-12-31,116.0,198847440.0,206842.6133,38.2838,0.7552,2.0
2016-01-31,96.35,326839135.0,171814.044,31.7987,0.6273,2.0
2016-02-29,88.95,275724707.0,158618.1547,29.3564,0.5791,2.0
2016-03-31,114.75,286961401.0,204669.0357,66.8106,0.8504,2.0
2016-04-30,129.5,224639940.0,230991.2303,75.3985,0.9597,2.0
2016-05-31,129.9,204518861.0,231704.7168,75.6314,0.9627,2.0
2016-06-30,149.95,253212358.0,267473.5505,87.305,1.1113,2.0
2016-07-31,161.3,192566582.0,287719.131,93.9133,1.1954,2.0
2016-08-31,154.85,169448164.0,276213.9332,90.158,1.1476,2.0
2016-09-30,146.15,226691758.0,260695.2944,85.0926,1.0831,2.0
2016-10-31,150.25,136907851.0,268008.6759,87.4797,1.1135,2.0
2016-11-30,115.0,310120889.0,205131.4325,66.9562,0.8522,2.0
2016-12-31,111.4,195561654.0,198734.7443,64.8602,0.8256,2.0
2017-01-31,134.95,210878703.0,240749.9269,78.5716,1.0001,2.0
2017-02-28,150.45,188905613.0,268401.8266,87.5962,1.115,2.0
2017-03-31,148.65,166676202.0,265190.6383,37.1001,1.0792,2.0
2017-04-30,186.0,294936016.0,331824.5903,46.4219,1.3504,2.0
2017-05-31,179.55,303778551.0,320317.7699,44.8121,1.3035,0.0
2017-06-30,190.7,261630511.0,340212.8971,47.5949,1.3845,0.0
2017-07-31,193.35,184422823.0,344940.554,48.2563,1.4037,0.0
2017-08-31,185.05,320788956.0,330133.1757,46.1848,1.3435,0.0
2017-09-30,164.3,207031234.0,293120.2253,41.006,1.1928,2.0
2017-10-31,201.35,164807694.0,359219.4605,50.2529,1.4618,2.0
2017-11-30,233.25,279801772.0,416131.257,58.2145,1.6934,2.0
2017-12-31,259.35,205986740.0,462695.1404,64.7286,1.8829,2.0
2018-01-31,250.1,161941698.0,446195.1547,62.4199,1.8157,2.0
2018-02-28,226.25,160625614.0,403645.9185,56.4675,1.6426,2.0
2018-03-31,201.25,121824759.0,359044.1595,8.0436,1.0168,1.2
2018-04-30,223.1,150438978.0,398026.0969,8.9169,1.1272,1.2
2018-05-31,209.9,144770106.0,374476.3681,8.3893,1.0605,1.2
2018-06-30,188.8,103214157.0,336835.8801,7.546,0.9539,1.2
2018-07-31,196.3,125001913.0,350216.5427,7.8457,0.9918,1.2
