HMFC IN Equity,price,volume,mc,pe,bm,div
2013-03-31,8.2,38530861.0,10162.892,20.0,10.2936,0.0
2013-04-30,9.0,37812028.0,11154.3937,21.9512,11.2979,0.0
2013-05-31,7.55,23847374.0,9357.2969,18.4146,9.4777,0.0
2013-06-30,7.55,13858505.0,9357.2978,18.4146,9.4777,0.0
2013-07-31,7.8,18488855.0,9667.1421,19.0244,9.7915,0.0
2013-08-31,7.2,12283795.0,8923.5158,17.561,9.0383,0.0
2013-09-30,7.3,18690847.0,9047.4535,17.8049,9.1638,0.0
2013-10-31,8.5,49694268.0,10534.7062,20.7317,10.6702,0.0
2013-11-30,8.0,25553028.0,9915.0176,19.5122,10.0426,0.0
2013-12-31,8.3,21473073.0,10286.8307,20.2439,10.4192,0.0
2014-01-31,8.85,81085078.0,10968.4882,21.5854,11.1096,0.0
2014-02-28,8.0,14907210.0,9915.0176,19.5122,10.0426,0.0
2014-03-31,8.2,19909606.0,10162.893,2.1636,1.8349,0.0
2014-04-30,9.05,46788080.0,11216.3636,2.3879,2.0251,0.0
2014-05-31,14.65,185810385.0,18156.8759,3.8654,3.2782,0.0
2014-06-30,18.15,155326822.0,22494.6961,4.7889,4.0614,0.0
2014-07-31,14.55,127877644.0,18032.9382,3.8391,3.2559,0.0
2014-08-31,13.4,46335608.0,16607.6544,3.5356,2.9985,0.0
2014-09-30,19.9,485384037.0,24663.6062,5.2507,4.453,0.0
2014-10-31,18.45,155409938.0,22866.5093,4.8681,4.1286,0.0
2014-11-30,19.6,235965937.0,24291.7931,5.1715,4.3859,0.0
2014-12-31,18.15,148648909.0,22494.6961,4.7889,4.0614,0.0
2015-01-31,16.9,139974019.0,20945.4746,4.4591,3.7817,0.0
2015-02-28,15.45,93897556.0,19148.3739,4.0765,3.4573,0.0
2015-03-31,13.35,131015929.0,16545.6856,5.1946,1.8862,0.0
2015-04-30,13.45,67750963.0,16669.6233,5.2335,1.9003,0.0
2015-05-31,12.0,38221749.0,14872.5264,4.6693,1.6954,0.0
2015-06-30,11.55,83357412.0,14314.8066,4.4942,1.6319,0.0
2015-07-31,13.25,81454462.0,16421.7479,5.1556,1.872,0.0
2015-08-31,13.25,122040514.0,16421.7479,5.1556,1.872,0.0
2015-09-30,16.45,88609106.0,20387.7549,6.4008,2.3242,0.0
2015-10-31,15.9,89706549.0,19706.0974,6.1868,2.2465,0.0
2015-11-30,19.15,94334336.0,23734.0733,7.4514,2.7056,0.0
2015-12-31,20.55,252271269.0,25469.2014,7.9961,2.9034,0.0
2016-01-31,20.85,440801957.0,25841.0146,8.1128,2.9458,0.0
2016-02-29,16.8,152394498.0,20821.5369,6.537,2.3736,0.0
2016-03-31,16.2,149520110.0,20077.9106,12.8571,2.3899,0.0
2016-04-30,18.35,129909472.0,22742.5716,14.5635,2.7071,0.0
2016-05-31,16.8,91949550.0,20821.5369,13.3333,2.4784,0.0
2016-06-30,18.3,132126447.0,22680.6027,14.5238,2.6997,0.0
2016-07-31,17.55,103142693.0,21751.0698,13.9286,2.589,0.0
