NETWEB IN Equity,price,volume,mc,pe,bm,div
2024-03-31,1607.65,2235452.0,90616.5877,115.5751,21.4349,0.0
2024-04-30,1680.45,2043057.0,94720.0229,120.8088,22.4056,0.0
2024-05-31,2343.1,6673418.0,132070.8653,168.4472,31.2407,0.0
2024-06-30,2594.45,4383828.0,146238.4262,186.5169,34.592,0.0
2024-07-31,2308.55,3641094.0,130123.4246,165.9633,30.7801,0.0
2024-08-31,2721.45,4449311.0,153399.4387,195.647,36.2853,2.0
2024-09-30,2519.75,3213738.0,142030.2544,181.1467,33.596,2.0
2024-10-31,2697.8,5446859.0,152066.3638,193.9468,35.97,2.0
2024-11-30,2750.15,4767714.0,155017.166,197.7103,36.668,2.0
2024-12-31,2725.65,5757735.0,153636.1793,195.949,36.3413,2.0
2025-01-31,1794.05,12966051.0,101124.8647,128.9756,23.9202,2.0
2025-02-28,1453.9,7438034.0,82369.0587,104.5219,19.385,2.0
2025-03-31,1514.65,5248189.0,85810.7812,74.7975,16.1806,2.0
2025-04-30,1411.4,4940612.0,79961.2693,69.6988,15.0776,2.0
2025-05-31,1999.1,29230391.0,113256.7475,98.721,21.3558,2.0
2025-06-30,1845.2,6900604.0,104537.7172,91.121,19.7117,2.0
2025-07-31,2031.5,11579711.0,115092.3328,100.321,21.7019,2.0
2025-08-31,2207.6,35442662.0,125069.079,109.0173,23.5832,2.5
2025-09-30,3648.5,92176226.0,206701.6374,180.1728,38.9759,2.5
2025-10-31,4037.8,74484243.0,228756.9882,199.3975,43.1347,2.5
2025-11-30,3291.4,38929155.0,186470.5411,162.5383,35.1611,2.5
2025-12-31,3110.8,11702460.0,176238.8526,153.6198,33.2318,2.5
2026-01-31,3144.7,38768579.0,178159.4187,155.2938,33.5939,2.5
2026-02-28,3861.4,65238475.0,219870.7688,190.6864,41.2502,2.5
2026-03-31,3257.8,14601182.0,185501.3729,160.879,34.8022,2.5
