SJVN IN Equity,price,volume,mc,pe,bm,div
2010-05-31,24.7,250901739.0,102174.6616,10.4219,1.5253,0.0
2010-06-30,23.95,38008090.0,99072.1921,10.1055,1.479,0.0
2010-07-31,23.9,40861334.0,98865.3608,10.0844,1.4759,0.0
2010-08-31,24.0,20999911.0,99279.0234,10.1266,1.482,0.0
2010-09-30,24.15,32018425.0,99899.5173,10.1899,1.4913,0.6
2010-10-31,24.05,36673604.0,99485.8547,10.1477,1.4851,0.6
2010-11-30,23.05,28827968.0,95349.2288,9.7257,1.4234,0.6
2010-12-31,22.9,27917633.0,94728.7349,9.6624,1.4141,0.6
2011-01-31,21.55,7484844.0,89144.2898,9.0928,1.3308,0.6
2011-02-28,20.25,6171475.0,83766.676,8.5443,1.2505,0.6
2011-03-31,22.2,12917417.0,91833.0967,10.0452,1.2745,0.6
2011-04-30,21.5,7130314.0,88937.4585,9.7285,1.2343,0.6
2011-05-31,21.25,5071675.0,87903.302,9.6154,1.2199,0.6
2011-06-30,21.45,6746837.0,88730.6272,9.7059,1.2314,0.6
2011-07-31,22.1,9187374.0,91419.4341,10.0,1.2687,0.6
2011-08-31,22.3,8024004.0,92246.7593,10.0905,1.2802,0.8
2011-09-30,21.5,6264150.0,88937.4585,9.7285,1.2343,0.8
2011-10-31,22.4,5651980.0,92660.4219,10.1357,1.286,0.8
2011-11-30,21.0,6070501.0,86869.1455,9.5023,1.2056,0.8
2011-12-31,19.0,9157462.0,78595.8936,8.5973,1.0908,0.8
2012-01-31,19.25,20083782.0,79630.05,8.7104,1.1051,0.8
2012-02-29,19.4,22505674.0,80250.5439,8.7783,1.1137,0.8
2012-03-31,19.7,19485115.0,81491.5414,7.6357,1.0418,0.8
2012-04-30,19.3,13283237.0,79836.8908,7.4806,1.0206,0.8
2012-05-31,18.75,15191288.0,77561.7462,7.2674,0.9915,0.8
2012-06-30,19.25,19478046.0,79630.0594,7.4612,1.018,0.8
2012-07-31,20.2,9774629.0,83559.8546,7.8295,1.0682,0.8
2012-08-31,19.1,11103985.0,79009.5655,7.4031,1.0101,0.94
2012-09-30,20.0,27757796.0,82732.5293,7.7519,1.0577,0.94
2012-10-31,19.95,14337464.0,82525.698,7.7326,1.055,0.94
2012-11-30,18.95,18030346.0,78389.0715,7.345,1.0021,0.94
2012-12-31,21.35,17699325.0,88316.975,8.2752,1.129,0.94
2013-01-31,22.5,12790043.0,93074.0955,8.7209,1.1899,0.94
