MEDANTA IN Equity,price,volume,mc,pe,bm,div
2023-09-30,716.05,6646469.0,192188.0935,46.7701,7.2413,0.0
2023-10-31,784.6,6809798.0,210592.4319,51.2476,7.9345,0.0
2023-11-30,957.35,9258248.0,256978.9542,62.531,9.6815,0.0
2023-12-31,959.15,8507020.0,257462.1234,56.9567,9.7361,0.0
2024-01-31,1148.3,7819112.0,308235.1628,68.1888,9.7361,0.0
2024-02-29,1364.2,20458242.0,366215.9185,81.0095,9.7361,0.0
2024-03-31,1321.15,10442909.0,354685.6817,74.1802,12.2087,0.0
2024-04-30,1445.2,6086577.0,388046.8685,81.1454,13.355,0.0
2024-05-31,1191.85,12305124.0,320020.5232,66.9203,11.0138,0.0
2024-06-30,1308.3,11101249.0,351288.2079,72.8047,11.7905,0.0
2024-07-31,1241.9,9371226.0,333508.9937,69.1096,11.7905,0.0
2024-08-31,1134.7,8682247.0,304720.7144,63.1441,11.7905,0.0
2024-09-30,1022.55,13880352.0,274603.1255,56.2459,8.7411,0.0
2024-10-31,1106.1,15191694.0,297040.2592,60.8416,9.4553,0.0
2024-11-30,1075.15,4148634.0,288728.7178,59.1392,9.1908,0.0
2024-12-31,1078.5,9159715.0,289671.4915,57.0937,9.2181,0.0
2025-01-31,1039.6,8153906.0,279223.4423,55.0344,9.2181,0.0
2025-02-28,1149.65,9234005.0,308781.4837,60.8602,9.2181,0.0
2025-03-31,1198.3,5403745.0,321848.2599,66.8694,9.504,0.0
2025-04-30,1197.2,4061317.0,321552.8137,66.808,9.4953,0.0
2025-05-31,1188.2,3804577.0,319135.5273,66.3058,9.4239,0.0
2025-06-30,1136.8,4452748.0,305330.1359,57.1831,8.9988,0.0
2025-07-31,1311.2,12146295.0,352267.4929,65.9557,8.9988,0.0
2025-08-31,1374.0,10711579.0,369290.5049,69.1147,8.9988,0.5
2025-09-30,1314.0,6359509.0,353190.5619,62.8708,9.526,0.5
2025-10-31,1311.5,4922441.0,352518.586,62.7512,9.5079,0.5
2025-11-30,1246.0,8043911.0,334912.816,59.6172,9.033,0.5
2025-12-31,1186.4,4403455.0,318892.9092,62.0502,8.3465,0.5
2026-01-31,1053.8,3140976.0,283251.3046,55.1151,8.3465,0.5
2026-02-28,1138.8,4857077.0,306098.487,59.5607,8.3465,0.5
2026-03-31,1116.0,310887.0,299970.0663,58.3682,8.3465,0.5
