ICICIBC IN Equity,price,volume,mc,pe,bm,div
2008-06-30,114.58,609253574.0,690301.8632,20.0445,1.6225,1.8182
2008-07-31,115.87,1226922917.0,709265.8111,20.2704,1.6225,2.0
2008-08-31,122.16,1016605365.0,747791.2362,21.3709,1.6225,2.0
2008-09-30,97.37,1800919120.0,596071.7262,19.0181,1.6225,2.0
2008-10-31,72.5,2253022893.0,443822.5252,14.1602,1.6225,2.0
2008-11-30,63.94,1589425178.0,391398.7698,12.4876,1.6225,2.0
2008-12-31,81.47,1536951807.0,498750.9988,16.2855,1.6225,2.0
2009-01-31,75.68,1325267686.0,463300.833,16.2855,1.6225,2.0
2009-02-28,59.55,1289845156.0,364574.6254,16.2855,1.6225,2.0
2009-03-31,60.51,3299995490.0,370418.0594,16.2855,0.7861,2.0
2009-04-30,87.13,2236056779.0,533366.3884,16.2855,1.132,2.0
2009-05-31,134.57,1955025309.0,823813.6034,16.2855,1.7484,2.0
2009-06-30,131.31,1335269304.0,804042.5745,16.2855,1.7686,2.0
2009-07-31,137.91,1467435734.0,844468.3641,16.2855,1.7686,2.0
2009-08-31,136.57,938588937.0,836285.3153,16.2855,1.7686,2.0
2009-09-30,165.02,708157967.0,1010642.624,16.2855,1.7686,2.0
2009-10-31,143.78,795270949.0,880649.5337,16.2855,1.7686,2.0
2009-11-30,157.79,685265724.0,966742.5245,16.2855,1.7686,2.0
2009-12-31,159.45,625465198.0,977089.3379,23.9552,1.7686,2.0
2010-01-31,150.97,602311028.0,925198.4316,22.681,1.7686,2.0
2010-02-28,158.57,483901908.0,972040.0266,23.8227,1.7686,2.0
2010-03-31,173.18,546533763.0,1061709.497,22.7164,2.0701,2.0
2010-04-30,173.08,531595125.0,1061355.922,22.7033,2.0689,2.0
2010-05-31,157.87,608819558.0,968250.0003,20.7083,1.8871,2.0
2010-06-30,156.67,543324590.0,961190.7965,20.2313,1.8436,2.1818
2010-07-31,164.53,400686611.0,1009534.807,20.2313,1.8436,2.1818
2010-08-31,177.76,553677548.0,1121607.367,20.2313,1.8436,2.1818
2010-09-30,202.35,464113397.0,1277480.81,20.2313,1.8436,2.1818
2010-10-31,211.45,469126950.0,1335267.955,20.2313,1.8436,2.1818
2010-11-30,207.65,548833390.0,1311540.127,20.2313,1.8436,2.1818
2010-12-31,208.2,499946761.0,1315218.36,20.2313,1.8436,2.1818
2011-01-31,185.75,633243375.0,1173477.7,20.2313,1.8436,2.1818
2011-02-28,176.52,537029609.0,1115366.687,20.2313,1.8436,2.1818
2011-03-31,202.95,511234273.0,1285600.719,20.2313,2.3247,2.1818
2011-04-30,202.63,454315835.0,1283672.331,20.2313,2.321,2.1818
2011-05-31,197.47,441150452.0,1251204.833,20.2313,2.262,2.1818
2011-06-30,199.03,395516880.0,1261153.989,18.8375,2.2644,2.5455
2011-07-31,188.5,349693498.0,1194573.926,17.8412,2.2644,2.5455
2011-08-31,158.77,552564722.0,1006261.474,15.0275,2.2644,2.5455
2011-09-30,159.16,481915154.0,1008805.425,13.8776,2.2644,2.5455
2011-10-31,169.3,494533391.0,1073076.492,14.7614,2.2644,2.5455
2011-11-30,129.54,812424212.0,821084.3621,11.2944,2.2644,2.5455
2011-12-31,124.48,778596467.0,789103.5871,10.6593,2.2644,2.5455
2012-01-31,164.03,681361384.0,1039791.638,14.0456,2.2644,2.5455
2012-02-29,164.78,733741591.0,1044626.471,14.1102,2.2644,2.5455
2012-03-31,161.85,639712442.0,1023008.451,13.4208,1.6746,2.5455
2012-04-30,160.43,514790711.0,1014055.386,13.3024,1.6598,2.5455
2012-05-31,142.41,545577450.0,900229.8982,11.8084,1.4734,3.0
2012-06-30,163.55,473698891.0,1033875.769,12.8739,1.6121,3.0
2012-07-31,174.8,538968128.0,1105054.073,13.7598,1.6121,3.0
2012-08-31,164.03,417750273.0,1036982.551,12.9118,1.6121,3.0
2012-09-30,192.51,483223356.0,1217124.406,14.4408,1.6121,3.0
2012-10-31,190.95,385938999.0,1207270.209,14.3235,1.6121,3.0
2012-11-30,199.97,309523346.0,1264399.482,15.0007,1.6121,3.0
2012-12-31,206.95,285665243.0,1308643.052,14.7099,1.6121,3.0
2013-01-31,216.57,363387734.0,1369684.075,15.3935,1.6121,3.0
2013-02-28,189.16,316128951.0,1196437.902,13.4453,1.6121,3.0
2013-03-31,190.04,456265799.0,1205691.205,12.5504,1.7535,3.0
2013-04-30,211.57,459215152.0,1342385.759,13.9727,1.9522,3.0
2013-05-31,209.9,362659594.0,1332080.352,13.8623,1.9367,3.6364
2013-06-30,194.68,414984482.0,1235704.187,12.0201,1.7289,3.6364
2013-07-31,165.28,557068347.0,1049212.26,10.2049,1.7289,3.6364
2013-08-31,146.14,773667081.0,927791.2305,9.0228,1.7289,3.6364
2013-09-30,160.66,604250251.0,1020045.779,9.6342,1.7289,3.6364
2013-10-31,203.81,493211285.0,1294023.677,12.2214,1.7289,3.6364
2013-11-30,194.3,365780278.0,1233725.9,11.6512,1.7289,3.6364
2013-12-31,199.77,423016072.0,1268544.43,11.73,1.7289,3.6364
2014-01-31,179.58,415465254.0,1140506.426,10.5445,1.7289,3.6364
2014-02-28,189.79,308883636.0,1205358.009,11.1439,1.7289,3.6364
2014-03-31,226.37,497793346.0,1437790.408,13.0167,1.8815,3.6364
2014-04-30,226.07,369772728.0,1436087.233,12.9995,1.879,3.6364
2014-05-31,257.83,506739294.0,1638866.007,14.8254,2.1429,3.6364
2014-06-30,257.85,335440347.0,1639398.019,14.4762,2.0924,4.1818
2014-07-31,267.5,378900676.0,1701199.083,14.4762,2.0924,4.1818
2014-08-31,283.05,268666646.0,1800911.899,14.4762,2.0924,4.1818
2014-09-30,260.65,292093549.0,1658839.665,14.4762,2.0924,4.1818
2014-10-31,295.75,246795230.0,1882686.934,14.4762,2.0924,4.1818
2014-11-30,318.98,255146161.0,2031072.007,14.4762,2.0924,4.1818
2014-12-31,321.0,260577087.0,2044924.513,14.4762,2.0924,4.1818
2015-01-31,327.91,306619218.0,2089348.057,14.4762,2.0924,4.1818
2015-02-28,314.68,370208586.0,2005993.674,14.4762,2.0924,4.1818
2015-03-31,286.82,359732673.0,1828958.892,14.4762,2.1593,4.1818
2015-04-30,301.05,292580375.0,1920198.823,14.4762,2.2664,4.1818
2015-05-31,288.41,252918900.0,1840923.057,14.4762,2.1713,4.1818
2015-06-30,280.0,397172655.0,1787636.361,14.109,2.1299,4.5455
2015-07-31,274.91,323600710.0,1755344.44,13.8525,2.1299,4.5455
2015-08-31,252.64,342346701.0,1613355.642,12.7302,2.1299,4.5455
2015-09-30,245.77,366429169.0,1570088.515,12.061,2.1299,4.5455
2015-10-31,251.82,198059387.0,1608793.277,12.3577,2.1299,4.5455
2015-11-30,249.77,221973666.0,1596000.346,12.2573,2.1299,4.5455
2015-12-31,237.59,289791401.0,1519003.335,11.8017,2.1299,4.5455
2016-01-31,209.23,374236266.0,1337706.194,10.3928,2.1299,4.5455
2016-02-29,172.77,659677690.0,1104737.915,8.582,2.1299,4.5455
2016-03-31,215.14,451951062.0,1375942.956,13.5034,1.4622,4.5455
2016-04-30,215.41,497065173.0,1377875.126,13.5205,1.464,4.5455
2016-05-31,222.41,539650691.0,1422769.123,13.9599,1.5116,4.5455
2016-06-30,218.68,365419638.0,1399260.557,8.1945,1.4622,4.5455
2016-07-31,239.0,305673753.0,1529268.761,8.9558,1.4622,4.5455
2016-08-31,234.55,372551022.0,1500765.844,8.7889,1.4622,4.5455
2016-09-30,229.23,422717714.0,1466736.851,8.5896,1.4622,4.5455
2016-10-31,251.86,459692494.0,1612197.374,9.4379,1.4622,4.5455
2016-11-30,241.41,547233013.0,1545277.072,9.0461,1.4622,4.5455
2016-12-31,232.09,276817940.0,1485974.398,8.6969,1.4622,4.5455
2017-01-31,244.5,418083218.0,1565487.035,9.1619,1.4622,4.5455
2017-02-28,251.23,410325307.0,1609086.467,9.414,1.4622,4.5455
2017-03-31,251.68,452294556.0,1612489.304,9.5843,1.5412,4.5455
2017-04-30,253.18,322817000.0,1622385.976,9.5843,1.5504,4.5455
2017-05-31,296.77,743102668.0,1902384.187,9.5843,1.8173,4.5455
2017-06-30,290.15,335441264.0,1860682.647,9.5843,1.7768,2.2727
2017-07-31,302.6,309300981.0,1940698.504,9.5843,1.853,2.2727
2017-08-31,298.05,252818836.0,1911858.17,9.5843,1.8251,2.2727
2017-09-30,276.6,279108877.0,1774704.767,9.5843,1.6938,2.2727
2017-10-31,300.1,510894834.0,1925484.095,9.5843,1.8377,2.2727
2017-11-30,307.55,362018012.0,1974707.91,9.5843,1.8833,2.2727
2017-12-31,314.0,256494116.0,2016524.804,9.5843,1.9228,2.2727
2018-01-31,352.95,406618892.0,2266991.37,9.5843,2.1613,2.2727
2018-02-28,313.25,326475839.0,2012669.196,9.5843,1.9182,2.2727
2018-03-31,278.35,397471783.0,1789104.026,9.5843,1.6174,2.2727
2018-04-30,284.2,554034479.0,1826945.273,9.5843,1.6514,2.2727
2018-05-31,285.8,454140171.0,1837668.073,9.5843,1.6607,2.2727
2018-06-30,275.4,460519843.0,1771247.567,9.5843,1.6002,2.2727
2018-07-31,304.25,526243510.0,1956981.521,9.5843,1.7679,2.2727
2018-08-31,342.6,512007451.0,2204294.215,9.5843,1.9907,1.5
2018-09-30,305.55,344092818.0,1966107.015,9.5843,1.7754,1.5
2018-10-31,355.0,634781823.0,2284649.792,9.5843,2.0628,1.5
2018-11-30,355.15,438864596.0,2286838.582,9.5843,2.0636,1.5
2018-12-31,360.15,341599950.0,2319523.936,9.5843,2.0927,1.5
2019-01-31,364.45,502636537.0,2347532.311,9.5843,2.1177,1.5
2019-02-28,350.15,311760284.0,2256070.423,9.5843,2.0346,1.5
2019-03-31,400.5,389789624.0,2581645.032,9.5843,2.2596,1.5
2019-04-30,407.5,264909176.0,2627133.581,9.5843,2.2991,1.5
2019-05-31,423.7,533082629.0,2732604.877,9.5843,2.3905,1.5
2019-06-30,437.1,276676606.0,2819740.295,9.5843,2.4159,1.5
2019-07-31,424.6,368787537.0,2740262.255,9.5843,2.3468,1.0
2019-08-31,409.65,437572223.0,2644666.181,9.5843,2.2642,1.0
2019-09-30,433.7,527590780.0,2800754.188,9.5843,2.3892,1.0
2019-10-31,463.05,470528178.0,2991433.047,9.5843,2.5509,1.0
2019-11-30,512.6,792697841.0,3314257.896,9.5843,2.8239,1.0
2019-12-31,538.9,330782592.0,3486167.71,36.6848,2.8526,1.0
2020-01-31,525.65,389318612.0,3400662.035,35.7828,2.7825,1.0
2020-02-29,497.25,345514048.0,3217917.889,33.8496,2.6321,1.0
2020-03-31,323.75,1060481449.0,2095431.495,21.875,1.7043,1.0
2020-04-30,380.15,915111139.0,2461132.495,25.6858,2.0012,1.0
2020-05-31,331.95,1087552615.0,2149275.965,22.4291,1.7474,1.0
2020-06-30,351.45,1049668968.0,2275942.538,22.3569,1.8042,1.0
2020-07-31,346.8,1050128784.0,2245911.381,22.0611,1.7803,1.0
2020-08-31,394.6,879635801.0,2720986.248,25.1018,2.0257,0.0
2020-09-30,354.75,636061389.0,2446314.15,16.6784,1.6755,0.0
2020-10-31,392.6,611806124.0,2707705.457,18.4579,1.8543,0.0
2020-11-30,473.35,771319937.0,3266045.477,22.2543,2.2357,0.0
2020-12-31,535.05,556691736.0,3693770.762,24.2984,2.4272,0.0
2021-01-31,537.0,441469499.0,3707733.701,24.3869,2.4361,0.0
2021-02-28,597.75,623307600.0,4131825.457,27.1458,2.7116,0.0
2021-03-31,582.1,508137932.0,4025696.275,21.4323,2.5546,0.0
2021-04-30,600.5,565723250.0,4154175.493,22.1097,2.6354,0.0
2021-05-31,662.75,347142673.0,4587022.711,24.4017,2.9086,0.0
2021-06-30,630.9,282638798.0,4368952.927,21.5914,2.6876,0.0
2021-07-31,682.5,274317502.0,4726262.942,23.3573,2.9075,2.0
2021-08-31,719.05,258673117.0,4982178.864,24.6081,3.0632,2.0
2021-09-30,700.85,232691877.0,4859236.333,23.098,2.8829,2.0
2021-10-31,802.05,345259876.0,5563255.588,26.4333,3.2992,2.0
2021-11-30,714.35,303460317.0,4957152.033,23.543,2.9384,2.0
2021-12-31,740.15,368135247.0,5138958.151,23.2807,2.9352,2.0
2022-01-31,788.8,288372819.0,5477463.881,24.811,3.1281,2.0
2022-02-28,742.7,302754194.0,5157710.109,23.3609,2.9453,2.0
2022-03-31,730.3,436962793.0,5071597.809,20.381,2.7876,2.0
2022-04-30,743.3,342994968.0,5165887.334,20.7438,2.8372,2.0
2022-05-31,752.85,282196067.0,5234581.614,21.0103,2.8737,2.0
2022-06-30,707.2,244136534.0,4919084.94,17.871,2.5937,2.0
2022-07-31,818.6,229509182.0,5694699.979,20.6861,3.0023,2.0
2022-08-31,887.3,262387147.0,6178039.524,22.4222,3.2543,5.0
