SARE IN Equity,price,volume,mc,pe,bm,div
2005-03-31,9.05,24319204.0,1201.5297,8.8931,2.1029,0.0
2005-04-30,13.16,26651990.0,1746.986,12.9303,3.0575,0.0
2005-05-31,12.39,15592740.0,1897.1334,12.1774,2.8795,0.0
2005-06-30,13.61,30868740.0,2083.3281,13.3726,3.1621,0.0
2005-07-31,19.06,44278360.0,2918.2721,18.732,4.4294,0.0
2005-08-31,18.64,37291380.0,2853.0306,18.3132,4.3304,0.0
2005-09-30,15.72,24825770.0,2406.6032,15.4477,3.6528,0.0
2005-10-31,16.29,13716500.0,2493.8361,16.0076,3.7852,0.0
2005-11-30,17.69,19102970.0,2708.6198,17.3863,4.1112,0.0
2005-12-31,21.76,72762720.0,3330.9793,21.3811,5.0558,0.0
2006-01-31,31.67,144312320.0,4848.3928,31.1212,7.3589,0.0
2006-02-28,26.36,41983220.0,4036.1734,25.9077,6.1261,0.0
2006-03-31,27.93,12880510.0,4276.6138,57.0685,5.7667,0.0
2006-04-30,26.38,3804540.0,3951.1396,53.8893,5.4455,0.0
2006-05-31,24.08,5588590.0,3685.7755,49.1842,4.97,0.0
2006-06-30,16.03,4803810.0,2453.5184,32.7405,3.3084,0.0
2006-07-31,13.4,4801520.0,2053.7102,27.38,2.7667,0.0
2006-08-31,16.95,4951650.0,2596.6704,34.6187,3.4982,0.0
2006-09-30,17.96,5104180.0,2752.2212,36.6925,3.7077,0.0
2006-10-31,17.12,3277660.0,2623.0847,34.9708,3.5338,0.0
2006-11-30,20.52,41845210.0,3144.7667,41.9259,4.2366,0.0
2006-12-31,20.21,8232890.0,3097.0743,41.29,4.1723,0.0
2007-01-31,22.53,8326200.0,3452.1996,46.0246,4.6507,0.0
2007-02-28,20.76,3848560.0,3181.4532,42.415,4.286,0.0
2007-03-31,18.48,3756560.0,2832.1977,19.7445,2.4178,0.0
2007-04-30,22.23,4344330.0,3406.7083,23.7496,2.9082,0.0
2007-05-31,27.36,6376710.0,4192.8189,29.2279,3.579,0.0
2007-06-30,31.63,7960880.0,4847.3838,33.7907,4.1377,0.0
2007-07-31,28.63,4991560.0,4387.3006,30.5835,3.745,0.0
2007-08-31,23.52,2630920.0,3605.0858,25.1307,3.0773,0.0
2007-09-30,29.0,26102070.0,4444.6265,30.9824,3.7939,0.0
2007-10-31,25.44,2672550.0,3898.6793,27.1768,3.3279,0.0
