SARE IN Equity,price,volume,mc,pe,bm,div
2007-11-30,26.75,1722190.0,4099.7405,28.5783,3.4995,0.0
2007-12-31,30.62,8518900.0,4692.6509,32.7114,4.0056,0.0
2008-01-31,19.82,6301670.0,3037.1981,21.1716,2.5925,0.0
2008-02-29,16.72,2403050.0,2562.4295,17.8621,2.1873,0.0
2008-03-31,10.96,6076470.0,1679.6682,19.6221,1.3537,0.0
2008-04-30,12.35,2811090.0,1893.204,22.1167,1.5258,0.0
2008-05-31,11.52,2361250.0,1764.789,20.6165,1.4223,0.0
2008-06-30,9.48,8261440.0,1452.924,16.9733,1.171,0.0
2008-07-31,9.71,18279620.0,1488.1464,17.3847,1.1993,0.1
2008-08-31,9.59,6645870.0,1469.0676,17.1618,1.184,0.1
2008-09-30,6.67,10766520.0,1022.1834,11.9413,0.8238,0.1
2008-10-31,4.92,3795380.0,753.6126,8.8038,0.6074,0.1
2008-11-30,3.64,1238000.0,558.4218,6.5236,0.4501,0.1
2008-12-31,5.49,2704450.0,840.9348,9.8239,0.6777,0.1
2009-01-31,5.27,1562090.0,807.18,9.4296,0.6505,0.1
2009-02-28,4.49,904690.0,687.5706,8.0323,0.5541,0.1
2009-03-31,4.84,7886940.0,741.138,8.2637,0.6306,0.1
2009-04-30,5.56,1867430.0,851.9418,8.2637,0.7249,0.1
2009-05-31,9.73,4647610.0,1491.0816,8.2637,1.2687,0.1
2009-06-30,7.71,4618380.0,1182.1518,8.2637,1.0058,0.1
2009-07-31,7.78,1305730.0,1191.6912,8.2637,1.014,0.1
2009-08-31,7.91,2146320.0,1211.5038,8.2637,1.0308,0.1
2009-09-30,7.8,16785610.0,1194.6264,8.2637,1.0165,0.0
2009-10-31,6.27,2353470.0,961.278,8.2637,0.8179,0.0
2009-11-30,6.77,17211120.0,1037.5932,8.2637,0.8828,0.0
2009-12-31,6.89,1936490.0,1055.9382,8.2637,0.8985,0.0
2010-01-31,6.55,2690300.0,1003.8384,8.2637,0.8541,0.0
2010-02-28,6.47,2305440.0,991.3638,8.2637,0.8435,0.0
2010-03-31,6.53,4947050.0,1000.1694,8.2637,0.9481,0.0
2010-04-30,7.36,5373820.0,1128.5844,8.2637,1.0699,0.0
2010-05-31,6.43,3021810.0,984.7596,8.2637,0.9335,0.0
2010-06-30,7.07,5892620.0,1083.8226,8.2637,1.0274,0.0
2010-07-31,7.16,13655750.0,1097.031,8.2637,1.04,0.0
2010-08-31,12.09,258376180.0,1852.845,8.2637,1.7565,0.0
2010-09-30,10.27,11185430.0,1573.2672,8.2637,1.4914,0.0
2010-10-31,9.02,1960240.0,1381.7454,8.2637,1.3099,0.0
2010-11-30,7.9,1906820.0,1210.77,8.2637,1.1478,0.0
2010-12-31,7.35,2843830.0,1125.6492,8.2637,1.0671,0.0
2011-01-31,5.95,2451110.0,912.1134,8.2637,0.8647,0.0
2011-02-28,5.16,2731290.0,791.0364,8.2637,0.7499,0.0
2011-03-31,5.36,2888680.0,821.856,8.2637,0.875,0.0
2011-04-30,6.71,28944190.0,1028.7876,8.2637,1.0953,0.0
2011-05-31,6.21,7323310.0,951.7386,8.2637,1.0133,0.0
2011-06-30,6.3,25136030.0,965.6808,8.2637,1.0281,0.0
2011-07-31,6.59,43933740.0,1010.4426,8.2637,1.0758,0.0
2011-08-31,5.77,8300590.0,884.229,8.2637,0.9414,0.0
2011-09-30,6.69,45762400.0,1025.1186,8.2637,1.0914,0.0
2011-10-31,6.52,6235080.0,998.7018,8.2637,1.0633,0.0
2011-11-30,5.67,2233910.0,869.553,8.2637,0.9258,0.0
2011-12-31,5.6,4187280.0,1018.058,8.2637,0.9141,0.0
2012-01-31,6.36,4109880.0,1155.5393,8.2637,1.0375,0.0
2012-02-29,9.71,55790100.0,1764.6338,8.2637,1.5844,0.0
2012-03-31,9.58,41711920.0,1740.2901,152.0095,1.5472,0.0
2012-04-30,9.37,10513810.0,1702.8738,148.7413,1.5139,0.0
2012-05-31,7.62,8102550.0,1385.2709,120.9996,1.2315,0.0
2012-06-30,7.59,16781090.0,1379.1799,120.4675,1.2261,0.0
2012-07-31,7.56,21045790.0,1373.0889,119.9355,1.2207,0.0
2012-08-31,8.05,28798620.0,1462.7138,127.764,1.3004,0.0
2012-09-30,9.0,60235920.0,1635.0025,142.8129,1.4536,0.0
2012-10-31,8.08,22477270.0,1468.8048,128.296,1.3058,0.0
2012-11-30,8.56,23720040.0,1554.9492,135.8205,1.3824,0.0
2012-12-31,8.38,15199260.0,1522.7538,133.0083,1.3538,0.0
2013-01-31,7.64,10561000.0,1387.8813,121.2276,1.2339,0.0
2013-02-28,6.23,4525370.0,1132.0587,98.8822,1.0064,0.0
2013-03-31,5.57,2628670.0,1011.9787,11.9502,0.8597,0.0
2013-04-30,5.93,4199790.0,1078.1097,12.7311,0.9159,0.0
2013-05-31,6.19,4808960.0,1125.0975,13.286,0.9558,0.0
2013-06-30,5.43,3887550.0,986.7465,11.6522,0.8383,0.0
2013-07-31,5.15,1045520.0,935.4079,11.046,0.7947,0.15
2013-08-31,5.08,3544370.0,923.2258,10.9021,0.7843,0.15
2013-09-30,5.21,3493900.0,946.7198,11.1796,0.8043,0.15
2013-10-31,5.73,2007810.0,1041.5658,12.2996,0.8848,0.15
2013-11-30,5.91,3539820.0,1073.7612,12.6797,0.9122,0.15
2013-12-31,7.95,12880000.0,1445.3139,17.0673,1.2278,0.15
2014-01-31,6.63,4020080.0,1205.1534,14.2313,1.0238,0.15
2014-02-28,5.97,1449940.0,1084.203,12.8031,0.9211,0.15
2014-03-31,6.12,3348280.0,1112.0477,5.6349,0.6425,0.15
2014-04-30,6.41,2451030.0,1165.1266,5.9038,0.6732,0.15
2014-05-31,7.37,4028270.0,1340.0261,6.79,0.7743,0.15
2014-06-30,10.42,31024870.0,1893.4395,9.5942,1.094,0.15
2014-07-31,10.82,2651620.0,1966.5319,9.9646,1.1363,0.15
2014-08-31,16.41,11746080.0,2982.8634,15.1144,1.7235,0.15
2014-09-30,13.88,4409660.0,2522.5557,12.782,1.4575,0.15
2014-10-31,16.29,6489730.0,2959.3694,14.9954,1.7099,0.15
2014-11-30,13.95,8085690.0,2534.7378,12.8438,1.4646,0.15
2014-12-31,13.59,3919030.0,2469.4768,12.5131,1.4269,0.15
2015-01-31,15.23,3296680.0,2767.9371,14.0254,1.5993,0.15
2015-02-28,13.73,1616660.0,2494.72,12.6409,1.4414,0.15
2015-03-31,11.72,3248000.0,2129.2493,30.1207,1.2153,0.15
2015-04-30,13.94,4897630.0,2532.9975,35.8322,1.4457,0.15
2015-05-31,15.22,4215760.0,2765.3267,39.1188,1.5783,0.15
2015-06-30,18.49,27338560.0,3359.637,47.526,1.9175,0.15
2015-07-31,41.75,58319750.0,7587.6805,107.3367,4.3307,0.15
2015-08-31,33.21,19147840.0,6035.3385,85.377,3.4447,0.15
2015-09-30,30.79,23071340.0,5595.9144,79.1608,3.1939,0.15
2015-10-31,31.92,8052900.0,5800.3989,82.0535,3.3106,0.15
2015-11-30,36.62,15449360.0,6654.0129,94.1289,3.7978,0.15
2015-12-31,34.48,37654720.0,6265.9274,88.6389,3.5763,0.15
2016-01-31,28.3,15319810.0,5142.5679,72.7477,2.9352,0.15
2016-02-29,20.54,6763640.0,3732.93,52.8067,2.1306,0.15
2016-03-31,25.84,10870970.0,4695.3124,65.7447,2.5841,0.15
2016-04-30,30.43,17253920.0,5529.7832,77.4291,3.0433,0.15
2016-05-31,28.03,6777690.0,5092.9695,71.3128,2.8029,0.15
2016-06-30,27.99,6061690.0,5086.8785,71.2275,2.7996,0.15
2016-07-31,26.49,2981790.0,4813.6524,67.4017,2.6492,0.15
2016-08-31,22.61,5384810.0,4108.8334,57.5327,2.2613,0.15
2016-09-30,21.45,3217780.0,3898.2579,54.5842,2.1454,0.15
2016-10-31,26.95,21041940.0,4897.1865,68.5714,2.6952,0.15
2016-11-30,23.16,10856150.0,4208.0302,58.9217,2.3159,0.15
2016-12-31,20.6,17312260.0,3743.3717,52.4154,2.0602,0.15
2017-01-31,21.26,8680870.0,3864.3221,54.109,2.1267,0.15
2017-02-28,19.89,4745000.0,3614.59,50.6122,1.9893,0.15
2017-03-31,22.38,33938920.0,4066.1962,46.3162,1.1461,0.15
2017-04-30,22.9,18173450.0,4161.9124,47.4064,1.1731,0.15
2017-05-31,22.23,17715500.0,4039.2217,46.0089,1.1385,0.15
2017-06-30,27.06,47551290.0,4917.1998,56.0096,1.386,0.15
2017-07-31,38.51,109004460.0,6998.5911,79.7178,1.9727,0.15
2017-08-31,42.5,51587770.0,7723.4234,87.974,2.177,0.15
2017-09-30,40.06,53200060.0,7283.6793,82.9291,2.0522,0.15
2017-10-31,64.77,113327680.0,11775.5862,134.0721,3.3177,0.15
2017-11-30,82.42,146314120.0,14983.4694,170.5958,4.2216,0.15
2017-12-31,79.46,55798710.0,14446.3557,164.4805,4.0702,0.15
2018-01-31,68.66,53373420.0,12483.3228,142.1301,3.5172,0.15
2018-02-28,67.49,29178800.0,12269.1737,139.6919,3.4568,0.15
2018-03-31,62.79,12625170.0,11415.1891,38.3209,2.8639,0.15
2018-04-30,69.35,22650230.0,12608.6783,42.3275,3.1633,0.15
2018-05-31,77.5,46667940.0,14089.4407,47.2984,3.5348,0.15
2018-06-30,64.83,10219990.0,11786.9031,39.5687,2.9571,0.15
2018-07-31,60.15,29030550.0,10935.53,36.7107,2.7436,0.3
2018-08-31,57.55,9248270.0,10461.9646,35.1209,2.6247,0.3
2018-09-30,49.67,9093140.0,9030.8222,30.3166,2.2657,0.3
2018-10-31,50.3,9790200.0,9144.8609,30.6994,2.2943,0.3
2018-11-30,54.74,12546360.0,9952.7078,33.4113,2.497,0.3
2018-12-31,57.49,4523170.0,10452.3889,35.0888,2.6223,0.3
2019-01-31,57.67,4948380.0,10484.5983,35.1969,2.6304,0.3
2019-02-28,52.53,2625240.0,9550.5254,32.0612,2.3961,0.3
2019-03-31,56.48,5760240.0,10268.7082,18.1728,2.2972,0.3
2019-04-30,54.46,3289150.0,9901.3468,17.5227,2.215,0.3
2019-05-31,52.62,4449140.0,9571.4256,16.9296,2.14,0.3
2019-06-30,53.83,2088380.0,9790.9177,17.3178,2.1891,0.3
2019-07-31,50.83,2562000.0,9245.6714,16.3534,2.0672,0.3
2019-08-31,31.9,14682360.0,5802.606,10.2634,1.2974,0.3
2019-09-30,33.09,4340780.0,6019.9961,10.6455,1.3457,0.3
2019-10-31,32.72,4180020.0,5953.7849,10.5284,1.3309,0.3
2019-11-30,39.75,6031950.0,7231.8362,12.7885,1.6166,0.3
2019-12-31,41.27,3194910.0,7508.878,13.2784,1.6785,0.3
2020-01-31,40.25,1707350.0,7322.441,12.9487,1.6368,0.3
2020-02-29,32.9,2574580.0,5985.1481,10.5839,1.3379,0.3
2020-03-31,18.7,3164890.0,3402.4288,7.3936,0.8171,0.3
2020-04-30,25.9,1287640.0,4713.7362,10.2431,1.132,0.3
2020-05-31,25.9,15811810.0,4712.8649,10.2412,1.1318,0.3
2020-06-30,40.87,20072040.0,7437.4219,16.1617,1.786,0.3
2020-07-31,46.12,10005870.0,8391.4961,18.2349,2.0151,0.3
2020-08-31,49.08,10253930.0,8929.9598,19.405,2.1444,0.15
2020-09-30,53.64,6107670.0,9760.3093,21.2094,2.3439,0.15
2020-10-31,63.32,9097220.0,11522.5301,25.0359,2.7667,0.15
2020-11-30,74.89,11294300.0,13628.7054,29.6121,3.2724,0.15
2020-12-31,80.01,10253710.0,14560.2326,31.6361,3.4961,0.15
2021-01-31,89.73,19472150.0,16329.1758,35.4796,3.9209,0.15
2021-02-28,101.63,11546270.0,18494.6063,40.1846,4.4408,0.15
2021-03-31,152.76,23745580.0,27800.2933,23.2832,5.2637,0.15
2021-04-30,175.99,5354680.0,32028.3291,26.8243,6.0643,2.0
2021-05-31,247.74,10194180.0,45084.5242,37.759,8.5363,2.0
2021-06-30,299.83,4713670.0,54565.3628,45.6994,10.3314,2.0
2021-07-31,332.03,5730360.0,60424.6604,50.6067,11.4408,2.0
2021-08-31,312.79,2977980.0,56923.3728,47.6743,10.7779,2.0
2021-09-30,344.54,4301190.0,62701.6302,52.5137,11.872,2.0
2021-10-31,389.02,2266270.0,70804.1947,59.2929,13.4046,2.0
2021-11-30,408.68,3937660.0,82280.4858,62.2888,14.0819,2.0
2021-12-31,502.17,2733960.0,101103.5123,76.5384,17.3033,2.0
2022-01-31,449.1,3121490.0,90419.9384,68.4506,15.4749,3.0
2022-02-28,373.48,4303780.0,75193.773,56.9239,12.869,3.0
2022-03-31,462.29,5874240.0,93073.9611,50.8873,6.4697,3.0
2022-04-30,405.95,5684177.0,81731.9428,44.6861,5.6813,3.0
2022-05-31,413.95,6500178.0,83341.9021,45.5664,5.7932,3.0
2022-06-30,346.63,3395825.0,69787.3949,38.1556,4.851,3.0
2022-07-31,399.92,3532358.0,80517.243,44.022,5.5969,3.0
2022-08-31,385.89,4323664.0,77692.584,42.4777,5.4005,3.0
2022-09-30,344.76,5058186.0,69411.4164,37.95,4.8249,3.0
2022-10-31,359.51,2616419.0,72380.6825,39.5734,5.0313,3.0
2022-11-30,364.87,3440234.0,73460.4157,40.1638,5.1064,3.0
2022-12-31,369.08,3724927.0,74308.7774,40.6276,5.1653,3.0
2023-01-31,324.65,5723934.0,65362.4171,35.7363,4.5434,3.0
2023-02-28,316.32,2061452.0,63684.9745,34.8191,4.4268,3.0
2023-03-31,317.13,6932309.0,63848.8626,32.9314,4.5559,3.0
2023-04-30,316.12,2243359.0,63646.4126,32.827,4.5415,3.0
2023-05-31,310.95,3045421.0,62605.2414,32.2899,4.4672,3.0
2023-06-30,390.73,15932874.0,78666.2719,40.5738,5.6132,3.0
2023-07-31,394.5,15442014.0,76063.3438,40.9657,5.6674,3.0
2023-08-31,396.75,3288515.0,76497.1652,41.1994,5.6998,3.0
2023-09-30,362.45,11715722.0,69883.7997,37.6376,5.207,3.0
2023-10-31,322.15,5753610.0,62113.5772,33.4528,4.6281,3.0
2023-11-30,371.75,13451317.0,71676.9279,38.6033,5.3406,3.0
2023-12-31,370.7,8468311.0,71474.4779,38.4943,5.3255,3.0
2024-01-31,348.45,9203861.0,67184.4668,36.1838,5.0059,3.0
2024-02-29,402.55,17592283.0,77615.4602,41.8017,5.7831,4.0
2024-03-31,347.35,7694963.0,66972.3764,33.8218,4.5587,4.0
2024-04-30,430.7,15635396.0,83043.0473,41.9377,5.6526,4.0
2024-05-31,502.65,19492421.0,96915.6901,48.9435,6.5968,4.0
2024-06-30,555.45,11037908.0,107096.0312,54.0847,7.2898,4.0
2024-07-31,554.0,8714100.0,106816.4575,53.9435,7.2708,4.0
2024-08-31,508.45,13545732.0,98033.9852,49.5083,6.673,4.0
2024-09-30,631.75,38322218.0,121807.3953,61.5141,8.2912,4.0
2024-10-31,538.3,44794468.0,103789.3485,52.4148,7.0647,4.0
2024-11-30,508.7,13647137.0,98082.1876,49.5326,6.6762,4.0
2024-12-31,462.8,6984002.0,89232.232,45.0633,6.0738,4.0
2025-01-31,476.05,52082947.0,91786.9577,46.3535,6.2477,4.0
2025-02-28,443.75,22444040.0,85559.2112,43.2084,5.8238,4.5
2025-03-31,511.65,8818640.0,98650.9756,48.178,6.2304,4.5
2025-04-30,524.05,7027566.0,101041.8132,49.3456,6.3814,4.5
2025-05-31,542.55,6238771.0,104608.7888,51.0876,6.6067,4.5
2025-06-30,498.45,13229544.0,96105.8903,46.935,6.0697,4.5
2025-07-31,483.3,11930675.0,93184.8265,45.5085,5.8852,4.5
2025-08-31,482.3,8202827.0,92992.017,45.4143,5.873,4.5
2025-09-30,469.15,6773560.0,90456.5722,44.1761,5.7129,4.5
2025-10-31,454.9,4255814.0,87709.037,42.8343,5.5394,4.5
2025-11-30,397.5,19680833.0,76641.7723,37.4294,4.8404,9.0
2025-12-31,351.0,16816687.0,67676.131,33.0508,4.2742,9.0
2026-01-31,337.2,13132632.0,65015.36,31.7514,4.1061,9.0
2026-02-28,333.0,7237281.0,64205.5602,31.3559,4.055,4.5
2026-03-31,328.05,782874.0,63251.1508,30.8898,3.9947,4.5
