SSOF IN Equity,price,volume,mc,pe,bm,div
2008-11-30,5.55,7798777.0,1556.3531,2.6619,0.6801,0.4125
2008-12-31,6.0,4824172.0,1682.5439,2.8777,0.7352,0.5625
2009-01-31,6.08,4115620.0,1703.5757,2.9137,0.7444,0.5625
2009-02-28,5.94,4521756.0,1666.7701,2.8507,0.7283,0.5625
2009-03-31,5.94,3771188.0,1666.7701,2.1772,0.6022,0.5625
2009-04-30,7.29,14786514.0,2045.3425,2.6717,0.7389,0.5625
2009-05-31,12.36,29083369.0,3464.9889,4.5261,1.2518,0.375
2009-06-30,10.82,30181702.0,3033.8371,3.9629,1.096,0.375
2009-07-31,12.62,26937900.0,3538.6002,4.6223,1.2784,0.375
2009-08-31,14.49,100443012.0,4064.3952,5.3091,1.4683,0.375
2009-09-30,13.84,32021283.0,3880.367,5.0687,1.4019,0.375
2009-10-31,12.62,41651291.0,3538.6002,4.6223,1.2784,0.3375
2009-11-30,13.46,22977744.0,3775.208,4.9313,1.3639,0.3375
2009-12-31,15.94,71244070.0,4469.2574,5.8379,1.6146,0.3375
2010-01-31,21.96,149047760.0,6157.0592,8.0426,2.2244,0.3375
2010-02-28,19.65,29351294.0,5510.3314,7.1978,1.9907,0.3375
2010-03-31,21.17,43040357.0,5936.2254,7.4276,1.6313,0.3375
2010-04-30,22.78,62758454.0,6388.409,7.9934,1.7556,0.3375
2010-05-31,17.85,19033819.0,5005.5682,6.2632,1.3756,0.3375
2010-06-30,19.89,36070436.0,5578.6848,6.9803,1.5331,0.6375
2010-07-31,18.39,32465067.0,5158.0488,6.4539,1.4175,0.6375
2010-08-31,16.03,24798412.0,4495.5471,5.625,1.2354,0.6375
2010-09-30,18.66,94245990.0,5231.6601,6.5461,1.4377,0.6375
2010-10-31,22.28,107934648.0,6246.4444,7.8158,1.7166,0.6375
2010-11-30,18.64,117369344.0,5226.4021,6.5395,1.4363,0.675
2010-12-31,18.56,29156262.0,5205.3703,6.5132,1.4305,0.675
2011-01-31,15.06,19886379.0,4222.1337,5.2829,1.1603,0.675
2011-02-28,12.83,18339097.0,3596.4377,4.5,0.9883,0.675
2011-03-31,16.14,37929473.0,4527.0948,5.2887,1.1117,0.675
2011-04-30,15.62,51350502.0,4379.8722,5.1167,1.0755,0.675
2011-05-31,15.04,13033501.0,4216.8758,4.9263,1.0355,0.675
2011-06-30,15.19,68481466.0,4258.9394,4.9754,1.0458,0.75
2011-07-31,13.58,28230545.0,3806.7557,4.4472,0.9348,0.75
2011-08-31,11.68,14669391.0,3275.7027,3.8268,0.8044,0.75
2011-09-30,10.35,9168659.0,2902.3883,3.3907,0.7127,0.75
2011-10-31,10.67,11288304.0,2991.7735,3.4951,0.7347,0.75
2011-11-30,9.41,14953319.0,2639.4908,3.0835,0.6482,0.5625
2011-12-31,7.93,22295562.0,2224.1128,2.5983,0.5462,0.5625
2012-01-31,8.76,9906486.0,2455.4626,2.8686,0.603,0.5625
2012-02-29,8.42,45468773.0,2360.8195,2.758,0.5797,0.5625
2012-03-31,6.79,20119643.0,1903.3689,2.1683,0.5082,0.5625
2012-04-30,7.07,10160189.0,1982.2377,2.1683,0.5293,0.5625
2012-05-31,6.98,46569244.0,1955.963,2.1683,0.5222,0.5625
2012-06-30,7.07,10751424.0,1982.2528,2.1683,0.5293,0.2813
2012-07-31,6.62,12502264.0,1856.0617,2.1683,0.4956,0.2813
2012-08-31,7.35,20751821.0,2061.1223,2.1683,0.5503,0.2813
2012-09-30,7.67,5230143.0,2150.5077,2.1683,0.5742,0.2813
2012-10-31,8.34,11277624.0,2339.7945,2.1683,0.6247,0.2813
2012-11-30,9.73,8497262.0,2728.8839,2.1683,0.7286,0.2813
2012-12-31,9.17,8357342.0,2571.1449,2.1683,0.6865,0.2813
2013-01-31,9.38,8879931.0,2628.9825,2.1683,0.7019,0.2813
2013-02-28,9.56,30660582.0,2681.5622,2.1683,0.716,0.2813
2013-03-31,8.76,5876663.0,2455.4697,2.1683,0.7185,0.2813
2013-04-30,9.38,2990530.0,2628.9825,2.1683,0.7693,0.2813
2013-05-31,9.88,11726749.0,2770.9476,2.1683,0.8109,0.2813
2013-06-30,9.79,4041039.0,2744.6578,2.1683,0.8032,0.2813
2013-07-31,9.26,9132408.0,2597.4348,2.1683,0.7601,0.6563
2013-08-31,9.36,7928643.0,2623.7246,2.1683,0.7678,0.6563
2013-09-30,10.14,11343954.0,2844.5591,2.1683,0.8324,0.6563
2013-10-31,11.55,9093678.0,3238.9065,2.1683,0.9478,0.6563
2013-11-30,12.77,11089133.0,3580.6742,2.1683,1.0478,0.8438
2013-12-31,15.36,22638485.0,4306.2734,2.1683,1.2601,0.8438
2014-01-31,14.64,37795972.0,4106.4707,2.1683,1.2017,0.8438
2014-02-28,19.22,44641256.0,5389.4142,2.1683,1.5771,0.8438
2014-03-31,16.46,21103995.0,4616.4933,5.9324,1.2331,0.8438
2014-04-30,18.26,27792140.0,5121.258,6.5811,1.3679,0.8438
2014-05-31,23.57,56393973.0,6609.2621,8.4932,1.7653,0.8438
2014-06-30,31.33,80592108.0,8786.0597,11.2905,2.3467,0.8438
2014-07-31,28.76,10137595.0,8065.7184,10.3649,2.1543,0.8438
2014-08-31,43.03,37061225.0,12067.0299,15.5068,3.2231,1.4063
2014-09-30,47.34,29942315.0,13276.3618,17.0608,3.5461,2.0625
2014-10-31,52.41,14996172.0,14696.0124,18.8851,3.9253,2.0625
2014-11-30,51.13,21704637.0,14338.4708,18.4257,3.8298,2.0625
2014-12-31,47.36,11174496.0,13281.6198,17.0676,3.5475,2.0625
2015-01-31,45.56,8142003.0,12776.8552,16.4189,3.4127,2.0625
2015-02-28,54.79,39704217.0,15363.7294,19.7432,4.1036,2.0625
2015-03-31,66.92,45110477.0,18765.6774,14.0401,4.3801,2.0625
2015-04-30,58.03,16482239.0,16273.4019,12.1755,3.7984,2.0625
2015-05-31,54.64,15334535.0,15321.7103,11.4634,3.5762,2.0625
2015-06-30,48.17,12868567.0,13507.7123,10.1062,3.1528,2.0625
2015-07-31,58.11,19471832.0,16294.4338,12.1912,3.8033,2.625
2015-08-31,53.03,36001194.0,14869.5253,11.1251,3.4707,2.625
2015-09-30,56.81,13922405.0,15931.6342,11.9197,3.7186,1.9688
2015-10-31,58.37,10432960.0,16368.0453,12.2463,3.8205,1.9688
2015-11-30,61.8,15289052.0,17330.2529,12.9662,4.0451,2.9063
2015-12-31,65.61,21070405.0,18397.6198,13.7648,4.2942,2.9063
2016-01-31,61.05,15514111.0,17119.9343,12.8088,3.996,2.9063
2016-02-29,47.87,9244438.0,13423.5849,10.0433,3.1332,2.9063
2016-03-31,54.66,11840248.0,15326.9682,9.6651,3.2542,3.375
2016-04-30,56.19,5501681.0,15758.1214,9.937,3.3457,3.375
2016-05-31,53.74,5508737.0,15069.3279,9.5027,3.1995,3.375
2016-06-30,62.42,12718493.0,17503.7658,11.0378,3.7164,3.375
2016-07-31,59.66,10322728.0,16730.8449,10.5504,3.5523,3.375
2016-08-31,57.75,8464209.0,16194.5325,10.2122,3.4384,3.375
2016-09-30,58.52,16697814.0,16410.109,10.3481,3.4842,3.375
2016-10-31,58.73,5457455.0,16467.9467,10.3846,3.4964,3.375
2016-11-30,58.65,11876629.0,16446.9148,10.3714,3.492,3.375
2016-12-31,72.53,55534391.0,20337.809,12.8249,4.3181,3.375
2017-01-31,71.93,28699673.0,20169.5541,12.7188,4.2824,3.375
2017-02-28,71.79,9941451.0,20132.7483,12.6956,4.2745,3.375
2017-03-31,63.24,10152733.0,17735.1162,11.1911,2.9615,3.375
2017-04-30,63.15,11099824.0,17708.8264,11.1745,2.9572,3.375
2017-05-31,55.86,9242648.0,15663.478,9.8839,2.6156,1.3125
2017-06-30,57.34,15759868.0,16078.8572,10.146,2.685,1.3125
2017-07-31,62.53,17611089.0,17535.3136,11.065,2.9282,1.3125
2017-08-31,59.34,10367864.0,16641.4595,10.501,2.7789,3.375
2017-09-30,55.28,7761003.0,15500.4811,9.781,2.5884,3.375
2017-10-31,67.67,18093825.0,18975.996,11.9741,3.1688,3.375
2017-11-30,90.53,47414145.0,25385.4555,16.0186,4.2391,3.4688
2017-12-31,104.42,25522674.0,29281.6076,18.4771,4.8897,3.4688
2018-01-31,113.04,36452514.0,31700.2716,20.0033,5.2936,3.4688
2018-02-28,120.45,40764123.0,33777.1691,21.3139,5.6404,3.4688
2018-03-31,117.34,19725590.0,32904.3468,16.877,4.9743,3.4688
2018-04-30,134.51,23261056.0,37720.6431,19.3474,5.7024,3.4688
2018-05-31,139.74,14743762.0,39187.6154,20.0998,5.9242,3.4688
2018-06-30,117.39,10131365.0,32920.1207,16.8851,4.9767,3.4688
2018-07-31,129.34,34885239.0,36269.4446,18.603,5.483,3.4688
2018-08-31,132.6,18329182.0,37184.3306,19.0723,5.6213,3.9375
2018-09-30,138.58,30982526.0,38861.6215,19.9326,5.8749,3.9375
2018-10-31,115.71,12913519.0,32446.9039,16.6424,4.9051,3.9375
2018-11-30,114.9,7675003.0,32220.8114,16.5264,4.871,4.3125
2018-12-31,113.49,6826982.0,31826.464,16.3242,4.8114,4.3125
2019-01-31,120.39,9931691.0,33761.3952,17.3166,5.1039,4.3125
2019-02-28,126.79,10890248.0,35554.3614,18.2362,5.3749,4.3125
2019-03-31,126.64,6518676.0,35512.2976,14.0767,4.5653,4.3125
2019-04-30,124.26,4715975.0,34844.536,13.812,4.4794,4.3125
2019-05-31,133.76,4551548.0,37510.3245,14.8687,4.8222,4.3125
2019-06-30,131.03,3522642.0,36742.6615,14.5644,4.7235,4.3125
2019-07-31,120.39,4738785.0,33761.3952,13.3827,4.3402,4.7813
2019-08-31,115.46,7139868.0,32378.5503,12.8345,4.1624,4.7813
2019-09-30,124.11,7275238.0,34802.4723,13.7953,4.474,4.7813
2019-10-31,117.38,5952220.0,32914.8628,13.0471,4.2314,4.7813
2019-11-30,116.51,4552724.0,32672.9964,12.9512,4.2003,5.1563
2019-12-31,115.95,4137284.0,32515.2574,12.8887,4.18,5.1563
2020-01-31,125.81,6605393.0,35280.9472,13.985,4.5356,5.1563
2020-02-29,125.61,7812398.0,35223.1095,13.9621,4.5281,5.1563
2020-03-31,61.58,13403034.0,17267.158,6.159,2.5478,7.5938
2020-04-30,79.43,17295238.0,22272.741,7.9445,3.2864,7.5938
2020-05-31,76.09,19776486.0,21336.8232,7.6107,3.1483,7.5938
2020-06-30,89.48,38308316.0,25091.0104,8.9497,3.7022,7.5938
2020-07-31,98.96,30849680.0,27751.5409,9.8987,4.0948,7.5938
2020-08-31,114.23,30832571.0,32031.5246,11.4254,4.7263,7.5938
2020-09-30,117.81,24911591.0,33035.796,11.7836,4.8745,7.5938
2020-10-31,118.86,37752505.0,33330.2408,11.8886,4.9179,7.5938
2020-11-30,128.04,18767686.0,35906.6437,12.8076,5.298,6.9375
2020-12-31,147.96,33415490.0,41490.6026,14.7993,6.122,6.9375
2021-01-31,144.75,18611203.0,40591.4906,14.4786,5.9893,6.9375
2021-02-28,179.25,73437291.0,50266.1464,17.9295,7.4168,6.9375
2021-03-31,190.95,35626407.0,53547.1166,21.6865,5.8434,6.9375
2021-04-30,214.84,20158798.0,60245.7641,24.3995,6.5744,6.9375
2021-05-31,252.21,19538654.0,70724.8886,28.6435,7.7179,1.5
2021-06-30,280.05,16579100.0,78532.9667,31.8058,8.57,1.5
2021-07-31,289.65,13238789.0,81225.048,32.8961,8.8638,1.5
2021-08-31,312.99,36064698.0,87771.2148,35.5473,9.5781,5.25
2021-09-30,328.05,25547652.0,91993.3609,37.2572,10.0389,5.25
2021-10-31,313.65,29778486.0,87955.2435,35.6218,9.5982,6.75
2021-11-30,342.84,16311031.0,96141.8955,38.9374,10.4916,6.75
2021-12-31,328.43,15895055.0,92098.5202,37.2998,10.0503,6.75
2022-01-31,304.13,10006413.0,85284.1972,34.54,9.3067,6.75
2022-02-28,275.48,7339657.0,77250.0262,31.2862,8.43,6.75
2022-03-31,277.28,6030985.0,77754.7909,27.2138,6.9903,6.75
2022-04-30,282.04,8070694.0,79090.314,27.6813,7.1104,6.75
2022-05-31,256.93,8883120.0,72049.8985,25.2172,6.4775,6.75
2022-06-30,251.04,6436950.0,70398.8974,24.6393,6.329,7.875
2022-07-31,264.47,13726645.0,74163.5999,25.9569,6.6675,7.875
2022-08-31,267.21,6010193.0,74931.2635,26.2256,6.7365,7.875
2022-09-30,257.8,11921861.0,72293.5176,25.3024,6.4994,7.875
2022-10-31,261.73,7818202.0,73394.185,25.6876,6.5983,8.375
2022-11-30,293.0,6017376.0,82164.4711,28.7572,7.3868,8.375
2022-12-31,281.85,7649218.0,79037.7344,27.6629,7.1057,8.375
2023-01-31,303.5,7132630.0,85108.9317,29.7877,7.6515,8.375
2023-02-28,363.15,27774428.0,101836.2719,35.6422,9.1553,8.375
2023-03-31,418.15,45492900.0,117259.6368,25.6691,8.9185,8.375
2023-04-30,427.38,36447714.0,119846.5557,26.2354,9.1153,8.375
2023-05-31,485.88,25256452.0,136251.4075,29.8266,10.363,8.375
2023-06-30,504.73,14773494.0,141537.4153,30.9837,10.7651,8.375
2023-07-31,528.35,20001046.0,148162.4515,32.434,11.2689,7.875
2023-08-31,522.78,13917682.0,146599.0832,32.0918,11.15,7.875
2023-09-30,528.9,12735092.0,148316.6852,32.4678,11.2807,7.875
2023-10-31,576.83,18708190.0,161756.0445,35.4098,12.3028,7.875
2023-11-30,679.58,16808084.0,190569.6943,41.7173,14.4944,7.875
2023-12-31,742.75,23696637.0,208285.5321,45.5955,15.8418,7.875
2024-01-31,768.0,15030571.0,215366.2587,47.1455,16.3803,7.875
2024-02-29,810.95,13507132.0,227410.5045,49.7821,17.2964,7.875
2024-03-31,722.35,10581811.0,202564.8658,64.9595,14.2567,7.875
2024-04-30,691.15,13916570.0,193815.6116,62.1538,13.6409,7.875
2024-05-31,515.25,31884892.0,144488.8864,46.3354,10.1692,7.875
2024-06-30,592.45,20443623.0,166137.6822,53.2779,11.6929,7.875
2024-07-31,736.85,37669747.0,206631.0257,66.2635,14.5428,7.9
2024-08-31,665.75,34979857.0,186692.8213,59.8696,13.1396,7.9
2024-09-30,631.05,14475812.0,176962.0801,56.7491,12.4547,7.9
2024-10-31,612.0,13881796.0,171619.9874,55.036,12.0787,7.9
2024-11-30,625.9,15540166.0,175517.8923,56.286,12.3531,4.4
2024-12-31,599.4,9488102.0,168086.6347,53.9029,11.8301,4.4
2025-01-31,529.0,10265024.0,148344.7277,47.5719,10.4406,4.4
2025-02-28,361.0,26178009.0,101233.3586,32.464,7.1249,4.4
2025-03-31,345.7,18876667.0,96942.8589,22.5948,5.6266,4.4
2025-04-30,421.55,131476556.0,118213.0812,27.5523,6.8611,4.4
2025-05-31,409.05,185566381.0,114707.771,26.7353,6.6576,4.4
2025-06-30,410.05,33680547.0,114988.1958,26.8007,6.6739,4.4
2025-07-31,391.95,35314238.0,109912.5066,25.6176,6.3793,4.4
2025-08-31,350.85,86757615.0,98387.0467,22.9314,5.7104,5.65
2025-09-30,346.1,40157419.0,97055.0288,22.6209,5.6331,5.65
2025-10-31,369.85,30397609.0,103715.1182,24.1732,6.0196,5.65
2025-11-30,357.4,15803976.0,100223.8292,23.3595,5.817,6.9
2025-12-31,359.85,22033904.0,100910.87,23.5196,5.8569,6.9
2026-01-31,317.3,14042649.0,88978.7941,20.7386,5.1643,6.9
2026-02-28,268.2,18230417.0,75209.9357,17.5294,4.3652,8.15
2026-03-31,252.8,2293739.0,70891.3943,16.5229,4.1145,8.15
