SSOF IN Equity,price,volume,mc,pe,bm,div
2002-03-31,6.23,17742270.0,1745.6444,8.3417,1.3537,0.075
2002-04-30,7.44,27020924.0,2087.4121,9.9749,1.6188,0.075
2002-05-31,6.08,24834994.0,1703.5807,8.1407,1.3211,0.0563
2002-06-30,7.09,22045829.0,1987.5108,9.4975,1.5413,0.0563
2002-07-31,5.34,11236251.0,1498.5201,7.1608,1.1621,0.0563
2002-08-31,5.38,2662026.0,1509.036,7.2111,1.1702,0.0563
2002-09-30,4.99,1731613.0,1398.6187,6.6834,1.0846,0.0563
2002-10-31,5.85,5281719.0,1640.4851,7.8392,1.2722,0.0563
2002-11-30,7.24,12918407.0,2029.5745,9.6985,1.5739,0.1313
2002-12-31,6.79,9648430.0,1903.3834,9.0955,1.4761,0.1313
2003-01-31,5.83,7442070.0,1635.2271,7.8141,1.2681,0.1313
2003-02-28,5.59,3829391.0,1566.8736,7.4874,1.2151,0.1313
2003-03-31,4.56,4274415.0,1277.6855,8.3793,0.9106,0.1313
2003-04-30,4.58,3145527.0,1282.9435,8.4138,0.9143,0.1313
2003-05-31,4.71,3588034.0,1319.7492,8.6552,0.9405,0.1313
2003-06-30,5.09,5296287.0,1425.9601,9.3517,1.0162,0.1875
2003-07-31,4.91,9377443.0,1377.5869,9.0345,0.9818,0.1875
2003-08-31,5.31,7202929.0,1488.0041,9.7586,1.0604,0.1875
2003-09-30,4.98,5606127.0,1395.4639,9.1517,0.9945,0.1875
2003-10-31,4.39,6179326.0,1231.4154,8.0759,0.8776,0.1875
2003-11-30,5.15,5582049.0,1442.7856,9.4621,1.0282,0.1875
2003-12-31,6.85,31043016.0,1921.2604,12.6,1.3692,0.1875
2004-01-31,4.86,7555150.0,1361.813,8.931,0.9705,0.1875
2004-02-29,4.43,2177239.0,1241.9314,8.1448,0.8851,0.1875
2004-03-31,3.78,2533610.0,1058.9542,10.4896,0.7332,0.1875
2004-04-30,4.15,2366245.0,1163.0619,11.5208,0.8052,0.1875
2004-05-31,4.25,2180519.0,1190.4033,11.7917,0.8242,0.1875
2004-06-30,4.33,1433840.0,1213.5383,12.0208,0.8402,0.1875
2004-07-31,4.99,6241588.0,1399.6703,13.8646,0.969,0.1875
2004-08-31,5.05,4530394.0,1416.4958,14.0313,0.9807,0.1875
2004-09-30,5.14,4785897.0,1441.734,14.2813,0.9982,0.1875
2004-10-31,6.03,15214980.0,1689.91,16.7396,1.17,0.1875
2004-11-30,6.79,12168349.0,1903.3834,18.8542,1.3178,0.225
2004-12-31,8.36,26748444.0,2345.0524,23.2292,1.6236,0.225
2005-01-31,8.23,65305469.0,2308.2467,22.8646,1.5981,0.225
2005-02-28,8.44,53086816.0,2366.0843,23.4375,1.6381,0.225
2005-03-31,9.11,54320773.0,2555.371,15.8851,1.6724,0.225
2005-04-30,9.88,242092067.0,2770.9476,17.2252,1.8135,0.225
2005-05-31,10.28,49207910.0,2881.3649,17.9116,1.8858,0.2438
2005-06-30,10.69,35549570.0,2997.0401,18.6307,1.9615,0.2438
2005-07-31,11.31,61777590.0,3170.5529,19.7093,2.075,0.2438
2005-08-31,12.13,38781433.0,3401.9034,21.1474,2.2264,0.2438
2005-09-30,11.53,96019523.0,3233.6485,20.1015,2.1163,0.2438
2005-10-31,10.58,25802503.0,2965.4923,18.4345,1.9408,0.2813
2005-11-30,11.33,20849080.0,3175.8109,19.742,2.0785,0.2813
2005-12-31,12.71,107425029.0,3564.9003,22.1607,2.3331,0.2813
2006-01-31,14.87,124260390.0,4169.5663,25.9195,2.7289,0.2813
2006-02-28,12.39,23416741.0,3475.5149,21.605,2.2746,0.2813
2006-03-31,13.01,35542255.0,3649.0278,32.1323,2.3981,0.2813
2006-04-30,12.3,22064210.0,3438.7092,30.3729,2.2668,0.2813
2006-05-31,10.13,24524501.0,2839.3011,25.0021,1.866,0.2813
2006-06-30,8.51,18044043.0,2387.1161,21.0203,1.5688,0.375
2006-07-31,10.18,66347109.0,2855.075,25.141,1.8764,0.375
2006-08-31,10.84,56111226.0,3039.1038,26.7615,1.9973,0.375
2006-09-30,12.19,12184514.0,3417.6773,30.0951,2.2461,0.375
2006-10-31,13.07,14601164.0,3664.8017,32.2712,2.4085,0.4125
2006-11-30,16.28,24516303.0,4563.9137,40.1885,2.9994,0.4125
2006-12-31,24.79,92477316.0,6951.0298,61.2088,4.5682,0.4125
2007-01-31,23.33,31393869.0,6540.9086,57.5974,4.2987,0.4125
2007-02-28,22.37,16113383.0,6272.7523,55.2361,4.1224,0.4125
2007-03-31,23.49,11075933.0,6588.2303,13.709,3.5277,0.4125
2007-04-30,24.69,12216557.0,6924.74,14.4092,3.7079,0.4125
2007-05-31,20.53,9347688.0,5757.4718,11.9803,3.0829,0.4125
2007-06-30,21.41,16489161.0,6004.5961,12.4945,3.2152,0.4125
2007-07-31,18.45,9308502.0,5173.8376,10.7659,2.7704,0.4125
2007-08-31,19.07,8323531.0,5347.3505,11.1269,2.8633,0.4125
2007-09-30,18.15,9420854.0,5089.6954,10.5908,2.7253,0.4125
2007-10-31,15.04,11059947.0,4216.8758,8.7746,2.258,0.4125
2007-11-30,15.96,9311672.0,4474.5153,9.3107,2.3959,0.4125
2007-12-31,20.91,74489840.0,5862.6141,12.1991,3.1392,0.4125
2008-01-31,15.26,30483739.0,4279.9712,8.9059,2.2917,0.4125
2008-02-29,15.32,7140577.0,4295.745,8.9387,2.3002,0.4125
2008-03-31,12.19,12233400.0,3417.6674,5.8453,1.4934,0.4125
2008-04-30,14.46,15368721.0,4053.8793,6.9335,1.7714,0.4125
2008-05-31,12.92,14389676.0,3622.7274,6.196,1.583,0.4125
2008-06-30,9.88,6895588.0,2770.9396,4.7392,1.2108,0.4125
2008-07-31,10.59,8821320.0,2970.7417,5.0809,1.2981,0.4125
2008-08-31,10.67,13122050.0,2991.7735,5.1169,1.3073,0.4125
2008-09-30,7.91,10038741.0,2218.8548,3.795,0.9696,0.4125
2008-10-31,6.34,10433933.0,1777.187,3.0396,0.7766,0.4125
