SOIL IN Equity,price,volume,mc,pe,bm,div
2009-11-30,73.88,702095.0,6399.4854,14.4976,2.8978,0.9
2009-12-31,79.8,7752505.0,6912.2758,15.6593,3.13,0.9
2010-01-31,84.37,4671775.0,7308.1291,16.5561,3.3092,0.9
2010-02-28,88.2,854890.0,7639.8837,17.3077,3.4595,1.4
2010-03-31,86.3,630830.0,7475.3057,12.7587,2.8183,1.4
2010-04-30,85.99,2434605.0,7448.4535,12.7129,2.8082,1.4
2010-05-31,82.7,3596610.0,7163.4738,12.2265,2.7007,1.4
2010-06-30,82.02,1063725.0,7104.5722,12.126,2.6785,1.4
2010-07-31,86.3,1462175.0,7475.3057,12.7587,2.8183,1.4
2010-08-31,88.04,592685.0,7626.0245,13.016,2.8751,1.4
2010-09-30,101.2,3291345.0,8765.9437,14.9616,3.3049,1.4
2010-10-31,105.68,1579845.0,9154.0013,15.6239,3.4512,1.4
2010-11-30,128.6,522880.0,11139.3316,19.0124,4.1997,1.5
2010-12-31,111.94,734920.0,9696.2425,16.5494,3.6556,1.5
2011-01-31,110.8,1382445.0,9597.4957,16.3808,3.6184,1.5
2011-02-28,114.55,625270.0,9922.3207,16.9352,3.7408,1.5
2011-03-31,116.65,265485.0,10104.2227,13.365,3.1971,1.5
2011-04-30,117.01,320615.0,10135.4059,13.4063,3.207,1.5
2011-05-31,124.86,629790.0,10815.3728,14.3057,3.4221,1.5
2011-06-30,125.0,211835.0,10827.4996,14.3217,3.426,1.5
2011-07-31,134.23,638590.0,11627.0022,15.3792,3.6789,1.6
2011-08-31,150.04,665735.0,12996.4644,17.1907,4.1122,1.6
2011-09-30,152.0,683920.0,13166.2395,17.4152,4.166,1.6
2011-10-31,162.08,660685.0,14039.3691,18.5701,4.4422,1.6
2011-11-30,145.76,905690.0,12625.7308,16.7003,3.9949,1.8
2011-12-31,152.78,330850.0,13233.8031,17.5046,4.1873,1.8
2012-01-31,158.65,271490.0,13742.2625,18.1771,4.3482,1.8
2012-02-29,169.9,1424700.0,14716.7375,19.4661,4.6566,1.8
2012-03-31,167.86,1397755.0,14539.8646,14.3667,3.7542,1.8
2012-04-30,169.5,2004635.0,14681.9198,14.507,3.7909,1.8
2012-05-31,170.38,2248810.0,14758.1445,14.5823,3.8106,1.8
2012-06-30,184.75,2689355.0,16002.8594,15.8122,4.132,1.8
2012-07-31,186.51,2462670.0,16155.3089,15.9629,4.1714,1.8
2012-08-31,196.16,2597255.0,16991.1822,16.7888,4.3872,2.0
2012-09-30,196.22,1605420.0,17755.9474,16.7939,4.3885,2.0
2012-10-31,195.73,1579660.0,17711.6073,16.752,4.3776,2.0
