AKUMS IN Equity,price,volume,mc,pe,bm,div
2025-03-31,473.2,8723181.0,74478.8351,20.9381,2.3777,0.0
2025-04-30,522.2,10885834.0,82191.1405,23.1062,2.6239,0.0
2025-05-31,571.4,6707746.0,89934.9247,25.2832,2.8711,0.0
2025-06-30,585.4,5368227.0,92138.4406,25.9027,2.9415,0.0
2025-07-31,519.25,6425223.0,81726.8283,22.9757,2.6091,0.0
2025-08-31,454.25,7096801.0,71496.219,20.0996,2.2825,0.0
2025-09-30,441.45,3934036.0,69481.576,19.5332,2.2182,0.0
2025-10-31,460.75,2809266.0,72519.28,20.3872,2.3152,0.0
2025-11-30,425.95,5139178.0,67041.9692,18.8473,2.1403,0.0
2025-12-31,453.4,7006131.0,71362.4342,20.0619,2.2782,0.0
2026-01-31,440.0,1795850.0,69253.3547,19.469,2.2109,0.0
2026-02-28,488.15,7306300.0,76831.8752,21.5996,2.4528,0.0
2026-03-31,486.6,394372.0,76587.9155,21.531,2.445,0.0
