ABFRL IN Equity,price,volume,mc,pe,bm,div
2015-12-31,83.08,1136493.0,21463.1425,117.6007,3.3404,0.0
2016-01-31,79.84,2045791.0,170913.735,113.0248,3.3404,0.0
2016-02-29,46.03,55995445.0,98527.1936,65.1557,3.3404,0.0
2016-03-31,52.49,19927748.0,112366.3624,70.3672,4.5218,0.0
2016-04-30,53.0,9048849.0,113442.7422,70.3672,4.5651,0.0
2016-05-31,47.32,12728848.0,101295.0274,70.3672,4.0762,0.0
2016-06-30,51.25,14098730.0,109713.8551,7.6465,4.3841,0.0
2016-07-31,52.01,26117196.0,111328.4248,7.759,4.3841,0.0
2016-08-31,55.92,30411854.0,119708.8103,8.3431,4.3841,0.0
2016-09-30,49.51,18153424.0,106016.3762,45.5492,4.0924,0.0
2016-10-31,58.9,19469280.0,126127.5713,54.1898,4.8687,0.0
2016-11-30,50.12,14824220.0,107323.7962,46.1109,4.1428,0.0
2016-12-31,49.58,5773078.0,106218.6393,202.2469,4.0449,0.0
2017-01-31,53.89,11529299.0,115521.3373,219.8273,4.0449,0.0
2017-02-28,56.73,14387389.0,121658.1725,231.401,4.0449,0.0
2017-03-31,55.26,21780959.0,118545.6037,81.2462,4.5082,0.0
2017-04-30,62.03,17035163.0,133242.0555,91.2006,5.0605,0.0
2017-05-31,63.03,13273900.0,135403.3273,92.6793,5.1426,0.0
2017-06-30,62.28,11379330.0,133783.1166,90.2621,5.0517,0.0
2017-07-31,61.96,15906622.0,133100.5325,89.7936,5.0517,0.0
2017-08-31,61.4,12220362.0,131904.5567,88.9868,5.0517,0.0
2017-09-30,58.55,9111724.0,125776.7752,81.8554,4.9356,0.0
2017-10-31,56.35,12429351.0,121069.7916,81.8554,4.7509,0.0
2017-11-30,60.18,23068942.0,129287.7241,81.8554,5.0734,0.0
2017-12-31,61.94,22129883.0,133076.903,184.8157,5.2066,0.0
2018-01-31,58.56,14955853.0,125823.0736,174.7416,5.2066,0.0
2018-02-28,54.7,14822960.0,117527.4698,163.2208,5.2066,0.0
2018-03-31,54.18,16245897.0,116410.0375,36.1623,3.8804,0.0
2018-04-30,52.71,27218259.0,113249.4427,35.1795,3.775,0.0
2018-05-31,53.27,19219053.0,114445.6038,35.551,3.8148,0.0
2018-06-30,49.57,6418987.0,106497.7269,27.1808,3.5473,0.0
2018-07-31,50.34,7340207.0,108156.9307,27.6042,3.5473,0.0
2018-08-31,71.3,95936317.0,153186.9478,39.097,3.5473,0.0
2018-09-30,65.91,21631659.0,141611.1079,26.4284,4.4675,0.0
2018-10-31,64.69,17859070.0,138987.2509,25.9387,4.3847,0.0
2018-11-30,65.03,23540664.0,139720.3874,26.0755,4.4078,0.0
2018-12-31,72.73,27810000.0,156276.9837,24.6779,4.9872,0.0
