JM IN Equity,price,volume,mc,pe,bm,div
2002-03-31,0.42,31857025.0,56.0587,1.2583,0.5193,0.0
2002-04-30,0.28,160375.0,56.0587,1.2583,0.3429,0.0
2002-05-31,0.3,37500.0,56.0587,1.2583,0.3674,0.0
2002-06-30,0.4,388125.0,56.0587,1.2583,0.485,0.0
2002-07-31,0.32,508750.0,56.0587,1.2583,0.3919,0.0
2002-08-31,0.32,64600.0,56.0587,1.2583,0.3919,0.036
2002-09-30,0.31,152500.0,56.0587,1.2583,0.3821,0.036
2002-10-31,0.28,348750.0,56.0587,1.2583,0.3478,0.036
2002-11-30,0.26,67550.0,56.0587,1.2583,0.3233,0.036
2002-12-31,0.26,182500.0,56.0587,1.2583,0.3184,0.036
2003-01-31,0.26,310125.0,56.0587,1.2583,0.3184,0.036
2003-02-28,0.28,294825.0,56.0587,1.2583,0.3454,0.036
2003-03-31,0.57,14201425.0,56.0587,1.2583,0.6981,0.036
2003-04-30,0.36,798925.0,56.0587,1.2583,0.4409,0.036
2003-05-31,0.35,168100.0,56.0587,1.2583,0.4335,0.036
2003-06-30,0.43,423425.0,56.0587,1.2583,0.5217,0.036
2003-07-31,0.39,603750.0,56.0587,1.2583,0.4752,0.036
2003-08-31,0.47,1536250.0,56.0587,1.2583,0.5712,0.036
2003-09-30,0.5,1653650.0,56.0587,1.2583,0.6099,0.04
2003-10-31,0.71,2293475.0,56.0587,1.2583,0.8744,0.04
2003-11-30,0.74,853225.0,56.0587,1.2583,0.9112,0.04
2003-12-31,1.25,6086800.0,56.0587,1.2583,1.526,0.04
2004-01-31,1.28,5589825.0,56.0587,1.2583,1.5676,0.04
2004-02-29,1.19,1880350.0,56.0587,1.2583,1.4599,0.04
2004-03-31,1.06,6264675.0,56.0587,1.2583,1.2933,0.04
2004-04-30,1.24,842450.0,56.0587,1.2583,1.5137,0.04
2004-05-31,1.06,1767700.0,56.0587,1.2583,1.2982,0.04
2004-06-30,1.13,671150.0,56.0587,1.2583,1.3864,0.04
2004-07-31,1.2,1247475.0,56.0587,1.2583,1.4697,0.064
2004-08-31,1.36,1640950.0,56.0587,1.2583,1.6656,0.064
2004-09-30,1.66,2929125.0,56.0587,1.2583,2.033,0.064
2004-10-31,1.64,2189875.0,56.0587,1.2583,2.0085,0.064
2004-11-30,1.97,2511625.0,56.0587,1.2583,2.4102,0.064
2004-12-31,2.6,6940225.0,56.0587,1.2583,3.1892,0.064
2005-01-31,3.02,7110625.0,56.0587,1.2583,3.7035,0.064
2005-02-28,4.36,6658275.0,56.0587,1.2583,5.3398,0.064
2005-03-31,6.6,20229075.0,56.0587,1.2583,8.0856,0.064
2005-04-30,5.48,4956475.0,56.0587,1.2583,6.7163,0.064
2005-05-31,5.2,2997875.0,56.0587,1.2583,6.3685,0.064
2005-06-30,4.86,2169025.0,56.0587,1.2583,5.9521,0.1
2005-07-31,7.15,13569400.0,56.0587,1.2583,8.7616,0.1
2005-08-31,11.36,23458650.0,56.0587,1.2583,13.9152,0.1
2005-09-30,15.06,44879825.0,56.0587,1.2583,18.4442,0.1
2005-10-31,13.57,64806450.0,56.0587,1.2583,16.617,0.1
2005-11-30,15.33,13584700.0,56.0587,1.2583,18.7749,0.1
2005-12-31,17.34,25721950.0,56.0587,1.2583,21.2341,0.1
2006-01-31,16.09,18697100.0,56.0587,1.2583,19.7032,0.1
2006-02-28,16.87,12795700.0,56.0587,1.2583,20.6634,0.1
2006-03-31,19.3,9157500.0,56.0587,12.8149,1.9453,0.1
2006-04-30,25.27,12337850.0,56.0587,16.7789,2.5471,0.1
2006-05-31,28.42,16323725.0,56.0587,18.8718,2.8648,0.1
2006-06-30,21.76,4309125.0,56.0587,14.4497,2.1935,0.1
2006-07-31,28.02,4832825.0,56.0587,18.6036,2.8241,0.1
2006-08-31,29.75,19601100.0,56.0587,19.7536,2.9987,0.1
2006-09-30,31.35,19549425.0,56.0587,20.816,3.1599,0.1
2006-10-31,30.85,7322275.0,23134.5,20.4813,3.1091,0.1
2006-11-30,30.35,9785575.0,22764.0,20.1533,3.0593,0.1
2006-12-31,32.35,5319200.0,24261.0,21.4786,3.2605,0.1
2007-01-31,32.8,5227450.0,24598.5,21.7774,3.3059,0.1
2007-02-28,37.46,26137125.0,28092.0,24.8703,3.7754,0.1
2007-03-31,40.15,11171325.0,30115.5,32.3884,5.1243,0.1
2007-04-30,41.7,5230100.0,31276.5,33.6371,5.3218,0.1
2007-05-31,44.0,3926150.0,33000.0,35.4906,5.6151,0.1
2007-06-30,42.24,18153025.0,31680.0,34.071,5.3905,0.1
2007-07-31,52.43,12372725.0,39319.5,42.2871,6.6904,0.1
2007-08-31,55.21,4321225.0,41404.5,44.5295,7.0452,0.2
2007-09-30,66.38,4291375.0,49788.0,53.5457,8.4717,0.2
2007-10-31,72.84,8336350.0,54628.5,58.7515,9.2953,0.2
2007-11-30,95.53,9692300.0,71647.5,77.055,12.1912,0.2
2007-12-31,115.94,7218300.0,86952.0,93.5146,14.7953,0.2
2008-01-31,121.83,10645500.0,91375.5,98.272,15.548,0.2
2008-02-29,89.38,3749000.0,67036.5,72.096,11.4066,0.2
2008-03-31,52.87,5802575.0,39651.0,75.829,2.2553,0.2
2008-04-30,63.0,7594075.0,47248.4981,90.3586,2.6874,0.2
2008-05-31,65.11,3299150.0,48834.0019,93.3907,2.7776,0.2
2008-06-30,57.85,9144900.0,43387.5,82.9748,2.4678,0.2
2008-07-31,51.71,2700800.0,38779.5,74.1624,2.2057,1.0
2008-08-31,53.69,3619425.0,40270.5,77.0138,2.2905,1.0
2008-09-30,36.45,20611700.0,27329.5711,52.2806,1.5549,1.0
2008-10-31,21.55,5981813.0,16157.8241,30.9094,0.9193,1.0
2008-11-30,21.65,3664515.0,16232.8024,31.0528,0.9236,1.0
2008-12-31,25.1,5540467.0,18819.5538,36.0011,1.0707,1.0
2009-01-31,19.2,6294859.0,14395.834,27.5387,0.819,1.0
2009-02-28,21.5,11164872.0,16120.3349,30.8376,0.9172,1.0
2009-03-31,20.55,4071565.0,15408.0411,28.471,0.8817,1.0
2009-04-30,22.45,2860183.0,16832.6288,28.471,0.9633,1.0
2009-05-31,49.9,20293941.0,37414.1727,28.471,2.1411,1.0
2009-06-30,44.75,8483967.0,33552.7901,28.471,1.9201,1.0
2009-07-31,40.2,3823290.0,30141.2774,28.471,1.7249,1.0
2009-08-31,45.35,21024361.0,34002.66,28.471,1.9458,1.0
2009-09-30,47.15,10903378.0,35352.2694,28.471,2.0231,0.2
2009-10-31,42.05,10591642.0,31528.376,28.471,1.8042,0.2
2009-11-30,39.95,3971728.0,29953.8316,28.471,1.7141,0.2
2009-12-31,47.0,6144109.0,35239.8019,28.471,2.0166,0.2
2010-01-31,40.4,12765404.0,30291.234,28.471,1.7335,0.2
2010-02-28,37.45,8487849.0,28079.3741,28.471,1.6069,0.2
2010-03-31,37.75,8447441.0,28304.309,18.6881,1.5243,0.2
2010-04-30,36.85,9117410.0,27629.5043,18.2426,1.488,0.2
2010-05-31,38.1,29709556.0,28566.7331,18.8614,1.5384,0.2
2010-06-30,36.6,67214654.0,27442.0585,18.1188,1.4779,0.2
2010-07-31,33.05,17157234.0,24780.3288,16.3614,1.3345,0.5
2010-08-31,31.9,11589409.0,23918.0783,15.7921,1.2881,0.5
2010-09-30,37.2,61681847.0,27891.9283,18.4158,1.5021,0.5
2010-10-31,38.8,270994160.0,29091.5812,19.2079,1.5667,0.5
2010-11-30,33.55,78826925.0,25155.2203,16.6089,1.3547,0.5
2010-12-31,33.3,43919464.0,24967.7746,16.4851,1.3446,0.5
2011-01-31,25.85,21807151.0,19381.8911,12.797,1.0438,0.5
2011-02-28,22.4,18472483.0,16795.1396,11.0891,0.9045,0.5
2011-03-31,24.05,32371313.0,18032.2816,10.3219,0.9113,0.5
2011-04-30,28.6,70588678.0,21443.7944,12.2747,1.0837,0.5
2011-05-31,25.15,22858786.0,18857.043,10.794,0.953,0.5
2011-06-30,22.9,17159361.0,17170.0312,9.8283,0.8677,0.5
2011-07-31,21.8,16903900.0,16345.2698,9.3562,0.826,0.6
2011-08-31,18.0,16990453.0,13496.0944,7.7253,0.6821,0.6
2011-09-30,16.6,6945051.0,12446.3981,7.1245,0.629,0.6
2011-10-31,18.95,7664981.0,14208.3882,8.133,0.7181,0.6
2011-11-30,15.25,7925879.0,11434.1911,6.5451,0.5779,0.6
2011-12-31,11.9,13700809.0,8923.4471,5.1073,0.4509,0.6
2012-01-31,14.85,35942783.0,11135.5622,6.3734,0.5627,0.6
2012-02-29,18.3,35155860.0,13722.612,7.8541,0.6934,0.6
2012-03-31,15.6,18525432.0,11697.9643,9.6296,0.6032,0.6
2012-04-30,13.9,7308152.0,10423.1861,8.5802,0.5375,0.6
2012-05-31,11.95,44086867.0,8960.9406,7.3765,0.4621,0.6
2012-06-30,12.6,77219455.0,9458.9132,7.7778,0.4872,0.6
2012-07-31,13.05,155922327.0,9799.869,8.0556,0.5046,0.6
2012-08-31,13.85,108921538.0,10403.3095,8.5494,0.5355,0.6
2012-09-30,15.6,52621418.0,11717.8071,9.6296,0.6032,0.6
2012-10-31,16.3,100149652.0,12247.311,10.0617,0.6303,0.6
2012-11-30,17.45,46572383.0,13111.6109,10.7716,0.6748,0.6
2012-12-31,22.25,97472628.0,16718.5215,13.7346,0.8604,0.6
2013-01-31,20.45,67547356.0,15366.0119,12.6235,0.7908,0.6
2013-02-28,16.35,27967976.0,12288.0239,10.0926,0.6322,1.0
2013-03-31,16.15,20487513.0,12137.7117,6.6189,0.5949,1.0
2013-04-30,17.6,14357019.0,13228.4174,7.2131,0.6483,1.0
2013-05-31,25.2,152634541.0,18979.8513,10.3279,0.9283,1.0
2013-06-30,27.3,88383249.0,20588.329,11.1885,1.0056,1.0
2013-07-31,19.55,33724455.0,14748.1625,8.0123,0.7201,1.0
2013-08-31,19.1,20377565.0,14413.8108,7.8279,0.7036,1.0
2013-09-30,20.95,27405629.0,15809.9129,8.5861,0.7717,1.0
2013-10-31,27.85,50596995.0,21030.097,11.4139,1.0259,1.0
2013-11-30,28.8,28703719.0,21747.4611,11.8033,1.0609,1.0
2013-12-31,29.1,45578993.0,21975.942,11.9262,1.0719,1.0
2014-01-31,25.0,35488802.0,18879.6753,10.2459,0.9209,1.0
2014-02-28,25.35,31919344.0,19147.9579,10.3893,0.9338,0.95
2014-03-31,25.0,36709353.0,18883.5876,8.9928,0.8552,0.95
2014-04-30,27.85,80201506.0,21036.3166,10.018,0.9527,0.95
2014-05-31,33.1,61967354.0,25092.3273,11.9065,1.1323,0.95
2014-06-30,41.15,68911386.0,31207.1262,14.8022,1.4077,1.0
2014-07-31,40.7,39526783.0,30865.8575,14.6403,1.3923,1.0
2014-08-31,43.85,27052167.0,33286.1325,15.7734,1.5001,1.0
2014-09-30,39.1,13786718.0,29690.5459,14.0647,1.3376,1.0
2014-10-31,47.4,16985409.0,35993.1426,17.0504,1.6215,1.0
2014-11-30,50.4,34814021.0,38305.5196,18.1295,1.7241,1.0
2014-12-31,47.25,23212450.0,35911.4247,16.9964,1.6164,1.0
2015-01-31,52.45,34170005.0,41085.3425,18.8669,1.7943,1.0
2015-02-28,52.5,18349583.0,41127.5015,18.8849,1.796,1.1
2015-03-31,47.7,11699623.0,37367.2961,11.0417,1.4701,1.1
2015-04-30,46.9,11299353.0,36756.6412,10.8565,1.4454,1.1
2015-05-31,49.45,12405043.0,38941.7331,11.4468,1.524,1.1
2015-06-30,43.7,10044591.0,34447.1518,10.1157,1.3468,1.35
2015-07-31,51.75,18625862.0,40792.6798,11.9792,1.5949,1.35
2015-08-31,45.95,14927327.0,36236.2783,10.6366,1.4161,1.35
2015-09-30,43.5,9037552.0,34304.2025,10.0694,1.3406,1.35
2015-10-31,40.9,11763816.0,32258.2324,9.4676,1.2605,1.35
2015-11-30,39.8,9684949.0,31390.6516,9.213,1.2266,1.35
2015-12-31,47.25,34924894.0,37267.6271,10.9375,1.4562,1.35
2016-01-31,39.5,8869960.0,31154.9475,9.1435,1.2174,1.35
2016-02-29,36.0,6545778.0,28397.5181,8.3333,1.1095,1.4
2016-03-31,38.05,7445935.0,30014.599,7.4902,1.0318,1.4
2016-04-30,41.15,11349327.0,32466.7598,8.1004,1.1159,1.4
2016-05-31,45.15,20909335.0,35622.7024,8.8878,1.2244,1.45
2016-06-30,51.35,24262087.0,40545.3946,10.1083,1.3925,1.45
2016-07-31,71.55,63528957.0,56495.0922,14.0846,1.9403,1.45
2016-08-31,66.4,40694947.0,52428.7089,13.0709,1.8006,1.45
2016-09-30,64.65,22507850.0,51046.9282,12.7264,1.7532,1.45
2016-10-31,87.7,42076543.0,69246.9544,17.2638,2.3782,1.45
2016-11-30,70.0,48553324.0,55271.2292,13.7795,1.8982,1.45
2016-12-31,66.25,15294486.0,52458.3666,13.0413,1.7966,1.45
2017-01-31,68.6,16413778.0,54319.154,13.5039,1.8603,1.45
2017-02-28,84.85,30708187.0,67349.672,16.7028,2.3009,1.5
2017-03-31,88.6,36477350.0,70326.2338,14.941,2.1208,1.5
2017-04-30,115.55,68395039.0,91807.3736,19.4857,2.7659,1.5
2017-05-31,122.9,28679947.0,97647.133,20.7251,2.9418,1.5
2017-06-30,117.5,23084838.0,93356.6975,19.8145,2.8125,1.5
2017-07-31,120.15,17350694.0,95734.2205,20.2614,2.876,1.5
2017-08-31,134.2,29798926.0,106966.451,22.6307,3.2123,1.5
2017-09-30,138.15,52646544.0,110114.8674,23.2968,3.3068,1.5
2017-10-31,164.55,52865311.0,131157.4479,27.7487,3.9387,1.5
2017-11-30,150.8,35661658.0,120243.5462,25.43,3.6096,1.5
2017-12-31,157.2,25048883.0,125380.7934,26.5093,3.7628,1.5
2018-01-31,163.15,32962501.0,130140.5886,27.5126,3.9052,1.55
2018-02-28,147.55,27399085.0,123616.9729,24.882,3.5318,1.55
2018-03-31,128.8,24433268.0,107918.9772,17.2193,2.3694,1.55
2018-04-30,142.5,23823763.0,119397.9368,19.0508,2.6215,1.55
2018-05-31,137.05,19187957.0,114944.5237,18.3222,2.5212,1.8
2018-06-30,115.75,18463248.0,97165.6664,15.4746,2.1294,1.8
2018-07-31,118.1,20470627.0,99158.5896,15.7888,2.1726,1.8
2018-08-31,120.4,11220884.0,101095.8254,16.0963,2.2149,1.8
2018-09-30,86.5,37719266.0,72631.137,11.5642,1.5913,1.8
2018-10-31,75.8,51162805.0,63646.7074,10.1337,1.3944,1.8
2018-11-30,88.05,26114518.0,73946.5798,11.7714,1.6198,1.8
2018-12-31,93.85,17789569.0,78817.564,12.5468,1.7265,1.8
2019-01-31,77.35,9884290.0,64968.6987,10.3409,1.4229,1.6
2019-02-28,77.6,7155930.0,65178.6815,10.3743,1.4275,1.6
2019-03-31,94.1,30356503.0,79037.5507,13.7977,1.5402,1.6
2019-04-30,88.5,12599190.0,74333.9345,12.9765,1.4485,1.6
2019-05-31,95.5,34841471.0,80213.4547,14.0029,1.5631,1.0
2019-06-30,76.8,8528054.0,64578.7226,11.261,1.257,1.0
2019-07-31,66.95,9411830.0,56300.1672,9.8167,1.0958,1.0
2019-08-31,73.3,9191490.0,61640.0636,10.7478,1.1997,1.0
2019-09-30,79.25,6690250.0,66643.5885,11.6202,1.2971,1.0
2019-10-31,78.0,5695421.0,65603.292,11.437,1.2767,1.0
2019-11-30,90.85,14809216.0,76411.0138,13.3211,1.487,1.0
2019-12-31,94.2,16237445.0,79238.1106,13.8123,1.5418,1.0
2020-01-31,105.5,27898392.0,88743.3192,15.4692,1.7268,0.5
2020-02-29,105.7,20289084.0,88911.5529,15.4985,1.73,0.5
2020-03-31,64.75,17980732.0,54469.2959,9.9923,0.966,0.5
2020-04-30,65.8,15050338.0,55352.5818,10.1543,0.9816,0.5
2020-05-31,63.9,35573474.0,53754.2549,9.8611,0.9533,0.2
2020-06-30,70.0,46681201.0,66632.8991,10.8025,1.0443,0.2
2020-07-31,74.7,46587412.0,71106.8223,11.5278,1.1144,0.2
2020-08-31,81.65,33512505.0,77722.5173,12.6003,1.2181,0.2
2020-09-30,77.25,30432039.0,73534.1636,11.9213,1.1525,0.2
2020-10-31,79.4,23944257.0,75606.5254,12.2531,1.1845,0.2
2020-11-30,82.4,39669674.0,78463.1951,12.716,1.2293,0.2
2020-12-31,84.45,96164128.0,80429.4295,13.0324,1.2599,0.2
2021-01-31,80.0,47499857.0,76191.289,12.3457,1.1935,0.2
2021-02-28,90.9,26076340.0,86572.3522,14.0278,1.3561,0.2
2021-03-31,84.55,45589443.0,80552.7089,13.336,1.1524,0.2
2021-04-30,80.35,31391217.0,76551.2733,12.6735,1.0951,0.2
2021-05-31,88.05,39094779.0,83887.2385,13.888,1.2001,0.7
2021-06-30,88.5,51587764.0,84382.2263,13.959,1.2062,0.7
2021-07-31,105.9,189549885.0,100972.6331,16.7035,1.4434,0.5
2021-08-31,92.45,77249340.0,88157.4308,14.582,1.2601,0.5
2021-09-30,92.55,39327607.0,88252.7877,14.5978,1.2614,0.5
2021-10-31,87.9,31212303.0,83818.693,13.8644,1.198,0.5
2021-11-30,71.15,27740745.0,67855.8905,11.2224,0.9697,0.5
2021-12-31,74.4,51176911.0,70980.9303,11.735,1.014,0.5
2022-01-31,73.35,23097972.0,69979.1833,11.5694,0.9997,0.5
2022-02-28,68.1,19633078.0,64970.4483,10.7413,0.9282,1.0
2022-03-31,67.6,30152686.0,64494.154,8.3354,0.8391,1.0
2022-04-30,76.85,57278295.0,73319.1677,9.476,0.9539,1.0
2022-05-31,65.55,26531811.0,62559.5752,8.0826,0.8136,1.0
2022-06-30,60.95,7143682.0,58169.4296,7.5154,0.7565,1.0
2022-07-31,63.6,8484748.0,60698.5352,7.8422,0.7894,1.65
2022-08-31,64.0,16379455.0,61104.7864,7.8915,0.7944,1.65
2022-09-30,75.25,62430334.0,71845.8622,9.2787,0.934,1.65
2022-10-31,68.45,19788351.0,65354.5553,8.4402,0.8496,1.65
2022-11-30,74.35,44178801.0,70987.7456,9.1677,0.9229,2.55
2022-12-31,71.5,70060641.0,68267.2761,8.8163,0.8875,2.55
2023-01-31,65.3,20135985.0,62347.5962,8.0518,0.8105,2.55
2023-02-28,65.3,19251026.0,62347.5962,8.0518,0.8105,2.05
2023-03-31,59.6,16157549.0,56906.3067,9.5208,0.6994,2.05
2023-04-30,60.65,17597745.0,57908.8507,9.6885,0.7117,2.05
2023-05-31,70.2,101189023.0,67027.227,11.2141,0.8238,2.95
2023-06-30,73.45,47629224.0,70147.057,11.7332,0.8619,2.95
2023-07-31,77.85,46626723.0,74349.1952,12.4361,0.9136,1.8
2023-08-31,78.2,165528912.0,74689.1345,12.492,0.9177,1.8
2023-09-30,86.35,167751283.0,82473.2323,13.7939,1.0133,1.8
2023-10-31,81.75,102596172.0,78083.6211,13.0591,0.9594,1.8
2023-11-30,83.95,90653966.0,80184.954,13.4105,0.9852,0.9
2023-12-31,98.3,228081223.0,93928.496,15.7029,1.1536,0.9
2024-01-31,112.0,229165732.0,107019.2426,17.8914,1.3143,0.9
2024-02-29,96.3,92001248.0,92021.6741,15.3834,1.1301,0.9
2024-03-31,74.7,245062870.0,71382.7785,17.4126,0.8407,0.9
2024-04-30,88.9,113507134.0,84952.1956,20.7226,1.0006,0.9
2024-05-31,78.6,82040503.0,75109.5902,18.3217,0.8846,0.9
2024-06-30,87.56,116501254.0,83671.7013,20.4103,0.9855,2.0
2024-07-31,104.77,118636356.0,100132.8004,24.4219,1.1792,2.0
2024-08-31,106.59,202206719.0,101873.7908,24.8462,1.1997,2.0
2024-09-30,150.63,727188457.0,143965.1854,35.1119,1.6953,2.0
2024-10-31,140.29,546542810.0,134082.6918,32.7016,1.5789,2.0
2024-11-30,136.49,150852491.0,130452.4762,31.8159,1.5362,2.0
2024-12-31,130.0,112781406.0,124249.5561,30.303,1.4631,2.0
2025-01-31,110.07,86466207.0,105201.1434,25.6573,1.2388,2.0
2025-02-28,92.29,86644153.0,88207.6272,21.5128,1.0387,2.0
2025-03-31,96.09,105708348.0,91846.9644,11.1863,0.9442,2.0
2025-04-30,101.54,55495844.0,97056.3094,11.8207,0.9977,2.0
2025-05-31,127.74,110264643.0,122108.6547,14.8708,1.2552,2.0
2025-06-30,159.34,243668825.0,152315.5866,18.5495,1.5657,2.7
2025-07-31,157.83,165048713.0,150911.1021,18.3737,1.5508,2.7
2025-08-31,177.48,281355105.0,169699.6921,20.6612,1.7439,2.7
2025-09-30,159.7,119959388.0,152699.1257,18.5914,1.5692,2.7
2025-10-31,164.02,70496198.0,156838.5631,19.0943,1.6116,2.7
2025-11-30,145.35,96560023.0,138986.0087,16.9208,1.4282,4.2
2025-12-31,150.1,142667643.0,143546.0145,17.4738,1.4749,4.2
2026-01-31,128.95,48162417.0,123319.5108,15.0116,1.267,4.2
2026-02-28,127.74,87139813.0,122165.9467,14.8708,1.2552,4.2
2026-03-31,125.25,10046647.0,119784.6001,14.5809,1.2307,4.2
