JM IN Equity,price,volume,mc,pe,bm,div
1996-05-31,0.6,1432500.0,151.125,1.9868,0.524,0.1
1996-06-30,0.54,427500.0,136.0125,1.7881,0.4716,0.1
1996-07-31,0.54,435000.0,136.0125,1.7881,0.4716,0.048
1996-08-31,0.48,377500.0,120.9,1.5894,0.4192,0.048
1996-09-30,0.38,207500.0,95.7125,1.2583,0.3318,0.048
1996-10-31,0.33,2635000.0,83.6225,1.0993,0.2899,0.048
1996-11-30,0.34,2130000.0,84.63,1.1126,0.2934,0.048
1996-12-31,0.35,210000.0,88.1562,1.1589,0.3056,0.048
1997-01-31,0.36,225000.0,90.675,1.1921,0.3144,0.048
1997-02-28,0.34,390000.0,85.6375,1.1258,0.2969,0.048
1997-03-31,0.38,182500.0,95.7125,1.2583,0.3318,0.048
1997-04-30,0.4,351250.0,100.75,1.2583,0.3625,0.048
1997-05-31,0.28,692500.0,70.525,1.2583,0.2538,0.048
1997-06-30,0.21,97500.0,52.39,1.2583,0.1885,0.048
1997-07-31,0.26,17500.0,65.4875,1.2583,0.2356,0.048
1997-08-31,0.22,80000.0,55.4125,1.2583,0.1994,0.048
1997-09-30,0.19,67500.0,48.36,1.2583,0.174,0.0
1997-10-31,0.16,185000.0,40.3,1.2583,0.145,0.0
1997-11-30,0.17,195000.0,42.315,1.2583,0.1523,0.0
1997-12-31,0.27,563750.0,68.51,1.2583,0.2465,0.0
1998-01-31,0.16,22500.0,40.3,1.2583,0.145,0.0
1998-02-28,0.18,50000.0,45.3375,1.2583,0.1631,0.0
1998-03-31,0.26,2670000.0,73.6125,1.2583,0.2356,0.0
1998-04-30,0.26,340000.0,73.6125,1.2583,0.2356,0.0
1998-05-31,0.28,190000.0,79.275,1.2583,0.2538,0.0
1998-06-30,0.2,157500.0,56.0587,1.2583,0.1795,0.0
1998-07-31,0.2,40000.0,57.7575,1.2583,0.1849,0.0
1998-08-31,0.16,57500.0,45.3,1.2583,0.145,0.0
1998-09-30,0.06,5000.0,17.5537,1.2583,0.0562,0.0
1998-10-31,0.08,15000.0,22.65,1.2583,0.0725,0.0
1998-11-30,0.12,30000.0,33.975,1.2583,0.1088,0.0
1998-12-31,0.12,67500.0,33.975,1.2583,0.1088,0.0
1999-01-31,0.08,97500.0,23.7825,1.2583,0.0761,0.0
1999-02-28,0.12,82500.0,33.975,1.2583,0.1088,0.0
1999-03-31,0.15,510000.0,43.035,1.2583,0.1378,0.0
1999-04-30,0.12,102500.0,33.975,1.2583,0.147,0.0
1999-05-31,0.12,202500.0,33.975,1.2583,0.147,0.0
1999-06-30,0.22,432500.0,62.8537,1.2583,0.2719,0.0
1999-07-31,0.2,850000.0,56.625,1.2583,0.2449,0.0
1999-08-31,0.33,1110000.0,93.4312,1.2583,0.4042,0.0
1999-09-30,0.44,2187500.0,124.0087,1.2583,0.5364,0.0
1999-10-31,0.28,635000.0,79.275,1.2583,0.3429,0.0
1999-11-30,0.32,135000.0,90.0337,1.2583,0.3895,0.0
1999-12-31,0.82,4080000.0,232.1625,1.2583,1.0043,0.0
2000-01-31,0.5,1637500.0,141.5625,1.2583,0.6124,0.0
2000-02-29,0.63,1305000.0,177.2362,1.2583,0.7667,0.0
2000-03-31,0.32,1082500.0,91.1662,1.2583,0.3944,0.0
2000-04-30,0.28,27500.0,79.275,1.2583,0.3429,0.0
2000-05-31,0.24,415000.0,56.0587,1.2583,0.2939,0.0
2000-06-30,0.25,285000.0,56.0587,1.2583,0.3062,0.0
2000-07-31,0.29,200000.0,56.0587,1.2583,0.3601,0.0
2000-08-31,0.44,1717500.0,56.0587,1.2583,0.5389,0.0
2000-09-30,0.61,5210000.0,56.0587,1.2583,0.752,0.0
2000-10-31,0.42,572500.0,56.0587,1.2583,0.5168,0.0
2000-11-30,0.49,102500.0,56.0587,1.2583,0.605,0.0
2000-12-31,0.42,165000.0,56.0587,1.2583,0.5144,0.0
2001-01-31,0.28,167500.0,56.0587,1.2583,0.3429,0.0
2001-02-28,0.32,417500.0,56.0587,1.2583,0.3919,0.0
2001-03-31,0.29,5000.0,56.0587,1.2583,0.3527,0.0
2001-04-30,0.24,227500.0,56.0587,1.2583,0.2964,0.0
2001-05-31,0.4,150000.0,56.0587,1.2583,0.4874,0.0
2001-06-30,0.4,275000.0,56.0587,1.2583,0.4874,0.0
2001-07-31,0.29,102500.0,56.0587,1.2583,0.3552,0.0
2001-08-31,0.18,2276250.0,56.0587,1.2583,0.2204,0.0
2001-09-30,0.16,45000.0,56.0587,1.2583,0.196,0.0
2001-10-31,0.13,145000.0,56.0587,1.2583,0.1568,0.0
2001-11-30,0.14,27500.0,56.0587,1.2583,0.1715,0.0
2001-12-31,0.34,172500.0,56.0587,1.2583,0.4164,0.0
2002-01-31,0.3,250000.0,56.0587,1.2583,0.3625,0.0
2002-02-28,0.28,1031300.0,56.0587,1.2583,0.3405,0.0
