UPLL IN Equity,price,volume,mc,pe,bm,div
2002-04-30,0.26,1078246.0,172.5724,0.7999,0.0256,0.0
2002-05-31,0.54,3770433.0,352.648,1.6346,0.0523,0.0
2002-06-30,1.11,11330727.0,725.3045,3.362,0.1075,0.0
2002-07-31,0.86,7964585.0,557.7341,2.5852,0.0827,0.0
2002-08-31,1.01,1177126.0,657.7761,3.049,0.0975,0.0
2002-09-30,1.07,1720940.0,700.294,3.246,0.1038,0.0
2002-10-31,0.96,917768.0,627.7635,2.9098,0.0931,0.0
2002-11-30,0.94,752416.0,610.2562,2.8287,0.0905,0.0
2002-12-31,0.92,911865.0,600.252,2.7823,0.089,0.0
2003-01-31,0.91,1593730.0,592.7488,2.7475,0.0879,0.0
2003-02-28,0.81,851609.0,525.2205,2.4345,0.0779,0.0
2003-03-31,0.69,1862210.0,450.189,1.1049,0.0624,0.0
2003-04-30,0.72,661276.0,467.6963,1.1479,0.0648,0.0
2003-05-31,0.82,1852397.0,535.2247,1.3136,0.0742,0.0
2003-06-30,1.5,12179625.0,976.9101,2.3976,0.1354,0.0
2003-07-31,1.7,12812455.0,1105.4641,2.7131,0.1532,0.0
2003-08-31,1.82,6720570.0,1083.665,2.9157,0.1647,0.0
2003-09-30,2.26,12205805.0,1341.4632,3.6093,0.2039,0.0
2003-10-31,2.22,5156082.0,1320.9306,3.5541,0.2007,0.0
2003-11-30,2.91,8664876.0,1729.3011,4.6528,0.2628,0.0
2003-12-31,2.27,1107162.0,1617.5125,3.6267,0.2048,0.0
2004-01-31,30.92,2744711.0,1617.5125,49.4593,2.7935,0.0
2004-02-29,30.71,5035862.0,1617.5125,49.1217,2.7744,0.0
2004-03-31,29.35,10319606.0,1617.5125,12.9341,2.8933,0.0
2004-04-30,32.19,3786142.0,1617.5125,14.184,3.1729,0.0
2004-05-31,27.58,10475010.0,12620.7924,12.1521,2.7183,0.0
2004-06-30,33.6,3732944.0,15376.4687,14.8054,3.3119,0.0
2004-07-31,40.37,4702646.0,18477.5191,17.7913,3.9798,0.0
2004-08-31,40.56,4509134.0,18562.3992,17.873,3.9981,0.1918
2004-09-30,40.94,5066886.0,18736.5498,18.0407,4.0356,0.1918
2004-10-31,41.68,6907228.0,19074.6067,18.3662,4.1084,0.1918
2004-11-30,46.33,8115399.0,21203.9264,20.4164,4.567,0.1918
2004-12-31,49.69,6944413.0,22743.4758,21.8988,4.8986,0.1918
2005-01-31,46.26,8415230.0,22936.9104,20.3882,4.5607,0.1918
2005-02-28,43.16,12054740.0,21834.097,19.0186,4.2543,0.1918
2005-03-31,46.8,19155746.0,24133.3767,16.5772,3.0966,0.1918
2005-04-30,46.22,9218550.0,23938.1363,16.3688,3.0577,0.1918
2005-05-31,50.64,15715408.0,26305.6495,17.9373,3.3507,0.1918
2005-06-30,51.93,14659935.0,27081.3799,18.3926,3.4358,0.1918
2005-07-31,57.76,21503409.0,30279.1474,20.4571,3.8214,0.1918
2005-08-31,60.63,22342290.0,31782.7123,21.4729,4.0112,0.2558
2005-09-30,67.0,18725203.0,35261.7116,23.7311,4.433,0.2558
2005-10-31,65.39,19989675.0,34606.4513,23.1592,4.3262,0.2558
2005-11-30,70.15,18288975.0,37581.048,24.8465,4.6414,0.2558
2005-12-31,76.69,32457009.0,41083.9305,27.1625,5.074,0.2558
2006-01-31,86.97,19891169.0,46796.7043,30.8034,5.7541,0.2558
2006-02-28,86.64,19683331.0,46616.0553,30.6845,5.7319,0.2558
2006-03-31,83.89,20601367.0,47914.3188,22.4423,3.8435,0.2558
2006-04-30,88.91,16268897.0,49771.4335,23.7853,4.0735,0.2558
2006-05-31,80.66,25573075.0,47039.5058,21.5783,3.6956,0.2558
2006-06-30,75.72,21474387.0,44173.31,20.2567,3.4692,0.2558
2006-07-31,71.24,20013134.0,41561.7122,19.0591,3.2641,0.2558
2006-08-31,75.04,18770329.0,43781.5703,20.077,3.4384,0.2558
2006-09-30,78.1,28470825.0,45563.053,20.894,3.5783,0.3197
2006-10-31,94.36,22001731.0,55048.749,25.2438,4.3233,0.3197
2006-11-30,106.8,57644358.0,62305.2598,28.5715,4.8932,0.3197
2006-12-31,95.99,18715749.0,56081.2316,25.6801,4.398,0.3197
2007-01-31,104.78,18993096.0,61236.2823,28.0326,4.8009,0.3197
