KKC IN Equity,price,volume,mc,pe,bm,div
2002-03-31,37.71,3359233.0,10454.4,10.1042,1.5012,0.9286
2002-04-30,37.0,2482672.0,10256.4,9.9128,1.4728,0.9286
2002-05-31,34.96,2027439.0,9692.1,9.3674,1.3918,0.9286
2002-06-30,41.29,5203688.0,11444.4,11.061,1.6434,0.9286
2002-07-31,37.43,3043421.0,10375.2,10.0277,1.4899,0.9286
2002-08-31,38.82,971837.0,10761.3,10.4008,1.5453,0.9286
2002-09-30,34.25,293588.0,9494.1,9.1761,1.3633,1.0714
2002-10-31,35.11,658717.0,9731.7,9.4057,1.3974,1.0714
2002-11-30,36.07,452333.0,9999.0,9.6641,1.4358,1.0714
2002-12-31,34.68,436972.0,9612.9,9.2909,1.3804,1.0714
2003-01-31,37.14,1223695.0,10296.0,9.9511,1.4785,1.0714
2003-02-28,41.68,1815415.0,11553.3,11.1663,1.659,1.0714
2003-03-31,36.96,656881.0,10246.5,11.523,1.4222,1.0714
2003-04-30,41.43,659348.0,11484.0,12.9147,1.5939,1.0714
2003-05-31,51.54,1888477.0,14285.7,16.0655,1.9828,2.8571
2003-06-30,48.71,1701679.0,13503.6,15.1859,1.8742,2.8571
2003-07-31,54.32,2803657.0,15057.9,16.9339,2.09,2.8571
2003-08-31,56.04,2697334.0,15533.1,17.4683,2.1559,2.8571
2003-09-30,62.25,4342454.0,17255.7,19.4055,2.395,2.8571
2003-10-31,76.61,2811824.0,21235.5,23.8811,2.9474,2.8571
2003-11-30,73.61,1462560.0,20403.9,22.9459,2.832,2.8571
2003-12-31,91.43,2459758.0,25344.0,28.5014,3.5176,1.4286
2004-01-31,76.82,2252309.0,21294.9,23.9479,2.9556,1.4286
2004-02-29,70.46,2983303.0,19532.7,21.9662,2.7111,1.4286
2004-03-31,70.25,2031894.0,19473.3,20.1411,2.6901,1.4286
2004-04-30,80.39,1702051.0,22284.9,23.0492,3.0785,1.4286
2004-05-31,76.32,13573885.0,21156.3,21.8819,2.9226,1.4286
2004-06-30,70.29,2778230.0,19483.2,20.1514,2.6915,1.4286
2004-07-31,69.32,1278698.0,19215.9,19.8749,2.6546,2.8571
2004-08-31,74.89,3648361.0,20760.3,21.4723,2.8679,2.8571
2004-09-30,89.36,2651298.0,24769.8,25.6193,3.4218,2.8571
2004-10-31,87.43,2683586.0,24235.2,25.0664,3.348,2.8571
2004-11-30,89.36,1234799.0,24769.8,25.6193,3.4218,2.8571
2004-12-31,87.43,1203334.0,24235.2,25.0664,3.348,2.8571
2005-01-31,90.93,20560476.0,25205.4,26.0698,3.482,2.8571
2005-02-28,88.39,12563338.0,24502.5,25.3428,3.3849,2.8571
2005-03-31,79.86,6281061.0,22136.4,16.5908,2.8986,2.8571
2005-04-30,81.0,14183518.0,22453.2,16.8282,2.9401,2.8571
2005-05-31,87.11,16466631.0,24146.1,18.097,3.1618,2.8571
2005-06-30,93.68,27257874.0,25967.7,19.4623,3.4003,2.8571
2005-07-31,98.36,18687347.0,27264.6,20.4343,3.5701,2.8571
2005-08-31,106.79,24435911.0,29601.0,22.1854,3.876,2.8571
2005-09-30,106.61,24508267.0,29551.5,22.1483,3.8696,2.8571
2005-10-31,101.5,13790021.0,28135.8,21.0872,3.6842,2.8571
2005-11-30,118.0,14425348.0,32709.6,24.5152,4.2831,2.8571
2005-12-31,113.14,14888005.0,31363.2,23.5061,4.1068,2.8571
2006-01-31,126.79,12480812.0,35145.0,26.3405,4.602,2.8571
2006-02-28,161.18,99047411.0,44678.7,33.4858,5.8504,2.8571
2006-03-31,170.04,62771411.0,47133.9,25.6664,5.5281,2.8571
2006-04-30,164.68,31796787.0,44748.0,24.8577,5.3539,2.8571
2006-05-31,133.04,27064017.0,36877.5,20.0813,4.3252,2.8571
2006-06-30,136.11,23449401.0,37728.9,20.5449,4.425,2.8571
2006-07-31,139.21,19018350.0,38590.2,21.014,4.5261,2.8571
2006-08-31,150.5,25648132.0,41718.6,22.7175,4.893,2.8571
2006-09-30,163.86,17681747.0,45421.2,24.7337,5.3272,2.8571
2006-10-31,191.43,23821843.0,53064.0,28.8955,6.2236,2.8571
2006-11-30,195.39,30687497.0,54162.9,29.4939,6.3525,2.8571
2006-12-31,197.54,17145659.0,54756.9,29.8174,6.4222,2.8571
2007-01-31,194.79,12912602.0,53994.6,29.4023,6.3328,2.8571
2007-02-28,178.86,29724549.0,49579.2,26.9979,5.8149,2.8571
2007-03-31,189.14,7730615.0,52430.4,19.566,5.1369,2.8571
2007-04-30,216.82,9018544.0,60102.9,22.4292,5.8886,2.8571
2007-05-31,218.0,12775223.0,60429.6,22.5511,5.9206,2.8571
2007-06-30,242.82,16562802.0,67310.1,25.1188,6.5947,2.8571
2007-07-31,281.39,12812219.0,78002.1,29.1088,7.6422,2.8571
2007-08-31,267.0,12051605.0,74012.4,27.6199,7.2513,2.8571
2007-09-30,310.54,10643930.0,86080.5,32.1235,8.4337,2.8571
2007-10-31,284.96,16917436.0,78992.1,29.4783,7.7392,2.8571
2007-11-30,302.71,7627983.0,83912.4,31.3144,8.2213,2.8571
2007-12-31,297.36,10036782.0,82427.4,30.7602,8.0758,2.8571
2008-01-31,238.54,11573150.0,66122.1,24.6754,6.4783,2.8571
2008-02-29,242.93,5186182.0,67339.8,25.1298,6.5976,2.8571
2008-03-31,230.32,5245850.0,63845.1,19.6499,5.1736,2.8571
2008-04-30,227.11,2371355.0,62954.1,19.3757,5.1014,2.8571
2008-05-31,211.68,4256255.0,58677.3,18.0594,4.7548,2.8571
2008-06-30,167.39,5459672.0,46401.3,14.2811,3.7601,2.8571
2008-07-31,200.79,8919935.0,55657.8,17.1301,4.5102,3.2857
