IH IN Equity,price,volume,mc,pe,bm,div
2002-03-31,14.64,9130534.0,7899.584,36.2366,0.7698,0.8359
2002-04-30,15.3,2118806.0,8258.2459,37.8819,0.8047,0.0
2002-05-31,14.69,1994397.0,7928.9086,36.3711,0.7726,0.0
2002-06-30,13.73,3302174.0,7410.0895,33.9912,0.7221,0.6687
2002-07-31,13.12,4509051.0,7083.0079,32.4909,0.6902,0.6687
2002-08-31,12.66,888421.0,6830.3656,31.332,0.6656,0.6687
2002-09-30,12.36,561458.0,6672.4642,30.6076,0.6502,0.6687
2002-10-31,12.22,1001404.0,6598.0249,30.2662,0.643,0.6687
2002-11-30,13.68,1727982.0,7385.2764,33.8774,0.7197,0.6687
2002-12-31,15.85,3313144.0,8556.0029,39.2477,0.8337,0.6687
2003-01-31,14.88,2327485.0,8032.6724,36.8471,0.7828,0.6687
2003-02-28,17.31,3277780.0,9343.2544,42.859,0.9105,0.6687
2003-03-31,15.22,4796665.0,8213.1312,29.2595,0.7689,0.6687
2003-04-30,14.38,1102232.0,7759.7285,27.6442,0.7264,0.6687
2003-05-31,15.93,3498088.0,8596.6061,30.6256,0.8048,0.6687
2003-06-30,20.91,12981904.0,11287.698,40.2127,1.0567,0.6687
2003-07-31,21.74,5685660.0,11732.0778,41.7958,1.0983,0.6687
2003-08-31,21.72,9182587.0,11725.3106,41.7717,1.0977,0.5851
2003-09-30,22.05,3788250.0,11899.0022,42.3905,1.1139,0.5851
2003-10-31,29.44,10735735.0,15891.6532,56.6144,1.4877,0.5851
2003-11-30,31.68,6392821.0,17098.4714,60.9137,1.6007,0.5851
2003-12-31,37.47,5715042.0,20222.6644,72.0437,1.8932,0.5851
2004-01-31,36.8,4286901.0,19859.4911,70.7499,1.8592,0.5851
2004-02-29,35.4,6705391.0,19103.8198,68.0578,1.7884,0.5851
2004-03-31,35.02,1815543.0,18900.8037,26.2578,1.738,0.5851
2004-04-30,32.94,1124305.0,17777.4477,24.6972,1.6347,0.5851
2004-05-31,29.54,5853531.0,15943.5351,22.1495,1.4661,0.5851
2004-06-30,29.31,3339739.0,15819.4697,21.9771,1.4547,0.5851
2004-07-31,29.89,2686066.0,16133.0168,22.4127,1.4835,0.6687
2004-08-31,31.29,2591172.0,16886.4323,23.4594,1.5528,0.6687
2004-09-30,36.98,4846002.0,19956.4877,27.7245,1.8351,0.6687
2004-10-31,39.35,2964385.0,21237.7452,29.5044,1.9529,0.6687
2004-11-30,41.41,3628095.0,22352.0783,31.0525,2.0554,0.6687
2004-12-31,45.09,14206486.0,24334.8694,33.8071,2.2377,0.6687
2005-01-31,46.31,14425777.0,24993.544,34.7222,2.2983,0.6687
2005-02-28,50.29,17630532.0,27143.2594,37.7086,2.496,0.6687
2005-03-31,52.77,17047049.0,28537.9177,24.6987,2.2195,0.6687
2005-04-30,54.57,15477559.0,30008.8381,25.5419,2.2952,0.6687
2005-05-31,55.84,36346704.0,31201.0045,26.1385,2.3488,0.6687
2005-06-30,52.44,49525802.0,31000.4386,24.5442,2.2056,0.6687
2005-07-31,54.8,45949365.0,34042.6467,25.6475,2.3047,0.8359
2005-08-31,63.46,37590141.0,39685.552,29.7007,2.6689,0.8359
2005-09-30,63.82,27900278.0,40026.4372,29.8728,2.6844,0.8359
2005-10-31,62.32,34104806.0,40678.3698,29.1706,2.6213,0.8359
2005-11-30,76.91,40134212.0,50355.7844,35.9977,3.2348,0.8359
2005-12-31,82.87,54709701.0,54399.4724,38.7891,3.4856,0.8359
2006-01-31,109.27,52413548.0,72382.7161,51.1463,4.5961,0.8359
2006-02-28,104.17,70215924.0,70496.7873,48.7559,4.3812,0.8359
