NEST IN Equity,price,volume,mc,pe,bm,div
2001-12-31,25.8,33836400.0,49750.5027,28.7321,18.7536,1.5
2002-01-31,25.25,24850460.0,48689.9299,28.1196,18.3539,1.5
2002-02-28,24.96,18356640.0,48135.5396,27.7994,18.1449,1.5
2002-03-31,25.62,6574660.0,49403.4061,28.5317,18.6228,1.5
2002-04-30,25.7,10248940.0,49557.6712,28.6207,18.681,0.0
2002-05-31,25.59,13228840.0,49350.3775,28.501,18.6028,0.0
2002-06-30,25.74,9626060.0,49644.4454,28.6709,18.7137,0.0
2002-07-31,25.5,10824420.0,49172.0084,28.398,18.5356,0.0
2002-08-31,27.76,60070040.0,53539.6398,30.9204,20.182,0.0
2002-09-30,28.52,34393400.0,54995.5169,31.7612,20.7308,0.0
2002-10-31,27.69,2863600.0,53399.837,30.8397,20.1293,0.0
2002-11-30,27.41,3697160.0,52845.4467,30.5195,19.9203,0.0
2002-12-31,26.16,3506300.0,50449.5165,24.3827,17.4386,0.9
2003-01-31,26.93,3310120.0,51924.6768,25.0956,17.9485,0.9
2003-02-28,26.75,1736620.0,51582.401,24.9302,17.8302,0.9
2003-03-31,26.74,2779700.0,51558.2971,24.9186,17.8218,0.9
2003-04-30,26.52,1503440.0,51134.068,24.7135,17.6752,0.9
2003-05-31,26.74,1717560.0,51563.1179,24.9209,17.8235,0.9
2003-06-30,29.35,19617620.0,56596.0176,27.3533,19.5632,0.9
2003-07-31,28.47,7332520.0,54899.1012,26.5332,18.9766,0.9
2003-08-31,28.96,36461180.0,55843.9751,26.9899,19.3032,1.4
2003-09-30,29.32,20880640.0,56542.9889,27.3277,19.5449,1.4
2003-10-31,28.29,6719300.0,54547.1839,26.3631,18.855,1.4
2003-11-30,30.0,11610200.0,57854.2425,27.9614,19.9981,1.4
2003-12-31,34.48,11816700.0,66478.6271,32.1297,22.9792,1.0
2004-01-31,32.12,16477320.0,61942.2683,29.9372,21.4112,1.0
2004-02-29,30.26,4554420.0,58360.4249,28.2061,20.1731,1.0
2004-03-31,31.63,19895500.0,60982.932,29.4736,21.0796,1.0
2004-04-30,32.27,5589140.0,62221.8738,30.0723,21.5078,1.0
2004-05-31,28.26,15863820.0,54494.1552,26.3375,18.8366,1.0
2004-06-30,27.7,5591920.0,53404.6578,25.8109,18.46,1.0
2004-07-31,26.09,12064340.0,50304.8929,24.3128,17.3886,1.0
2004-08-31,27.45,8973000.0,52927.4001,25.5803,18.2951,1.0
2004-09-30,26.73,20513620.0,51543.8347,24.9116,17.8168,1.0
2004-10-31,27.14,9083740.0,52324.8019,25.289,18.0868,1.0
2004-11-30,28.49,14190980.0,54932.8467,26.5495,18.9883,1.0
2004-12-31,29.24,12821560.0,56374.2614,27.2461,19.4865,1.5
2005-01-31,28.95,4283420.0,55829.5127,26.9829,19.2982,1.5
2005-02-28,29.93,13904720.0,57709.6189,27.8915,19.9481,1.5
2005-03-31,31.91,14981420.0,61522.86,29.7345,21.2662,1.5
2005-04-30,33.27,15398440.0,64159.8294,31.009,22.1777,1.475
2005-05-31,35.01,18562800.0,67500.6335,32.6236,23.3325,1.475
2005-06-30,35.73,7656580.0,68893.8404,33.297,23.8141,1.475
2005-07-31,38.69,19712460.0,74611.2916,36.0603,25.7904,0.975
2005-08-31,42.65,12281140.0,82247.4153,39.7509,28.4299,0.975
2005-09-30,42.78,9364980.0,82488.4545,39.8674,28.5133,0.975
2005-10-31,42.21,14690740.0,81384.4948,39.3338,28.1317,0.975
2005-11-30,48.12,77666660.0,92795.2872,44.8487,32.076,0.975
2005-12-31,46.81,18301580.0,90264.375,43.6255,31.2011,2.7
2006-01-31,49.24,38320560.0,94955.0049,45.8925,32.8225,2.7
2006-02-28,52.96,13145240.0,102133.148,49.3618,35.3037,2.7
2006-03-31,57.77,17925380.0,111403.5178,53.8422,38.5081,2.7
2006-04-30,63.6,13628440.0,124144.859,59.2733,42.3925,0.3
2006-05-31,53.76,8431700.0,103670.9845,50.105,35.8353,0.3
2006-06-30,49.81,11414880.0,96044.4963,46.4191,33.1991,0.3
2006-07-31,49.98,5543740.0,96381.9513,46.5822,33.3157,0.3
2006-08-31,53.06,8866240.0,102321.1646,49.4527,35.3687,0.3
2006-09-30,53.21,9060640.0,102610.4117,49.5925,35.4687,0.3
2006-10-31,52.73,5851280.0,101675.1734,49.1405,35.1454,0.3
2006-11-30,54.68,22717260.0,105430.571,50.9555,36.4435,0.3
2006-12-31,56.82,6300120.0,109571.6255,52.9569,37.8749,1.8
2007-01-31,54.65,9442480.0,105377.5364,50.9298,36.4252,1.8
2007-02-28,47.92,21226320.0,92399.9888,44.6577,31.9393,1.8
2007-03-31,46.73,19214680.0,90100.4743,43.5463,31.1445,0.225
2007-04-30,50.38,6590200.0,97153.2829,46.955,33.5824,0.1125
2007-05-31,56.96,10019500.0,109841.5894,53.0874,37.9682,0.1125
2007-06-30,58.0,47223740.0,111837.3885,54.0519,38.6581,0.1125
2007-07-31,59.47,17857440.0,114672.0161,55.4219,39.6379,0.1125
2007-08-31,64.15,24239540.0,123691.7051,59.7812,42.7557,0.1125
2007-09-30,66.21,11637800.0,127674.0617,61.7057,44.1321,0.1125
2007-10-31,78.14,21761480.0,150674.1046,72.8218,52.0824,0.1125
2007-11-30,66.03,27014440.0,127322.1553,61.5357,44.0105,0.1125
2007-12-31,75.0,20416040.0,144614.3589,69.8931,49.9878,1.275
2008-01-31,70.24,16386460.0,135450.0181,65.4639,46.82,1.275
2008-02-29,68.61,9802300.0,132297.2149,63.9401,45.7302,1.275
2008-03-31,74.9,13177840.0,144435.9954,69.8069,49.9261,1.275
2008-04-30,87.94,12434280.0,169576.4675,81.9575,58.6162,1.75
2008-05-31,88.36,8529340.0,170386.3498,82.3489,58.8962,1.75
2008-06-30,81.51,13652860.0,157167.7222,75.9602,54.327,1.75
2008-07-31,81.63,8992180.0,157413.583,76.0791,54.412,1.75
2008-08-31,88.79,5190240.0,171210.7127,82.7473,59.1811,1.75
2008-09-30,84.55,33271920.0,163044.2834,78.8004,56.3583,1.75
2008-10-31,72.5,15979060.0,139803.2005,67.5678,48.3247,1.75
2008-11-30,70.04,24273740.0,135054.7125,65.2729,46.6834,1.65
2008-12-31,72.64,10843520.0,140068.3445,67.696,48.4164,1.65
2009-01-31,73.32,5009740.0,141389.2377,68.3344,48.873,1.65
2009-02-28,74.68,12381040.0,143997.2965,69.5949,49.7745,1.65
2009-03-31,77.82,15627040.0,150061.863,72.5259,51.8708,1.65
2009-04-30,85.24,16983620.0,164374.8182,79.4435,56.8182,2.15
2009-05-31,86.32,25587620.0,166447.7622,80.4453,57.5348,2.15
2009-06-30,100.08,16209600.0,192986.2663,93.2716,66.7081,2.15
2009-07-31,110.26,14791860.0,212611.7312,102.7567,73.4919,2.15
2009-08-31,110.0,12613360.0,212115.2008,102.5167,73.3203,2.15
2009-09-30,113.49,12555640.0,218845.0437,105.7693,75.6465,2.15
2009-10-31,128.67,14337860.0,248121.7501,119.9189,85.7664,2.15
2009-11-30,126.87,13228860.0,244641.1506,118.2367,84.5633,2.4
2009-12-31,127.4,13484780.0,245663.1421,118.7307,84.9166,2.4
2010-01-31,126.65,25751180.0,244221.7289,118.034,84.4183,2.4
2010-02-28,131.34,10744500.0,253275.1793,122.4096,87.5478,2.4
2010-03-31,133.53,9685080.0,257488.5826,124.446,89.0042,2.4
2010-04-30,138.16,19506560.0,266407.0627,128.7563,92.087,2.425
2010-05-31,143.96,16542300.0,277600.9422,134.1664,95.9563,2.425
2010-06-30,143.98,12916100.0,277634.6999,134.1827,95.9679,2.425
2010-07-31,151.03,8709200.0,291238.9795,140.7578,100.6704,2.425
2010-08-31,153.94,24465300.0,296845.588,143.4675,102.6084,2.425
2010-09-30,169.11,32933340.0,326093.3636,157.6031,112.7183,2.425
2010-10-31,174.22,19171480.0,335956.7265,162.3702,116.1277,2.425
2010-11-30,181.27,22255460.0,349541.759,168.9359,120.8235,2.425
2010-12-31,190.69,10176200.0,367706.5214,177.7151,127.1024,2.425
2011-01-31,166.38,9731780.0,320829.068,155.0589,110.8986,2.425
2011-02-28,177.43,21810960.0,342151.4545,165.3641,118.269,2.425
2011-03-31,184.83,11999000.0,356406.5722,172.2537,123.1964,2.425
2011-04-30,199.64,17169020.0,384979.4358,186.0632,133.073,2.425
2011-05-31,202.97,12230400.0,391381.4763,189.1573,135.2859,2.425
2011-06-30,205.41,10163140.0,396086.5832,191.4313,136.9123,2.425
2011-07-31,218.01,13115720.0,420383.4152,203.1742,145.3108,2.425
2011-08-31,219.46,9044340.0,423179.4793,204.5255,146.2773,2.425
2011-09-30,212.61,10285300.0,409970.4872,198.1415,141.7115,2.425
2011-10-31,212.19,7575760.0,409175.0552,197.7571,141.4365,2.425
2011-11-30,211.13,13484360.0,407121.3643,196.7645,140.7266,2.425
2011-12-31,204.74,13345020.0,394809.0712,190.8139,136.4707,2.425
2012-01-31,211.8,14412840.0,408418.1776,197.3913,141.1749,2.425
2012-02-29,220.66,10041760.0,425503.1109,205.6485,147.0805,2.425
2012-03-31,231.53,17513480.0,446462.5655,215.7791,154.3259,2.6
2012-04-30,233.71,14925800.0,450661.4453,217.8084,155.7773,2.6
2012-05-31,225.26,21615360.0,434372.0424,209.9356,150.1466,2.6
2012-06-30,226.95,12417740.0,437635.6778,211.513,151.2748,1.975
2012-07-31,223.93,13048680.0,431812.1754,208.6984,149.2618,1.975
2012-08-31,231.76,14010260.0,446915.6892,215.9981,154.4825,2.875
2012-09-30,220.1,16040960.0,424417.1211,205.1243,146.7056,2.875
2012-10-31,235.01,12699140.0,453163.4569,219.0177,156.6421,2.875
2012-11-30,238.37,10557980.0,459652.2096,222.1537,158.8851,2.875
2012-12-31,249.61,9272600.0,481336.0951,232.6337,166.3804,2.425
2013-01-31,237.28,13282340.0,457545.5204,221.1355,158.1569,2.425
2013-02-28,238.09,21475020.0,459112.2756,221.8928,158.6984,2.425
2013-03-31,229.41,11518220.0,442374.5458,213.8033,152.9128,2.425
2013-04-30,249.07,16113860.0,480280.3733,232.1235,166.0155,2.425
2013-05-31,265.11,17261860.0,511220.1603,247.0769,176.7102,2.425
2013-06-30,242.7,6564680.0,468001.8956,226.1892,161.7712,2.425
2013-07-31,264.68,10461380.0,510376.6036,246.6692,176.4186,2.425
2013-08-31,244.84,7432840.0,472118.8648,228.1789,163.1943,2.425
2013-09-30,260.98,14674760.0,503246.6432,243.2232,173.9541,2.425
2013-10-31,279.85,13383400.0,539633.9714,260.8095,186.5318,2.425
2013-11-30,257.25,41288100.0,496063.6722,239.7517,171.4712,2.425
2013-12-31,264.46,15888300.0,509966.8368,246.4712,176.277,2.425
2014-01-31,252.36,13030700.0,486624.5794,235.1897,168.2084,2.425
2014-02-28,243.23,32922360.0,469014.2606,226.6784,162.1212,2.425
2014-03-31,251.44,18175020.0,484850.5423,234.3323,167.5952,2.425
2014-04-30,238.44,13542540.0,459787.2583,222.219,158.9317,1.8
2014-05-31,248.05,43666900.0,478318.3774,231.1752,165.3373,2.15
2014-06-30,246.49,11561580.0,475305.3862,229.719,164.2958,2.15
2014-07-31,256.42,11637800.0,494453.5599,238.9735,170.9146,2.15
2014-08-31,301.43,13126720.0,581246.9591,280.9214,200.9159,2.15
2014-09-30,298.43,10287560.0,575471.6637,278.1302,198.9196,2.75
2014-10-31,312.86,7745660.0,603292.4492,291.5762,208.5362,2.75
2014-11-30,310.2,8039520.0,598167.9177,289.0995,206.7649,2.75
2014-12-31,319.24,9517980.0,615599.9096,297.5245,212.7905,3.15
2015-01-31,355.65,17750620.0,685809.8054,331.4575,237.0595,3.15
2015-02-28,351.19,12700740.0,677216.3329,327.3033,234.0884,3.15
2015-03-31,347.37,14763980.0,669833.751,323.7362,231.5372,3.15
2015-04-30,328.63,10042060.0,633701.9607,306.2734,219.0477,3.15
2015-05-31,337.58,15338820.0,650955.5233,314.6122,225.0116,2.65
2015-06-30,317.61,106320980.0,612451.9425,296.0031,211.7023,2.65
2015-07-31,317.87,38684920.0,612953.2741,296.2454,211.8756,2.65
2015-08-31,298.27,50146620.0,575158.3126,277.9787,198.8113,2.65
2015-09-30,318.38,18241460.0,613941.5352,296.723,212.2172,2.65
2015-10-31,308.69,25411940.0,595260.9898,287.6945,205.7601,2.65
2015-11-30,292.94,26069960.0,564880.391,273.0113,195.2586,2.65
2015-12-31,291.4,18390820.0,561910.805,99.7604,19.9412,2.8333
2016-01-31,274.4,17279420.0,529129.4608,93.9404,18.7778,2.8333
2016-02-29,250.4,20848760.0,482849.9161,85.7241,17.1355,2.125
2016-03-31,287.87,23996380.0,555099.0465,98.551,19.6995,2.125
2016-04-30,286.27,16905020.0,552023.3912,98.005,19.5903,2.125
2016-05-31,304.87,21777620.0,587880.3907,104.3709,20.8628,2.2875
2016-06-30,324.62,17745760.0,625964.5993,111.1323,22.2143,2.2875
2016-07-31,359.42,16747860.0,693069.9391,123.046,24.5958,2.2875
2016-08-31,326.28,13324040.0,629165.571,111.7006,22.3279,2.125
2016-09-30,321.64,15392440.0,620227.8641,110.1138,22.0108,2.125
2016-10-31,347.02,10420220.0,669163.6377,118.8018,23.7474,2.125
2016-11-30,314.49,23160880.0,606425.9601,107.6635,21.521,2.125
2016-12-31,301.42,13934340.0,581227.7061,58.043,17.7078,3.2
2017-01-31,292.59,24424460.0,564210.3319,56.3436,17.1893,3.2
2017-02-28,312.71,14015120.0,603008.0048,60.2181,18.3713,3.2
2017-03-31,334.03,17336980.0,644119.6549,64.3236,19.6239,3.2
2017-04-30,334.89,11143480.0,645768.3758,64.4883,19.6741,3.2
2017-05-31,332.26,26007680.0,640692.0882,63.9813,19.5194,3.6
2017-06-30,336.84,16220000.0,649533.4096,64.8642,19.7888,3.6
2017-07-31,338.36,18738160.0,652459.6266,65.1565,19.8779,3.6
