NAM IN Equity,price,volume,mc,pe,bm,div
2022-07-31,279.3,10989303.0,173873.8872,23.275,4.9942,11.0
2022-08-31,301.9,24628973.0,188054.5817,25.1583,5.3983,11.0
2022-09-30,268.65,7555206.0,167378.8041,22.3875,4.8038,11.0
2022-10-31,270.5,8244966.0,168542.1337,22.5417,4.8369,11.0
2022-11-30,271.3,8382886.0,169040.5948,22.6083,4.8512,11.5
2022-12-31,249.15,10892555.0,155258.5059,20.7625,4.4551,11.5
2023-01-31,248.95,5936544.0,155139.5265,20.7458,4.4515,11.5
2023-02-28,221.35,10660948.0,137939.8843,18.4458,3.958,11.5
2023-03-31,210.05,9846691.0,130898.0018,18.0922,3.7233,11.5
2023-04-30,238.2,10147826.0,148443.4781,20.5168,4.2223,11.5
2023-05-31,249.75,10458822.0,155641.3041,21.5116,4.427,11.5
2023-06-30,288.15,27131926.0,179575.8741,24.8191,5.1077,15.0
2023-07-31,316.3,20623043.0,197149.8805,27.2438,5.6067,15.0
2023-08-31,311.9,15842398.0,194639.5232,26.8648,5.5287,15.0
2023-09-30,327.95,14623595.0,204901.0903,28.2472,5.8132,15.0
2023-10-31,391.45,28444837.0,244608.1721,33.7166,6.9388,15.0
2023-11-30,418.15,14985492.0,261292.3928,36.0164,7.4121,13.0
2023-12-31,447.85,42267529.0,280648.4781,38.5745,7.9385,13.0
2024-01-31,524.75,22687058.0,329525.223,45.1981,9.3016,13.0
2024-02-29,515.65,17759768.0,324327.7937,44.4143,9.1403,13.0
2024-03-31,471.15,17890985.0,296823.9016,26.4997,7.4538,13.0
2024-04-30,588.65,31822397.0,371119.2695,33.1085,9.3127,13.0
2024-05-31,598.3,15070812.0,377627.5805,33.6513,9.4654,13.0
2024-06-30,644.45,26372870.0,406906.9023,36.247,10.1955,16.5
2024-07-31,645.0,23047258.0,407487.4885,36.2779,10.2042,16.5
2024-08-31,673.05,25274512.0,425892.8906,37.8556,10.648,16.5
2024-09-30,651.55,15646350.0,412574.4819,36.6463,10.3078,16.5
2024-10-31,708.2,33501282.0,448452.0455,39.8326,11.204,16.5
2024-11-30,685.5,13634353.0,434147.2057,38.5558,10.8449,19.0
2024-12-31,727.0,30892329.0,460727.3399,40.89,11.5015,19.0
2025-01-31,583.8,25076963.0,369976.0949,32.8357,9.236,19.0
2025-02-28,513.3,22313529.0,325355.8764,28.8705,8.1206,19.0
2025-03-31,578.55,23616168.0,367148.2211,28.444,8.7162,19.0
2025-04-30,638.7,26049658.0,405384.5711,31.4012,9.6224,19.0
2025-05-31,740.95,18411794.0,470370.9719,36.4282,11.1629,19.0
2025-06-30,800.05,22127059.0,508067.1258,39.3338,12.0533,19.0
2025-07-31,812.35,22400130.0,516130.3402,39.9385,12.2386,18.0
2025-08-31,784.75,15390392.0,499023.7555,38.5816,11.8227,18.0
2025-09-30,868.35,17194624.0,552832.2627,42.6917,13.0822,18.0
2025-10-31,874.8,26224750.0,556938.6346,43.0088,13.1794,18.0
2025-11-30,875.6,11150514.0,557750.9281,43.0482,13.1915,19.0
2025-12-31,879.65,26947834.0,560417.7579,43.2473,13.2525,19.0
2026-01-31,878.1,19232713.0,559430.2657,43.1711,13.2291,19.0
2026-02-28,931.2,19567089.0,593416.4906,45.7817,14.0291,19.0
2026-03-31,858.35,2379248.0,546992.0857,42.2001,12.9316,19.0
