NLL IN Equity,price,volume,mc,pe,bm,div
2009-03-31,72.25,197950.0,491.3058,4.121,0.6482,1.9838
2009-04-30,93.0,55469.0,632.4112,5.3046,0.8344,1.9838
2009-05-31,112.17,199072.0,762.7246,6.3976,1.0064,1.9838
2009-06-30,112.09,79977.0,762.185,6.3931,1.0057,1.9838
2009-07-31,101.18,54481.0,687.99,5.7708,0.9078,2.7774
2009-08-31,107.72,70056.0,732.507,6.1442,0.9665,2.7774
2009-09-30,111.69,486769.0,759.487,6.3705,1.0021,2.7774
2009-10-31,88.12,520971.0,599.2258,5.0262,0.7906,2.7774
2009-11-30,91.73,154287.0,623.7776,5.2322,0.823,2.7774
2009-12-31,100.94,460458.0,686.3712,5.7572,0.9056,2.7774
2010-01-31,80.11,346084.0,544.7262,4.5691,0.7187,2.7774
2010-02-28,78.2,128897.0,531.7758,4.4605,0.7016,2.7774
2010-03-31,79.79,248292.0,542.5678,4.637,0.7931,2.7774
2010-04-30,85.03,947637.0,578.1814,4.637,0.8452,2.7774
2010-05-31,71.89,429464.0,488.8776,4.637,0.7147,2.7774
2010-06-30,75.51,470308.0,513.4294,4.637,0.7505,2.7774
2010-07-31,76.62,745508.0,520.9838,4.637,0.7616,2.7774
2010-08-31,75.31,516140.0,512.0804,4.637,0.7486,2.7774
2010-09-30,90.58,712496.0,615.9534,4.637,0.9004,0.0
2010-10-31,114.55,1493517.0,778.9126,4.637,1.1386,0.0
2010-11-30,111.41,438648.0,757.5984,4.637,1.1075,0.0
2010-12-31,107.68,1288180.0,732.2372,4.637,1.0704,0.0
2011-01-31,87.57,65880.0,595.4486,4.637,0.8704,0.0
2011-02-28,93.48,175722.0,635.6488,4.637,0.9292,0.0
2011-03-31,92.84,101589.0,631.332,11.9377,0.8576,0.0
2011-04-30,101.53,113175.0,690.4182,13.055,0.9379,0.0
2011-05-31,98.4,58784.0,669.104,12.6519,0.9089,0.0
2011-06-30,99.19,76539.0,674.5,12.754,0.9163,0.0
2011-07-31,85.82,149385.0,583.5774,11.0347,0.7928,0.0
2011-08-31,72.29,53181.0,491.5756,9.2951,0.6678,0.0
2011-09-30,71.74,35151.0,487.7984,9.2237,0.6626,0.0
2011-10-31,70.7,34295.0,480.7836,9.091,0.6531,0.0
2011-11-30,64.51,45122.0,438.6948,8.2952,0.5959,0.0
2011-12-31,55.87,43116.0,379.8784,7.183,0.516,0.0
2012-01-31,67.41,39222.0,458.3902,8.6676,0.6227,0.0
2012-02-29,63.28,173736.0,430.331,8.137,0.5846,0.0
2012-03-31,70.29,291668.0,562.2897,15.4842,0.5214,0.0
2012-04-30,65.99,79596.0,527.8872,14.5368,0.4895,0.0
2012-05-31,69.86,69415.0,558.8495,15.3895,0.5182,0.0
2012-06-30,75.64,29489.0,605.1017,16.6632,0.5611,0.0
2012-07-31,88.69,58472.0,709.456,19.5368,0.6579,0.0
2012-08-31,108.47,173010.0,867.7075,23.8947,0.8046,0.0
2012-09-30,126.39,299415.0,1011.0512,27.8421,0.9375,0.0
2012-10-31,159.12,341014.0,1272.8925,35.0526,1.1803,0.0
2012-11-30,149.9,507917.0,1199.1182,33.0211,1.1119,0.0
2012-12-31,116.02,907987.0,928.103,25.5579,0.8606,0.0
2013-01-31,124.0,397502.0,991.9387,27.3158,0.9198,0.0
2013-02-28,91.22,142548.0,729.7152,20.0947,0.6767,0.0
2013-03-31,88.92,255235.0,711.3672,5.1324,0.7222,0.0
2013-04-30,107.03,56108.0,856.24,6.1776,0.8693,0.0
2013-05-31,94.61,137156.0,756.855,5.4606,0.7684,0.0
2013-06-30,88.73,56714.0,709.8362,5.1213,0.7207,0.0
2013-07-31,224.77,1834018.0,1798.0988,12.973,1.8255,1.1468
2013-08-31,207.0,260847.0,1655.9022,11.947,1.6812,1.1468
2013-09-30,201.74,104379.0,1613.8549,11.6437,1.6385,1.1468
2013-10-31,264.1,122153.0,2112.6897,15.2427,2.1449,1.1468
2013-11-30,261.32,117843.0,2090.5192,15.0827,2.1224,1.1468
2013-12-31,300.94,647351.0,2407.4036,17.369,2.4442,1.1468
2014-01-31,315.27,232749.0,2525.6081,18.1964,2.5606,1.1468
2014-02-28,247.18,193604.0,1980.1411,14.2664,2.0076,1.1468
2014-03-31,249.09,976527.0,1995.4524,8.0622,1.6094,1.1468
2014-04-30,257.12,241350.0,2059.7601,8.322,1.6613,1.1468
2014-05-31,265.91,1592751.0,2130.1923,8.6066,1.7181,1.1468
2014-06-30,348.67,890957.0,2793.174,11.2852,2.2528,4.0138
2014-07-31,348.77,640359.0,2793.9396,11.2883,2.2534,2.867
2014-08-31,339.4,1131455.0,3014.9777,10.9851,2.1929,2.867
2014-09-30,473.15,1547461.0,4203.1135,15.3141,3.0571,2.867
2014-10-31,471.4,373094.0,4186.2442,15.2574,3.0458,2.867
2014-11-30,434.65,457355.0,3859.8877,14.068,2.8083,2.867
2014-12-31,492.75,326223.0,4377.2234,15.9484,3.1837,2.867
2015-01-31,463.7,484552.0,4119.1649,15.0082,2.996,2.867
2015-02-28,328.35,1098924.0,2916.7332,10.6274,2.1215,2.867
2015-03-31,332.8,802157.0,2956.3469,17.8254,1.8319,2.867
2015-04-30,369.0,909744.0,3277.9207,19.7643,2.0312,2.867
2015-05-31,357.35,256261.0,3174.4308,19.1403,1.9671,2.867
2015-06-30,365.6,139196.0,3247.7177,19.5822,2.0125,1.4335
2015-07-31,492.9,462548.0,4378.5559,26.4006,2.7132,1.4335
2015-08-31,600.05,984671.0,5330.3966,32.1398,3.303,1.5
2015-09-30,902.85,1513201.0,8020.2459,48.3583,4.9698,1.5
2015-10-31,693.25,820761.0,6158.3159,37.1318,3.8161,1.5
