CHMB IN Equity,price,volume,mc,pe,bm,div
2001-03-31,10.1,342091.0,4100.6,3.5302,0.4252,1.4
2001-04-30,10.75,317449.0,4364.5,3.7574,0.4526,1.4
2001-05-31,11.1,1504062.0,4506.6,3.8798,0.4673,1.4
2001-06-30,11.5,1604841.0,4669.0,4.0196,0.4841,0.0
2001-07-31,10.4,253731.0,4222.4,3.6351,0.4378,1.4
2001-08-31,10.25,224904.0,4161.5,3.5827,0.4315,1.4
2001-09-30,10.15,241524.0,4120.9,3.5477,0.4273,1.4
2001-10-31,10.4,240871.0,4222.4,3.6351,0.4378,1.4
2001-11-30,10.85,646069.0,4405.1,3.7924,0.4568,1.4
2001-12-31,10.75,226300.0,4364.5,3.7574,0.4526,1.4
2002-01-31,10.8,183368.0,4384.8,3.7749,0.4547,1.4
2002-02-28,11.5,319190.0,4669.0,4.0196,0.4841,1.4
2002-03-31,11.95,620005.0,4851.7,4.1769,0.5031,1.4
2002-04-30,11.15,2448967.0,4526.9,3.8972,0.4694,1.4
2002-05-31,11.35,1648657.0,4608.1,3.9671,0.4778,1.4
2002-06-30,13.25,11714295.0,5379.5,4.6312,0.5578,1.4
2002-07-31,10.45,7809780.0,4242.7,3.6526,0.4399,1.5
2002-08-31,10.45,590682.0,4242.7,3.6526,0.4399,1.5
2002-09-30,10.25,879348.0,4161.5,3.5827,0.4315,1.5
2002-10-31,10.5,529786.0,4263.0,3.67,0.442,1.5
2002-11-30,11.55,1031608.0,4689.3,4.037,0.4862,1.5
2002-12-31,11.75,774967.0,4770.5,4.107,0.4947,1.5
2003-01-31,13.4,4377742.0,5440.4,4.6837,0.5641,1.5
2003-02-28,13.8,4194468.0,5602.8,4.8235,0.581,1.5
2003-03-31,13.9,1854962.0,5643.4,4.8584,0.5852,1.5
2003-04-30,15.15,2020689.0,6150.9,5.2954,0.6378,1.5
2003-05-31,15.3,4722972.0,6211.8,5.3478,0.6441,1.5
2003-06-30,17.0,6729556.0,6902.0,5.942,0.7157,1.5
2003-07-31,15.25,7007686.0,6191.5,5.3303,0.642,1.5
2003-08-31,17.25,13003019.0,7003.5,6.0294,0.7262,1.5
2003-09-30,17.2,10082480.0,6983.2,6.0119,0.7241,1.5
2003-10-31,16.95,4650876.0,6881.7,5.9245,0.7136,1.5
2003-11-30,18.4,7772816.0,7470.4,6.4313,0.7746,1.5
2003-12-31,22.85,30806537.0,9277.1,7.9867,0.962,1.5
2004-01-31,19.6,13669186.0,7957.6,6.8508,0.8251,1.5
2004-02-29,18.3,3382296.0,7429.8,6.3964,0.7704,1.5
2004-03-31,18.7,5516457.0,7592.2,9.7092,1.119,1.5
2004-04-30,23.5,10005315.0,9541.0,12.2014,1.4063,1.5
2004-05-31,22.65,13836366.0,9195.9,11.7601,1.3554,1.5
2004-06-30,21.55,5231139.0,8749.3,11.189,1.2896,1.5
2004-07-31,20.25,10409086.0,8221.5,10.514,1.2118,1.6
2004-08-31,21.15,6755415.0,8586.9,10.9813,1.2656,1.6
2004-09-30,20.95,18298514.0,8505.7,10.8774,1.2537,1.6
2004-10-31,20.55,5486942.0,8343.3,10.6697,1.2297,1.6
2004-11-30,24.2,14542519.0,9825.2,12.5649,1.4482,1.6
2004-12-31,26.55,15520598.0,10779.3,13.785,1.5888,1.6
2005-01-31,29.1,59040085.0,11814.6,15.109,1.7414,1.6
2005-02-28,31.7,114065679.0,12870.2,16.4589,1.897,1.6
2005-03-31,29.8,50425724.0,12098.8,5.5217,1.5495,1.6
2005-04-30,30.0,22600157.0,12180.0,5.5588,1.5599,1.6
2005-05-31,32.0,31659175.0,12992.0,5.9294,1.6638,1.6
2005-06-30,30.55,29166220.0,12403.3,5.6607,1.5885,1.6
2005-07-31,33.75,50757180.0,13702.5,6.2536,1.7548,1.6
2005-08-31,39.25,56761570.0,15935.5,7.2728,2.0408,1.6
2005-09-30,37.25,56632791.0,15123.5,6.9022,1.9368,1.8
2005-10-31,34.1,15435512.0,13844.6,6.3185,1.773,1.8
2005-11-30,38.4,17183039.0,15979.1273,7.1153,1.9966,1.8
2005-12-31,39.0,25006059.0,16228.8012,7.2264,2.0278,1.8
2006-01-31,38.0,28242307.0,15812.9205,7.0411,1.9758,1.8
2006-02-28,41.85,46175535.0,17415.019,7.7545,2.176,1.8
2006-03-31,39.05,22409110.0,16249.8564,8.4154,1.8493,1.8
2006-04-30,41.35,18449654.0,17206.9542,8.911,1.9582,1.8
2006-05-31,37.2,36643878.0,15480.0169,8.0167,1.7617,1.8
2006-06-30,33.35,19898693.0,13877.9184,7.187,1.5794,1.8
2006-07-31,32.25,9636418.0,13420.1759,6.95,1.5273,1.8
2006-08-31,35.45,17006403.0,14751.9536,7.6396,1.6788,1.8
2006-09-30,36.55,10510623.0,15209.7011,7.8766,1.7309,1.8
2006-10-31,35.45,13734402.0,14752.011,7.6396,1.6788,1.8
2006-11-30,35.55,8896763.0,14793.6245,7.6611,1.6835,1.8
2006-12-31,36.75,9322571.0,15292.9874,7.9197,1.7404,1.8
2007-01-31,38.05,19811678.0,15833.9638,8.1999,1.8019,1.8
2007-02-28,34.75,10654160.0,14460.716,7.4887,1.6457,1.8
2007-03-31,31.3,9505715.0,13025.0478,11.2466,1.4234,1.8
2007-04-30,34.1,7152813.0,14190.2278,12.2526,1.5508,1.8
2007-05-31,34.0,16906770.0,14148.6412,12.2167,1.5462,1.8
2007-06-30,36.55,8631244.0,15209.7893,13.133,1.6622,1.8
2007-07-31,35.0,21274082.0,14564.7777,12.576,1.5917,1.8
2007-08-31,49.8,242678892.0,20723.598,17.8939,2.2648,1.8
2007-09-30,58.25,183432716.0,24239.9799,20.9301,2.6491,1.8
2007-10-31,49.95,104188951.0,20786.0428,17.9478,2.2716,1.8
2007-11-30,62.65,208956804.0,26070.9826,22.5111,2.8492,1.8
2007-12-31,85.9,249813827.0,35746.1677,30.8652,3.9065,1.8
2008-01-31,46.15,110691499.0,19204.7222,16.5824,2.0988,1.8
2008-02-29,58.55,224776093.0,24364.821,21.0379,2.6627,1.8
2008-03-31,49.9,126808260.0,20766.8182,8.7544,1.7766,1.8
2008-04-30,68.4,224459695.0,28465.96,12.0,2.4353,1.8
2008-05-31,83.8,556500072.0,34874.9627,14.7018,2.9836,1.8
2008-06-30,67.35,788633199.0,28028.9826,11.8158,2.3979,1.8
2008-07-31,75.85,676458707.0,31566.4191,13.307,2.7005,1.8
2008-08-31,73.1,518656287.0,30421.9544,12.8246,2.6026,1.8
2008-09-30,54.65,361465831.0,22743.6362,9.5877,1.9457,1.8
2008-10-31,45.05,429457744.0,18748.4137,7.9035,1.6039,1.8
2008-11-30,34.25,285813942.0,14253.7885,6.0088,1.2194,1.8
2008-12-31,37.25,304449919.0,15502.2955,6.5351,1.3262,1.8
2009-01-31,38.55,185431651.0,16043.3152,6.7632,1.3725,1.8
2009-02-28,36.05,140464356.0,15002.8927,6.3246,1.2835,1.8
2009-03-31,41.85,95478653.0,17416.6729,7.7214,1.3588,1.8
2009-04-30,44.05,150367515.0,18332.2447,8.1273,1.4302,1.8
2009-05-31,63.75,192357686.0,26530.7742,11.762,2.0698,1.8
2009-06-30,67.05,229964401.0,27904.1319,12.3708,2.177,1.8
2009-07-31,56.65,208144883.0,23575.9742,10.452,1.8393,1.8
2009-08-31,53.1,118896591.0,22098.5742,9.797,1.724,1.8
2009-09-30,55.8,99838444.0,23222.2306,10.2952,1.8117,1.8
2009-10-31,47.5,79842352.0,19768.0278,8.7638,1.5422,1.8
2009-11-30,54.95,62335888.0,22868.4869,10.1384,1.7841,1.8
2009-12-31,57.85,85585718.0,24075.377,10.6734,1.8783,1.8
2010-01-31,64.9,141869558.0,27009.3685,11.9742,2.1072,1.8
2010-02-28,62.2,172120568.0,25885.7122,11.476,2.0195,1.8
2010-03-31,61.45,94276390.0,25573.5911,11.772,1.7843,1.8
2010-04-30,65.75,55551171.0,27363.1182,12.5958,1.9091,1.8
2010-05-31,58.45,52411659.0,24325.0838,11.1973,1.6972,1.8
2010-06-30,66.3,57182295.0,27592.0112,12.7011,1.9251,1.8
2010-07-31,66.3,57429455.0,27592.0112,12.7011,1.9251,1.9
2010-08-31,66.45,62086104.0,27654.4366,12.7299,1.9294,1.9
2010-09-30,68.9,62076497.0,28674.0508,13.1992,2.0006,1.9
2010-10-31,80.05,228418492.0,33314.3363,15.3352,2.3243,1.9
2010-11-30,91.15,312573020.0,37933.8133,17.4617,2.6466,1.9
2010-12-31,90.25,189474481.0,37559.2611,17.2893,2.6205,1.9
2011-01-31,71.85,120696273.0,29901.7563,13.7644,2.0862,1.9
2011-02-28,67.3,89485424.0,28008.1865,12.8927,1.9541,1.9
2011-03-31,79.25,60021200.0,32981.4083,13.7111,2.093,1.9
2011-04-30,85.35,86307051.0,35520.0403,14.7664,2.2541,1.9
2011-05-31,81.1,58751549.0,33751.3213,14.0311,2.1418,1.9
2011-06-30,80.7,38879264.0,33584.8536,13.9619,2.1313,1.9
2011-07-31,86.1,55181765.0,35832.1672,14.8962,2.2739,1.9
