CHMB IN Equity,price,volume,mc,pe,bm,div
2011-08-31,106.45,125657652.0,44301.2102,18.417,2.8113,1.9
2011-09-30,93.75,87132519.0,39015.8615,16.2197,2.4759,1.9
2011-10-31,90.25,92408426.0,37559.2693,15.6142,2.3835,1.9
2011-11-30,87.95,42634546.0,36602.0802,15.2163,2.3227,1.9
2011-12-31,75.75,34468389.0,31524.8161,13.1055,2.0005,1.9
2012-01-31,84.85,55188915.0,35311.9557,14.6799,2.2409,1.9
2012-02-29,87.75,49208838.0,36518.8464,15.1817,2.3175,1.9
2012-03-31,77.3,48945731.0,32169.8783,20.3421,1.8912,1.9
2012-04-30,75.85,27017779.0,31566.433,19.9605,1.8558,1.9
2012-05-31,71.7,46664736.0,29839.3309,18.8684,1.7542,1.9
2012-06-30,73.15,34593416.0,30442.7762,19.25,1.7897,1.9
2012-07-31,71.3,41367771.0,29672.8719,18.7632,1.7444,1.9
2012-08-31,65.75,36873292.0,27363.1322,17.3026,1.6086,1.9
2012-09-30,73.85,33676432.0,30734.1037,19.4342,1.8068,1.9
2012-10-31,67.0,35887735.0,27883.3439,17.6316,1.6392,1.9
2012-11-30,67.4,26406776.0,28049.8116,17.7368,1.649,1.9
2012-12-31,67.7,35187404.0,28174.6624,17.8158,1.6564,1.9
2013-01-31,66.65,34144542.0,27737.6846,17.5395,1.6307,1.9
2013-02-28,55.65,14959604.0,23159.8222,14.6447,1.3615,1.9
2013-03-31,49.8,21624727.0,20725.2317,8.6911,1.119,1.9
2013-04-30,53.1,22662325.0,22098.5904,9.267,1.1932,1.9
2013-05-31,43.05,35673763.0,17916.0889,7.5131,0.9674,1.9
2013-06-30,36.2,35530181.0,15065.328,6.3176,0.8134,1.9
2013-07-31,35.1,42423602.0,14607.5418,6.1257,0.7887,1.9
2013-08-31,32.6,33753021.0,13567.1186,5.6894,0.7325,1.9
2013-09-30,35.8,21667950.0,14898.8603,6.2478,0.8044,1.9
2013-10-31,34.55,28672643.0,14378.6487,6.0297,0.7764,1.9
2013-11-30,39.0,31194559.0,16230.602,6.8063,0.8764,1.9
2013-12-31,40.1,20135812.0,16688.3882,6.9983,0.9011,1.9
2014-01-31,38.8,17533962.0,16147.3681,6.7714,0.8719,1.9
2014-02-28,38.2,7169346.0,15897.6665,6.6667,0.8584,1.9
2014-03-31,39.95,9267944.0,16625.9628,6.8058,0.8086,1.9
2014-04-30,40.5,15081248.0,16854.8559,6.8995,0.8197,1.9
2014-05-31,46.35,34773709.0,19289.4462,7.8961,0.9381,1.9
2014-06-30,57.5,57098617.0,23929.7337,9.7956,1.1638,1.9
2014-07-31,57.15,30064831.0,23784.0744,9.7359,1.1567,1.9
2014-08-31,56.35,14214756.0,23451.139,9.5997,1.1405,1.9
2014-09-30,58.3,21360593.0,24262.6691,9.9319,1.18,1.9
2014-10-31,61.7,10926501.0,25677.6446,10.5111,1.2488,1.9
2014-11-30,66.05,16204795.0,27487.981,11.2521,1.3369,1.9
2014-12-31,60.75,5606424.0,25282.2838,10.3492,1.2296,1.9
2015-01-31,60.5,8807953.0,25178.2415,10.3066,1.2245,1.9
2015-02-28,62.55,24468446.0,26031.3713,10.6559,1.266,1.9
2015-03-31,67.55,12605237.0,28112.2349,9.541,1.2489,1.9
2015-04-30,64.55,14447452.0,26863.7271,9.1172,1.1935,1.9
2015-05-31,61.75,5850269.0,25698.4531,8.7218,1.1417,1.9
2015-06-30,57.65,5828218.0,23992.159,8.1427,1.0659,1.9
2015-07-31,60.35,8631923.0,25115.8161,8.524,1.1158,1.9
2015-08-31,60.85,12897138.0,25323.9007,8.5946,1.1251,1.9
2015-09-30,58.65,5984843.0,24408.3283,8.2839,1.0844,1.9
2015-10-31,57.5,5130618.0,23929.7337,8.1215,1.0631,1.9
2015-11-30,63.15,11253286.0,26281.0901,8.9195,1.1676,1.9
2015-12-31,62.4,10846618.0,25968.9631,8.8136,1.1537,1.9
2016-01-31,57.8,11675305.0,24054.5844,8.1638,1.0687,1.9
2016-02-29,54.1,3311224.0,22514.7581,7.6412,1.0003,1.9
2016-03-31,54.9,5531446.0,22847.6935,6.6968,1.2239,1.9
2016-04-30,60.85,10426978.0,25323.9007,7.4226,1.3566,1.9
2016-05-31,65.85,15212626.0,27404.8115,8.0325,1.4681,1.9
2016-06-30,70.95,15362411.0,29527.2841,8.6546,1.5818,1.9
2016-07-31,64.35,10827609.0,26780.56,7.8496,1.4346,1.9
2016-08-31,67.95,9660300.0,28278.7731,8.2887,1.5149,1.9
2016-09-30,58.25,8547689.0,24241.9211,7.1055,1.2986,1.9
2016-10-31,64.1,20785279.0,26676.5174,7.8191,1.4291,1.9
2016-11-30,63.15,14757387.0,26281.1556,7.7032,1.4079,1.9
2016-12-31,71.05,21453633.0,29568.9011,8.6668,1.584,1.9
2017-01-31,80.5,44894269.0,33501.7106,9.8196,1.7947,1.9
2017-02-28,82.5,27558855.0,34334.0513,10.0635,1.8393,1.9
2017-03-31,86.75,21917176.0,36102.7751,9.4201,1.7003,1.9
2017-04-30,100.1,25656749.0,41658.6978,10.8698,1.9619,1.9
2017-05-31,122.9,60922565.0,51147.4034,13.3456,2.4088,1.9
2017-06-30,117.35,23976946.0,48837.6549,12.743,2.3,1.9
2017-07-31,135.45,31913649.0,56370.3482,14.7084,2.6548,1.9
2017-08-31,146.0,27658347.0,60760.9512,15.854,2.8616,1.9
2017-09-30,140.75,16981033.0,58576.054,15.2839,2.7587,1.9
2017-10-31,150.65,16814864.0,62696.1458,16.359,2.9527,1.9
2017-11-30,142.8,12007574.0,59429.2879,15.5066,2.7988,1.9
2017-12-31,152.45,12696755.0,63445.3427,16.5544,2.988,1.9
2018-01-31,160.35,19630056.0,66733.0975,17.4123,3.1428,1.9
2018-02-28,168.75,23090067.0,70233.8197,18.3244,3.3075,1.9
2018-03-31,164.65,15821809.0,68528.3298,13.8361,2.7351,1.9
2018-04-30,195.55,30227430.0,81389.0974,16.4328,3.2484,1.9
2018-05-31,169.0,20064565.0,70338.8262,14.2017,2.8073,1.9
2018-06-30,154.65,10917159.0,64366.269,12.9958,2.569,1.9
2018-07-31,146.5,10905073.0,60974.1895,12.3109,2.4336,1.9
2018-08-31,165.15,21916405.0,68736.4328,13.8782,2.7434,1.9
2018-09-30,151.55,12224656.0,63076.0302,12.7353,2.5175,1.9
2018-10-31,143.8,5980597.0,59850.4332,12.084,2.3887,1.9
2018-11-30,153.1,5025576.0,63721.1496,12.8655,2.5432,1.9
2018-12-31,148.2,6687629.0,61681.7399,12.4538,2.4618,1.9
2019-01-31,176.05,9240697.0,73273.079,14.7941,2.9244,1.9
2019-02-28,158.15,6343790.0,65822.9903,13.2899,2.6271,1.9
2019-03-31,167.05,4344110.0,69527.2243,11.6168,2.4114,1.9
2019-04-30,155.2,5671781.0,64595.1824,10.7928,2.2404,1.9
2019-05-31,189.4,11912841.0,78829.43,13.1711,2.7341,1.9
2019-06-30,175.1,5458361.0,72877.6832,12.1766,2.5276,1.9
2019-07-31,149.85,5748603.0,62368.4799,10.4207,2.1631,1.9
2019-08-31,154.9,4172417.0,64470.3206,10.7719,2.236,1.9
2019-09-30,153.8,6777620.0,64012.4939,10.6954,2.2202,2.0
2019-10-31,170.35,4777908.0,70900.7044,11.8463,2.4591,2.0
2019-11-30,148.95,12565165.0,61993.8944,10.3581,2.1502,2.0
2019-12-31,152.25,8702559.0,63367.3745,10.5876,2.1978,2.0
2020-01-31,180.95,17905601.0,75312.4887,12.5834,2.6121,2.0
2020-02-29,140.9,10518664.0,58643.4355,9.7983,2.0339,2.0
2020-03-31,108.45,11037608.0,45137.5485,3.68,1.2753,6.0
2020-04-30,129.5,20607368.0,53898.6863,4.3943,1.5229,6.0
2020-05-31,129.8,23562111.0,54023.5481,4.4045,1.5264,6.0
2020-06-30,141.95,39969972.0,59080.4519,4.8168,1.6693,6.0
2020-07-31,158.25,34660612.0,65864.6109,5.3699,1.861,6.0
2020-08-31,148.4,27317673.0,61764.9811,5.0356,1.7451,6.0
2020-09-30,157.8,22855949.0,65677.3182,5.3546,1.8557,4.0
2020-10-31,162.6,14488780.0,67675.1045,5.5175,1.9121,4.0
2020-11-30,203.85,21070751.0,84843.6043,6.9172,2.3972,7.0
2020-12-31,227.75,36961804.0,94790.929,7.7282,2.6783,7.0
2021-01-31,237.75,18762518.0,98952.9896,8.0675,2.7958,7.0
2021-02-28,244.3,28956048.0,101679.1392,8.2898,2.8729,7.0
2021-03-31,229.05,22924837.0,95331.9969,5.7608,1.8163,3.0
2021-04-30,217.35,14069094.0,90462.3861,5.4665,1.7235,3.0
2021-05-31,287.6,58835364.0,119700.8614,7.2334,2.2806,3.0
2021-06-30,306.6,53130661.0,127608.7765,7.7113,2.4312,3.0
2021-07-31,304.95,33324779.0,126922.0417,7.6698,2.4181,3.0
2021-08-31,321.0,38693287.0,133602.1491,8.0734,2.5454,7.5
2021-09-30,338.95,27006643.0,141073.0481,8.5249,2.6877,7.5
2021-10-31,369.7,42582127.0,153871.3848,9.2983,2.9316,7.5
2021-11-30,364.0,42245445.0,151499.0102,9.1549,2.8864,4.5
2021-12-31,394.8,60257809.0,164318.1572,9.9296,3.1306,4.5
2022-01-31,432.45,66095757.0,179988.3158,10.8765,3.4292,4.5
2022-02-28,377.7,34875178.0,157201.0334,9.4995,2.995,9.0
2022-03-31,422.1,49548163.0,175680.583,11.2201,2.7452,9.0
2022-04-30,457.55,76816414.0,190435.0882,12.1624,2.9758,9.0
2022-05-31,363.4,51133476.0,151249.2866,9.6598,2.3634,9.0
2022-06-30,266.15,45438514.0,110773.2461,7.0747,1.731,9.0
2022-07-31,322.15,50014774.0,134080.7861,8.5633,2.0952,9.0
2022-08-31,350.25,66286110.0,145776.1767,9.3102,2.2779,7.5
2022-09-30,319.45,40616222.0,132957.0297,8.4915,2.0776,7.5
2022-10-31,326.4,23666702.0,135849.6619,8.6762,2.1228,7.5
2022-11-30,304.8,47120980.0,126859.6107,8.1021,1.9823,7.5
2022-12-31,310.2,63073936.0,129107.1235,8.2456,2.0174,7.5
2023-01-31,312.7,28472170.0,130147.6387,8.3121,2.0337,7.5
2023-02-28,274.6,25969517.0,114290.1874,7.2993,1.7859,7.5
2023-03-31,264.1,22428317.0,109920.0236,10.6278,1.5552,7.5
2023-04-30,285.65,21857329.0,118889.2645,11.495,1.6821,7.5
2023-05-31,280.2,42277994.0,116620.9414,11.2757,1.65,7.5
2023-06-30,272.65,26703236.0,113478.5855,10.9718,1.6055,7.5
2023-07-31,277.1,30092593.0,115330.7026,11.1509,1.6317,7.5
2023-08-31,275.2,45607972.0,114539.911,11.0744,1.6205,6.0
2023-09-30,276.85,60217164.0,115226.651,11.1408,1.6302,6.0
2023-10-31,288.55,51137261.0,120096.2621,11.6117,1.6991,6.0
2023-11-30,318.25,69157001.0,132457.5824,12.8068,1.874,12.0
2023-12-31,373.4,80026877.0,155411.3473,15.0262,2.1988,12.0
2024-01-31,366.85,86599726.0,152685.1975,14.7626,2.1602,12.0
2024-02-29,351.05,47611304.0,146109.1416,14.1268,2.0672,7.5
2024-03-31,342.0,27385546.0,142342.4766,11.0895,1.8839,7.5
2024-04-30,424.4,59316026.0,170036.0794,13.7613,2.3377,7.5
2024-05-31,389.15,38813822.0,155913.1487,12.6184,2.1436,7.5
2024-06-30,506.8,179520503.0,203049.682,16.4332,2.7916,7.5
2024-07-31,518.0,107355075.0,207536.9678,16.7964,2.8533,7.5
2024-08-31,520.2,86551271.0,208418.3989,16.8677,2.8654,7.5
2024-09-30,529.45,63940386.0,212124.4162,17.1676,2.9164,7.5
2024-10-31,483.6,55854496.0,193754.59,15.6809,2.6638,7.5
2024-11-30,515.3,46112589.0,206455.2114,16.7088,2.8385,8.0
2024-12-31,493.95,33382097.0,197901.3229,16.0165,2.7208,8.0
2025-01-31,504.1,29149753.0,201967.9256,16.3457,2.7768,8.0
2025-02-28,533.7,60921632.0,213827.1809,17.3054,2.9398,8.0
2025-03-31,625.5,43357801.0,250606.8984,15.1931,2.8713,8.0
2025-04-30,692.65,37832294.0,277510.5806,16.8241,3.1796,8.0
2025-05-31,551.0,60932033.0,220758.4349,13.3835,2.5293,8.0
2025-06-30,565.25,42082128.0,226467.7047,13.7297,2.5947,8.0
2025-07-31,514.9,37600079.0,206294.9512,12.5067,2.3636,8.0
2025-08-31,540.1,54499243.0,216391.3442,13.1188,2.4793,10.0
2025-09-30,510.75,23216629.0,204632.2516,12.4059,2.3446,10.0
2025-10-31,480.85,14915423.0,192652.8011,11.6796,2.2073,10.0
2025-11-30,440.15,21891155.0,176346.3251,10.691,2.0205,10.0
2025-12-31,482.1,31133091.0,193153.6142,11.71,2.213,10.0
2026-01-31,441.3,17540448.0,176807.0732,10.719,2.0257,10.0
2026-02-28,461.25,20806450.0,184800.051,11.2035,2.1173,10.0
2026-03-31,434.05,2534902.0,173902.352,10.5429,1.9925,10.0
