CREDAG IN Equity,price,volume,mc,pe,bm,div
2020-03-31,337.35,4548226.0,48573.4946,14.5409,1.7765,0.0
2020-04-30,492.0,3098753.0,70840.8458,21.2069,2.5909,0.0
2020-05-31,389.15,3053320.0,56051.188,16.7737,2.0493,0.0
2020-06-30,522.25,3329624.0,75233.6638,22.5108,2.7502,0.0
2020-07-31,514.0,2285470.0,74045.1952,22.1552,2.7068,0.0
2020-08-31,717.75,4073883.0,103410.2684,30.9375,3.7797,0.0
2020-09-30,742.85,2795639.0,107033.2681,32.0194,3.9119,0.0
2020-10-31,647.95,1847023.0,100740.2161,27.9289,3.4121,0.0
2020-11-30,791.1,3240099.0,123001.3814,34.0991,4.166,0.0
2020-12-31,755.85,2460902.0,117520.66,32.5797,3.9803,0.0
2021-01-31,694.0,2627686.0,107914.5349,29.9138,3.6546,0.0
2021-02-28,681.2,2387287.0,105924.1804,29.3621,3.5872,0.0
2021-03-31,670.75,4197862.0,104336.8816,74.8605,2.8269,0.0
2021-04-30,595.4,3924816.0,92633.5484,66.4509,2.5093,0.0
2021-05-31,626.3,2594682.0,97449.5738,69.8996,2.6396,0.0
2021-06-30,750.0,8159783.0,116706.6833,83.7054,3.1609,0.0
2021-07-31,664.9,3530877.0,103464.3623,74.2076,2.8023,0.0
2021-08-31,702.15,4978588.0,109260.7941,78.365,2.9592,0.0
2021-09-30,636.45,2944231.0,99037.2889,71.0324,2.6823,0.0
2021-10-31,628.35,2194973.0,97776.8567,70.1283,2.6482,0.0
2021-11-30,503.35,3237529.0,78404.0082,56.1775,2.1214,0.0
2021-12-31,597.85,11243909.0,93136.4873,66.7243,2.5197,0.0
2022-01-31,627.95,4163636.0,97833.1657,70.0837,2.6465,0.0
2022-02-28,749.95,6001199.0,116877.8611,83.6998,3.1607,0.0
2022-03-31,849.7,7052052.0,132439.6342,38.1202,3.1784,0.0
2022-04-30,1036.2,5901849.0,161514.554,46.4872,3.876,0.0
2022-05-31,1071.5,5446718.0,167060.1741,48.0709,4.008,0.0
2022-06-30,1015.8,4594649.0,158394.6732,45.572,3.7997,0.0
2022-07-31,1056.45,4085341.0,164787.4396,47.3957,3.9517,0.0
2022-08-31,997.65,2885269.0,155622.8269,44.7577,3.7318,0.0
2022-09-30,994.1,5337162.0,155184.4358,44.5985,3.7185,0.0
2022-10-31,975.2,2234113.0,152250.1481,43.7506,3.6478,0.0
2022-11-30,960.25,2067818.0,149921.8976,43.0799,3.5919,0.0
2022-12-31,915.3,3845913.0,142943.071,41.0633,3.4237,0.0
2023-01-31,860.5,1817035.0,134397.9713,38.6048,3.2188,0.0
2023-02-28,964.95,3680325.0,150733.7723,43.2907,3.6095,0.0
2023-03-31,915.2,2386352.0,142965.6388,17.5865,2.8477,0.0
2023-04-30,964.3,3729940.0,150653.642,18.53,3.0005,0.0
2023-05-31,1234.1,8993141.0,196112.1009,23.7145,3.84,0.0
2023-06-30,1247.65,18208618.0,198285.7806,23.9748,3.8821,0.0
2023-07-31,1456.25,12548393.0,231637.4364,27.9833,4.5312,0.0
2023-08-31,1415.55,3931667.0,225186.3253,27.2012,4.4046,0.0
2023-09-30,1315.5,5095466.0,209313.5041,25.2786,4.0933,0.0
2023-10-31,1597.2,12095476.0,254174.399,30.6918,4.9698,0.0
2023-11-30,1697.45,5527609.0,270149.3542,32.6182,5.2817,0.0
2023-12-31,1596.55,4604080.0,254132.454,30.6793,4.9678,0.0
2024-01-31,1589.8,6643360.0,253103.0041,30.5496,4.9468,0.0
2024-02-29,1470.1,4720157.0,234186.4963,28.2494,4.5743,0.0
2024-03-31,1441.4,5527837.0,229725.9602,15.8605,3.4966,0.0
2024-04-30,1508.45,5311784.0,240412.1859,16.5983,3.6593,0.0
2024-05-31,1323.85,5963158.0,210999.5738,14.567,3.2114,0.0
2024-06-30,1322.1,6049766.0,210758.3791,14.5478,3.2072,0.0
2024-07-31,1327.65,10330938.0,211684.8056,14.6088,3.2207,10.0
2024-08-31,1221.05,5011850.0,194694.0024,13.4358,2.9621,10.0
2024-09-30,1197.6,5304850.0,190960.92,13.1778,2.9052,10.0
2024-10-31,981.95,9132762.0,156588.003,10.8049,2.3821,10.0
2024-11-30,902.0,8707205.0,143906.451,9.9252,2.1881,10.0
2024-12-31,886.55,9842774.0,141464.3756,9.7552,2.1506,10.0
2025-01-31,1082.85,91490439.0,172826.4583,11.9152,2.6268,10.0
2025-02-28,919.1,70391550.0,146691.5061,10.1133,2.2296,10.0
2025-03-31,951.95,37012038.0,151938.4405,28.5699,2.1858,10.0
2025-04-30,1088.55,13053558.0,173862.7945,32.6696,2.4995,10.0
2025-05-31,1144.5,19698343.0,182812.1604,34.3487,2.6279,10.0
2025-06-30,1209.7,7328551.0,193236.0989,36.3055,2.7777,10.0
2025-07-31,1248.3,23443611.0,199408.4477,37.464,2.8663,10.0
2025-08-31,1399.9,5503136.0,223693.9197,42.0138,3.2144,10.0
2025-09-30,1353.2,5979069.0,216307.6424,40.6122,3.1072,0.0
2025-10-31,1423.6,13420317.0,227637.9663,42.7251,3.2688,0.0
2025-11-30,1337.1,5841238.0,213911.4401,40.1291,3.0702,0.0
2025-12-31,1273.6,4097561.0,203877.8944,38.2233,2.9244,0.0
2026-01-31,1326.5,47503563.0,212391.6004,39.8109,3.0458,0.0
2026-02-28,1265.2,6358315.0,202605.1882,37.9712,2.9051,0.0
2026-03-31,1203.9,1438706.0,192788.801,36.1315,2.7643,0.0
