TITAGARH IN Equity,price,volume,mc,pe,bm,div
2008-04-30,168.11,121234295.0,15501.4226,20.7759,4.2146,0.0
2008-05-31,151.71,160585575.0,13989.1787,18.7491,3.8035,0.0
2008-06-30,109.15,9301585.0,10064.7212,13.4893,2.7365,0.0
2008-07-31,128.84,2669790.0,11880.336,15.9227,3.2301,1.0
2008-08-31,139.56,3448860.0,12868.8272,17.2475,3.4989,1.0
2008-09-30,138.54,1749560.0,12774.773,17.1215,3.4733,1.0
2008-10-31,78.18,2643155.0,7208.9776,9.6619,1.96,1.0
2008-11-30,56.22,1048360.0,5184.046,6.9479,1.4095,1.0
2008-12-31,68.32,1733005.0,6299.787,8.4433,1.7128,1.0
2009-01-31,48.12,1926630.0,4437.1451,5.9469,1.2064,1.0
2009-02-28,31.17,72997610.0,2874.1856,3.8521,0.7815,1.0
2009-03-31,28.34,22290975.0,2613.2313,4.0652,0.6683,1.0
2009-04-30,38.39,24687710.0,3539.9418,5.5069,0.9053,1.0
2009-05-31,63.12,23381585.0,5820.295,9.0543,1.4884,1.0
2009-06-30,85.6,19551920.0,7893.1758,12.2789,2.0185,1.0
2009-07-31,59.5,48508180.0,5486.4948,8.535,1.4031,1.0
2009-08-31,62.29,11531600.0,5743.7607,8.9352,1.4689,1.0
2009-09-30,60.95,9555615.0,5620.1993,8.743,1.4373,1.0
2009-10-31,53.51,11905195.0,4934.1569,7.6758,1.2618,1.0
2009-11-30,62.8,10670405.0,5790.7878,9.0084,1.4809,1.0
2009-12-31,89.17,71198350.0,8222.3654,12.791,2.1027,1.0
2010-01-31,83.86,46549325.0,7732.7304,12.0293,1.9775,1.0
2010-02-28,69.56,308321870.0,6541.8047,9.978,1.6403,1.0
2010-03-31,68.18,46339105.0,6412.0219,10.6543,1.4135,1.0
2010-04-30,66.13,9109750.0,6219.2286,10.3339,1.371,1.0
2010-05-31,64.21,7093265.0,6038.6613,10.0339,1.3312,1.0
2010-06-30,73.18,14485375.0,6882.2494,11.4356,1.5172,1.0
2010-07-31,81.76,20234915.0,7689.1598,12.7764,1.6951,1.0
2010-08-31,79.43,6835410.0,7470.0337,12.4123,1.6468,1.0
2010-09-30,95.36,16690445.0,8968.1785,14.9016,1.977,1.0
2010-10-31,98.98,6121235.0,9308.6232,15.4673,2.0521,1.0
2010-11-30,100.82,15876510.0,9481.6669,15.7549,2.0902,1.0
2010-12-31,101.87,31379785.0,9580.4147,15.9189,2.112,1.0
2011-01-31,87.36,24663130.0,8215.8145,13.6515,1.8112,1.0
2011-02-28,67.19,94997880.0,6318.9169,10.4996,1.393,1.0
2011-03-31,65.57,16955470.0,6166.5632,8.4193,1.0698,1.0
2011-04-30,75.25,10233690.0,7076.9236,9.6622,1.2278,1.0
2011-05-31,78.87,3796350.0,7417.3683,10.127,1.2868,1.0
2011-06-30,80.31,4823400.0,7552.7938,10.3119,1.3103,1.0
2011-07-31,86.45,3904355.0,8130.2331,11.1003,1.4105,1.6
2011-08-31,76.88,2019320.0,7230.2177,9.8715,1.2544,1.6
2011-09-30,82.15,1819400.0,7725.8375,10.5482,1.3404,1.6
2011-10-31,87.68,1440825.0,8245.9091,11.2582,1.4306,1.6
2011-11-30,86.62,4018410.0,8146.2209,11.1221,1.4133,1.6
2011-12-31,76.26,4077630.0,7171.9095,9.7919,1.2443,1.6
2012-01-31,81.27,10059760.0,7643.0775,10.4352,1.326,1.6
2012-02-29,87.66,18234440.0,8244.0282,11.2557,1.4303,1.6
2012-03-31,69.78,43233075.0,6562.4947,7.8937,1.0538,1.6
2012-04-30,68.75,8408890.0,6465.6278,7.7771,1.0383,1.6
2012-05-31,61.66,2228440.0,5798.8453,6.9751,0.9312,1.6
2012-06-30,62.9,3150680.0,6308.5867,7.1154,0.9499,1.6
2012-07-31,62.26,3921540.0,6244.3976,7.043,0.9402,1.6
2012-08-31,60.1,1012135.0,6027.7593,6.7986,0.9076,1.6
2012-09-30,64.78,2379035.0,6497.1422,7.3281,0.9783,1.6
2012-10-31,65.84,3056805.0,6603.4555,7.448,0.9943,1.6
2012-11-30,69.18,2680095.0,6938.4424,7.8258,1.0447,1.6
2012-12-31,71.74,4297400.0,7195.1989,8.1154,1.0834,1.6
2013-01-31,64.12,6479605.0,6430.9472,7.2534,0.9683,1.6
2013-02-28,39.03,32753805.0,3914.5332,4.4152,0.5894,1.6
2013-03-31,33.09,9678325.0,3318.778,14.0689,0.4908,1.6
2013-04-30,33.69,2114540.0,3378.9553,14.324,0.4997,1.6
2013-05-31,30.5,3494045.0,3059.0126,12.9677,0.4523,1.6
2013-06-30,18.49,5088640.0,1854.4609,7.8614,0.2742,1.6
2013-07-31,14.98,9908470.0,1502.4242,6.369,0.2222,1.6
2013-08-31,23.12,7437450.0,2318.8283,9.8299,0.3429,0.8
2013-09-30,22.04,4781725.0,2210.5094,9.3707,0.3269,0.8
2013-10-31,19.17,4050025.0,1922.6617,8.1505,0.2843,0.8
2013-11-30,20.94,9921910.0,2100.1845,8.9031,0.3106,0.8
2013-12-31,22.61,20163750.0,2267.6777,9.6131,0.3353,0.8
2014-01-31,20.82,33722755.0,2088.149,8.852,0.3088,0.8
2014-02-28,18.78,24012445.0,1883.5465,7.9847,0.2785,0.8
2014-03-31,22.87,17978750.0,2293.7545,9.2602,0.3462,0.8
2014-04-30,36.2,70230640.0,3630.6914,9.2602,0.548,0.8
2014-05-31,50.26,13221080.0,5040.844,9.2602,0.7608,0.8
2014-06-30,62.07,12511955.0,6225.332,9.2602,0.9396,0.8
2014-07-31,42.3,7247405.0,4242.493,9.2602,0.6403,0.8
2014-08-31,43.75,5048540.0,4387.9213,9.2602,0.6623,0.8
2014-09-30,41.86,9774465.0,4198.3631,9.2602,0.6337,0.8
2014-10-31,46.91,3344735.0,4704.8546,9.2602,0.7101,0.8
2014-11-30,63.52,42064345.0,6370.7602,9.2602,0.9616,0.8
2014-12-31,63.45,34521470.0,6363.7395,9.2602,0.9605,0.8
2015-01-31,71.91,27573130.0,7212.2381,9.2602,1.0886,0.8
2015-02-28,121.04,280704510.0,12139.7068,9.2602,1.8323,0.8
2015-03-31,115.18,163095835.0,11552.0177,9.2602,1.6768,0.8
2015-04-30,104.55,58820515.0,10485.878,9.2602,1.5221,0.8
2015-05-31,96.9,12704273.0,9718.6186,9.2602,1.4107,0.8
2015-06-30,101.35,14068499.0,10164.9329,9.2602,1.4755,0.8
2015-07-31,116.4,35801578.0,13430.7414,9.2602,1.6946,0.8
2015-08-31,106.85,19812825.0,12328.8206,9.2602,1.5555,0.8
2015-09-30,103.0,12965924.0,11884.5908,9.2602,1.4995,0.8
2015-10-31,110.5,16842233.0,12749.9736,9.2602,1.6087,0.8
2015-11-30,144.0,28665387.0,16615.3502,9.2602,2.0964,0.8
2015-12-31,163.55,56440236.0,18871.1148,9.2602,2.381,0.8
2016-01-31,138.95,44479938.0,16032.6591,9.2602,2.0229,0.8
2016-02-29,88.35,92520017.0,10194.2097,9.2602,1.2862,0.8
2016-03-31,95.1,32388958.0,10973.0542,9.2602,2.3038,0.8
2016-04-30,91.6,20677739.0,10569.2089,9.2602,2.2191,0.8
2016-05-31,91.85,18736506.0,10598.055,9.2602,2.2251,0.8
2016-06-30,90.15,14352916.0,10401.9015,9.2602,2.1839,0.8
2016-07-31,102.0,20952237.0,11769.2064,9.2602,2.471,0.8
