JYL IN Equity,price,volume,mc,pe,bm,div
2010-03-31,42.59,13721028.0,12362.2994,16.6357,3.1881,0.5
2010-04-30,42.88,12960156.0,12445.7549,16.748,3.2096,0.5
2010-05-31,51.31,14096648.0,14894.9924,20.0439,3.8412,0.5
2010-06-30,62.48,42697688.0,18135.2429,24.4043,4.6768,0.5
2010-07-31,70.91,10622276.0,20584.4804,27.7002,5.3085,1.0
2010-08-31,64.72,8086764.0,20875.6258,25.2832,4.8453,1.0
2010-09-30,74.56,11794892.0,24048.4951,29.126,5.5817,1.0
2010-10-31,69.0,13323732.0,22254.433,26.9531,5.1653,1.0
2010-11-30,66.95,7741860.0,21593.2506,26.1523,5.0118,1.0
2010-12-31,67.43,2025576.0,21746.4514,26.3379,5.0474,1.0
2011-01-31,58.71,8936460.0,18936.4261,22.9346,4.3952,1.0
2011-02-28,52.58,10304972.0,16956.9104,20.5371,3.9357,1.0
2011-03-31,55.0,26960488.0,17739.0408,24.8307,2.8108,1.0
2011-04-30,51.74,11958284.0,16686.7932,23.3578,2.6441,1.0
2011-05-31,51.34,30329656.0,16557.782,23.1772,2.6236,1.0
2011-06-30,54.41,10228816.0,17549.5556,24.5655,2.7808,1.0
2011-07-31,59.6,4091160.0,19222.6697,26.9074,3.0459,1.0
2011-08-31,42.71,12345944.0,13775.9778,19.2833,2.1828,1.0
2011-09-30,38.65,8324860.0,12465.7078,17.4492,1.9752,1.25
2011-10-31,35.81,4140764.0,11550.5345,16.1682,1.8302,1.25
2011-11-30,36.7,13352868.0,11836.7782,16.5688,1.8756,1.25
2011-12-31,40.33,3465272.0,13005.9422,18.2054,2.0608,1.25
2012-01-31,41.01,7077720.0,13227.6802,18.5158,2.096,1.25
2012-02-29,48.93,19804656.0,15779.6831,22.088,2.5003,1.25
2012-03-31,40.13,6193836.0,12941.4366,29.0235,2.1132,1.25
2012-04-30,43.6,6190760.0,14062.2215,31.5371,2.2962,1.25
2012-05-31,54.84,12495492.0,17686.63,39.6655,2.888,1.25
2012-06-30,58.94,11865988.0,19008.9949,42.6311,3.1039,1.25
2012-07-31,62.03,5842040.0,20004.8001,44.8644,3.2665,0.625
2012-08-31,77.83,14051880.0,25100.7428,56.2929,4.0986,0.625
2012-09-30,79.88,16149118.0,25761.9252,57.7758,4.2066,0.625
2012-10-31,88.68,9972544.0,28600.1717,64.141,4.67,0.625
2012-11-30,92.98,10508440.0,29987.0422,67.2514,4.8965,0.625
2012-12-31,81.33,6503818.0,26229.5908,58.8246,4.2829,0.625
2013-01-31,75.47,6410658.0,24342.8019,54.5931,3.9749,0.625
2013-02-28,78.9,9572124.0,25447.4604,57.0705,4.1552,0.625
2013-03-31,83.0,2912848.0,26769.8253,140.678,4.1923,0.625
2013-04-30,88.4,3849700.0,28511.4765,149.8305,4.465,0.625
2013-05-31,102.1,5372366.0,32930.1103,173.0508,5.157,0.625
2013-06-30,90.05,6303422.0,29900.8321,152.6271,4.5484,0.625
2013-07-31,82.0,11045132.0,27227.8538,138.9831,4.1418,1.25
2013-08-31,77.5,8192616.0,25733.6423,131.3559,3.9145,1.25
2013-09-30,84.05,4133308.0,27908.5501,142.4576,4.2453,1.25
2013-10-31,92.65,8119918.0,30764.1543,157.0339,4.6797,1.25
2013-11-30,91.03,2864282.0,30224.5779,154.2797,4.5976,1.25
2013-12-31,94.88,8936512.0,34349.2088,160.8051,4.7921,1.25
2014-01-31,108.35,10047004.0,39227.7921,183.6441,5.4727,1.25
2014-02-28,97.23,3512534.0,35200.0193,164.7881,4.9108,1.75
2014-03-31,103.63,8136602.0,37517.1201,43.4486,5.1087,1.75
2014-04-30,95.03,5952454.0,34403.5159,39.8428,4.6847,1.75
2014-05-31,91.75,9941802.0,33217.812,38.4696,4.5232,1.75
2014-06-30,85.8,8298580.0,31063.6323,35.9748,4.2299,1.75
2014-07-31,90.43,8558690.0,32738.0997,37.914,4.4579,1.5
2014-08-31,111.18,18602590.0,40250.5749,46.6143,5.4809,1.5
2014-09-30,119.93,22653316.0,43418.4861,50.283,5.9123,1.5
2014-10-31,125.23,8846118.0,45337.3352,52.5052,6.1736,1.5
2014-11-30,117.1,13114836.0,42395.7034,49.0985,5.773,1.5
2014-12-31,130.0,8180652.0,47066.1096,54.5073,6.409,1.5
2015-01-31,144.4,11302614.0,52279.5864,60.5451,7.1189,1.5
2015-02-28,136.93,12772160.0,49573.1472,57.4109,6.7504,1.0
2015-03-31,133.65,4677242.0,48387.5812,39.9552,6.2062,1.0
2015-04-30,124.25,2914576.0,44984.3394,37.145,5.7697,1.0
2015-05-31,135.68,5696348.0,49120.7263,40.5605,6.3003,1.0
2015-06-30,146.03,5085968.0,52867.9127,43.6547,6.7809,1.0
2015-07-31,151.93,8220486.0,55003.99,45.4185,7.0549,2.0
2015-08-31,157.7,6899606.0,57094.8114,47.145,7.323,2.0
2015-09-30,158.98,8419802.0,57584.9193,47.5262,7.3822,2.0
2015-10-31,153.78,4822284.0,55701.3427,45.9716,7.1408,2.0
2015-11-30,156.3,4087404.0,56615.964,46.7265,7.258,2.0
2015-12-31,156.93,5723244.0,56842.3554,46.9133,7.2871,2.0
2016-01-31,143.43,4668144.0,51952.301,42.8774,6.6602,2.0
2016-02-29,127.45,2629770.0,46165.7365,38.1016,5.9183,2.0
2016-03-31,145.7,2670126.0,52778.2732,67.6102,5.8546,4.0
2016-04-30,152.2,2681654.0,55132.829,70.6265,6.1158,4.0
2016-05-31,141.05,6668168.0,51093.8602,65.4524,5.6678,4.0
2016-06-30,151.35,17233996.0,54824.9255,70.232,6.0817,4.0
2016-07-31,144.0,5997058.0,52162.4663,66.8213,5.7863,2.5
2016-08-31,154.28,10191074.0,55884.4756,71.5893,6.1992,2.5
2016-09-30,172.35,9910800.0,62590.1796,79.9768,6.9255,2.5
2016-10-31,179.7,2610328.0,65259.3865,83.3875,7.2209,2.5
2016-11-30,175.08,5829026.0,63579.7835,81.2413,7.035,2.5
2016-12-31,169.38,3732536.0,61521.742,78.5963,6.806,2.5
2017-01-31,174.33,3664354.0,63319.7205,80.8933,7.0049,2.5
2017-02-28,187.33,4402234.0,68067.8098,86.9258,7.5272,2.5
2017-03-31,176.33,8387070.0,64070.7678,30.7454,5.8834,0.5
2017-04-30,200.0,7108256.0,72673.4924,34.8736,6.6733,0.5
2017-05-31,182.55,7124402.0,66332.7302,31.8309,6.0911,0.5
2017-06-30,177.95,7626478.0,64661.2399,31.0288,5.9376,0.5
2017-07-31,185.3,7053602.0,67331.9907,32.3104,6.1829,3.0
2017-08-31,191.75,4482602.0,69675.7109,33.435,6.3981,3.0
2017-09-30,202.28,2325154.0,73500.1534,35.2703,6.7493,3.0
2017-10-31,196.7,2931436.0,71474.3798,34.2982,6.5632,3.0
2017-11-30,188.0,16124744.0,68354.5786,32.7812,6.2729,3.0
2017-12-31,191.1,8416150.0,69481.702,33.3217,6.3764,3.0
2018-01-31,182.55,16376352.0,66373.023,31.8309,6.0911,3.0
2018-02-28,171.6,3858902.0,62391.7307,29.9215,5.7257,3.0
2018-03-31,197.93,7666722.0,71963.1893,77.3145,6.2894,3.0
2018-04-30,181.55,3677026.0,66009.433,70.918,5.769,3.0
2018-05-31,211.58,15449454.0,76926.1679,82.6465,6.7231,3.0
2018-06-30,234.65,11208806.0,85315.965,91.6602,7.4563,3.0
2018-07-31,220.25,5797178.0,80080.2953,86.0352,6.9988,0.5
2018-08-31,217.8,6194707.0,79189.5043,85.0781,6.9209,0.5
2018-09-30,195.25,5267335.0,70990.591,76.2695,6.2044,0.5
2018-10-31,189.3,6927817.0,68827.2413,73.9453,6.0153,0.5
2018-11-30,185.7,3088024.0,68190.6452,72.5391,5.9009,0.5
2018-12-31,213.7,8829327.0,78472.4872,83.4766,6.7906,0.5
2019-01-31,183.95,7362967.0,67548.0301,71.8555,5.8453,0.5
2019-02-28,179.35,2806209.0,65858.8703,70.0586,5.6991,0.5
2019-03-31,183.0,5055431.0,67199.1819,32.5623,5.0658,0.5
2019-04-30,179.6,7004929.0,65950.6725,31.9573,4.9717,0.5
2019-05-31,170.9,13793206.0,62755.9573,30.4093,4.7308,0.5
2019-06-30,158.85,5747418.0,58331.0931,28.2651,4.3973,0.5
2019-07-31,153.5,4133407.0,56366.5269,27.3132,4.2492,3.0
2019-08-31,142.3,3708860.0,52253.79,25.3203,3.9391,3.0
2019-09-30,168.85,5662428.0,62003.1795,30.0445,4.6741,3.0
2019-10-31,175.15,3609270.0,64316.594,31.1655,4.8485,3.0
2019-11-30,178.95,8013549.0,65711.9868,31.8416,4.9537,3.0
2019-12-31,147.0,8697932.0,53979.6707,26.1566,4.0692,3.0
2020-01-31,154.6,5827695.0,56770.4564,27.5089,4.2796,3.0
2020-02-29,123.15,17421277.0,45221.7445,21.9128,3.409,3.0
2020-03-31,92.2,6864023.0,33856.637,19.8707,2.7556,3.0
2020-04-30,116.05,7878337.0,42614.5631,25.0108,3.4684,3.0
2020-05-31,105.95,6438492.0,38905.7558,22.8341,3.1666,3.0
2020-06-30,117.5,17651458.0,43147.0157,25.3233,3.5118,3.0
2020-07-31,123.2,18844044.0,45240.1049,26.5517,3.6821,3.0
2020-08-31,142.15,30030167.0,52198.7087,30.6358,4.2485,3.0
2020-09-30,147.05,9191097.0,53998.0311,31.6918,4.395,3.0
2020-10-31,135.8,4258996.0,49866.9337,29.2672,4.0587,3.0
2020-11-30,140.9,11187084.0,51739.6978,30.3664,4.2111,3.0
2020-12-31,146.35,19619616.0,53740.9849,31.5409,4.374,3.0
2021-01-31,162.1,17222645.0,59524.521,34.9353,4.8448,3.0
2021-02-28,148.85,10139660.0,54659.0065,32.0797,4.4487,3.0
2021-03-31,136.8,7507495.0,50234.1424,25.1934,3.5164,3.0
2021-04-30,146.25,18105978.0,53704.264,26.9337,3.7593,3.0
2021-05-31,155.05,23775020.0,56935.7001,28.5543,3.9855,0.0
2021-06-30,154.8,15111193.0,56843.8979,28.5083,3.9791,0.0
2021-07-31,170.25,35634334.0,62517.2716,31.3536,4.3763,4.0
2021-08-31,161.9,10594488.0,59451.0795,29.8158,4.1616,4.0
2021-09-30,168.6,16613478.0,61911.3774,31.0497,4.3338,4.0
2021-10-31,156.55,8304882.0,57486.5132,28.8306,4.0241,4.0
2021-11-30,154.55,9470904.0,56752.0959,28.4622,3.9727,4.0
2021-12-31,138.2,14009201.0,50748.2346,25.4512,3.5524,4.0
2022-01-31,140.75,8898411.0,51684.6166,25.9208,3.618,4.0
2022-02-28,136.95,5709822.0,50289.2238,25.221,3.5203,4.0
2022-03-31,147.45,13092764.0,54144.9146,33.4354,3.7508,4.0
2022-04-30,154.3,7295270.0,56660.2938,34.9887,3.925,4.0
2022-05-31,149.0,19001507.0,54714.088,33.7868,3.7902,4.0
2022-06-30,149.65,11471751.0,54952.7736,33.9342,3.8067,4.0
2022-07-31,171.5,15300339.0,62976.2824,38.8889,4.3626,2.5
2022-08-31,188.7,12689822.0,69292.2711,42.7891,4.8001,2.5
2022-09-30,188.45,9115151.0,69200.469,42.7324,4.7937,2.5
2022-10-31,197.95,9240788.0,72688.9511,44.8866,5.0354,2.5
2022-11-30,203.0,10714180.0,74543.3547,46.0317,5.1638,2.5
2022-12-31,204.85,16053131.0,75222.6907,46.4512,5.2109,2.5
2023-01-31,205.0,7720123.0,75277.772,46.4853,5.2147,2.5
2023-02-28,190.25,6908594.0,69861.4445,43.1406,4.8395,2.5
2023-03-31,190.5,3949789.0,69953.2467,29.173,4.5161,2.5
2023-04-30,194.75,3574022.0,71513.8834,29.8239,4.6168,2.5
2023-05-31,209.25,15936278.0,76838.4088,32.0444,4.9606,2.5
2023-06-30,215.85,16395124.0,79261.9858,33.0551,5.117,2.5
2023-07-31,311.8,79402424.0,114495.6552,47.7489,7.3916,3.0
2023-08-31,348.35,27800048.0,127917.1311,53.3461,8.2581,3.0
2023-09-30,360.5,25411252.0,132378.7162,55.2067,8.5461,3.0
2023-10-31,362.6,24842791.0,133149.8543,55.5283,8.5959,3.0
2023-11-30,434.45,33237983.0,159533.7954,66.5314,10.2992,3.0
2023-12-31,478.9,18979250.0,175856.2196,73.3384,11.353,3.0
2024-01-31,515.15,24700061.0,189167.533,78.8897,12.2123,3.0
2024-02-29,462.05,30279309.0,169668.754,70.758,10.9535,3.0
2024-03-31,439.95,23764192.0,161553.4429,43.7326,8.9337,3.0
2024-04-30,434.35,13467940.0,159497.0745,43.1759,8.82,3.0
2024-05-31,400.5,34324177.0,147067.0619,39.8111,8.1327,3.0
2024-06-30,431.6,21157366.0,158487.2508,42.9026,8.7642,3.0
2024-07-31,526.8,45744705.0,193445.5137,52.3658,10.6973,3.5
2024-08-31,539.8,16152209.0,198219.226,53.6581,10.9613,3.5
2024-09-30,558.0,13904302.0,204902.4234,55.4672,11.3309,3.5
2024-10-31,519.1,21427206.0,190618.0071,51.6004,10.541,3.5
2024-11-30,420.1,14942660.0,154264.3513,41.7594,8.5307,3.5
2024-12-31,397.1,20345308.0,145818.5525,39.4732,8.0636,3.5
2025-01-31,398.4,12665208.0,146298.2612,39.6024,8.09,3.5
2025-02-28,322.4,13550309.0,118389.9583,32.0477,6.5467,3.5
2025-03-31,328.7,15887549.0,120703.4098,32.5768,5.8894,3.5
2025-04-30,374.0,26874801.0,137338.2271,37.0664,6.701,3.5
2025-05-31,345.0,11615587.0,126689.0063,34.1923,6.1814,3.5
2025-06-30,346.15,12630169.0,127111.303,34.3062,6.202,3.5
2025-07-31,332.4,13484110.0,122062.1035,32.9435,5.9557,3.5
2025-08-31,340.4,5675779.0,124999.8195,33.7364,6.099,3.5
2025-09-30,315.25,7179362.0,115764.3746,31.2438,5.6484,3.5
2025-10-31,314.5,6241817.0,115488.9637,31.1695,5.635,3.5
2025-11-30,300.05,5137145.0,110182.714,29.7374,5.3761,3.5
2025-12-31,282.65,8928887.0,103793.1815,28.0129,5.0643,3.5
2026-01-31,248.7,10316412.0,91326.2489,24.6482,4.456,3.5
2026-02-28,253.46,13405386.0,93074.19,25.1199,4.5413,3.5
2026-03-31,249.85,1407238.0,91748.5478,24.7621,4.4766,3.5
