JYL IN Equity,price,volume,mc,pe,bm,div
2007-12-31,43.14,257536180.0,12523.232,26.013,4.2949,0.0
2008-01-31,39.85,35315480.0,11566.047,24.0248,3.9666,0.0
2008-02-29,37.77,7054820.0,10962.9986,22.7721,3.7598,0.0
2008-03-31,39.27,8121940.0,11397.6869,23.6751,3.9089,0.0
2008-04-30,31.99,2032160.0,9285.3315,19.2871,3.1844,0.0
2008-05-31,26.0,13308000.0,7548.0057,15.6784,2.5886,0.0
2008-06-30,23.33,2779720.0,6772.9581,13.5796,2.0808,0.0
2008-07-31,22.02,1339120.0,6391.2399,12.8142,1.9635,0.0
2008-08-31,22.24,6131960.0,6457.2786,12.9466,1.9838,0.0
2008-09-30,15.61,3607600.0,4529.8194,9.0821,1.3917,0.0
2008-10-31,11.5,6830500.0,3336.7686,6.6901,1.0251,0.5
2008-11-30,13.76,4816540.0,3992.8014,8.0054,1.2267,0.5
2008-12-31,18.76,2382728.0,5446.3785,10.9198,1.6732,0.5
2009-01-31,12.98,455728.0,3766.383,7.5515,1.1571,0.5
2009-02-28,14.79,759148.0,4292.5155,8.6064,1.3188,0.5
2009-03-31,14.33,614300.0,4158.261,8.3445,1.1988,0.5
2009-04-30,16.4,3193852.0,4760.592,8.3445,1.3724,0.5
2009-05-31,20.78,3566904.0,6030.567,8.3445,1.7385,0.5
2009-06-30,24.16,20572480.0,7013.8905,8.3445,2.022,0.5
2009-07-31,26.0,4285368.0,7547.28,8.3445,2.1758,0.5
2009-08-31,31.93,7972876.0,9267.189,8.3445,2.6716,0.5
2009-09-30,33.99,12793648.0,9865.8915,8.3445,2.8442,0.5
2009-10-31,37.54,9032440.0,10896.3855,8.3445,3.1413,0.5
2009-11-30,40.6,9178432.0,11785.368,8.3445,3.3976,0.5
2009-12-31,43.54,27526424.0,12638.0654,8.3445,3.6434,0.5
2010-01-31,39.09,6619764.0,11346.3195,8.3445,3.271,0.5
2010-02-28,44.23,9702668.0,12837.6329,8.3445,3.7009,0.5
