AEGISLOG IN Equity,price,volume,mc,pe,bm,div
2020-10-31,207.05,3910658.0,71501.2649,41.2899,4.0718,1.7
2020-11-30,255.85,6554920.0,88353.5312,51.0215,5.0315,1.7
2020-12-31,252.0,7134016.0,87023.9979,44.9635,4.9204,1.7
2021-01-31,284.15,9340333.0,98126.4643,50.6999,4.9204,1.7
2021-02-28,308.5,6767121.0,108283.5,55.0446,4.9204,1.7
2021-03-31,298.65,11011367.0,104826.15,46.1268,5.4132,1.7
2021-04-30,304.2,6540013.0,106774.2,46.984,5.5138,1.2
2021-05-31,359.2,17413367.0,126079.2,55.4788,6.5108,1.2
2021-06-30,343.85,17585320.0,120691.35,45.88,6.2488,1.2
2021-07-31,319.65,23777631.0,112197.15,42.651,6.2488,1.2
2021-08-31,266.25,12191947.0,93453.75,35.5258,6.2488,1.2
2021-09-30,227.6,20210778.0,79887.6,26.7153,3.7624,2.0
2021-10-31,212.7,21147417.0,74657.7,24.9664,3.5161,2.0
2021-11-30,229.3,33697918.0,80484.3,26.9149,3.7905,2.0
2021-12-31,221.25,21304338.0,77658.75,23.6406,3.6169,2.0
2022-01-31,202.7,14673996.0,71147.7,21.6586,3.6169,2.0
2022-02-28,168.8,23156980.0,59248.8,18.0363,3.6169,2.0
2022-03-31,205.55,31173019.0,72148.05,20.1739,3.3098,2.0
2022-04-30,221.45,24606005.0,77728.95,21.7345,3.5659,2.0
2022-05-31,217.6,11008704.0,76377.6,21.3566,3.5039,2.0
2022-06-30,209.0,15301078.0,73359.0,18.5961,3.3598,2.0
2022-07-31,258.85,32847748.0,90856.35,23.0316,3.3598,4.5
2022-08-31,294.1,29994446.0,103229.1,26.1681,3.3598,6.0
2022-09-30,271.1,18570140.0,95156.1,24.185,2.8554,5.0
2022-10-31,310.9,26023488.0,109125.9,27.7356,3.2746,5.0
2022-11-30,325.1,18813873.0,114110.1,29.0024,3.4241,7.0
2022-12-31,347.65,24109291.0,122025.15,29.2635,3.7064,7.0
2023-01-31,381.65,17224372.0,133959.15,32.1254,3.7064,7.0
2023-02-28,364.05,13957499.0,127781.55,30.6439,3.7064,5.0
2023-03-31,378.95,19648795.0,133011.45,28.7301,3.7655,5.0
2023-04-30,391.85,8354773.0,137539.35,29.7081,3.8937,5.0
2023-05-31,358.45,8928803.0,125815.95,27.1759,3.5618,5.0
2023-06-30,321.0,25404618.0,112671.0,23.7075,3.227,6.25
2023-07-31,382.0,28952127.0,134082.0,28.2127,3.227,5.75
2023-08-31,369.9,6950181.0,129834.9,27.3191,3.227,6.75
2023-09-30,329.4,9917077.0,115619.4,22.7172,3.1716,5.75
2023-10-31,292.4,6808584.0,102632.4,20.1655,2.8153,5.75
2023-11-30,371.95,32510952.0,130554.45,25.6517,3.5813,3.75
