POONAWAL IN Equity,price,volume,mc,pe,bm,div
2002-07-31,4.0,16800.0,227.5,8.3541,0.3219,0.2
2002-08-31,3.22,17485.0,183.1375,6.7251,0.2591,0.2
2002-09-30,4.2,1060.0,238.875,8.7718,0.338,0.2
2002-10-31,3.86,6020.0,219.5375,8.0617,0.3106,0.2
2002-11-30,4.0,2055.0,227.5,8.3541,0.3219,0.2
2002-12-31,3.3,7795.0,187.6875,6.8922,0.2655,0.2
2003-01-31,2.38,5905.0,135.3625,4.9707,0.1915,0.2
2003-02-28,2.47,23650.0,140.4813,5.1587,0.1988,0.2
2003-03-31,2.22,78775.0,126.2625,2.0996,0.1667,0.2
2003-04-30,3.02,14700.0,171.7625,2.8562,0.2267,0.2
2003-05-31,2.24,54615.0,127.4,2.1185,0.1682,0.2
2003-06-30,3.13,16070.0,178.2462,2.964,0.2353,0.2
2003-07-31,2.68,112200.0,152.425,2.5346,0.2012,0.2
2003-08-31,4.18,168155.0,237.7375,3.9533,0.3138,0.2
2003-09-30,3.0,42665.0,170.625,2.8373,0.2252,0.2
2003-10-31,3.52,39625.0,200.2,3.3291,0.2642,0.2
2003-11-30,3.85,50165.0,218.9688,3.6412,0.289,0.2
2003-12-31,4.57,144950.0,259.9188,4.3221,0.3431,0.2
2004-01-31,5.2,371585.0,295.75,4.9179,0.3904,0.2
2004-02-29,4.42,341970.0,251.3875,4.1802,0.3318,0.2
2004-03-31,4.8,2356525.0,273.0,2.227,0.3648,0.2
2004-04-30,5.02,676360.0,285.5125,2.329,0.3816,0.2
2004-05-31,4.22,2505825.0,240.0125,1.9579,0.3207,0.2
2004-06-30,4.2,170875.0,238.875,1.9486,0.3192,0.2
2004-07-31,4.91,117450.0,279.2563,2.278,0.3732,0.2
2004-08-31,5.0,109800.0,284.375,2.3198,0.38,0.2
2004-09-30,5.51,326880.0,313.3812,2.5564,0.4188,0.2
2004-10-31,5.68,238455.0,323.05,2.6352,0.4317,0.2
2004-11-30,7.3,407560.0,415.1875,3.3869,0.5548,0.2
2004-12-31,11.48,746700.0,652.925,5.3262,0.8726,0.2
2005-01-31,9.75,1216890.0,554.5313,4.5235,0.7411,0.2
2005-02-28,13.93,4760720.0,792.2688,6.4629,1.0588,0.2
2005-03-31,14.5,697295.0,824.6875,7.0765,0.9865,0.2
