BDE IN Equity,price,volume,mc,pe,bm,div
2021-03-31,5574.35,1010575.0,132267.8089,129.9382,22.344,0.0
2021-04-30,5244.3,424062.0,124436.4043,122.2448,21.0211,0.0
2021-05-31,6012.65,1172849.0,142667.7624,140.155,24.1009,0.0
2021-06-30,5797.15,693478.0,137554.3926,53.1264,23.2467,0.0
2021-07-31,5468.2,499556.0,129749.0887,50.1118,23.2467,15.0
2021-08-31,5863.1,697394.0,139119.2498,53.7308,23.2467,15.0
2021-09-30,6506.9,1114008.0,154395.2937,50.2696,22.7678,15.0
2021-10-31,6654.7,491710.0,157902.2824,51.4115,23.2849,15.0
2021-11-30,6551.35,515861.0,155450.0004,50.613,22.9233,15.0
2021-12-31,6323.0,460737.0,150031.7267,44.7551,22.0352,15.0
2022-01-31,6927.05,460644.0,164364.5852,49.0306,22.0352,15.0
2022-02-28,6001.8,304958.0,142410.3143,42.4816,22.0352,25.0
2022-03-31,6862.25,296208.0,162827.0151,42.6015,18.673,25.0
2022-04-30,6836.95,160141.0,162226.6984,42.4444,18.6042,25.0
2022-05-31,7490.0,547578.0,177722.2257,46.4986,20.3812,25.0
2022-06-30,7802.15,437426.0,185128.9003,39.4128,21.2313,25.0
2022-07-31,8587.45,534157.0,203762.4468,43.3797,21.2313,60.0
2022-08-31,8545.7,483271.0,202771.8056,43.1688,21.2313,60.0
2022-09-30,8851.35,1029643.0,210024.2486,44.4189,20.4268,60.0
2022-10-31,7587.05,517277.0,180025.0217,38.0742,17.5091,60.0
2022-11-30,7604.3,755021.0,180434.3285,38.1608,17.5489,60.0
2022-12-31,7706.05,540176.0,182848.6458,41.7401,17.755,60.0
2023-01-31,6315.5,511725.0,149853.7672,34.2081,17.755,60.0
2023-02-28,6208.85,616171.0,147323.183,33.6304,17.755,35.0
2023-03-31,6212.95,403466.0,147420.4675,39.7858,12.4979,35.0
2023-04-30,5941.05,449815.0,140968.8423,38.0446,11.951,35.0
2023-05-31,6226.2,380054.0,147734.8627,39.8706,12.5246,35.0
2023-06-30,7245.55,656739.0,171921.9322,54.9197,14.485,35.0
2023-07-31,6728.15,301321.0,159645.0991,50.9979,14.485,60.0
2023-08-31,6281.9,655010.0,149056.5086,47.6154,14.485,60.0
2023-09-30,6688.0,489087.0,158692.4226,54.2637,13.0448,30.0
2023-10-31,6579.6,505253.0,156120.3145,53.3842,12.8334,30.0
2023-11-30,7099.85,266241.0,168464.7722,57.6053,13.8482,30.0
2023-12-31,7362.45,254478.0,174695.7277,59.6875,14.1996,30.0
2024-01-31,6509.2,179614.0,154449.868,52.7702,14.1996,30.0
2024-02-29,6034.7,456234.0,143190.9633,48.9234,14.1996,30.0
2024-03-31,6183.95,734205.0,146732.3575,48.7463,10.7318,30.0
2024-04-30,6311.3,631746.0,149754.1099,49.7501,10.9528,30.0
2024-05-31,7203.55,1441899.0,170925.359,56.7835,12.5012,30.0
2024-06-30,7971.45,466560.0,189146.0395,64.5253,13.5996,30.0
2024-07-31,8175.55,837227.0,193988.9108,66.1774,13.5996,25.0
2024-08-31,8041.45,225154.0,190806.9949,65.0919,13.5996,25.0
2024-09-30,8204.7,1995873.0,194680.5801,68.8083,13.6645,25.0
2024-10-31,8142.75,1051142.0,193210.6346,68.2887,13.5613,25.0
2024-11-30,7505.55,210492.0,178091.195,62.9449,12.5001,25.0
2024-12-31,6967.45,538495.0,165323.1937,60.1057,11.0725,25.0
2025-01-31,6580.0,329681.0,156129.8057,56.7633,11.0725,25.0
2025-02-28,5997.35,236364.0,142304.725,51.737,11.0725,25.0
2025-03-31,6136.5,896319.0,145606.467,57.6847,9.3395,25.0
2025-04-30,6203.0,220286.0,147184.3746,58.3098,9.4407,25.0
2025-05-31,6622.0,329026.0,157126.3789,62.2485,10.0784,25.0
2025-06-30,6389.5,170984.0,151609.6343,61.1728,9.6865,25.0
2025-07-31,5994.0,1341193.0,142225.2364,57.3863,9.6865,25.0
2025-08-31,5607.5,577062.0,133054.3899,53.686,9.6865,25.0
2025-09-30,5703.0,1367986.0,135320.4076,50.8017,8.2951,25.0
2025-10-31,6572.0,8551380.0,155939.9822,58.5427,9.5591,25.0
2025-11-30,5719.0,1150724.0,135700.0545,50.9442,8.3184,25.0
2025-12-31,5521.0,522297.0,131001.9236,51.6416,8.0616,25.0
2026-01-31,5492.0,1386304.0,130313.8135,51.3703,8.0616,25.0
2026-02-28,5682.5,307735.0,134833.985,53.1522,8.0616,25.0
2026-03-31,5450.0,32301.0,129317.2403,50.9775,8.0616,25.0
