MOFS IN Equity,price,volume,mc,pe,bm,div
2007-09-30,54.71,372332140.0,31079.6561,32.012,8.3491,0.0
2007-10-31,54.83,28962280.0,31146.4055,32.0807,8.367,0.0
2007-11-30,86.4,25059680.0,49082.1108,50.5545,13.1851,0.0
2007-12-31,91.36,6889180.0,51899.7876,53.4567,13.9421,0.0
2008-01-31,66.77,19760080.0,37927.8603,39.0656,10.1887,0.0
2008-02-29,46.02,10294220.0,26144.4612,26.9287,7.0233,0.0
2008-03-31,33.87,39645640.0,19239.4489,58.8488,2.7135,0.0
2008-04-30,40.86,62055820.0,23214.5887,71.0078,3.2741,0.0
2008-05-31,37.44,21402200.0,21270.3349,65.0608,2.9999,0.2
2008-06-30,29.99,8765620.0,17039.5592,52.1199,2.4032,0.2
2008-07-31,24.86,17172308.0,14123.8894,43.2016,1.992,0.2
2008-08-31,28.85,22561680.0,16389.1085,50.1303,2.3115,0.2
2008-09-30,25.35,14338184.0,14400.8284,44.0487,2.0311,0.2
2008-10-31,17.25,4276088.0,9799.3803,29.9739,1.3821,0.2
2008-11-30,14.41,2822256.0,8187.4532,25.0434,1.1547,0.2
2008-12-31,18.96,4622464.0,10772.2173,32.9496,1.5193,0.2
2009-01-31,15.33,2542532.0,8705.8263,26.629,1.2279,0.2
2009-02-28,14.19,779724.0,8059.6352,24.6525,1.1367,0.2
2009-03-31,19.18,4001528.0,10892.9343,12.1553,1.3721,0.2
2009-04-30,22.6,5597396.0,12838.6084,14.3265,1.6172,0.2
2009-05-31,40.04,17874268.0,22744.5037,25.3803,2.8649,0.2
2009-06-30,35.53,20289156.0,20181.0426,22.5198,2.542,0.2
2009-07-31,38.49,13099552.0,21863.9797,24.3978,2.754,0.2
2009-08-31,39.39,8941128.0,22375.2517,24.9683,2.8184,0.2
2009-09-30,44.35,12468468.0,25195.2339,28.1141,3.1735,0.2
2009-10-31,37.99,11554080.0,21736.7981,24.0808,2.7182,0.2
2009-11-30,42.03,5148848.0,24049.4962,26.6403,3.0071,0.2
2009-12-31,44.13,6847240.0,25251.2557,27.9715,3.1574,0.2
2010-01-31,40.55,5877724.0,23208.6455,25.7052,2.9016,0.2
2010-02-28,39.11,820624.0,22391.3739,24.794,2.7987,0.2
2010-03-31,41.14,4638988.0,23550.6588,13.8161,2.4904,0.2
2010-04-30,41.83,3337496.0,23952.7083,14.047,2.5321,0.2
2010-05-31,41.86,6302276.0,23974.1841,14.0596,2.5343,0.2
2010-06-30,43.43,3480520.0,24879.8507,14.5844,2.6289,0.2
2010-07-31,40.99,1651220.0,23483.3133,13.7657,2.4814,0.3
2010-08-31,38.19,1118940.0,21879.0857,12.8254,2.3119,0.3
2010-09-30,44.41,6321760.0,25620.5233,14.916,2.6887,0.3
2010-10-31,48.58,22613540.0,28028.7089,16.314,2.9407,0.3
2010-11-30,40.9,5332164.0,23610.2115,13.7364,2.4761,0.3
2010-12-31,42.36,2788312.0,24454.4642,14.2275,2.5646,0.3
2011-01-31,34.61,2540552.0,19980.6466,11.6247,2.0954,0.3
2011-02-28,32.17,3355908.0,18586.4296,10.806,1.9479,0.3
2011-03-31,32.24,2344284.0,18622.8564,13.5452,1.7577,0.3
2011-04-30,37.01,2325344.0,21381.2633,15.5515,2.018,0.3
2011-05-31,27.3,2746528.0,15770.5772,11.4706,1.4885,0.3
2011-06-30,23.56,2474048.0,13611.51,9.9002,1.2847,0.3
2011-07-31,25.01,1865056.0,14449.1414,10.5095,1.3638,0.35
2011-08-31,21.43,3855700.0,12376.7258,9.0021,1.1682,0.35
2011-09-30,20.54,2391684.0,11864.0377,8.6292,1.1198,0.35
2011-10-31,21.15,6612768.0,12277.1103,8.8866,1.1532,0.35
2011-11-30,20.64,652632.0,11979.6153,8.6712,1.1252,0.35
2011-12-31,19.44,1103680.0,11283.0417,8.167,1.0598,0.35
2012-01-31,27.26,1715688.0,15825.2822,11.4548,1.4864,0.25
2012-02-29,31.01,1798728.0,18002.0748,13.0305,1.6909,0.25
2012-03-31,25.53,1987760.0,14816.7016,14.2399,1.2987,0.25
2012-04-30,26.84,1340980.0,15578.9427,14.9721,1.3655,0.25
2012-05-31,23.65,1508128.0,13728.6258,13.1939,1.2033,0.25
2012-06-30,25.15,679980.0,14599.3632,14.0307,1.2796,0.25
2012-07-31,25.24,6854144.0,14650.1562,14.0795,1.2841,0.375
2012-08-31,23.71,966620.0,13764.9065,13.2287,1.2065,0.375
2012-09-30,27.68,6621496.0,16065.1044,15.4393,1.4081,0.375
2012-10-31,29.1,102970028.0,16892.3049,16.2343,1.4806,0.625
2012-11-30,32.11,1939900.0,18641.0358,17.9149,1.6338,0.625
2012-12-31,29.59,1183860.0,17188.6562,16.5063,1.5054,0.625
2013-01-31,26.7,1625760.0,15511.1828,14.8954,1.3585,0.375
2013-02-28,21.79,1459712.0,12657.2995,12.1548,1.1085,0.375
2013-03-31,19.27,7195920.0,11197.6797,10.2621,0.9195,0.375
2013-04-30,21.35,4103164.0,12403.1368,11.3669,1.0184,0.375
2013-05-31,22.25,4917752.0,12925.9857,11.846,1.0614,0.375
2013-06-30,20.5,4046816.0,11909.3339,10.9143,0.9779,0.375
2013-07-31,19.61,27308432.0,11393.7468,10.4418,0.9356,0.5
2013-08-31,17.93,5704544.0,10413.4053,9.5434,0.8551,0.5
2013-09-30,17.75,598988.0,10311.7403,9.4502,0.8467,0.5
2013-10-31,17.4,732148.0,10108.4102,9.2639,0.83,0.5
2013-11-30,18.85,11334584.0,10950.7777,10.0359,0.8992,0.5
2013-12-31,23.21,1560124.0,13485.1421,12.3585,1.1073,0.5
2014-01-31,20.65,5638404.0,11996.4753,10.9942,0.985,0.5
2014-02-28,21.25,1630928.0,12345.0412,11.3136,1.0137,0.5
2014-03-31,23.13,2836084.0,12780.3579,31.3559,1.0921,0.5
2014-04-30,26.1,3780400.0,14424.5336,35.3898,1.2326,0.5
2014-05-31,41.89,13541864.0,23149.7185,56.7966,1.9781,0.5
2014-06-30,51.26,9717612.0,28330.3376,69.5085,2.4208,0.5
2014-07-31,55.98,2469192.0,31026.9247,75.8983,2.6434,0.5
2014-08-31,51.29,1596936.0,28458.8027,69.5424,2.422,0.5
2014-09-30,57.0,4015148.0,31632.3038,77.2881,2.6918,0.5
2014-10-31,53.74,4889508.0,29847.2651,72.8644,2.5377,0.5
2014-11-30,65.99,7293020.0,36674.7361,89.4746,3.1162,0.5
2014-12-31,62.45,4924828.0,34810.9427,84.678,2.9492,0.25
2015-01-31,80.14,4328176.0,44700.1536,108.661,3.7844,0.25
2015-02-28,74.29,7144868.0,41620.6102,100.7288,3.5082,0.75
2015-03-31,70.83,33292252.0,39708.0855,27.3985,3.0666,0.75
2015-04-30,74.9,5689960.0,42207.5352,28.9749,3.2431,0.75
2015-05-31,80.6,4462424.0,45520.744,31.1799,3.4899,0.75
2015-06-30,75.04,1670692.0,42440.1502,29.028,3.249,0.75
2015-07-31,88.88,2224708.0,50266.4448,34.381,3.8482,0.75
2015-08-31,82.1,2420624.0,46515.0518,31.7602,3.5548,0.75
2015-09-30,73.29,2026220.0,41527.0665,28.3511,3.1732,0.75
2015-10-31,83.14,5077952.0,47108.3949,32.1615,3.5997,0.75
2015-11-30,84.71,2964156.0,48107.8327,32.7708,3.6679,0.75
2015-12-31,83.59,1598136.0,47468.9505,32.3356,3.6192,0.75
2016-01-31,72.25,1301508.0,41070.0989,27.9497,3.1283,0.75
2016-02-29,66.79,3183552.0,37977.6373,25.8366,2.8918,0.75
2016-03-31,68.31,869912.0,38849.0652,22.8853,2.7044,1.125
2016-04-30,74.31,1574000.0,42261.243,24.8953,2.9419,1.125
2016-05-31,82.75,4245384.0,47059.6179,27.7219,3.276,1.125
2016-06-30,87.31,2665524.0,49910.2423,29.2504,3.4566,1.125
2016-07-31,118.91,16903616.0,67973.6772,39.8367,4.7076,0.875
2016-08-31,121.83,11393544.0,69638.5428,40.8124,4.8229,0.875
2016-09-30,118.38,7253404.0,67666.4273,39.6566,4.6863,0.875
2016-10-31,147.9,13332780.0,84543.7347,49.5477,5.8552,0.875
2016-11-30,134.3,11841260.0,76769.5982,44.9916,5.3167,0.875
2016-12-31,130.16,9007340.0,74726.6694,43.6055,5.153,0.875
2017-01-31,140.1,4879532.0,80431.817,46.9347,5.5464,0.875
2017-02-28,165.15,10071124.0,94840.1091,55.3266,6.5381,1.0
2017-03-31,181.6,10555344.0,104286.7927,28.8942,5.8753,0.625
2017-04-30,210.99,12802776.0,121914.885,33.57,6.826,0.625
2017-05-31,257.83,23241388.0,149186.9805,41.0223,8.3413,0.625
2017-06-30,286.6,27611340.0,165858.2573,45.6006,9.2723,0.625
2017-07-31,266.91,13254840.0,154464.9062,42.4682,8.6354,1.375
2017-08-31,305.94,14011952.0,177049.06,48.6774,9.8979,1.375
2017-09-30,321.68,21152240.0,186185.9769,51.1814,10.4071,1.375
2017-10-31,343.54,9936616.0,198840.025,54.6599,11.1144,1.375
2017-11-30,324.09,8924592.0,187608.4617,51.5652,10.4851,1.375
2017-12-31,373.38,11254792.0,216140.4984,59.4073,12.0797,1.375
2018-01-31,321.43,12688276.0,186067.5184,51.1416,10.399,1.375
2018-02-28,284.01,10947100.0,164543.77,45.1889,9.1886,2.0
2018-03-31,250.59,14568096.0,145178.8635,23.3094,5.0391,2.0
2018-04-30,245.45,11372488.0,142204.8869,22.8315,4.9358,2.0
2018-05-31,229.23,13868508.0,132804.7065,21.3223,4.6096,2.0
2018-06-30,194.05,9640320.0,112425.5788,18.0503,3.9022,2.0
2018-07-31,229.94,12707052.0,133545.6701,21.3885,4.6239,2.0
2018-08-31,208.19,7157624.0,120913.4621,19.3654,4.1865,2.0
2018-09-30,168.45,8054012.0,97910.4292,15.669,3.3874,2.125
2018-10-31,155.66,10712252.0,90477.7808,14.4796,3.1303,2.125
2018-11-30,153.49,8544616.0,89235.2184,14.2772,3.0865,2.125
2018-12-31,167.54,9620468.0,97406.2475,15.5842,3.3691,2.125
2019-01-31,158.95,11207564.0,92413.4779,14.7854,3.1964,2.125
2019-02-28,140.84,9855584.0,81912.6353,13.1006,2.8321,2.125
2019-03-31,150.53,14075136.0,87546.9916,29.7869,2.8726,2.125
2019-04-30,177.81,10368940.0,103442.6303,35.1868,3.3934,2.125
2019-05-31,198.6,7790596.0,115535.7828,39.3003,3.7901,2.125
2019-06-30,174.29,2983108.0,101531.0179,34.4892,3.3261,2.125
2019-07-31,131.16,3528156.0,76480.9456,25.9553,2.5031,2.125
2019-08-31,143.95,6354032.0,83937.3458,28.4858,2.7472,2.125
2019-09-30,161.91,5200876.0,94411.2921,32.0404,3.09,2.125
2019-10-31,155.24,18646832.0,91286.7704,30.7195,2.9626,2.125
2019-11-30,192.19,27462180.0,113549.6817,38.0314,3.6677,2.125
2019-12-31,189.86,14944876.0,112213.0117,37.5713,3.6234,2.125
2020-01-31,198.05,20546184.0,117052.0085,39.1915,3.7796,2.125
2020-02-29,186.14,9721292.0,110011.4528,36.8342,3.5523,2.125
2020-03-31,124.26,11763372.0,73596.5622,40.1446,2.3846,2.125
2020-04-30,126.6,12039308.0,74980.986,40.8997,2.4295,2.125
2020-05-31,129.99,8072900.0,76969.8062,41.9941,2.4945,2.125
2020-06-30,147.95,11118404.0,87573.4348,47.7971,2.8392,2.125
2020-07-31,170.38,15709680.0,100792.8789,55.0418,3.2695,1.0
2020-08-31,170.99,10046468.0,101149.1931,55.2397,3.2813,1.0
2020-09-30,162.55,13819988.0,96157.9141,52.5138,3.1194,1.0
2020-10-31,140.84,4531844.0,82337.8659,45.4993,2.7027,1.0
2020-11-30,152.32,9269548.0,89053.8062,49.2105,2.9231,1.0
2020-12-31,150.29,11329096.0,88090.9153,48.5523,2.884,1.0
2021-01-31,154.23,18378116.0,90398.8783,49.8243,2.9596,1.0
2021-02-28,150.88,14443916.0,88470.4259,48.7421,2.8953,1.25
