GMRAIRPO IN Equity,price,volume,mc,pe,bm,div
2013-06-30,15.5,144493637.0,68506.8527,68.7037,0.8451,0.0
2013-07-31,11.32,151366349.0,50017.7874,50.1615,0.617,0.0
2013-08-31,12.07,273159838.0,53326.357,53.4796,0.6578,0.0
2013-09-30,19.11,293370448.0,84465.8355,84.7086,1.042,0.0981
2013-10-31,19.42,163037642.0,85828.1877,86.0749,1.0588,0.0981
2013-11-30,18.01,155612217.0,79600.292,79.8291,0.9819,0.0981
2013-12-31,21.85,163669359.0,96532.3834,96.8098,1.1908,0.0981
2014-01-31,17.88,151227326.0,79016.4267,79.2435,0.9747,0.0981
2014-02-28,18.32,72838621.0,80962.6441,81.1953,0.9988,0.0981
2014-03-31,19.25,175474108.0,85049.7007,653.9217,1.1778,0.0981
2014-04-30,21.89,182286622.0,96727.0051,743.705,1.3395,0.0981
2014-05-31,29.38,536759108.0,129812.7011,998.091,1.7977,0.0981
2014-06-30,30.35,653710600.0,134094.3794,1031.0116,1.8569,0.0981
2014-07-31,23.56,915597577.0,116663.4897,800.5678,1.4419,0.0981
2014-08-31,22.33,632039527.0,110557.6132,758.6689,1.3664,0.0981
2014-09-30,15.46,693358097.0,76539.8861,525.2323,0.946,0.0981
2014-10-31,19.07,475819321.0,94420.9991,647.9361,1.167,0.0981
2014-11-30,17.09,350875782.0,84608.1932,580.5987,1.0457,0.0981
2014-12-31,15.11,541383319.0,74795.3873,513.2612,0.9244,0.0981
2015-01-31,17.0,422140301.0,84172.0685,577.6059,1.0403,0.0981
2015-02-28,16.52,476382269.0,81773.3826,561.1456,1.0107,0.0981
2015-03-31,14.9,445537797.0,87910.2849,480.4466,1.1259,0.0981
2015-04-30,13.24,404417277.0,78113.0543,480.4466,1.0004,0.0981
2015-05-31,12.7,339549670.0,74935.5741,480.4466,0.9597,0.0981
2015-06-30,12.57,352746576.0,74141.2041,480.4466,0.9495,0.0981
2015-07-31,12.57,243069401.0,74141.2041,480.4466,0.9495,0.0981
2015-08-31,10.46,282498439.0,61696.0734,480.4466,0.7901,0.0981
2015-09-30,12.17,226028068.0,71758.094,480.4466,0.919,0.0981
2015-10-31,11.76,323056245.0,74084.146,480.4466,0.8885,0.0981
2015-11-30,14.86,520547471.0,99894.8949,480.4466,1.1225,0.0
2015-12-31,14.72,911254825.0,98989.5031,480.4466,1.1123,0.0
2016-01-31,11.67,398617265.0,78467.2891,480.4466,0.8817,0.0
2016-02-29,9.79,448794404.0,65791.8039,480.4466,0.7393,0.0
2016-03-31,10.41,332896483.0,70016.9656,480.4466,1.2596,0.0
2016-04-30,11.31,198800887.0,76052.9109,480.4466,1.3682,0.0
2016-05-31,10.1,281671776.0,67904.3848,480.4466,1.2216,0.0
2016-06-30,11.99,391117961.0,80579.8699,480.4466,1.4496,0.0
2016-07-31,12.84,462501555.0,86314.018,480.4466,1.5528,0.0
2016-08-31,12.21,267031894.0,82088.8562,480.4466,1.4767,0.0
2016-09-30,11.4,345611022.0,76656.5055,480.4466,1.379,0.0
2016-10-31,12.35,231026362.0,82994.248,480.4466,1.493,0.0
2016-11-30,10.77,252954324.0,72431.3438,480.4466,1.303,0.0
2016-12-31,10.64,136316428.0,71525.952,480.4466,1.2867,0.0
2017-01-31,11.4,279228826.0,76656.5055,480.4466,1.379,0.0
2017-02-28,14.28,509090694.0,95971.5305,480.4466,1.7265,0.0
2017-03-31,14.37,494750241.0,96575.125,480.4466,1.6231,0.0
2017-04-30,15.49,489434936.0,104120.0566,480.4466,1.7499,0.0
2017-05-31,13.51,519534054.0,90840.977,480.4466,1.5267,0.0
2017-06-30,17.64,1919546210.0,118606.3254,480.4466,1.9933,0.0
2017-07-31,16.88,1035792987.0,113475.7719,480.4466,1.9071,0.0
2017-08-31,15.44,766267303.0,103818.2594,480.4466,1.7448,0.0
2017-09-30,14.72,642882942.0,98989.5031,480.4466,1.6636,0.0
2017-10-31,17.24,505327606.0,115890.15,480.4466,1.9477,0.0
2017-11-30,16.48,675575493.0,110759.5965,480.4466,1.8614,0.0
2017-12-31,20.16,1008954080.0,135506.9723,480.4466,2.2774,0.0
2018-01-31,19.53,1874508968.0,131281.8105,480.4466,2.2063,0.0
2018-02-28,17.01,1081474890.0,114381.163,480.4466,1.9223,0.0
2018-03-31,15.13,656019935.0,101705.6779,480.4466,2.3915,0.0
2018-04-30,18.41,944453371.0,123736.8781,480.4466,2.9095,0.0
2018-05-31,16.3,535006114.0,109552.4067,480.4466,2.576,0.0
2018-06-30,13.74,829540752.0,92349.9627,480.4466,2.1715,0.0
2018-07-31,15.94,957564601.0,107138.0286,480.4466,2.5192,0.0
2018-08-31,18.94,810928095.0,127358.4453,480.4466,2.9947,0.0
2018-09-30,14.54,629273276.0,97782.3135,480.4466,2.2992,0.0
2018-10-31,15.13,639102386.0,101705.6779,480.4466,2.3915,0.0
2018-11-30,14.46,431350482.0,97178.7189,480.4466,2.285,0.0
2018-12-31,14.72,286789818.0,98989.5025,480.4466,2.3276,0.0
2019-01-31,13.65,310700600.0,91746.3682,480.4466,2.1573,0.0
2019-02-28,14.54,610825084.0,97782.3135,480.4466,2.2992,0.0
2019-03-31,17.78,767410690.0,119511.7164,480.4466,2.8385,0.0
2019-04-30,14.95,362819201.0,100498.4888,480.4466,2.8385,0.0
2019-05-31,13.92,362104214.0,93557.1518,480.4466,2.8385,0.0
2019-06-30,13.38,341905657.0,89935.5846,480.4466,2.8385,0.0
2019-07-31,13.42,296924526.0,90237.3819,480.4466,2.8385,0.0
2019-08-31,13.51,314154785.0,90840.9764,480.4466,2.8385,0.0
2019-09-30,15.26,480134210.0,102611.0697,480.4466,2.8385,0.0
2019-10-31,18.63,316256347.0,125245.8645,480.4466,2.8385,0.0
2019-11-30,19.66,387815798.0,132187.2015,480.4466,2.8385,0.0
2019-12-31,18.85,283386113.0,126754.8508,480.4466,2.8385,0.0
2020-01-31,20.52,525185946.0,137921.3495,480.4466,2.8385,0.0
2020-02-29,17.96,482411029.0,120718.9055,480.4466,2.8385,0.0
2020-03-31,14.68,785107319.0,98687.7052,480.4466,2.8385,0.0
2020-04-30,15.35,197789804.0,103214.6642,480.4466,2.8385,0.0
2020-05-31,17.01,191602712.0,114381.163,480.4466,2.8385,0.0
2020-06-30,18.0,292200046.0,121020.7028,480.4466,2.8385,0.0
2020-07-31,19.53,456415670.0,131281.8097,480.4466,2.8385,0.0
2020-08-31,21.14,640563149.0,142146.5112,480.4466,2.8385,0.0
2020-09-30,20.7,405814276.0,139128.5386,480.4466,2.8385,0.0
2020-10-31,21.01,223322132.0,141241.1203,480.4466,2.8385,0.0
2020-11-30,24.06,283118349.0,161763.3344,480.4466,2.8385,0.0
2020-12-31,23.79,618519820.0,159952.5508,480.4466,2.8385,0.0
2021-01-31,21.41,392885586.0,143957.2957,480.4466,2.8385,0.0
2021-02-28,23.39,452265399.0,157236.3754,480.4466,2.8385,0.0
2021-03-31,21.82,561396614.0,146673.4711,480.4466,2.8385,0.0
2021-04-30,20.61,290420863.0,138524.9449,480.4466,2.8385,0.0
2021-05-31,23.39,394220489.0,157236.3754,480.4466,2.8385,0.0
2021-06-30,28.55,1178491513.0,191943.0609,480.4466,2.8385,0.0
2021-07-31,25.5,491264841.0,171420.8458,480.4466,2.8385,0.0
2021-08-31,26.08,305786392.0,175344.2102,480.4466,2.8385,0.0
2021-09-30,34.43,708659152.0,231478.5013,480.4466,2.8385,0.0
2021-10-31,36.41,662588739.0,244757.5809,480.4466,2.8385,0.0
2021-11-30,33.76,413673366.0,226951.5423,480.4466,2.8385,0.0
2021-12-31,41.08,631022368.0,276144.4963,480.4466,2.8385,0.0
2022-01-31,42.1,727275047.0,254113.2961,480.4466,2.8385,0.0
2022-02-28,37.9,416520615.0,228762.3259,480.4466,2.8385,0.0
2022-03-31,36.95,379847379.0,223028.1779,480.4466,2.8385,0.0
2022-04-30,37.65,194376967.0,227253.3396,480.4466,2.8385,0.0
2022-05-31,38.0,299782541.0,229365.9205,480.4466,2.8385,0.0
2022-06-30,34.1,375856577.0,205825.7339,480.4466,2.8385,0.0
2022-07-31,37.5,145941163.0,226347.9478,480.4466,2.8385,0.0
2022-08-31,35.95,160114036.0,216992.2326,480.4466,2.8385,0.0
2022-09-30,35.55,305487165.0,214577.8545,480.4466,2.8385,0.0
2022-10-31,37.45,150525368.0,226046.1505,480.4466,2.8385,0.0
2022-11-30,42.9,264889636.0,258942.0523,480.4466,2.8385,0.0
2022-12-31,39.75,304957590.0,239928.8247,480.4466,2.8385,0.0
2023-01-31,38.35,226090162.0,231478.5013,480.4466,2.8385,0.0
2023-02-28,37.9,262727776.0,228762.3259,480.4466,2.8385,0.0
2023-03-31,40.55,217017543.0,244757.5809,480.4466,2.8385,0.0
2023-04-30,45.65,213470349.0,275540.9018,480.4466,2.8385,0.0
2023-05-31,40.5,252686095.0,244455.7836,480.4466,2.8385,0.0
2023-06-30,43.7,187226920.0,263770.8085,480.4466,2.8385,0.0
2023-07-31,51.55,252130768.0,311152.9789,480.4466,2.8385,0.0
2023-08-31,61.75,594367406.0,372719.6207,480.4466,2.8385,0.0
2023-09-30,59.55,216296549.0,359440.5411,480.4466,2.8385,0.0
2023-10-31,54.6,131212053.0,329562.612,480.4466,2.8385,0.0
2023-11-30,59.8,218156022.0,360949.5274,480.4466,2.8385,0.0
2023-12-31,80.55,2288670204.0,486195.3919,480.4466,2.8385,0.0
2024-01-31,78.35,1185832004.0,472916.3123,480.4466,2.8385,0.0
2024-02-29,84.0,1414945711.0,507019.4031,480.4466,2.8385,0.0
2024-03-31,81.6,376800766.0,492533.112,480.4466,2.8385,0.0
2024-04-30,85.15,552106365.0,513960.7168,480.4466,2.8385,0.0
2024-05-31,84.6,844207095.0,510640.947,480.4466,2.8385,0.0
2024-06-30,96.57,1270635970.0,582891.2086,480.4466,2.8385,0.0
2024-07-31,101.73,548191999.0,727202.8603,480.4466,2.8385,0.0
2024-08-31,94.48,600464535.0,997612.0479,480.4466,2.8385,0.0
2024-09-30,94.06,602184585.0,993177.278,480.4466,2.8385,0.0
2024-10-31,79.32,483087725.0,837537.9725,480.4466,2.8385,0.0
2024-11-30,83.21,389184533.0,878612.389,480.4466,2.8385,0.0
2024-12-31,78.56,230390542.0,829513.1508,480.4466,2.8385,0.0
2025-01-31,72.67,311987933.0,767320.7824,480.4466,2.8385,0.0
2025-02-28,69.47,265788807.0,733532.0594,480.4466,2.8385,0.0
2025-03-31,75.73,234240372.0,799631.2488,480.4466,2.8385,0.0
2025-04-30,87.19,431974869.0,920637.1133,480.4466,2.8385,0.0
2025-05-31,84.08,212339490.0,887798.698,480.4466,2.8385,0.0
2025-06-30,85.19,270549611.0,899519.1614,480.4466,2.8385,0.0
2025-07-31,90.06,298420481.0,950941.3742,480.4466,2.8385,0.0
2025-08-31,86.07,178731453.0,908811.0602,480.4466,2.8385,0.0
2025-09-30,87.2,385015745.0,920742.703,480.4466,2.8385,0.0
2025-10-31,93.97,213767492.0,992226.9702,480.4466,2.8385,0.0
2025-11-30,108.35,462315801.0,1144065.044,480.4466,2.8385,0.0
2025-12-31,104.37,588724034.0,1102040.32,480.4466,2.8385,0.0
2026-01-31,93.89,322827778.0,991382.2521,480.4466,2.8385,0.0
2026-02-28,100.63,366317323.0,1062549.75,480.4466,2.8385,0.0
2026-03-31,97.9,57800290.0,1033723.762,480.4466,2.8385,0.0
