GMRAIRPO IN Equity,price,volume,mc,pe,bm,div
2006-08-31,18.91,472765459.0,70391.6502,72.2535,8.9361,0.0
2006-09-30,20.74,238303747.0,77953.7313,79.2365,9.7998,0.0
2006-10-31,27.12,724150865.0,101924.214,103.6014,12.8132,0.0
2006-11-30,32.61,877374324.0,122567.3023,124.5842,15.4083,0.0
2006-12-31,31.36,509280394.0,117865.9093,119.8055,14.8172,0.0
2007-01-31,33.43,257643799.0,125646.3837,127.714,15.7953,0.0
2007-02-28,31.25,324640625.0,117468.6085,119.4016,14.7673,0.0
2007-03-31,31.74,251911421.0,119289.5706,58.233,5.3758,0.0
2007-04-30,37.3,206830654.0,140197.5261,68.4395,6.3181,0.0
2007-05-31,43.82,235872467.0,164697.7432,80.3996,7.4222,0.0
2007-06-30,65.97,614718589.0,247948.8188,121.0399,11.1739,0.0
2007-07-31,73.9,1280464177.0,277762.9343,135.5941,12.5175,0.0
2007-08-31,71.12,965443078.0,267333.7878,130.5029,12.0475,0.0
2007-09-30,76.61,839676216.0,287960.3166,140.5721,12.977,0.0
2007-10-31,78.11,494098472.0,293588.7448,143.3197,13.2307,0.0
2007-11-30,112.35,971237219.0,422297.6532,206.1508,19.031,0.0
2007-12-31,109.27,520712847.0,451705.2396,200.494,18.5088,0.0
2008-01-31,75.42,534120853.0,311787.6755,138.3902,12.7756,0.0
2008-02-29,76.99,407465494.0,318251.0112,141.259,13.0405,0.0
2008-03-31,65.58,383765865.0,271095.9701,71.2578,3.9789,0.0
2008-04-30,70.95,250223180.0,293307.9972,77.0962,4.3049,0.0
2008-05-31,58.82,332174956.0,243148.8704,63.9119,3.5687,0.0
2008-06-30,35.37,447514131.0,146198.8341,38.4285,2.1458,0.0
2008-07-31,40.89,543738875.0,169048.0915,44.4344,2.4812,0.0
2008-08-31,45.41,425761394.0,187709.8356,49.3397,2.7551,0.0
2008-09-30,38.85,221714096.0,160582.032,42.2091,2.3569,0.0
2008-10-31,22.33,253297493.0,92307.3585,24.2631,1.3548,0.0
2008-11-30,23.54,383368296.0,97314.1679,25.5791,1.4283,0.0
2008-12-31,33.87,416389321.0,140008.597,36.8014,2.0549,0.0
2009-01-31,32.42,288549763.0,134000.4258,35.2221,1.9667,0.0
2009-02-28,34.77,193392734.0,143740.9459,37.7824,2.1097,0.0
2009-03-31,41.77,279443899.0,172689.4074,110.5967,2.396,0.0
2009-04-30,49.77,259177516.0,205734.3494,131.7599,2.8544,0.0
2009-05-31,72.47,415183860.0,299589.2672,191.8681,4.1566,0.0
2009-06-30,62.47,915347240.0,258260.3315,165.3995,3.5832,0.0
2009-07-31,62.92,450534258.0,261940.7597,166.5655,3.6085,0.0
2009-08-31,63.11,193081970.0,262765.9144,167.0902,3.6198,0.0
2009-09-30,61.79,161460442.0,257264.8834,163.5922,3.5441,0.0
2009-10-31,54.26,130347760.0,225909.0066,143.6533,3.1121,0.0
2009-11-30,58.31,97234254.0,242778.8351,154.3806,3.3445,0.0
2009-12-31,58.67,122885423.0,244245.7767,155.3134,3.3647,0.0
2010-01-31,52.81,112507900.0,219857.8725,139.8054,3.0287,0.0
2010-02-28,48.27,114314337.0,200970.9994,127.7955,2.7686,0.0
2010-03-31,55.23,97281287.0,229943.096,130.9166,3.0064,0.0
2010-04-30,58.8,118788533.0,259820.0239,139.3729,3.2006,0.0
2010-05-31,52.63,82982041.0,232572.9948,124.757,2.8649,0.0
2010-06-30,52.41,97962836.0,231599.886,124.235,2.853,0.0
2010-07-31,50.08,99415967.0,221284.9331,118.7019,2.7259,0.0
2010-08-31,49.06,147163298.0,216808.6328,116.3007,2.6707,0.0
2010-09-30,50.03,82105883.0,221090.3113,118.5975,2.7235,0.0
2010-10-31,47.13,114673043.0,208245.2756,111.7071,2.5653,0.0
2010-11-30,40.21,105087118.0,177689.6604,95.3165,2.1889,0.0
2010-12-31,40.43,75217163.0,178662.7692,95.8385,2.2008,0.0
2011-01-31,34.71,78332165.0,153361.9413,82.2666,1.8892,0.0
2011-02-28,36.16,151535568.0,159784.4592,85.7117,1.9683,0.0
2011-03-31,35.67,92159676.0,157643.6199,81.6402,1.846,0.0
2011-04-30,33.25,108280589.0,146939.4235,81.6402,1.7207,0.0
2011-05-31,31.36,57430817.0,138570.6881,81.6402,1.6227,0.0
2011-06-30,28.76,67718585.0,127088.0047,81.6402,1.4882,0.0
2011-07-31,27.0,61970383.0,119303.1345,81.6402,1.397,0.0
2011-08-31,23.74,107823862.0,104901.1248,81.6402,1.2284,0.0
2011-09-30,23.83,105120423.0,105290.3683,81.6402,1.2329,0.0
2011-10-31,24.44,85818293.0,108015.0729,81.6402,1.2649,0.0
2011-11-30,18.15,125754672.0,80184.1622,81.6402,0.939,0.0
2011-12-31,18.5,121375915.0,81741.1362,81.6402,0.9572,0.0
2012-01-31,25.81,175191696.0,114048.3472,81.6402,1.3355,0.0
2012-02-29,25.15,215407650.0,111129.0209,81.6402,1.3013,0.0
2012-03-31,27.35,265125841.0,120860.101,81.6402,1.4396,0.0
2012-04-30,23.47,127397957.0,103733.3878,81.6402,1.2356,0.0
2012-05-31,18.15,174532208.0,80184.1572,81.6402,0.9551,0.0
2012-06-30,22.11,188788216.0,97700.1138,81.6402,1.1637,0.0
2012-07-31,20.48,174886103.0,90499.1094,81.6402,1.0779,0.0
2012-08-31,16.03,162665061.0,70842.3136,81.6402,0.8438,0.0
2012-09-30,21.85,181853427.0,96532.3834,81.6402,1.1498,0.0
2012-10-31,17.66,207461891.0,78043.318,81.6402,0.9296,0.0
2012-11-30,16.38,311323508.0,72399.2875,81.6402,0.8624,0.0
2012-12-31,17.04,285983202.0,75318.6137,81.6402,0.8971,0.0
2013-01-31,16.6,261207020.0,73372.3963,81.6402,0.8739,0.0
2013-02-28,15.55,188949954.0,68701.4745,81.6402,0.8183,0.0
2013-03-31,19.03,238626024.0,84076.592,84.3182,1.0372,0.0
2013-04-30,17.93,137113708.0,79211.0485,79.4387,0.9771,0.0
2013-05-31,18.37,233001293.0,81157.2659,81.3905,1.0012,0.0
