KJC IN Equity,price,volume,mc,pe,bm,div
2003-03-31,1.68,327980.0,247.2406,2.5895,0.2745,0.05
2003-04-30,2.05,381430.0,301.6923,3.1598,0.335,0.05
2003-05-31,2.54,1284830.0,373.8042,3.915,0.4151,0.05
2003-06-30,2.93,2243250.0,430.4635,4.5085,0.478,0.05
2003-07-31,3.56,1838560.0,523.1787,5.4795,0.581,0.05
2003-08-31,4.2,1962460.0,618.1014,6.4737,0.6864,0.05
2003-09-30,4.15,827080.0,610.743,6.3966,0.6782,0.12
2003-10-31,4.97,2119140.0,732.1558,7.6682,0.813,0.12
2003-11-30,5.61,1558860.0,824.871,8.6393,0.916,0.12
2003-12-31,8.75,3742410.0,1286.9754,13.4792,1.4291,0.12
2004-01-31,8.19,2914350.0,1205.2977,12.6237,1.3384,0.12
2004-02-29,7.18,2196720.0,1055.9232,11.0592,1.1725,0.12
2004-03-31,7.1,2424000.0,1044.8857,8.7725,1.0564,0.12
2004-04-30,8.33,4566720.0,1225.9011,10.2922,1.2395,0.12
2004-05-31,7.05,1664440.0,1036.7915,8.7045,1.0483,0.12
2004-06-30,7.0,1478330.0,1030.169,8.6489,1.0416,0.12
2004-07-31,8.7,568480.0,1279.617,10.7432,1.2938,0.12
2004-08-31,9.27,800680.0,1363.5022,11.4474,1.3786,0.2
2004-09-30,8.55,1091350.0,1258.2778,10.564,1.2722,0.2
2004-10-31,10.36,1712510.0,1523.9142,12.7942,1.5408,0.2
2004-11-30,12.91,17076740.0,1899.9259,15.951,1.9209,0.2
2004-12-31,13.79,9145300.0,2028.697,17.0321,2.0511,0.2
2005-01-31,14.01,5336150.0,2061.0738,17.304,2.0839,0.2
2005-02-28,14.47,10494580.0,2129.5064,17.8785,2.1531,0.2
2005-03-31,15.21,13519390.0,2238.41,17.8044,1.8679,0.2
2005-04-30,14.5,6605280.0,2133.9214,17.8044,1.7807,0.2
2005-05-31,16.51,15180060.0,2428.9913,17.8044,2.027,0.2
2005-06-30,19.95,23538190.0,2935.9816,17.8044,2.4501,0.2
2005-07-31,22.03,9231190.0,3241.3531,17.8044,2.7049,0.2
2005-08-31,22.47,8208170.0,3306.1066,17.8044,2.7589,0.2
2005-09-30,24.67,8997740.0,3629.874,17.8044,3.0291,0.35
2005-10-31,22.8,7606184.0,3355.4123,17.8044,2.8001,0.35
2005-11-30,21.43,3908826.0,3153.0574,17.8044,2.6312,0.35
2005-12-31,22.58,4615888.0,3322.2997,17.8044,2.7724,0.35
2006-01-31,22.1,7814756.0,3252.3952,17.8044,2.7141,0.35
2006-02-28,20.8,4237330.0,3061.0779,17.8044,2.5545,0.35
2006-03-31,22.13,5142314.0,3256.0744,10.8888,2.3901,0.35
2006-04-30,24.5,4173102.0,3616.6341,12.0576,2.6467,0.35
2006-05-31,22.93,4909902.0,3373.8082,11.2825,2.4765,0.35
2006-06-30,23.5,3700822.0,3458.4293,11.5655,2.5386,0.35
2006-07-31,24.48,3448784.0,3601.9174,12.0453,2.644,0.35
2006-08-31,26.43,4604834.0,3888.8934,13.005,2.8546,0.35
2006-09-30,29.78,5856952.0,4381.9036,14.6537,3.2165,0.35
2006-10-31,27.58,2250722.0,4058.1357,13.571,2.9788,0.35
2006-11-30,25.6,2841570.0,3767.4805,12.599,2.7655,0.35
2006-12-31,28.78,3785362.0,4234.7363,14.1616,3.1085,0.35
2007-01-31,23.4,1957710.0,3443.7126,11.5163,2.5278,0.35
2007-02-28,18.5,1992016.0,2722.5933,9.1047,1.9985,0.35
2007-03-31,15.83,1010456.0,2328.921,28.7663,1.6328,0.35
2007-04-30,15.2,1111064.0,2236.9415,27.6302,1.5683,0.35
2007-05-31,13.13,1863382.0,1931.5696,23.8583,1.3542,0.35
2007-06-30,14.65,12707086.0,2155.9996,26.6304,1.5115,0.35
2007-07-31,13.98,7754200.0,2056.6617,25.4034,1.4419,0.35
2007-08-31,13.45,4307188.0,1979.3989,24.4491,1.3877,0.35
2007-09-30,13.83,2782326.0,2034.5976,25.1308,1.4264,0.1
2007-10-31,11.95,6937690.0,1758.6576,21.7224,1.233,0.1
2007-11-30,13.08,38866712.0,1924.2216,23.7674,1.349,0.1
2007-12-31,17.2,48152534.0,2531.2896,31.2658,1.7747,0.1
2008-01-31,12.0,14212422.0,1766.016,21.8133,1.2381,0.1
2008-02-29,15.0,11237804.0,2207.52,27.2667,1.5477,0.1
2008-03-31,14.28,4755126.0,2100.8232,13.9896,1.3563,0.1
2008-04-30,15.98,5351582.0,2351.0088,15.6556,1.5178,0.1
2008-05-31,15.3,5685730.0,2251.6704,14.9941,1.4537,0.1
2008-06-30,13.85,3264198.0,2038.2768,13.573,1.3159,0.1
2008-07-31,17.02,4251392.0,2505.5352,16.6846,1.6176,0.1
2008-08-31,17.13,5201698.0,2520.252,16.7826,1.6271,0.1
2008-09-30,17.48,4098684.0,2571.7608,17.1256,1.6604,0.1
2008-10-31,15.03,2763954.0,2211.1992,14.7246,1.4276,0.1
2008-11-30,13.65,1854808.0,2008.8432,13.377,1.2969,0.1
2008-12-31,14.68,2426230.0,2159.6904,14.3816,1.3943,0.1
2009-01-31,14.05,3692234.0,2067.7104,13.769,1.3349,0.1
2009-02-28,12.78,1082214.0,1880.0712,12.5195,1.2138,0.1
2009-03-31,13.88,3051150.0,2041.956,22.9339,1.2599,0.1
2009-04-30,13.53,1856628.0,1990.4472,22.3554,1.2281,0.1
2009-05-31,18.27,9850400.0,2689.4952,30.2066,1.6595,0.1
2009-06-30,15.35,5197488.0,2259.0288,25.3719,1.3939,0.1
2009-07-31,19.0,33584704.0,2796.192,31.405,1.7253,0.1
2009-08-31,20.8,37837330.0,3061.0944,34.3802,1.8888,0.1
2009-09-30,20.55,24774138.0,3024.3024,33.9669,1.8661,0.1
2009-10-31,20.15,12823722.0,2965.4352,33.3058,1.8297,0.1
2009-11-30,21.88,12806328.0,3219.3,36.157,1.9864,0.1
2009-12-31,26.1,15246150.0,3841.0848,43.1405,2.37,0.1
2010-01-31,25.3,21712896.0,3723.3504,41.8182,2.2974,0.1
2010-02-28,27.48,8490530.0,4043.4408,45.4132,2.4949,0.1
2010-03-31,30.6,14002380.0,4503.3408,12.5667,2.3784,0.1
2010-04-30,33.08,13837582.0,4867.5816,13.5832,2.5708,0.1
2010-05-31,31.9,6236598.0,4694.6592,13.1006,2.4795,0.1
2010-06-30,31.15,2443456.0,4584.2832,12.7926,2.4212,0.1
2010-07-31,34.35,32136636.0,5055.2208,14.1068,2.6699,0.1
2010-08-31,34.28,15472164.0,5044.1832,14.076,2.6641,0.5
2010-09-30,37.35,21473824.0,5496.7248,15.3388,2.9031,0.5
2010-10-31,37.4,24554984.0,5504.0832,15.3593,2.907,0.5
2010-11-30,37.6,14164706.0,5533.5168,15.4415,2.9225,0.5
2010-12-31,36.98,3400752.0,5441.5368,15.1848,2.8739,0.5
2011-01-31,34.35,7657106.0,5055.2208,14.1068,2.6699,0.5
2011-02-28,34.53,2992536.0,5080.9752,14.1786,2.6835,0.5
2011-03-31,37.67,5941298.0,5544.5544,9.1444,2.4917,0.5
2011-04-30,44.1,10826144.0,6490.1088,10.7039,2.9166,0.5
2011-05-31,45.2,15449258.0,6651.9936,10.9709,2.9894,1.0
2011-06-30,47.15,11256852.0,6938.9712,11.4442,3.1184,1.0
2011-07-31,56.28,17908218.0,8281.8792,13.659,3.7219,1.0
2011-08-31,52.6,7516156.0,7741.0368,12.767,3.4788,1.0
2011-09-30,57.8,7567898.0,8506.3104,14.0291,3.8227,1.0
2011-10-31,59.05,5234744.0,8690.2704,14.3325,3.9054,1.0
2011-11-30,49.55,10425192.0,7292.1744,12.0267,3.2771,1.0
2011-12-31,50.13,9438070.0,7376.796,12.1663,3.3151,1.0
2012-01-31,57.13,8695032.0,8406.972,13.8653,3.7781,1.0
2012-02-29,75.18,10430498.0,11063.3543,18.2464,4.9718,1.0
2012-03-31,85.05,7465192.0,12516.5709,15.4777,4.4374,1.0
2012-04-30,93.73,3272426.0,13793.2464,17.0564,4.89,1.0
2012-05-31,80.43,5424946.0,11835.9225,14.636,4.1961,1.0
2012-06-30,81.75,1500006.0,12030.9191,14.8772,4.2652,1.25
2012-07-31,88.45,2887548.0,13016.9394,16.0965,4.6148,1.25
2012-08-31,84.5,5341528.0,12435.6289,15.3776,4.4087,1.25
2012-09-30,98.23,6750042.0,14455.4988,17.8753,5.1248,1.25
2012-10-31,106.18,5610106.0,15625.4781,19.3221,5.5396,1.25
2012-11-30,128.82,2631018.0,18958.8153,23.444,6.7213,1.25
2012-12-31,115.98,3384998.0,17067.7167,21.1056,6.0509,1.25
2013-01-31,106.65,3366186.0,15695.3825,19.4086,5.5643,1.25
2013-02-28,99.83,1563838.0,14690.9663,18.1665,5.2082,1.25
2013-03-31,94.45,3265474.0,13899.9426,13.3028,3.8517,1.25
2013-04-30,103.65,3403406.0,15253.8809,14.5986,4.2269,1.25
2013-05-31,122.15,6341938.0,17976.4742,17.2042,4.9813,1.5
2013-06-30,118.73,2979874.0,17472.4211,16.7218,4.8416,1.5
2013-07-31,120.45,7032894.0,17726.2844,16.9648,4.912,1.5
2013-08-31,112.6,5133018.0,16571.0222,15.8592,4.5919,1.5
2013-09-30,122.13,6262464.0,17972.7894,17.2007,4.9803,1.5
2013-10-31,120.85,2017602.0,17785.1513,17.0211,4.9283,1.5
2013-11-30,125.05,6614050.0,18403.2534,17.6127,5.0996,1.5
2013-12-31,156.2,6089024.0,23612.3104,22.0,6.3699,1.5
2014-01-31,153.85,6891338.0,23257.0676,21.669,6.2741,1.5
2014-02-28,154.07,1854210.0,23291.0802,21.7007,6.2832,1.5
2014-03-31,174.63,2506024.0,26397.5653,20.9007,4.9851,1.5
2014-04-30,223.85,3075218.0,33838.7688,26.7923,6.3903,1.5
2014-05-31,271.3,10338686.0,41011.6505,32.4716,7.7449,1.5
2014-06-30,264.93,4347020.0,40047.9599,31.7086,7.5629,1.5
2014-07-31,312.9,2619432.0,47300.2044,37.4506,8.9325,1.75
2014-08-31,327.65,1572664.0,49529.92,39.216,9.3536,1.75
2014-09-30,317.8,5764072.0,48040.9235,38.0371,9.0724,1.75
2014-10-31,300.52,5027656.0,45429.5108,35.9695,8.5792,1.75
2014-11-30,298.4,6431926.0,47427.1003,35.7151,8.5186,1.75
2014-12-31,296.45,8218556.0,47117.1711,35.4817,8.4629,1.75
2015-01-31,363.78,9223032.0,57817.6722,43.5398,10.3848,1.75
2015-02-28,400.38,6018288.0,63634.8032,47.9204,11.4297,1.75
2015-03-31,403.6,3408106.0,64147.3782,35.4969,8.6576,1.75
2015-04-30,385.08,5170706.0,61203.0517,33.8676,8.2602,1.75
2015-05-31,423.05,3426236.0,67238.7224,37.2076,9.0748,1.75
2015-06-30,364.63,3174166.0,57952.7695,32.069,7.8215,1.75
2015-07-31,372.98,8629354.0,59279.9019,32.8034,8.0006,1.75
2015-08-31,343.4,4931716.0,54579.3104,30.2023,7.3662,2.0
2015-09-30,398.8,4966242.0,63384.4758,35.0748,8.5546,2.0
2015-10-31,453.55,6600980.0,72086.3315,39.8901,9.729,2.0
2015-11-30,472.38,2323278.0,75078.3394,41.5457,10.1328,2.0
2015-12-31,491.25,3868858.0,78078.2942,43.2058,10.5377,2.0
2016-01-31,487.23,3832430.0,77438.5688,42.8518,10.4514,2.0
2016-02-29,432.53,1915754.0,68744.66,38.0409,9.278,2.0
2016-03-31,478.93,5001864.0,76119.3833,32.8972,7.832,2.0
2016-04-30,524.88,3693910.0,83422.5846,36.0535,8.5835,2.0
2016-05-31,545.13,3244442.0,86641.0792,37.4445,8.9146,2.0
2016-06-30,603.0,2917140.0,95839.6161,41.4199,9.8611,2.0
2016-07-31,634.92,2641916.0,100913.7119,43.6128,10.3831,2.0
2016-08-31,630.7,1723346.0,100242.1988,43.3226,10.314,2.5
2016-09-30,694.58,2398674.0,110394.3638,47.7102,11.3586,2.5
2016-10-31,623.8,7122894.0,99145.5266,42.8487,10.2012,2.5
2016-11-30,533.6,5964481.0,84809.3187,36.6529,8.7261,2.5
2016-12-31,465.6,3780447.0,74001.5344,31.9819,7.6141,2.5
