LIIL IN Equity,price,volume,mc,pe,bm,div
2016-08-31,387.05,737064.0,33009.2595,140.7455,2.3704,0.75
2016-09-30,370.8,268925.0,31623.3908,134.8364,2.2709,0.75
2016-10-31,380.65,1229199.0,32463.4404,138.4182,2.3312,0.75
2016-11-30,370.0,385007.0,31555.1634,134.5455,2.266,0.75
2016-12-31,354.25,920452.0,30211.9369,158.8565,2.0967,0.75
2017-01-31,356.6,541304.0,30412.3548,159.9103,2.1106,0.75
2017-02-28,364.85,496681.0,31115.9497,163.6099,2.1594,0.75
2017-03-31,398.3,775897.0,33968.707,178.6099,2.3574,0.75
2017-04-30,457.75,2109525.0,39038.8542,205.2691,2.7092,0.75
2017-05-31,437.1,1180207.0,37277.735,196.009,2.587,0.75
2017-06-30,430.6,708284.0,36723.3875,193.0942,2.5485,0.75
2017-07-31,438.65,1986542.0,37409.9255,196.704,2.5962,0.75
2017-08-31,410.7,743773.0,35026.2314,184.1704,2.4308,0.75
2017-09-30,376.05,676235.0,32071.133,168.6323,2.2257,0.75
2017-10-31,431.45,1276398.0,36795.8791,193.4753,2.5536,0.75
2017-11-30,518.8,2023191.0,44245.4544,232.6457,3.0706,0.75
2017-12-31,536.15,1156189.0,45725.1356,282.1842,3.1522,0.75
2018-01-31,537.15,1743101.0,45810.4198,282.7105,3.1581,0.75
2018-02-28,498.65,927929.0,42526.9778,262.4474,2.9317,0.75
2018-03-31,437.25,398782.0,37290.5265,230.1316,2.5707,0.75
2018-04-30,450.1,554099.0,38386.4288,236.8947,2.6463,1.0
2018-05-31,428.6,659541.0,36552.818,225.5789,2.5199,1.0
2018-06-30,425.0,2179602.0,36245.7948,223.6842,2.4987,1.0
2018-07-31,431.65,310428.0,36812.9349,227.1842,2.5378,1.0
2018-08-31,404.05,1666672.0,34459.0903,212.6579,2.3755,1.0
2018-09-30,409.15,719380.0,34894.0398,215.3421,2.4055,1.0
2018-10-31,440.4,964314.0,37559.1718,231.7895,2.5893,1.0
2018-11-30,679.75,8842811.0,57971.9506,357.7632,3.9965,1.0
2018-12-31,679.6,1768776.0,57959.158,225.7807,3.9647,1.0
2019-01-31,476.4,21094891.0,40629.4038,158.2724,2.7793,1.0
2019-02-28,494.0,3048881.0,42130.4062,164.1196,2.8819,1.0
2019-03-31,486.5,2080360.0,41490.7745,161.6279,2.8382,1.0
2019-04-30,477.85,1356731.0,40753.066,158.7542,2.7877,1.0
2019-05-31,562.25,2010469.0,47951.0544,186.794,3.2801,1.5
2019-06-30,520.65,530561.0,44403.2307,172.9734,3.0374,1.5
2019-07-31,488.45,451978.0,41657.0787,162.2757,2.8496,1.5
2019-08-31,502.7,466747.0,42872.3789,167.01,2.9327,1.5
2019-09-30,511.7,536004.0,43639.9369,170.0,2.9852,1.5
2019-10-31,555.45,436580.0,47371.1217,184.5349,3.2404,1.5
2019-11-30,651.55,2471134.0,55566.9355,216.4618,3.8011,1.5
2019-12-31,661.45,1694451.0,56411.2493,7.7571,2.5973,1.5
2020-01-31,747.5,2633980.0,63749.9567,8.7663,2.9352,1.5
2020-02-29,651.7,1254952.0,55579.7281,7.6428,2.559,1.5
2020-03-31,485.3,1291578.0,41388.4334,5.6913,1.9056,1.5
2020-04-30,541.55,1224113.0,46185.671,6.351,2.1265,1.5
2020-05-31,503.85,407413.0,42970.4558,5.9089,1.9785,1.5
2020-06-30,613.1,2756093.0,52287.7571,7.1901,2.4075,1.5
2020-07-31,632.8,2809742.0,53967.8563,7.4211,2.4848,0.0
2020-08-31,725.5,2597480.0,61873.7038,8.5083,2.8488,0.0
2020-09-30,777.1,4123629.0,66274.3697,9.1134,3.0514,10.0
2020-10-31,834.85,1779963.0,71199.5319,9.7907,3.2782,10.0
2020-11-30,911.4,2593324.0,77728.039,10.6884,3.5788,10.0
2020-12-31,972.5,1835929.0,82938.9049,54.8815,3.7121,10.0
2021-01-31,906.7,1747989.0,77327.2032,51.1682,3.4609,10.0
2021-02-28,1560.2,3374136.0,133060.4416,88.0474,5.9553,10.0
2021-03-31,1799.5,1573614.0,153468.9557,101.5519,6.8687,10.0
2021-04-30,1834.7,2760692.0,156470.9603,103.5384,7.0031,10.0
2021-05-31,1598.6,2006480.0,136335.3557,90.2144,6.1019,10.0
2021-06-30,1645.0,1838477.0,140292.5435,92.833,6.279,10.5
2021-07-31,1752.45,2586013.0,149456.3366,98.8967,6.6892,10.5
2021-08-31,2290.55,12771254.0,195347.777,129.2635,8.7431,10.5
2021-09-30,2604.45,9166755.0,222118.4946,146.978,9.9413,3.0
2021-10-31,2304.55,2072923.0,196541.7561,130.0536,8.7965,3.0
2021-11-30,2508.25,2532543.0,213914.1523,141.5491,9.5741,3.0
2021-12-31,2487.35,1832936.0,212131.7121,41.8253,7.8137,3.0
2022-01-31,2734.25,3111786.0,233188.3867,45.977,8.5893,3.0
2022-02-28,2750.05,3996649.0,234535.8775,46.2426,8.6389,3.0
2022-03-31,3784.9,7373926.0,322792.2556,73.5646,10.6184,3.0
2022-04-30,3581.65,3700111.0,305458.2373,69.6142,10.0482,3.0
2022-05-31,2993.0,1937978.0,255255.6794,58.173,8.3967,3.0
2022-06-30,3198.15,1571532.0,272751.7378,62.1603,8.9723,13.5
2022-07-31,3639.3,1553616.0,310374.8728,70.7347,10.2099,13.5
2022-08-31,3429.1,1378429.0,292448.1291,66.6492,9.6202,13.5
2022-09-30,3311.8,1794330.0,282444.2897,64.3693,9.2911,13.5
2022-10-31,3071.7,756023.0,261967.5478,59.7026,8.6175,13.5
2022-11-30,3050.6,637499.0,260168.0507,59.2925,8.5583,13.5
2022-12-31,3434.75,1514213.0,292929.9849,66.759,9.636,13.5
2023-01-31,3320.85,644467.0,283216.1119,64.5452,9.3165,13.5
2023-02-28,3721.8,1197530.0,317410.8212,72.3382,10.4413,13.5
2023-03-31,4029.85,1320930.0,343682.6261,72.8013,10.9452,13.5
2023-04-30,3984.45,728764.0,339810.7223,71.9811,10.8219,13.5
2023-05-31,3956.2,574738.0,337401.443,71.4708,10.7452,13.5
2023-06-30,4316.55,1500666.0,368133.6128,77.9807,11.7239,3.5
2023-07-31,4987.3,915615.0,425338.0054,90.0981,13.5457,0.0
2023-08-31,6268.25,3067139.0,534582.8308,113.2391,17.0248,12.0
2023-09-30,5953.8,1409189.0,507765.2069,107.5584,16.1707,12.0
2023-10-31,5994.8,1953966.0,511261.86,108.2991,16.2821,12.0
2023-11-30,5742.55,1753731.0,489748.9148,103.7421,15.597,12.0
