ADANI IN Equity,price,volume,mc,pe,bm,div
2016-09-30,4.98,544660925.0,85094.6132,13.5326,1.1116,0.0
2016-10-31,5.47,1540294840.0,93467.3764,14.8641,1.221,0.0
2016-11-30,5.74,877243615.0,100475.603,15.5978,1.2813,0.0
2016-12-31,6.01,1327923055.0,105201.8073,16.3315,1.3415,0.0
2017-01-31,7.25,1512858040.0,126907.3383,19.7011,1.6183,0.0
2017-02-28,7.72,822389065.0,135134.4347,20.9783,1.7233,0.0
2017-03-31,7.98,1124060190.0,139685.5944,21.6848,5.1305,0.0
2017-04-30,6.6,2709086515.0,127278.9858,21.6848,4.2433,0.0
2017-05-31,5.54,1534103115.0,106837.2093,21.6848,3.5618,0.0
2017-06-30,5.96,909439300.0,114936.7812,21.6848,3.8318,0.0
2017-07-31,6.7,1067842420.0,129207.4553,21.6848,4.3075,0.0
2017-08-31,6.67,1213055790.0,128628.9145,21.6848,4.2883,0.0
2017-09-30,5.91,1457062540.0,113972.5464,21.6848,3.7996,0.0
2017-10-31,6.55,1042092200.0,126314.7511,21.6848,4.2111,0.0
2017-11-30,7.1,1367940015.0,136921.3367,21.6848,4.5647,0.0
2017-12-31,8.34,1843314015.0,160834.3589,21.6848,5.3619,0.0
2018-01-31,7.33,2752131610.0,141356.8166,21.6848,4.7126,0.0
2018-02-28,6.33,1045210595.0,122072.1175,21.6848,4.0697,0.0
2018-03-31,4.74,1353948330.0,91409.4529,21.6848,10.2785,0.0
2018-04-30,5.14,1938810400.0,99123.3308,21.6848,11.1458,0.0
2018-05-31,4.03,1616319670.0,77717.3197,21.6848,8.7389,0.0
2018-06-30,3.23,1578603095.0,62289.5639,21.6848,7.0041,0.0
2018-07-31,6.27,5529766900.0,120915.0358,21.6848,13.5962,0.0
2018-08-31,7.08,5303868520.0,136535.6385,21.6848,15.3526,0.0
2018-09-30,4.76,2361876335.0,91795.1468,21.6848,10.3218,0.0
2018-10-31,9.22,4354636155.0,177804.8852,21.6848,19.9931,0.0
2018-11-30,11.1,2818741660.0,214060.1112,21.6848,24.0698,0.0
2018-12-31,10.19,1456382340.0,196511.039,21.6848,22.0965,0.0
2019-01-31,9.1,1693291150.0,175490.7218,21.6848,19.7329,0.0
2019-02-28,9.63,2017735480.0,185711.61,21.6848,20.8822,0.0
2019-03-31,9.64,1476564825.0,185904.457,21.6848,2.4105,0.0
2019-04-30,8.98,1743354030.0,173176.5585,21.6848,2.2455,0.0
2019-05-31,10.07,2296527930.0,194196.8757,21.6848,2.518,0.0
2019-06-30,10.27,1150627980.0,198053.8146,21.6848,2.568,0.0
2019-07-31,12.2,3390663040.0,235273.2754,21.6848,3.0506,0.0
2019-08-31,11.68,1117030920.0,225245.2342,21.6848,2.9206,0.0
2019-09-30,12.86,1280837230.0,248001.1739,21.6848,3.2157,0.0
2019-10-31,13.21,875713225.0,254750.8171,21.6848,3.3032,0.0
2019-11-30,12.72,1300308560.0,245301.3166,21.6848,3.1807,0.0
2019-12-31,12.36,594498225.0,238358.8266,21.6848,3.0906,0.0
2020-01-31,12.21,983643465.0,235466.1223,21.6848,3.0531,0.0
2020-02-29,9.46,707401515.0,182433.2119,21.6848,2.3655,0.0
2020-03-31,5.55,1264169265.0,107030.0556,21.6848,1.6516,0.0
2020-04-30,6.33,1123419750.0,122072.1175,21.6848,1.8837,0.0
2020-05-31,7.28,2173024785.0,140392.5775,21.6848,2.1664,0.0
2020-06-30,7.2,2044940410.0,138849.8019,21.6848,2.1426,0.0
2020-07-31,7.08,383839365.0,136535.6385,21.6848,2.1069,0.0
2020-08-31,7.45,788638260.0,143670.9756,21.6848,2.217,0.0
2020-09-30,7.38,359344510.0,142321.0469,21.6848,2.1962,0.0
2020-10-31,7.15,114025350.0,137885.5715,21.6848,2.1277,0.0
2020-11-30,7.7,597402480.0,148492.1539,21.6848,2.2914,0.0
2020-12-31,9.96,3508686305.0,192075.5653,21.6848,2.9639,0.0
2021-01-31,10.26,1229247840.0,197860.9739,21.6848,3.0532,0.0
2021-02-28,11.04,1200008715.0,212903.0362,21.6848,3.2853,0.0
2021-03-31,17.01,3659435075.0,328032.6672,25.8297,2.5017,0.0
2021-04-30,18.95,2209741195.0,365444.9761,28.7756,2.787,0.0
2021-05-31,18.5,1836298265.0,356766.8632,28.0923,2.7208,0.0
2021-06-30,22.69,4868889275.0,437569.7366,34.4548,3.337,0.0
2021-07-31,19.17,444398635.0,369687.5975,29.1097,2.8193,0.0
2021-08-31,19.7,552458270.0,379908.4857,29.9145,2.8973,0.0
2021-09-30,19.42,592975020.0,374508.7712,29.4893,2.8561,0.0
2021-10-31,20.1,1339181590.0,387622.3636,30.5219,2.9561,0.0
2021-11-30,19.87,521783130.0,383186.8838,30.1727,2.9223,0.0
2021-12-31,19.94,463556250.0,384536.8124,30.279,2.9326,0.0
2022-01-31,21.25,1539221200.0,409799.7625,32.2682,3.1252,0.0
2022-02-28,24.75,6593264350.0,477296.1939,37.583,3.64,0.0
2022-03-31,37.02,6124580520.0,713919.398,14.5354,3.817,0.0
2022-04-30,56.07,5320760305.0,1081292.832,22.0152,5.7813,0.0
2022-05-31,64.65,3082012415.0,1246755.513,25.384,6.6659,0.0
2022-06-30,52.57,1567099905.0,1013796.401,20.6409,5.4204,0.0
2022-07-31,62.79,954144430.0,1210885.981,24.6537,6.4741,0.0
2022-08-31,82.79,1617760670.0,1596579.875,32.5064,8.5363,0.0
2022-09-30,74.7,356351515.0,1440566.695,29.33,7.7021,0.0
2022-10-31,66.98,185596580.0,1291688.851,26.2988,6.9062,0.0
2022-11-30,66.55,240032645.0,1283396.433,26.13,6.8618,0.0
2022-12-31,59.91,365769935.0,1155346.06,23.5229,6.1772,0.0
2023-01-31,44.76,228652370.0,863182.935,17.5744,4.6151,0.0
2023-02-28,29.26,1956716895.0,564270.1671,11.4886,3.0169,0.0
2023-03-31,38.32,1851391410.0,738989.5011,6.8896,2.4941,0.0
2023-04-30,44.97,682140695.0,867232.7209,8.0852,2.927,0.0
2023-05-31,49.93,880991155.0,962884.8066,8.977,3.2498,0.0
2023-06-30,49.97,620659050.0,963656.1944,8.9842,3.2524,0.0
2023-07-31,54.66,569761300.0,1054101.413,9.8274,3.5577,0.0
2023-08-31,64.26,4085575695.0,1239234.482,11.5534,4.1825,0.0
2023-09-30,75.49,2120742150.0,1455801.603,13.5725,4.9134,0.0
2023-10-31,72.61,630018310.0,1400261.683,13.0547,4.726,0.0
2023-11-30,86.3,1944145570.0,1664269.153,15.516,5.617,0.0
2023-12-31,105.03,1214124250.0,2025471.485,18.8835,6.8361,0.0
2024-01-31,112.54,449603410.0,2170299.542,20.2337,7.3249,0.0
2024-02-29,109.99,163812140.0,2121123.571,19.7753,7.1589,0.0
2024-03-31,106.76,245492470.0,2058834.007,10.341,4.7719,0.0
2024-04-30,122.49,368903690.0,2362182.254,11.8646,5.475,0.0
2024-05-31,151.16,907715235.0,2915074.452,14.6416,6.7565,0.0
2024-06-30,143.72,1524944060.0,2771596.323,13.921,6.4239,0.0
2024-07-31,146.89,550566360.0,2832728.805,14.228,6.5656,0.0
2024-08-31,126.41,1226588050.0,2437778.258,12.2443,5.6502,0.0
2024-09-30,131.23,479281920.0,2530730.486,12.7112,5.8656,0.0
2024-10-31,118.54,276577755.0,2286007.71,11.482,5.2984,0.0
2024-11-30,110.96,1782677790.0,2139829.725,10.7478,4.9596,0.0
2024-12-31,105.89,770748195.0,2042056.322,10.2567,4.733,0.0
2025-01-31,102.64,1076754605.0,1979381.065,9.9419,4.5877,0.0
2025-02-28,95.79,605785315.0,1847280.906,9.2784,4.2816,0.0
2025-03-31,101.86,521781590.0,1964339.003,15.758,3.6861,0.0
2025-04-30,106.41,539842110.0,2052084.364,16.4619,3.8508,0.0
2025-05-31,108.76,650738185.0,2097403.396,16.8255,3.9358,0.0
2025-06-30,117.15,698082460.0,2259201.985,18.1235,4.2394,0.0
2025-07-31,117.62,560928855.0,2268265.791,18.1962,4.2564,0.0
2025-08-31,120.13,276767810.0,2316670.375,18.5845,4.3473,0.0
2025-09-30,144.65,2009500693.0,2789531.089,22.3778,5.2346,0.0
2025-10-31,157.85,1590708891.0,3044089.059,24.4199,5.7123,0.0
2025-11-30,147.49,436169347.0,2844299.622,22.8171,5.3374,0.0
2025-12-31,142.99,242074468.0,2757518.496,22.121,5.1745,0.0
2026-01-31,135.38,396238706.0,2610761.969,20.9437,4.8991,0.0
2026-02-28,140.11,434371254.0,2701978.575,21.6754,5.0703,0.0
2026-03-31,140.1,54807436.0,2701785.846,21.6739,5.07,0.0
