ADANI IN Equity,price,volume,mc,pe,bm,div
2010-03-31,23.2,199654035.0,252884.0498,141.4634,4.3767,0.0
2010-04-30,25.04,236585075.0,272940.371,152.6829,4.7238,0.0
2010-05-31,24.32,103436060.0,265092.2453,148.2927,4.5879,0.0
2010-06-30,25.4,74005940.0,276864.4338,154.878,4.7917,0.0
2010-07-31,25.46,123779460.0,277518.4443,155.2439,4.803,0.0
2010-08-31,27.19,243992520.0,296375.7463,165.7927,5.1294,0.0
2010-09-30,26.8,187802995.0,292124.6782,163.4146,5.0558,0.0
2010-10-31,25.79,124633855.0,281115.5019,157.2561,4.8653,0.0
2010-11-30,27.18,186458595.0,296266.7446,165.7317,5.1275,0.0
2010-12-31,26.07,96194280.0,284167.5508,158.9634,4.9181,0.0
2011-01-31,24.74,126645260.0,269670.3186,150.8537,4.6672,0.0
2011-02-28,23.83,167523575.0,259751.1598,145.3049,4.4955,0.0
2011-03-31,22.55,165289570.0,245798.9363,47.7754,3.9094,0.0
2011-04-30,22.53,59370020.0,245580.9328,47.7331,3.906,0.0
2011-05-31,23.12,82738385.0,252012.0641,48.9831,4.0083,0.0
2011-06-30,21.99,76515420.0,239694.8386,46.589,3.8124,0.0
2011-07-31,19.83,175455235.0,216150.4615,42.0127,3.4379,0.0
2011-08-31,18.31,299355155.0,199582.1962,38.7924,3.1744,0.0
2011-09-30,17.08,74926055.0,186174.9815,36.1864,2.9611,0.0
2011-10-31,17.63,81258785.0,192170.0775,37.3517,3.0565,0.0
2011-11-30,14.24,69516730.0,155218.4857,30.1695,2.4688,0.0
2011-12-31,12.49,105929835.0,136143.1803,26.4619,2.1654,0.0
2012-01-31,16.01,325297495.0,174511.7947,33.9195,2.7756,0.0
2012-02-29,15.17,1303076580.0,165355.6481,32.1398,2.63,0.0
2012-03-31,13.7,986233710.0,149332.4082,28.4322,2.4719,0.0
2012-04-30,12.83,416744795.0,139849.2553,28.4322,2.3149,0.0
2012-05-31,9.46,321194870.0,103115.6629,28.4322,1.7068,0.0
2012-06-30,9.99,253795125.0,108892.7561,28.4322,1.8025,0.0
2012-07-31,8.74,347261155.0,95267.5363,28.4322,1.5769,0.0
2012-08-31,7.96,230722765.0,86765.3992,28.4322,1.4362,0.0
2012-09-30,10.59,346217475.0,115432.8615,28.4322,1.9107,0.0
2012-10-31,9.64,344084145.0,105077.6945,28.4322,1.7393,0.0
2012-11-30,10.62,187118115.0,127082.7547,28.4322,1.9161,0.0
2012-12-31,12.34,568946335.0,147664.8958,28.4322,2.2265,0.0
2013-01-31,12.2,376152630.0,145989.6052,28.4322,2.2012,0.0
2013-02-28,8.89,308330450.0,106380.95,28.4322,1.604,0.0
2013-03-31,8.13,377857105.0,97286.5156,28.4322,2.2659,0.0
2013-04-30,9.77,366901235.0,116911.3478,28.4322,2.723,0.0
2013-05-31,11.35,494041685.0,135818.1983,28.4322,3.1634,0.0
2013-06-30,8.29,522893405.0,119041.1718,28.4322,2.3105,0.0
2013-07-31,7.01,540534425.0,100660.8703,28.4322,1.9538,0.0
2013-08-31,6.73,317374455.0,96640.1793,28.4322,1.8757,0.0
2013-09-30,6.45,267576205.0,92619.4883,28.4322,1.7977,0.0
2013-10-31,6.54,492593255.0,93911.8533,28.4322,1.8228,0.0
2013-11-30,7.12,575480015.0,102240.4274,28.4322,1.9844,0.0
2013-12-31,7.79,1146922340.0,111861.3665,28.4322,2.1712,0.0
2014-01-31,6.52,374344900.0,93624.6611,28.4322,1.8172,0.0
2014-02-28,7.18,326833135.0,103102.0041,28.4322,2.0012,0.0
2014-03-31,9.72,673737960.0,139575.415,28.4322,2.1331,0.0
2014-04-30,9.63,1297513610.0,138283.05,28.4322,2.1133,0.0
2014-05-31,12.04,2458371950.0,172889.7116,28.4322,2.6422,0.0
2014-06-30,12.51,1025017120.0,179638.7286,28.4322,2.7453,0.0
2014-07-31,11.32,1182360445.0,162550.7919,28.4322,2.4842,0.0
2014-08-31,9.44,551555085.0,135554.724,28.4322,2.0716,0.0
2014-09-30,8.68,718289720.0,124641.42,28.4322,1.9048,0.0
2014-10-31,9.6,349566790.0,137852.2617,28.4322,2.1067,0.0
2014-11-30,9.12,437115885.0,130959.6486,28.4322,2.0014,0.0
2014-12-31,8.86,442480180.0,127226.1499,28.4322,1.9443,0.0
2015-01-31,10.39,730146625.0,149196.3541,28.4322,2.2801,0.0
2015-02-28,11.21,917018255.0,160971.2348,28.4322,2.4601,0.0
2015-03-31,9.46,947975215.0,135841.9162,28.4322,2.3729,0.0
2015-04-30,8.59,414509995.0,123349.055,28.4322,2.1547,0.0
2015-05-31,7.79,447601890.0,111861.3665,28.4322,1.954,0.0
2015-06-30,5.84,1394920800.0,85726.4949,28.4322,1.4649,0.0
2015-07-31,5.48,1632777720.0,80441.985,28.4322,1.3746,0.0
2015-08-31,4.5,1044350185.0,66056.3745,28.4322,1.1288,0.0
2015-09-30,4.94,792523970.0,72515.22,28.4322,1.2391,0.0
2015-10-31,6.3,905628595.0,92478.9243,28.4322,1.5803,0.0
2015-11-30,6.14,745487365.0,90130.2532,28.4322,1.5402,0.0
2015-12-31,6.45,908869085.0,94680.8035,28.4322,1.6179,0.0
2016-01-31,5.74,985134325.0,84258.5755,28.4322,1.4398,0.0
2016-02-29,5.5,778652150.0,91683.3215,28.4322,1.3796,0.0
2016-03-31,6.89,624335980.0,114854.1973,18.7228,1.538,0.0
2016-04-30,6.41,1112079520.0,106852.7438,17.4185,1.4308,0.0
2016-05-31,5.96,1023432140.0,99351.3812,16.1957,1.3304,0.0
2016-06-30,6.1,782207115.0,101685.1384,16.5761,1.3616,0.0
2016-07-31,5.59,640835265.0,93183.5941,15.1902,1.2478,0.0
2016-08-31,5.53,699556740.0,92183.4124,15.0272,1.2344,0.0
