IGL IN Equity,price,volume,mc,pe,bm,div
2012-03-31,37.94,134767270.0,53116.0753,17.3321,4.3221,0.5
2012-04-30,21.85,1458932910.0,30590.0433,9.9817,2.4891,0.5
2012-05-31,19.34,393154870.0,27069.0384,8.8328,2.2026,0.5
2012-06-30,23.94,1004157690.0,33516.0475,10.9365,2.7272,0.5
2012-07-31,23.36,344746280.0,32697.0463,10.6693,2.6606,0.5
2012-08-31,23.9,371729070.0,33453.0474,10.9159,2.7221,0.5
2012-09-30,26.48,169268290.0,37065.0525,12.0946,3.016,0.5
2012-10-31,25.71,85029720.0,35994.051,11.7451,2.9289,0.5
2012-11-30,26.59,134162710.0,37219.0527,12.1448,3.0285,0.5
2012-12-31,24.9,72287380.0,34853.0494,11.3728,2.836,0.5
2013-01-31,25.98,182948330.0,36372.0515,11.8684,2.9596,0.5
2013-02-28,25.56,81217240.0,35784.0507,11.6766,2.9118,0.5
2013-03-31,27.71,83072710.0,38801.055,10.9589,2.5989,0.5
2013-04-30,30.01,341979490.0,42014.0595,11.8664,2.8141,0.5
2013-05-31,27.59,196092480.0,38626.0547,10.9095,2.5872,0.5
2013-06-30,26.76,72234980.0,37457.0408,10.5793,2.5089,0.5
2013-07-31,26.2,179782140.0,36680.04,10.3598,2.4568,0.5
2013-08-31,25.73,126595780.0,36015.0393,10.172,2.4123,0.55
2013-09-30,26.94,61848510.0,37709.0411,10.6505,2.5257,0.55
2013-10-31,28.05,47172770.0,39263.0428,11.0894,2.6298,0.55
2013-11-30,27.82,57707380.0,38941.0424,10.9984,2.6083,0.55
2013-12-31,26.87,61885020.0,37618.041,10.6248,2.5196,0.55
2014-01-31,24.77,78971890.0,34678.0378,9.7944,2.3227,0.55
2014-02-28,25.32,127294070.0,35441.0386,10.0099,2.3738,0.55
2014-03-31,29.9,130515560.0,41853.0456,11.6187,2.3738,0.55
2014-04-30,28.68,65303200.0,40145.0438,11.1446,2.2769,0.55
2014-05-31,32.22,116461110.0,45108.0492,12.5223,2.5584,0.55
2014-06-30,35.86,105900790.0,50211.0547,13.939,2.8478,0.55
2014-07-31,37.28,148822500.0,52185.0569,14.487,2.9597,0.55
2014-08-31,37.75,105470250.0,52850.0576,14.6716,2.9975,0.55
2014-09-30,41.96,162784680.0,58737.064,16.3059,3.3314,0.55
2014-10-31,39.92,84386850.0,55881.0609,15.513,3.1694,0.55
2014-11-30,43.77,121157600.0,61271.0668,17.0093,3.4751,0.55
2014-12-31,45.36,90897710.0,63504.0692,17.6292,3.6017,0.55
2015-01-31,46.46,115863660.0,65044.0709,18.0567,3.6891,0.55
2015-02-28,43.69,68128110.0,61166.0,16.9802,3.4691,0.55
2015-03-31,41.95,48469730.0,58723.064,13.4138,2.7988,0.55
2015-04-30,41.18,89304820.0,57645.0628,13.1676,2.7474,0.55
2015-05-31,40.45,69527030.0,56630.0617,12.9357,2.6991,0.55
2015-06-30,41.78,68043900.0,58492.0638,13.361,2.7878,0.55
2015-07-31,48.42,221632180.0,67781.0739,15.4829,3.2305,0.55
2015-08-31,47.75,89512560.0,66850.0729,15.2702,3.1862,0.55
2015-09-30,47.75,79246690.0,66843.0729,15.2686,3.1858,0.6
2015-10-31,48.9,64454120.0,68460.0746,15.638,3.2629,0.6
2015-11-30,48.3,45644130.0,67613.0737,15.4445,3.2225,0.6
2015-12-31,52.9,233517080.0,74060.0807,16.9172,3.5298,0.6
2016-01-31,55.99,335042230.0,78379.0854,17.9037,3.7357,0.6
2016-02-29,50.84,125495000.0,71169.0776,16.2568,3.392,0.6
2016-03-31,56.96,105033820.0,79744.0869,17.1814,3.2186,0.6
2016-04-30,57.33,77471050.0,80262.0875,17.293,3.2395,0.6
2016-05-31,55.86,130882110.0,78197.0852,16.8481,3.1562,0.6
2016-06-30,62.76,182326320.0,87857.0958,18.9294,3.5461,0.6
2016-07-31,64.84,123789780.0,90769.0989,19.5568,3.6636,0.6
2016-08-31,80.11,265553820.0,112161.1222,24.1659,4.5271,0.6
2016-09-30,77.81,148066870.0,108934.1187,23.4706,4.3968,1.2
2016-10-31,85.69,188902250.0,119959.1307,25.846,4.8418,1.2
2016-11-30,82.91,127163610.0,116067.1265,25.0075,4.6847,0.95
2016-12-31,91.83,181623380.0,128555.1401,27.6981,5.1888,0.95
2017-01-31,93.95,126726680.0,131530.1434,28.3391,5.3088,0.95
2017-02-28,104.32,189695890.0,146041.1592,31.4656,5.8945,0.95
2017-03-31,101.5,102751830.0,142093.1549,23.4345,4.7181,0.95
2017-04-30,105.77,81259000.0,148078.1526,24.4216,4.9168,0.95
2017-05-31,107.43,78070860.0,150409.1639,24.806,4.9942,0.95
2017-06-30,105.67,65740780.0,147931.1612,24.3974,4.9119,0.95
2017-07-31,117.91,90263710.0,165074.1799,27.2247,5.4811,0.95
2017-08-31,127.56,100413130.0,178584.1946,29.4528,5.9297,0.95
2017-09-30,147.19,136392920.0,206066.2246,33.9852,6.8422,0.5
2017-10-31,158.52,97539970.0,221921.2419,36.6001,7.3687,0.5
2017-11-30,163.3,112037782.0,228620.2551,37.7049,7.5911,0.5
2017-12-31,167.9,89281152.0,235060.2623,38.767,7.8049,0.5
2018-01-31,152.32,90117102.0,213255.2379,35.1709,7.0809,0.5
2018-02-28,152.35,115224344.0,213290.2438,35.1766,7.0821,0.5
2018-03-31,139.73,97373382.0,195615.2236,27.1048,5.3638,0.5
2018-04-30,143.85,86082882.0,201390.2302,27.9049,5.5222,0.5
2018-05-31,132.5,154980354.0,185500.212,25.7032,5.0864,0.5
2018-06-30,127.15,101586340.0,178010.2034,24.6654,4.8811,0.5
2018-07-31,151.98,123003216.0,212765.2432,29.4811,5.8341,0.5
2018-08-31,145.2,109246290.0,203280.2323,28.1668,5.574,0.5
2018-09-30,121.48,85420940.0,170065.1944,23.5645,4.6632,1.0
2018-10-31,133.65,83395550.0,187110.2138,25.9263,5.1306,1.0
2018-11-30,131.57,106266436.0,184205.2105,25.5238,5.0509,1.0
2018-12-31,133.63,68532108.0,187075.2138,25.9214,5.1296,1.0
2019-01-31,141.78,79638102.0,198485.2268,27.5024,5.4425,1.0
2019-02-28,146.4,138223176.0,204960.2342,28.3996,5.62,1.0
2019-03-31,152.73,78463106.0,213815.2444,25.3907,4.9543,1.0
