INDGN IN Equity,price,volume,mc,pe,bm,div
2024-05-31,520.85,63547552.0,124623.2113,34.289,8.0933,0.0
2024-06-30,556.2,19818803.0,133081.3672,36.6162,8.6426,0.0
2024-07-31,610.25,18448766.0,146013.8517,40.1745,9.4824,0.0
2024-08-31,583.3,12893409.0,139565.5546,38.4003,9.0637,0.0
2024-09-30,692.3,22193617.0,165645.8657,45.576,10.7574,0.0
2024-10-31,626.65,13016215.0,149937.8618,41.2541,9.7373,0.0
2024-11-30,682.25,9531097.0,163241.2132,44.9144,10.6012,0.0
2024-12-31,603.7,39716713.0,144446.6404,39.7433,9.3807,0.0
2025-01-31,599.7,12502659.0,143489.5647,39.4799,9.3185,0.0
2025-02-28,514.05,7929124.0,123134.8842,33.8413,7.9876,0.0
2025-03-31,578.5,19342602.0,138813.7002,33.7318,5.3001,0.0
2025-04-30,547.75,5317828.0,131464.3612,31.9388,5.0184,0.0
2025-05-31,600.55,4914899.0,144172.8518,35.0175,5.5021,0.0
2025-06-30,574.65,68510288.0,137955.09,33.5073,5.2648,2.0
2025-07-31,543.0,9174105.0,130357.8259,31.6618,4.9748,2.0
2025-08-31,542.3,13590353.0,130189.7772,31.621,4.9684,2.0
2025-09-30,561.0,8104738.0,134718.3358,32.7114,5.1398,2.0
2025-10-31,539.4,8791060.0,129531.3197,31.4519,4.9419,2.0
2025-11-30,531.3,5025295.0,127586.1886,30.9796,4.8676,2.0
2025-12-31,520.45,4747044.0,125073.0435,30.3469,4.7682,2.0
2026-01-31,482.4,4663731.0,116001.1612,28.1283,4.4196,2.0
2026-02-28,496.3,10077924.0,119343.649,28.9388,4.547,2.0
2026-03-31,462.95,1307797.0,111330.2578,26.9942,4.2414,2.0
