SCHFL IN Equity,price,volume,mc,pe,bm,div
2009-12-31,123.13,1950800.0,10230.2564,15.6098,2.2156,0.9
2010-01-31,109.28,341380.0,9079.5291,13.854,1.9664,0.9
2010-02-28,108.58,399635.0,9021.3696,13.7652,1.9538,0.9
2010-03-31,104.94,562480.0,8718.9402,13.3038,1.8883,0.9
2010-04-30,114.82,1623575.0,9539.82,14.5563,2.0661,0.9
2010-05-31,108.66,163480.0,9028.0164,13.7754,1.9552,0.9
2010-06-30,113.97,143315.0,9469.1978,14.4485,2.0508,0.9
2010-07-31,153.47,2092230.0,12751.0554,19.4561,2.7616,0.9
2010-08-31,163.26,2263610.0,13564.4576,20.6973,2.9377,0.9
2010-09-30,167.74,555980.0,13936.6784,21.2652,3.0183,0.9
2010-10-31,182.12,1621825.0,15131.4407,23.0882,3.2771,0.9
2010-11-30,174.63,590810.0,14509.1341,22.1387,3.1423,0.9
2010-12-31,175.76,280600.0,14603.0201,22.2819,3.1627,0.9
2011-01-31,161.39,351455.0,13409.0886,20.4602,2.9041,0.9
2011-02-28,159.1,267540.0,13218.824,20.1699,2.8629,0.9
2011-03-31,167.4,1319725.0,13908.4295,21.2221,3.0122,1.0
2011-04-30,228.47,2829450.0,18982.4306,28.9642,4.1111,1.0
2011-05-31,221.4,671405.0,18395.0196,28.068,3.9839,1.0
2011-06-30,238.26,663505.0,19795.8338,30.2054,4.2873,1.0
2011-07-31,263.53,7030010.0,21895.3908,33.409,4.742,1.0
2011-08-31,232.67,547335.0,19331.3876,29.4967,4.1867,1.0
2011-09-30,233.43,908570.0,19394.5322,29.5931,4.2004,1.0
2011-10-31,259.36,465810.0,21548.9274,32.8803,4.667,1.0
2011-11-30,229.94,274035.0,19104.5645,29.1506,4.1376,1.0
2011-12-31,208.84,475625.0,17351.471,26.4757,3.7579,1.0
2012-01-31,236.94,653225.0,19686.1595,30.038,4.2635,1.0
2012-02-29,295.8,579400.0,24576.5439,37.5,5.3227,1.0
2012-03-31,337.35,1081500.0,28029.2308,42.7675,6.0703,2.0
2012-04-30,309.68,619840.0,25730.2274,39.2596,5.5724,2.0
2012-05-31,302.8,361985.0,25158.5923,38.3874,5.4486,2.0
2012-06-30,287.67,451965.0,23901.4935,36.4693,5.1764,2.0
2012-07-31,290.16,1985760.0,24108.3799,36.785,5.2212,2.0
2012-08-31,319.61,275490.0,26555.2774,40.5185,5.7511,2.0
2012-09-30,354.85,823985.0,29483.2446,44.9861,6.3852,2.0
2012-10-31,346.48,519920.0,28787.8106,43.9249,6.2346,2.0
2012-11-30,337.48,573390.0,28040.0321,42.784,6.0727,2.0
2012-12-31,339.99,378780.0,28248.5782,17.7466,3.2119,2.0
2013-01-31,306.94,336085.0,25502.5693,16.0215,2.8997,2.0
