FLUOROCH IN Equity,price,volume,mc,pe,bm,div
2019-10-31,661.45,865381.0,72660.2825,5.8222,2.07,0.0
2019-11-30,433.55,1239741.0,47625.4675,3.8162,1.3568,0.0
2019-12-31,620.05,472813.0,68112.4925,5.4578,1.9404,0.0
2020-01-31,611.6,481796.0,67184.26,5.3834,1.914,0.0
2020-02-29,504.0,303000.0,55364.4,4.4363,1.5772,0.0
2020-03-31,286.0,632379.0,31417.1,16.0023,0.8455,0.0
2020-04-30,307.55,144184.0,33784.3675,17.2081,0.9093,0.0
2020-05-31,293.9,285294.0,32284.915,16.4444,0.8689,0.0
2020-06-30,356.9,1134040.0,39205.465,19.9694,1.0552,0.0
2020-07-31,401.9,2866626.0,44148.715,22.4872,1.1882,0.0
2020-08-31,511.2,3875285.0,56155.32,28.6028,1.5113,0.0
2020-09-30,489.55,1351772.0,53777.0675,27.3914,1.4473,0.0
2020-10-31,479.75,664084.0,52700.5375,26.8431,1.4184,0.0
2020-11-30,574.4,2735567.0,63097.84,32.139,1.6982,0.0
2020-12-31,568.45,2528059.0,62444.2325,31.8061,1.6806,0.0
2021-01-31,568.0,2861213.0,62394.8,31.7809,1.6793,0.0
2021-02-28,577.35,1644145.0,63421.8975,32.304,1.7069,0.0
2021-03-31,575.15,1857543.0,63180.2275,32.5306,1.8089,0.0
2021-04-30,798.55,6408824.0,87720.7175,32.5306,2.5115,0.0
2021-05-31,828.15,3258567.0,90972.2775,32.5306,2.6045,0.0
2021-06-30,1161.55,8878150.0,127596.2675,32.5306,3.6531,0.0
2021-07-31,1723.85,4161007.0,189364.9225,32.5306,5.4215,0.0
2021-08-31,1759.5,3152215.0,193281.075,32.5306,5.5337,0.0
2021-09-30,1911.35,7959267.0,209961.7975,32.5306,6.0112,0.0
2021-10-31,1816.4,2811789.0,199531.54,32.5306,5.7126,0.0
2021-11-30,1966.85,2330228.0,216058.4725,32.5306,6.1858,0.0
2021-12-31,2414.9,5940893.0,265276.765,32.5306,7.5949,0.0
2022-01-31,2793.3,2518914.0,306844.005,32.5306,8.785,0.0
2022-02-28,2579.75,1801998.0,283385.5375,32.5306,8.1134,0.0
2022-03-31,2742.55,1268973.0,301269.1175,38.2715,7.0801,2.0
2022-04-30,2803.9,500419.0,308008.415,39.1276,7.2385,2.0
2022-05-31,2887.25,1720033.0,317164.4125,40.2907,7.4537,2.0
2022-06-30,2774.95,1051709.0,304828.2575,38.7236,7.1638,2.0
2022-07-31,3343.35,3714245.0,367266.9975,46.6555,8.6312,2.0
2022-08-31,3344.65,2792927.0,367409.8025,46.6736,8.6345,2.0
2022-09-30,3945.3,4551309.0,433391.205,55.0555,10.1851,4.0
2022-10-31,3790.95,2782507.0,416435.8575,52.9016,9.7867,6.0
2022-11-30,3499.5,2320842.0,384420.075,48.8345,9.0343,6.0
2022-12-31,3110.8,8871940.0,341721.38,43.4103,8.0308,6.0
2023-01-31,2777.4,2314787.0,305097.39,38.7578,7.1701,6.0
2023-02-28,3145.15,4222854.0,345494.7275,43.8896,8.1195,6.0
2023-03-31,3020.2,2971455.0,331768.97,24.9673,6.0095,4.0
2023-04-30,3381.65,2892802.0,371474.2525,27.9554,6.7287,4.0
2023-05-31,3408.2,2145302.0,374390.77,28.1748,6.7816,4.0
2023-06-30,2932.35,1963170.0,322118.6475,24.2411,5.8347,4.0
2023-07-31,2723.05,3847962.0,299127.0425,22.5109,5.4183,4.0
2023-08-31,3046.6,4320913.0,334669.01,25.1856,6.0621,4.0
2023-09-30,3049.95,2419767.0,335037.0075,25.2133,6.0687,4.0
2023-10-31,2773.6,2519463.0,304679.96,22.9287,5.5188,2.0
2023-11-30,2851.15,2729833.0,313198.8275,23.5698,5.6732,2.0
2023-12-31,3699.25,4305662.0,406362.6125,30.5809,7.3607,2.0
2024-01-31,3684.15,2750521.0,404703.8775,30.4561,7.3306,2.0
2024-02-29,3701.75,2580766.0,406637.2375,30.6016,7.3657,2.0
2024-03-31,3097.35,1788861.0,340243.8975,78.2159,5.7315,2.0
2024-04-30,3623.75,2412238.0,398068.9375,91.5088,6.7056,2.0
2024-05-31,3038.0,1425184.0,333724.3,76.7172,5.6217,2.0
2024-06-30,3192.35,5232756.0,350679.6475,80.6149,5.9073,2.0
2024-07-31,3385.35,2038617.0,371880.6975,85.4886,6.2645,2.0
2024-08-31,3175.35,3109017.0,348812.1975,80.1856,5.8759,2.0
2024-09-30,4273.05,11613755.0,469394.5425,107.9053,7.9071,3.0
2024-10-31,4308.1,6027754.0,473244.785,108.7904,7.972,3.0
2024-11-30,3957.2,2190648.0,434698.42,99.9293,7.3227,3.0
2024-12-31,4165.6,3148910.0,457591.16,105.1919,7.7083,3.0
2025-01-31,3577.55,2513350.0,392993.8675,90.3422,6.6201,3.0
2025-02-28,3584.85,1605517.0,393795.7725,90.5265,6.6336,3.0
2025-03-31,4022.85,2068685.0,441910.0725,80.9427,6.0931,3.0
2025-04-30,3892.7,1520513.0,427613.095,78.3239,5.896,3.0
2025-05-31,3553.3,2151854.0,390330.005,71.495,5.3819,3.0
2025-06-30,3630.8,2268048.0,398843.38,73.0543,5.4993,3.0
2025-07-31,3594.0,2288230.0,394800.9,72.3139,5.4436,3.0
2025-08-31,3414.1,2453778.0,375038.885,68.6942,5.1711,3.0
2025-09-30,3707.8,7774392.0,407301.83,74.6036,5.6159,3.0
2025-10-31,3743.6,1933969.0,411234.46,75.3239,5.6702,3.0
2025-11-30,3423.5,1699720.0,376071.475,68.8833,5.1853,3.0
2025-12-31,3666.3,1771492.0,402743.055,73.7686,5.5531,3.0
2026-01-31,3053.5,1654814.0,335426.975,61.4386,4.6249,3.0
2026-02-28,3483.3,1595713.0,382640.505,70.0865,5.2759,3.0
2026-03-31,3269.4,225151.0,359143.5793,65.7827,4.9519,3.0
