GVTD IN Equity,price,volume,mc,pe,bm,div
1996-05-31,18.75,121500.0,3731.1562,24.8806,2.2218,0.2
1996-06-30,19.2,680500.0,3820.704,25.4777,2.2752,0.2
1996-07-31,18.58,1260000.0,3697.3271,24.655,2.2017,0.25
1996-08-31,22.35,2710935.0,4447.5382,29.6576,2.6484,0.25
1996-09-30,19.98,393970.0,3975.9201,26.5127,2.3676,0.25
1996-10-31,16.44,315985.0,3271.4778,21.8153,1.9481,0.25
1996-11-30,14.48,256685.0,2881.4476,19.2144,1.7159,0.25
1996-12-31,16.9,121790.0,3363.0155,22.4257,2.0026,0.25
1997-01-31,17.0,463370.0,3382.915,22.5584,2.0145,0.25
1997-02-28,17.1,140220.0,3402.8145,22.6911,2.0263,0.25
1997-03-31,14.35,224655.0,2855.5782,25.3265,1.7258,0.25
1997-04-30,15.65,576755.0,3114.2717,27.6209,1.8821,0.25
1997-05-31,13.2,145935.0,2626.734,23.2969,1.5875,0.25
1997-06-30,13.6,333740.0,2706.332,24.0028,1.6356,0.25
1997-07-31,17.4,269285.0,3462.513,30.7095,2.0926,0.2
1997-08-31,12.8,469900.0,2547.136,22.5909,1.5394,0.2
1997-09-30,10.1,435095.0,2009.8495,17.8256,1.2147,0.2
1997-10-31,8.9,329530.0,1641.7087,15.7077,1.0704,0.2
1997-11-30,6.1,436175.0,1213.8695,10.766,0.7336,0.2
1997-12-31,7.9,204270.0,1572.0605,13.9428,0.9501,0.2
1998-01-31,7.2,153730.0,1432.764,12.7074,0.8659,0.2
1998-02-28,7.65,100370.0,1522.3117,13.5016,0.92,0.2
1998-03-31,10.3,698655.0,2049.6485,32.0872,1.2401,0.2
1998-04-30,8.6,466520.0,1711.357,26.7913,1.0354,0.2
1998-05-31,7.81,246675.0,1554.1509,24.3302,0.9403,0.2
1998-06-30,7.16,176500.0,1424.8042,22.3053,0.8621,0.2
1998-07-31,6.7,336615.0,1333.2665,20.8723,0.8067,0.2
