GVTD IN Equity,price,volume,mc,pe,bm,div
1998-08-31,6.85,257890.0,1363.1157,21.3396,0.8247,0.2
1998-09-30,8.0,460475.0,1591.96,24.9221,0.9632,0.0
1998-10-31,7.14,284150.0,1420.8243,22.243,0.8597,0.0
1998-11-30,6.82,172785.0,1357.1459,21.2461,0.8211,0.0
1998-12-31,7.0,137990.0,1392.965,21.8069,0.8428,0.0
1999-01-31,6.6,241420.0,1313.367,20.5607,0.7946,0.0
1999-02-28,7.1,323330.0,1412.8645,22.1184,0.8548,0.0
1999-03-31,10.17,743535.0,2023.7791,31.8069,1.3045,0.0
1999-04-30,6.45,202965.0,1283.5177,31.8069,0.8273,0.0
1999-05-31,6.76,287095.0,1345.2062,31.8069,0.8671,0.0
1999-06-30,7.2,148290.0,1432.764,31.8069,0.9235,0.0
1999-07-31,8.53,770470.0,1697.4273,31.8069,1.0941,0.0
1999-08-31,12.28,840105.0,2443.6586,31.8069,1.5752,0.0
1999-09-30,10.83,650740.0,2155.1158,31.8069,1.3892,0.0
1999-10-31,10.98,850440.0,2184.9651,31.8069,1.4084,0.0
1999-11-30,11.16,222985.0,2220.7842,31.8069,1.4315,0.0
1999-12-31,10.3,311295.0,2049.6485,31.8069,1.3212,0.0
2000-01-31,7.4,373700.0,1472.563,31.8069,0.9492,0.0
2000-02-29,7.02,554255.0,1396.9449,31.8069,0.9005,0.0
2000-03-31,5.8,1022240.0,1154.171,66.8203,0.7107,0.0
2000-04-30,5.52,128020.0,1098.4524,63.5945,0.6764,0.0
2000-05-31,5.2,129750.0,1034.774,59.9078,0.6372,0.0
2000-06-30,6.92,164475.0,1377.0454,79.7235,0.848,0.0
2000-07-31,5.33,247290.0,1060.6433,61.4055,0.6531,0.0
2000-08-31,4.43,144625.0,881.5478,51.0369,0.5428,0.0
2000-09-30,3.45,217105.0,688.0594,39.7465,0.4228,0.0
2000-10-31,3.6,57660.0,717.975,41.4747,0.4411,0.0
2000-11-30,3.89,145545.0,775.8119,44.8157,0.4767,0.0
2000-12-31,4.5,218090.0,897.4688,51.8433,0.5514,0.0
2001-01-31,3.95,162695.0,787.7781,45.5069,0.484,0.0
2001-02-28,4.63,405195.0,923.3956,53.341,0.5674,0.0
2001-03-31,3.3,226505.0,658.1438,40.6682,0.4326,0.0
2001-04-30,3.13,54580.0,624.2394,40.6682,0.4326,0.0
2001-05-31,3.7,174620.0,737.9188,40.6682,0.4326,0.0
2001-06-30,3.28,166115.0,654.155,40.6682,0.4326,0.0
2001-07-31,2.66,642500.0,530.5038,40.6682,0.4326,0.0
2001-08-31,3.04,139575.0,606.29,40.6682,0.4326,0.0
2001-09-30,2.55,62730.0,508.5656,40.6682,0.4326,0.0
2001-10-31,2.54,149095.0,506.5713,40.6682,0.4326,0.0
2001-11-30,2.75,114015.0,548.4531,40.6682,0.4326,0.0
2001-12-31,2.59,147725.0,516.5431,40.6682,0.4326,0.0
2002-01-31,3.3,241660.0,658.1438,40.6682,0.4326,0.0
2002-02-28,4.1,599625.0,817.6938,40.6682,0.4326,0.0
2002-03-31,3.82,313595.0,761.8513,40.6682,0.4551,0.0
2002-04-30,3.95,241545.0,787.7781,40.6682,0.4706,0.0
2002-05-31,3.75,271535.0,747.8906,40.6682,0.4468,0.0
2002-06-30,5.92,1061545.0,1180.67,40.6682,0.7053,0.0
2002-07-31,6.03,1220180.0,1202.6081,40.6682,0.7184,0.0
2002-08-31,5.6,277130.0,1116.85,40.6682,0.6672,0.0
2002-09-30,4.86,81895.0,969.2663,40.6682,0.579,0.0
2002-10-31,4.8,129920.0,957.3,40.6682,0.5719,0.0
2002-11-30,4.75,194580.0,947.3281,40.6682,0.5659,0.0
2002-12-31,4.98,368440.0,993.1988,40.6682,0.5933,0.0
2003-01-31,4.14,706550.0,825.6713,40.6682,0.4932,0.0
2003-02-28,5.63,1615375.0,1122.8331,40.6682,0.6707,0.0
2003-03-31,4.59,943815.0,915.4181,13.9939,0.5274,0.0
2003-04-30,5.05,534135.0,1007.1594,15.3963,0.5802,0.0
2003-05-31,6.12,1363500.0,1220.5575,18.6585,0.7032,0.0
2003-06-30,6.77,3842530.0,1350.1919,20.6402,0.7779,0.0
2003-07-31,7.06,3057295.0,1408.0288,21.5244,0.8112,0.0
2003-08-31,7.64,6527910.0,1523.7025,23.2927,0.8778,0.0
2003-09-30,7.88,6144705.0,1571.5675,24.0244,0.9054,0.0
2003-10-31,9.36,6652655.0,1866.735,28.5366,1.0754,0.0
2003-11-30,13.03,9959935.0,2598.6707,39.7256,1.4971,0.0
2003-12-31,14.23,13353540.0,2837.9957,43.3841,1.635,0.0
2004-01-31,8.6,13865785.0,1715.1625,26.2195,0.9881,0.0
2004-02-29,7.56,3109165.0,1507.7475,23.0488,0.8686,0.0
2004-03-31,6.89,2974695.0,1374.1244,8.1442,0.7488,0.0
2004-04-30,7.71,1830185.0,1537.6632,9.1135,0.8379,0.0
2004-05-31,6.73,2014560.0,1342.2144,7.9551,0.7314,0.0
2004-06-30,7.17,920210.0,1429.9669,8.4752,0.7792,0.25
2004-07-31,9.46,9640150.0,1886.6788,11.182,1.0281,0.25
2004-08-31,10.45,4937510.0,2084.1219,12.3522,1.1357,0.25
2004-09-30,12.43,5917495.0,2479.0082,14.6927,1.3509,0.25
2004-10-31,12.27,5361980.0,2447.0982,14.5035,1.3335,0.25
2004-11-30,15.41,10928895.0,3073.3319,18.2151,1.6748,0.25
2004-12-31,18.61,7081940.0,3711.5319,21.9976,2.0225,0.25
2005-01-31,16.71,2464840.0,3332.6007,19.7518,1.8161,0.25
2005-02-28,15.77,10427015.0,3145.1294,18.6407,1.7139,0.25
2005-03-31,14.08,7354865.0,2808.0801,7.7433,1.28,0.25
2005-04-30,39.24,86290860.0,7825.9276,21.5802,3.5673,0.25
2005-05-31,43.24,66199680.0,8623.6777,23.78,3.931,0.25
2005-06-30,36.54,20910565.0,7287.4464,20.0953,3.3219,0.25
2005-07-31,49.2,17072895.0,9812.3252,27.0577,4.4728,0.25
2005-08-31,53.82,18925035.0,10733.7265,29.5985,4.8928,0.35
2005-09-30,56.41,10880950.0,11250.2696,31.0229,5.1283,0.35
2005-10-31,52.75,8191700.0,10520.3283,29.01,4.7955,0.35
2005-11-30,69.23,13605835.0,13807.0584,38.0733,6.2937,0.35
2005-12-31,70.89,19860525.0,14138.1246,38.9862,6.4447,0.35
2006-01-31,75.56,15971970.0,15069.4978,41.5545,6.8692,0.35
2006-02-28,101.53,17996310.0,20248.8898,55.8368,9.2302,0.35
2006-03-31,172.21,71815720.0,34345.1325,94.7075,15.6557,0.35
2006-04-30,150.26,21933600.0,28541.5012,82.636,13.6602,0.35
2006-05-31,119.62,9931015.0,23856.7142,65.7854,10.8747,0.5
2006-06-30,108.07,10581350.0,21553.211,59.4335,9.8247,0.5
2006-07-31,121.65,10001520.0,24261.5723,66.9018,11.0593,0.5
2006-08-31,128.47,12080910.0,25621.7361,70.6525,11.6793,0.5
2006-09-30,136.11,8649770.0,27145.4386,74.8542,12.3738,0.5
2006-10-31,160.56,9800555.0,32021.6856,88.3005,14.5966,0.5
2006-11-30,185.17,17426215.0,36929.8426,101.8349,16.8339,0.5
2006-12-31,209.3,10779855.0,41742.2695,30.5823,10.8848,0.5
2007-01-31,231.64,5393290.0,46197.7009,33.8465,12.0466,0.5
2007-02-28,225.91,5324125.0,45054.929,33.0093,11.7486,0.5
2007-03-31,217.34,4814245.0,43345.7446,31.7571,11.3029,0.5
2007-04-30,237.25,3754110.0,47316.5478,34.6662,12.3384,0.5
2007-05-31,279.46,5106490.0,55734.8073,40.8338,14.5336,0.3
2007-06-30,303.67,4730805.0,60563.1868,44.3713,15.7926,0.3
2007-07-31,321.08,6347865.0,64035.3937,46.9152,16.698,0.0
2007-08-31,318.18,4632105.0,63457.025,46.4915,16.5472,0.0
2007-09-30,372.19,3495520.0,74227.7121,54.3833,19.3561,0.0
2007-10-31,474.59,4700890.0,94649.8566,69.3456,24.6815,1.2
2007-11-30,534.77,4036795.0,106651.8627,78.139,27.8112,1.2
2007-12-31,480.6,2556490.0,95848.4635,46.7038,20.9182,1.2
2008-01-31,386.58,3327520.0,77097.5843,37.5671,16.8259,1.2
2008-02-29,369.16,1822105.0,88267.6371,35.8743,16.0677,1.2
2008-03-31,309.42,2738965.0,73983.5609,30.0689,13.4675,1.2
2008-04-30,334.09,2846170.0,79882.585,32.4663,14.5413,1.8
2008-05-31,303.28,1098390.0,72515.7631,29.4722,13.2003,1.8
2008-06-30,251.29,2285760.0,60084.6914,24.4199,10.9374,1.8
2008-07-31,329.68,9120830.0,78828.135,32.0377,14.3494,1.8
2008-08-31,305.15,2901095.0,72962.8894,29.6539,13.2817,1.8
2008-09-30,283.61,5570125.0,67812.5708,27.5607,12.3442,1.8
2008-10-31,177.1,5391681.0,42345.4947,17.2103,7.7083,1.8
2008-11-30,139.0,2275649.0,33235.5944,13.5078,6.05,1.8
2008-12-31,205.75,3735666.0,49195.8529,21.7369,6.7855,1.8
2009-01-31,183.8,2038612.0,43947.4982,19.418,6.0616,1.8
2009-02-28,179.5,2934942.0,42919.3467,18.9637,5.9198,1.8
2009-03-31,202.45,3310850.0,48406.8064,21.3883,6.6767,1.8
2009-04-30,218.15,7172559.0,52160.7548,23.0469,7.1944,1.8
2009-05-31,331.35,11834545.0,79227.4403,35.0062,10.9277,1.8
2009-06-30,336.0,18699820.0,80339.2786,35.4975,11.081,1.8
2009-07-31,313.7,17778589.0,75007.2372,33.1415,10.3456,1.8
2009-08-31,295.9,7862359.0,70751.1682,31.261,9.7586,1.8
2009-09-30,315.65,21629649.0,75473.4919,33.3475,10.4099,1.8
2009-10-31,280.3,18781791.0,67021.1303,29.6129,9.2441,1.8
2009-11-30,291.55,11103420.0,69711.0615,30.8014,9.6151,1.8
2009-12-31,269.25,7669370.0,64379.0201,33.5305,7.429,1.8
2010-01-31,271.4,21097028.0,64893.0958,33.7983,7.4883,1.8
2010-02-28,260.1,8669873.0,62191.2094,32.391,7.1765,1.8
2010-03-31,305.0,18288867.0,72927.0237,37.9826,8.4154,1.8
2010-04-30,272.5,11228388.0,65156.1113,33.9352,7.5186,1.8
2010-05-31,285.95,14653237.0,68372.0735,35.6102,7.8897,1.8
2010-06-30,290.3,9778634.0,69412.1803,36.1519,8.0098,1.8
2010-07-31,288.55,4329099.0,68993.7465,35.934,7.9615,1.8
2010-08-31,291.65,6690154.0,69734.972,36.32,8.047,1.8
2010-09-30,290.05,4744792.0,69352.404,36.1208,8.0029,1.8
2010-10-31,294.7,17889843.0,70464.2422,36.6999,8.1312,1.8
2010-11-30,307.75,12223682.0,73584.5624,38.325,8.4912,1.8
2010-12-31,324.95,9200789.0,77697.1684,41.6069,7.7513,1.8
2011-01-31,314.35,6606434.0,75162.6554,40.2497,7.4984,1.8
2011-02-28,276.65,4579660.0,66148.3971,35.4225,6.5992,1.8
2011-03-31,247.8,6988397.0,59250.2179,31.7286,5.911,1.8
2011-04-30,279.3,4709150.0,66782.0253,35.7618,6.6624,1.8
2011-05-31,253.8,2254170.0,60684.8479,32.4968,6.0541,1.8
2011-06-30,257.35,2472686.0,61533.6707,32.9513,6.1388,1.8
2011-07-31,245.95,3093688.0,58807.8737,31.4917,5.8668,1.8
2011-08-31,216.0,2535389.0,51646.6791,27.6569,5.1524,1.8
2011-09-30,218.45,1230502.0,52232.4863,27.9706,5.2109,1.8
2011-10-31,211.2,4968410.0,50498.9751,27.0423,5.0379,1.8
2011-11-30,205.15,5121795.0,49052.3899,26.2676,4.8936,1.8
2011-12-31,163.5,10859554.0,39093.6668,20.9347,3.9001,1.8
2012-01-31,172.65,94888274.0,41281.4775,22.1063,4.1184,1.8
2012-02-29,190.55,3552600.0,45561.4569,24.3982,4.5453,1.8
2012-03-31,188.0,1676532.0,44951.5527,24.0717,4.4845,1.8
2012-04-30,160.45,4509248.0,38364.2374,20.5442,3.8273,1.8
2012-05-31,170.15,1759512.0,40683.5463,21.7862,4.0587,1.8
2012-06-30,195.2,1019637.0,46673.1016,24.9936,4.6563,0.0
2012-07-31,182.85,702877.0,43720.1671,23.4123,4.3617,1.8
2012-08-31,184.6,886321.0,44138.5991,23.6364,4.4034,1.8
2012-09-30,213.6,1992470.0,51072.6152,27.3496,5.0952,1.8
2012-10-31,204.15,769684.0,48813.0824,26.1396,4.8698,1.8
2012-11-30,197.7,676003.0,47270.8616,25.3137,4.7159,1.8
2012-12-31,186.75,726207.0,44652.6727,23.9117,4.4547,1.8
2013-01-31,181.0,1007584.0,43277.8247,23.1754,4.3175,1.8
2013-02-28,165.15,762269.0,39488.0262,21.146,3.9395,1.8
2013-03-31,146.9,515657.0,35124.3782,41.733,3.8591,1.8
2013-04-30,165.35,1069161.0,39535.847,46.9744,4.3437,1.8
2013-05-31,159.15,669144.0,38053.4022,45.2131,4.1809,1.8
2013-06-30,169.1,682857.0,40432.4922,48.0398,4.4423,1.8
2013-07-31,138.7,700307.0,33163.7296,39.4034,3.6436,1.8
2013-08-31,143.2,813960.0,34239.6977,40.6818,3.7619,1.8
2013-09-30,139.75,667491.0,33414.7888,39.7017,3.6712,1.8
2013-10-31,150.05,629036.0,35877.5604,42.6278,3.9418,1.8
2013-11-30,179.35,930194.0,42883.3086,50.9517,4.7115,1.8
2013-12-31,202.15,2997494.0,51759.8079,57.429,5.3105,1.8
2014-01-31,184.75,1006093.0,47304.5981,52.4858,4.8534,1.8
2014-02-28,185.35,1371132.0,47458.2261,52.6563,4.8691,1.8
2014-03-31,249.05,3759727.0,63768.3906,52.1025,5.1065,1.8
2014-04-30,274.9,3814749.0,70387.1937,57.5105,5.6366,1.8
2014-05-31,307.55,6329194.0,78747.1132,64.341,6.306,1.8
2014-06-30,346.4,3586928.0,88694.5212,72.4686,7.1026,1.8
2014-07-31,331.1,2193669.0,84777.0092,69.2678,6.7889,1.8
2014-08-31,328.3,1098768.0,84060.0789,68.682,6.7315,1.8
2014-09-30,349.2,3353816.0,89411.4515,73.0544,7.16,1.8
2014-10-31,375.1,3135678.0,96043.0569,78.4728,7.6911,1.8
2014-11-30,474.75,6390740.0,121558.0945,99.3201,9.7343,1.8
2014-12-31,469.9,2770297.0,120316.2688,98.3054,9.6349,1.8
2015-01-31,475.4,2951510.0,121724.5248,99.4561,9.7476,1.8
2015-02-28,524.45,3400638.0,134283.8476,109.7176,10.7534,1.8
2015-03-31,584.8,3853443.0,149736.0162,124.1614,11.4145,1.8
2015-04-30,519.25,3154797.0,132952.1655,110.2442,10.1351,1.8
2015-05-31,529.45,3903035.0,135563.8402,112.4098,10.3342,1.8
2015-06-30,536.15,1869670.0,137279.352,113.8323,10.465,1.8
2015-07-31,561.15,4775866.0,143680.5155,119.1401,10.9529,1.8
2015-08-31,527.7,2444635.0,135115.7588,112.0382,10.3,1.8
2015-09-30,513.35,1710630.0,131441.491,108.9915,10.0199,1.8
2015-10-31,525.6,1032652.0,134578.0611,111.5924,10.259,1.8
2015-11-30,489.2,1104466.0,125257.967,103.8641,9.5486,1.8
2015-12-31,474.0,1125918.0,121366.0596,100.6369,9.2519,1.8
2016-01-31,448.25,2868261.0,114772.8612,95.1699,8.7493,1.8
2016-02-29,359.4,1459713.0,92023.1262,76.3057,7.015,1.8
2016-03-31,438.55,2827334.0,112289.2098,325.4792,9.5294,1.8
2016-04-30,380.7,1175919.0,97476.9175,282.5446,8.2723,1.8
2016-05-31,331.9,2705027.0,84981.8464,246.3266,7.2119,1.8
2016-06-30,355.4,1504068.0,90998.9401,263.7676,7.7226,1.8
2016-07-31,345.45,1431478.0,88451.277,256.383,7.5064,1.8
2016-08-31,319.55,2092349.0,81819.6716,237.1608,6.9436,1.8
2016-09-30,334.95,3859246.0,85762.7883,248.5902,7.2782,1.8
2016-10-31,343.05,1145980.0,87836.7653,254.6018,7.4542,1.8
2016-11-30,324.75,1174094.0,83151.1136,241.0201,7.0566,1.8
2016-12-31,298.8,474127.0,76506.7059,221.7608,6.4927,1.8
2017-01-31,307.05,2945306.0,78619.0899,227.8837,6.672,1.8
2017-02-28,298.5,1736910.0,76429.892,221.5381,6.4862,1.8
2017-03-31,328.35,3379897.0,84072.8812,232.9675,8.1404,1.8
2017-04-30,343.5,2803692.0,87951.9863,232.9675,8.516,1.8
2017-05-31,358.55,3470107.0,91805.4867,232.9675,8.8892,1.8
2017-06-30,343.0,2305154.0,87823.963,232.9675,8.5037,1.8
2017-07-31,394.6,6983164.0,101035.9644,232.9675,9.7829,1.8
2017-08-31,408.6,3774880.0,104620.616,232.9675,10.13,1.8
2017-09-30,389.9,3124969.0,99832.5457,232.9675,9.6664,1.8
2017-10-31,391.0,3062717.0,100114.1969,232.9675,9.6937,1.8
2017-11-30,425.2,6140922.0,108870.9858,232.9675,10.5416,1.8
2017-12-31,443.05,2609651.0,113441.4164,232.9675,10.9841,1.8
2018-01-31,431.6,2843351.0,110509.6836,232.9675,10.7002,1.8
2018-02-28,407.7,1705341.0,104390.1723,232.9675,10.1077,1.8
2018-03-31,407.5,1612155.0,104338.963,49.9808,8.7709,1.8
2018-04-30,378.1,1160701.0,96811.1949,46.3749,8.1381,1.8
2018-05-31,309.7,2061214.0,79297.6119,37.9854,6.6658,1.8
2018-06-30,290.1,1565568.0,74279.0998,35.5815,6.244,1.8
2018-07-31,279.55,4401598.0,71577.8089,34.2875,6.0169,1.8
2018-08-31,275.35,2386694.0,70502.4134,33.7723,5.9265,1.8
2018-09-30,235.75,958477.0,60362.9706,28.9153,5.0742,1.8
2018-10-31,230.8,2679589.0,59095.5403,28.3082,4.9676,1.8
2018-11-30,231.35,1490728.0,59236.3659,28.3756,4.9795,1.8
2018-12-31,292.65,1276648.0,74932.0185,35.8942,6.2989,1.8
2019-01-31,293.6,1403342.0,75175.2627,36.0107,6.3193,1.8
2019-02-28,289.1,1123580.0,74023.0533,35.4588,6.2225,1.8
2019-03-31,276.1,1428869.0,70694.4483,33.225,4.9506,1.8
2019-04-30,255.05,1019016.0,65304.6688,30.6919,4.5732,1.8
2019-05-31,261.15,1239561.0,66866.5526,31.426,4.6826,1.8
2019-06-30,237.05,499797.0,60695.8311,28.5259,4.2504,1.8
2019-07-31,154.8,823490.0,39636.0036,18.6282,2.7756,1.8
2019-08-31,150.55,1357090.0,38547.8058,18.1167,2.6994,1.8
2019-09-30,190.1,3139159.0,48674.4463,22.8761,3.4086,1.8
2019-10-31,205.45,662668.0,52604.7606,24.7232,3.6838,1.8
2019-11-30,159.5,965905.0,40839.4223,19.1937,2.8599,1.8
2019-12-31,147.2,635136.0,37690.05,17.7136,2.6394,1.8
2020-01-31,166.85,2323090.0,42721.3644,20.0782,2.9917,1.8
2020-02-29,120.5,6407494.0,30853.6075,14.5006,2.1606,1.8
2020-03-31,71.9,1489176.0,18409.7459,8.6462,1.7508,1.8
2020-04-30,85.3,1303584.0,21840.7694,8.6462,2.0771,1.8
2020-05-31,59.15,1700259.0,15145.1525,8.6462,1.4404,1.8
2020-06-30,75.2,6255928.0,19254.6994,8.6462,1.8312,1.8
2020-07-31,83.4,11111413.0,21354.281,8.6462,2.0309,1.8
2020-08-31,104.2,3291340.0,26680.0489,8.6462,2.5374,1.8
2020-09-30,90.1,1294903.0,23069.7928,8.6462,2.194,0.0
2020-10-31,81.1,1989848.0,20765.3738,8.6462,1.9749,0.0
2020-11-30,99.25,2321307.0,25412.6184,8.6462,2.4168,0.0
2020-12-31,117.2,6499448.0,30008.6537,8.6462,2.8539,0.0
2021-01-31,116.4,7073714.0,29803.8164,8.6462,2.8344,0.0
2021-02-28,127.85,6806783.0,32735.5492,8.6462,3.1133,0.0
2021-03-31,116.3,4983674.0,29778.2118,49.2797,2.6524,0.0
2021-04-30,114.95,1930910.0,29432.549,48.7076,2.6216,0.0
2021-05-31,131.8,9745444.0,33746.933,55.8475,3.0059,0.0
2021-06-30,140.5,13567201.0,35974.5379,59.5339,3.2043,0.0
2021-07-31,143.25,5325158.0,36678.6661,60.6992,3.2671,0.0
2021-08-31,141.2,12088169.0,36153.7707,59.8305,3.2203,0.0
2021-09-30,128.6,4204823.0,32927.5844,54.4915,2.9329,0.0
2021-10-31,127.95,3116073.0,32761.1542,54.2161,2.9181,0.0
2021-11-30,115.7,2401642.0,29624.5841,49.0254,2.6387,0.0
2021-12-31,133.65,3882899.0,34220.6194,56.6314,3.0481,0.0
2022-01-31,121.9,3646361.0,31212.0726,51.6525,2.7801,0.0
2022-02-28,88.45,3336364.0,22647.316,37.4788,2.0173,0.0
2022-03-31,91.65,2772960.0,23466.6649,38.411,2.1723,0.0
2022-04-30,126.75,3813729.0,32453.8983,38.411,3.0042,0.0
2022-05-31,103.7,1503419.0,26552.0257,38.411,2.4579,0.0
2022-06-30,97.65,787434.0,25002.9441,38.411,2.3145,0.0
2022-07-31,114.65,1011264.0,29355.7352,38.411,2.7174,0.0
2022-08-31,134.9,2538625.0,34540.6776,38.411,3.1974,0.0
2022-09-30,125.0,2016684.0,32005.8169,38.411,2.9627,0.0
2022-10-31,128.05,1006474.0,32786.7588,38.411,3.035,0.0
2022-11-30,131.05,1242797.0,33554.8984,38.411,3.1061,0.0
2022-12-31,115.35,1451721.0,29534.9678,38.411,2.734,0.0
2023-01-31,117.9,864122.0,30187.8865,38.411,2.7944,0.0
2023-02-28,100.7,904630.0,25783.8861,38.411,2.3868,0.0
2023-03-31,119.25,1298468.0,30533.5493,38.411,2.8464,0.0
2023-04-30,176.2,13495669.0,45115.3995,38.411,4.2058,0.0
2023-05-31,178.15,11256458.0,45614.6902,38.411,4.2523,0.0
2023-06-30,219.3,1523813.0,56151.0051,38.411,5.2346,0.0
2023-07-31,253.4,1631961.0,64882.192,38.411,6.0485,0.0
2023-08-31,330.7,5852908.0,84674.5891,38.411,7.8936,0.0
2023-09-30,442.65,4215520.0,113338.9987,38.411,10.5658,0.0
2023-10-31,395.25,870620.0,101202.393,38.411,9.4344,0.0
2023-11-30,425.95,1520481.0,109063.0216,38.411,10.1672,0.0
2023-12-31,503.35,1191635.0,128881.0234,38.411,12.0146,0.0
2024-01-31,681.9,3578185.0,174598.1322,38.411,16.2765,0.0
2024-02-29,911.4,3972170.0,233360.812,38.411,21.7545,0.0
2024-03-31,848.25,1635201.0,217191.4733,119.9788,17.474,0.0
2024-04-30,1143.2,3340974.0,292712.3988,161.6973,23.55,0.0
2024-05-31,1360.35,3100574.0,348312.9039,192.4116,28.0233,0.0
2024-06-30,1491.7,2414109.0,381944.6163,210.9901,30.7291,0.0
2024-07-31,1585.05,2842945.0,405846.5603,224.1938,32.6521,0.0
2024-08-31,1713.6,5293888.0,438761.3424,242.3762,35.3003,2.0
2024-09-30,1681.0,12097054.0,430414.2253,237.7652,34.6287,2.0
2024-10-31,1785.9,8965471.0,457273.5069,252.6025,36.7897,2.0
2024-11-30,1756.2,12323354.0,449668.9248,248.4017,36.1778,2.0
2024-12-31,2075.9,7868212.0,531527.002,293.6209,42.7637,2.0
2025-01-31,1787.5,10073497.0,457683.1813,252.8289,36.8226,2.0
2025-02-28,1338.3,10040591.0,342667.0778,189.2928,27.5691,2.0
2025-03-31,1558.75,8812379.0,399112.5364,65.604,22.5092,2.0
2025-04-30,1566.1,7598069.0,400994.4785,65.9133,22.6153,2.0
2025-05-31,2241.4,13678444.0,573902.7035,94.335,32.367,2.0
2025-06-30,2361.1,8970215.0,604551.4738,99.3729,34.0955,2.0
2025-07-31,2726.8,9695423.0,698187.6916,114.7643,39.3764,2.0
2025-08-31,2779.2,13211822.0,711604.5301,116.9697,40.1331,5.0
2025-09-30,2960.5,8740329.0,758025.7669,124.6002,42.7512,5.0
2025-10-31,3037.4,9039603.0,777715.7454,127.8367,43.8617,5.0
2025-11-30,2881.4,31049336.0,737772.4859,121.271,41.609,5.0
2025-12-31,3132.5,16093333.0,802065.7709,131.8392,45.235,5.0
2026-01-31,3230.3,17123392.0,827107.122,135.9554,46.6473,5.0
2026-02-28,3850.2,14180946.0,985830.3691,162.0455,55.5989,5.0
2026-03-31,3824.9,2580944.0,979352.3667,160.9806,55.2336,5.0
