DBREALTY IN Equity,price,volume,mc,pe,bm,div
2010-02-28,390.34,56619460.0,106887.9186,57.7091,0.4006,0.0
2010-03-31,403.17,14443340.0,110403.0083,38.9223,3.217,0.0
2010-04-30,386.25,868950.0,105768.9281,37.2885,3.082,0.0
2010-05-31,365.55,2069227.0,100100.998,35.2903,2.9168,0.0
2010-06-30,333.66,2106386.0,91368.0069,32.2115,2.6624,0.0
2010-07-31,378.03,5953014.0,103518.7842,36.4953,3.0164,0.0
2010-08-31,380.57,12043935.0,104212.0718,36.7397,3.0366,0.0
2010-09-30,361.24,7688773.0,98921.1928,34.8744,2.8824,0.0
2010-10-31,372.7,16337184.0,102059.2314,35.9807,2.9739,0.0
2010-11-30,184.64,25470923.0,50561.3425,17.8253,1.4733,0.0
2010-12-31,172.6,13085961.0,47265.1857,16.6632,1.3773,0.0
2011-01-31,134.81,7085983.0,36914.5236,13.0141,1.0756,0.0
2011-02-28,97.32,38826704.0,26649.002,9.395,0.7765,0.0
2011-03-31,105.18,60256948.0,28801.8424,8.5651,0.7758,0.0
2011-04-30,86.12,33746978.0,23583.9411,7.0134,0.6352,0.0
2011-05-31,68.36,23604119.0,18718.765,5.5666,0.5042,0.0
2011-06-30,62.67,23811851.0,17161.9086,5.1036,0.4622,0.0
2011-07-31,69.69,25258418.0,19083.6532,5.6751,0.514,0.0
2011-08-31,53.39,10297360.0,14619.8541,4.3477,0.3938,0.0
2011-09-30,44.19,19773552.0,12102.1255,3.5989,0.326,0.0
2011-10-31,63.92,19393589.0,17502.471,5.2049,0.4714,0.0
2011-11-30,64.14,48639049.0,17563.2857,5.223,0.4731,0.0
2011-12-31,43.93,14163599.0,12029.1479,3.5772,0.324,0.0
2012-01-31,55.08,14187421.0,15082.0459,4.4851,0.4062,0.0
2012-02-29,72.4,45830142.0,19825.5926,5.8957,0.534,0.0
2012-03-31,75.73,24058165.0,20737.8131,21.3327,0.5443,0.0
2012-04-30,65.52,7600708.0,17940.3368,18.455,0.4709,0.0
2012-05-31,78.26,13076442.0,21431.1007,22.0459,0.5625,0.0
2012-06-30,72.27,3816159.0,19789.1037,20.3568,0.5194,0.0
2012-07-31,69.29,1057856.0,18974.1867,19.5185,0.498,0.0
2012-08-31,66.54,766816.0,18220.0844,18.7427,0.4782,0.0
2012-09-30,63.34,3718321.0,17344.3527,17.8419,0.4552,0.0
2012-10-31,87.1,65580548.0,23851.5258,24.5357,0.626,0.0
2012-11-30,117.48,57809467.0,32170.9769,33.0938,0.8444,0.0
2012-12-31,139.11,54822002.0,38094.3288,39.1871,0.9999,0.0
2013-01-31,121.39,39383280.0,33241.3156,34.1949,0.8725,0.0
2013-02-28,62.89,87219435.0,17222.7233,17.7168,0.4521,0.0
2013-03-31,52.95,16279236.0,14498.2247,378.1795,0.3789,0.0
2013-04-30,56.9,10331716.0,15580.7264,406.416,0.4072,0.0
2013-05-31,63.21,15709364.0,17307.8639,451.4676,0.4523,0.0
2013-06-30,46.82,8777465.0,12819.7382,334.3969,0.335,0.0
2013-07-31,47.57,7832965.0,13026.5082,339.7904,0.3404,0.0
2013-08-31,48.33,5210118.0,13233.2781,345.1839,0.3458,0.0
2013-09-30,50.68,5918329.0,13877.9139,361.999,0.3627,0.0
2013-10-31,54.41,14709754.0,14899.6008,388.6492,0.3894,0.0
2013-11-30,53.17,9085939.0,14559.0385,379.7658,0.3805,0.0
2013-12-31,52.81,11222242.0,14461.735,377.2277,0.3779,0.0
2014-01-31,47.04,31819407.0,12880.5529,335.9833,0.3366,0.0
2014-02-28,43.4,6361328.0,11883.1918,309.9676,0.3105,0.0
2014-03-31,53.7,12442697.0,14704.9938,114.2558,0.383,0.0
2014-04-30,61.47,22498924.0,16833.5082,130.794,0.4384,0.0
2014-05-31,70.18,24316075.0,19217.4443,149.3169,0.5005,0.0
2014-06-30,93.85,46274495.0,25700.2911,199.6877,0.6693,0.0
2014-07-31,72.18,4477564.0,19764.7766,153.5696,0.5147,0.0
2014-08-31,71.38,6404967.0,19545.8437,151.8685,0.509,0.0
2014-09-30,60.23,7084210.0,16492.9459,128.1479,0.4295,0.0
2014-10-31,60.27,8392696.0,16505.1088,128.2424,0.4299,0.0
2014-11-30,57.21,7278776.0,15665.866,121.7216,0.408,0.0
2014-12-31,62.14,11775736.0,17015.9523,132.2116,0.4432,0.0
2015-01-31,80.79,37845357.0,22124.3869,171.9034,0.5762,0.0
2015-02-28,72.8,21323815.0,19935.0753,154.8926,0.5192,0.0
2015-03-31,59.34,10674172.0,16249.6871,2967.0589,0.4231,0.0
2015-04-30,56.63,18397380.0,15507.7478,2831.5869,0.4038,0.0
2015-05-31,59.92,8266364.0,16407.8053,2995.93,0.4272,0.0
2015-06-30,52.81,7606944.0,14461.735,2640.5936,0.3766,0.0
2015-07-31,54.94,7492818.0,15045.5561,2747.1945,0.3918,0.0
2015-08-31,48.77,11286950.0,13354.9075,2438.496,0.3478,0.0
2015-09-30,53.61,4395436.0,14680.6679,2680.569,0.3823,0.0
2015-10-31,54.9,9553535.0,15033.3932,2744.9737,0.3915,0.0
2015-11-30,47.44,10455367.0,12990.0193,2371.8705,0.3383,0.0
2015-12-31,49.92,5767983.0,13671.1439,2496.2382,0.356,0.0
2016-01-31,44.99,4234901.0,12321.0577,2249.7236,0.3208,0.0
2016-02-29,33.09,5155698.0,9061.3899,1654.5351,0.236,0.0
2016-03-31,37.98,7856396.0,10399.3132,1907.7123,0.2688,0.0
2016-04-30,45.22,7860303.0,12381.8724,1907.7123,0.32,0.0
2016-05-31,43.84,18084702.0,12004.8212,1907.7123,0.3103,0.0
2016-06-30,45.62,15473938.0,12491.3388,1907.7123,0.3228,0.0
2016-07-31,48.37,19174056.0,13245.4411,1907.7123,0.3423,0.0
2016-08-31,44.06,8288202.0,12065.6359,1907.7123,0.3118,0.0
2016-09-30,39.62,13651583.0,10849.342,1907.7123,0.2804,0.0
2016-10-31,42.73,17364782.0,11700.7478,1907.7123,0.3024,0.0
2016-11-30,36.42,6021989.0,9973.6104,1907.7123,0.2578,0.0
