DBREALTY IN Equity,price,volume,mc,pe,bm,div
2016-12-31,32.11,3944375.0,8793.8052,1907.7123,0.2273,0.0
2017-01-31,35.44,5159789.0,9706.0257,1907.7123,0.2508,0.0
2017-02-28,36.82,5866746.0,10083.0768,1907.7123,0.2606,0.0
2017-03-31,37.04,7869389.0,10143.8915,1907.7123,0.3248,0.0
2017-04-30,41.84,24155642.0,11457.489,1907.7123,0.3669,0.0
2017-05-31,36.42,12135590.0,9973.6104,1907.7123,0.3194,0.0
2017-06-30,34.38,11434502.0,9414.1151,1907.7123,0.3014,0.0
2017-07-31,39.4,65776814.0,10788.5273,1907.7123,0.3455,0.0
2017-08-31,32.78,16557039.0,8976.2493,1907.7123,0.2874,0.0
2017-09-30,31.62,16237291.0,8660.0129,1907.7123,0.2773,0.0
2017-10-31,33.76,21595768.0,9243.834,1907.7123,0.296,0.0
2017-11-30,33.4,12304321.0,9146.5305,1907.7123,0.2929,0.0
2017-12-31,51.43,36680367.0,14084.6839,1907.7123,0.451,0.0
2018-01-31,54.28,47774740.0,14863.112,1907.7123,0.4759,0.0
2018-02-28,51.61,21524097.0,14133.3352,1907.7123,0.4526,0.0
2018-03-31,40.91,15891340.0,11202.0669,1907.7123,0.3976,0.0
2018-04-30,57.48,51152223.0,15738.8432,1907.7123,0.5586,0.0
2018-05-31,43.75,19470110.0,11980.495,1907.7123,0.4252,0.0
2018-06-30,37.22,9860478.0,10192.543,1907.7123,0.3617,0.0
2018-07-31,31.49,9967056.0,8623.5238,1907.7123,0.306,0.0
2018-08-31,25.72,17229759.0,7042.3417,1907.7123,0.2499,0.0
2018-09-30,19.01,14147354.0,5205.7379,1907.7123,0.1847,0.0
2018-10-31,18.03,14914641.0,4938.1533,1907.7123,0.1753,0.0
2018-11-30,18.79,12081885.0,5144.9232,1907.7123,0.1826,0.0
2018-12-31,25.14,22907481.0,6884.2235,1907.7123,0.2443,0.0
2019-01-31,22.7,16402503.0,6215.2619,1907.7123,0.2206,0.0
2019-02-28,18.12,3758677.0,4962.4792,1907.7123,0.1761,0.0
2019-03-31,17.41,5432883.0,4767.8721,1907.7123,0.1891,0.0
2019-04-30,13.01,9624048.0,3563.7412,1907.7123,0.1413,0.0
2019-05-31,13.19,9123326.0,3612.3929,1907.7123,0.1433,0.0
2019-06-30,11.59,11988566.0,3174.5271,1907.7123,0.1259,0.0
2019-07-31,6.97,8757931.0,1909.5814,1907.7123,0.0757,0.0
2019-08-31,5.37,11911661.0,1471.7156,1907.7123,0.0584,0.0
2019-09-30,6.93,5560248.0,1897.4185,1907.7123,0.0753,0.0
2019-10-31,7.02,4899454.0,1921.7444,1907.7123,0.0762,0.0
2019-11-30,10.26,8046239.0,2809.6389,1907.7123,0.1114,0.0
2019-12-31,9.73,5013392.0,2663.6837,1907.7123,0.1056,0.0
2020-01-31,8.88,2498768.0,2432.5878,1907.7123,0.0965,0.0
2020-02-29,6.75,1886611.0,1848.7667,1907.7123,0.0733,0.0
2020-03-31,4.49,7131023.0,1228.4568,1907.7123,0.0701,0.0
2020-04-30,3.73,16327731.0,1021.6869,1907.7123,0.0583,0.0
2020-05-31,5.77,10683300.0,1581.1821,1907.7123,0.0902,0.0
2020-06-30,6.53,10737918.0,1787.952,1907.7123,0.102,0.0
2020-07-31,5.91,10108029.0,1617.6709,1907.7123,0.0923,0.0
2020-08-31,6.26,12781341.0,1714.9744,1907.7123,0.0978,0.0
2020-09-30,5.82,4179657.0,1593.345,1907.7123,0.0909,0.0
2020-10-31,6.0,6605047.0,1641.9968,1907.7123,0.0937,0.0
2020-11-30,12.48,18498832.0,3417.786,1907.7123,0.1949,0.0
2020-12-31,12.66,13334608.0,3466.4377,1907.7123,0.1977,0.0
2021-01-31,16.57,11904216.0,4536.7764,1907.7123,0.2588,0.0
2021-02-28,25.01,7652876.0,6847.7349,1907.7123,0.3906,0.0
2021-03-31,21.5,11877139.0,5886.8627,1907.7123,0.3915,0.0
2021-04-30,17.94,7182412.0,4913.8275,1907.7123,0.3268,0.0
2021-05-31,17.54,8905026.0,4804.3611,1907.7123,0.3195,0.0
2021-06-30,21.72,24376819.0,5947.6774,1907.7123,0.3955,0.0
2021-07-31,22.79,20752182.0,6239.5878,1907.7123,0.4149,0.0
2021-08-31,20.12,13674762.0,5509.8114,1907.7123,0.3664,0.0
2021-09-30,24.3,24734986.0,6653.1277,1907.7123,0.4425,0.0
2021-10-31,31.89,54902254.0,8732.9903,1907.7123,0.5808,0.0
2021-11-30,34.33,30259924.0,9401.9519,1907.7123,0.6253,0.0
2021-12-31,41.4,16345682.0,11335.8592,1907.7123,0.7539,0.0
2022-01-31,73.29,25247251.0,20068.8495,1907.7123,1.3346,0.0
2022-02-28,84.35,25344254.0,23097.4214,1907.7123,1.536,0.0
2022-03-31,93.41,9854964.0,25578.6609,84.1523,1.2812,0.0
2022-04-30,78.8,7291500.0,21577.054,70.9872,1.0808,0.0
2022-05-31,62.49,6921666.0,18224.7853,56.3016,0.8572,0.0
2022-06-30,48.28,6192386.0,14079.8448,43.4967,0.6622,0.0
2022-07-31,56.28,4903265.0,16411.3738,50.6995,0.7719,0.0
2022-08-31,58.9,6519105.0,17175.5972,53.0604,0.8078,0.0
2022-09-30,96.12,63240344.0,31276.1602,86.5932,1.3184,0.0
2022-10-31,91.59,23966339.0,29801.9604,82.5117,1.2562,0.0
2022-11-30,89.94,9109600.0,34633.4517,81.0311,1.2337,0.0
2022-12-31,83.19,11383916.0,32033.8049,74.9488,1.1411,0.0
2023-01-31,66.71,10456966.0,25688.6145,60.1031,0.9151,0.0
2023-02-28,52.95,10235381.0,20463.945,47.6983,0.7262,0.0
2023-03-31,57.3,10179080.0,22146.3834,49.1789,0.9441,0.0
2023-04-30,78.22,24985186.0,30232.3886,49.1789,1.2888,0.0
2023-05-31,73.11,15566752.0,28982.3386,49.1789,1.2047,0.0
2023-06-30,64.94,11058795.0,25742.5146,49.1789,1.07,0.0
2023-07-31,75.78,23696904.0,30038.8029,49.1789,1.2486,0.0
2023-08-31,134.32,160588159.0,53245.803,49.1789,2.2132,0.0
2023-09-30,144.18,57150449.0,57154.7211,49.1789,2.3756,0.0
2023-10-31,151.91,34379346.0,67320.0977,49.1789,2.503,0.0
2023-11-30,185.62,91463915.0,83490.2359,49.1789,3.0585,0.0
2023-12-31,164.88,40960017.0,74160.267,49.1789,2.7167,0.0
2024-01-31,224.35,101635641.0,100911.5055,49.1789,3.6967,0.0
2024-02-29,238.21,55568774.0,134644.2028,49.1789,3.925,0.0
2024-03-31,174.43,139956861.0,105594.9444,5.0909,1.8705,0.0
2024-04-30,209.56,148248127.0,126864.5143,6.1164,2.2473,0.0
2024-05-31,180.73,76599400.0,109413.249,5.275,1.9382,0.0
2024-06-30,165.28,72790612.0,100055.7138,4.8239,1.7724,0.0
2024-07-31,187.25,123202747.0,113503.1408,5.4653,2.0081,0.0
2024-08-31,174.75,65648223.0,105926.9314,5.1005,1.874,0.0
2024-09-30,168.89,41279233.0,102373.0591,4.9294,1.8112,0.0
2024-10-31,145.7,67166781.0,88313.7252,4.2524,1.5624,0.0
2024-11-30,153.65,36118477.0,93132.9913,4.4845,1.6477,0.0
2024-12-31,153.7,62070551.0,93165.2993,4.486,1.6483,0.0
2025-01-31,138.97,44867327.0,84237.5414,4.0561,1.4903,0.0
2025-02-28,109.67,52703801.0,66473.5649,3.2008,1.176,0.0
2025-03-31,133.81,107200391.0,81109.0569,4.0043,1.4725,0.0
2025-04-30,154.7,95184011.0,93768.3806,4.0043,1.7023,0.0
2025-05-31,171.11,51207047.0,103719.2229,4.0043,1.883,0.0
2025-06-30,208.3,152877892.0,126259.3883,4.0043,2.2922,0.0
2025-07-31,185.3,76361222.0,99914.5811,4.0043,2.0391,0.0
2025-08-31,168.94,17421721.0,91093.1966,4.0043,1.8591,0.0
2025-09-30,161.74,26830080.0,87210.9247,4.0043,1.7798,0.0
2025-10-31,148.88,19451586.0,80276.7557,4.0043,1.6383,0.0
2025-11-30,131.79,29862645.0,71061.752,4.0043,1.4502,0.0
2025-12-31,118.54,38727813.0,63917.2933,4.0043,1.3044,0.0
2026-01-31,106.63,39832701.0,57495.3685,4.0043,1.1734,0.0
2026-02-28,113.78,68264400.0,61350.6802,4.0043,1.2521,0.0
2026-03-31,103.69,5293761.0,55910.1088,4.0043,1.141,0.0
