HPCL IN Equity,price,volume,mc,pe,bm,div
2005-10-31,44.05,83105372.0,100899.7715,7.1191,1.2051,2.2222
2005-11-30,50.33,172167755.0,115287.3629,8.1342,1.3769,2.2222
2005-12-31,48.7,87388862.0,111537.7666,7.8697,1.3322,2.2222
2006-01-31,45.79,59918852.0,104869.9324,7.3992,1.2525,2.2222
2006-02-28,47.96,67715447.0,109841.1167,7.75,1.3119,1.4815
2006-03-31,47.39,47519649.0,108534.6962,23.9808,1.2496,1.4815
2006-04-30,47.43,58835248.0,109366.0547,24.0033,1.2508,1.4815
2006-05-31,45.44,62187021.0,104089.4734,22.9986,1.1985,1.4815
2006-06-30,34.88,68176978.0,79895.2453,17.6529,0.9199,1.4815
2006-07-31,33.33,36900374.0,76332.2805,16.8657,0.8789,1.4815
2006-08-31,41.13,269428376.0,94214.9708,20.8168,1.0848,0.4444
2006-09-30,41.44,285261291.0,94910.5972,20.9705,1.0928,0.4444
2006-10-31,48.13,276885682.0,110248.3126,24.3594,1.2694,0.4444
2006-11-30,41.75,209339991.0,95623.1902,21.128,1.101,0.4444
2006-12-31,41.26,130528388.0,94503.4013,20.8806,1.0881,1.7778
2007-01-31,46.24,120163797.0,105904.8888,23.3997,1.2194,1.7778
2007-02-28,40.24,76089105.0,92162.0244,20.3632,1.0611,1.7778
2007-03-31,36.71,74636552.0,84085.9707,5.0174,0.8789,1.7778
2007-04-30,40.01,100079321.0,91653.0294,5.4689,0.958,1.7778
2007-05-31,43.66,117049232.0,100000.547,5.967,1.0452,1.7778
2007-06-30,40.1,152364173.0,91839.6609,5.48,0.9599,1.7778
2007-07-31,38.17,132520340.0,87428.371,5.2168,0.9138,1.7778
2007-08-31,34.81,119079659.0,79742.5468,4.7582,0.8335,2.6667
2007-09-30,39.53,144851747.0,90550.2069,5.4031,0.9464,2.6667
2007-10-31,35.44,185601875.0,81184.6993,4.8443,0.8485,2.6667
2007-11-30,40.39,360177908.0,92501.3543,5.5195,0.9668,2.6667
2007-12-31,54.71,359292996.0,125314.564,7.4775,1.3098,1.7778
2008-01-31,37.53,351731383.0,85791.154,5.1297,0.8986,1.7778
2008-02-29,44.49,242367248.0,101689.6924,6.0804,1.0651,1.7778
2008-03-31,37.99,126538369.0,86823.9664,6.3701,0.8083,1.7778
2008-04-30,38.12,88922698.0,87128.7307,6.3924,0.8111,1.7778
2008-05-31,36.22,161007109.0,82794.305,6.0744,0.7708,1.7778
2008-06-30,26.09,241464503.0,59632.2172,4.3751,0.5552,1.7778
2008-07-31,32.47,133875437.0,74227.0415,5.4459,0.691,1.7778
2008-08-31,29.85,105804704.0,68233.3434,5.0061,0.6352,1.7778
2008-09-30,35.89,218654546.0,82032.3942,6.0185,0.7637,0.4444
2008-10-31,28.24,201189218.0,64542.3089,4.7353,0.6009,0.4444
2008-11-30,35.21,107506224.0,80474.7099,5.9042,0.7492,0.4444
2008-12-31,40.42,256836258.0,92394.3808,6.7787,0.8602,0.4444
2009-01-31,42.35,243634480.0,96796.532,7.1017,0.9011,0.4444
2009-02-28,41.45,113456309.0,94747.8386,6.9514,0.8821,0.4444
2009-03-31,39.89,147205465.0,91175.3236,12.0362,0.8183,0.4444
2009-04-30,40.81,139892812.0,93291.7424,12.3156,0.8373,0.4444
2009-05-31,53.77,286617170.0,122904.6748,16.2249,1.103,0.4444
2009-06-30,44.3,400608423.0,101249.4772,13.3661,0.9087,0.4444
2009-07-31,51.74,223246814.0,118265.4847,15.6124,1.0614,0.4444
2009-08-31,52.47,189882819.0,119941.6884,15.8337,1.0764,0.7778
2009-09-30,59.54,272875858.0,136094.197,17.966,1.2214,0.7778
2009-10-31,51.5,148741414.0,117723.6815,15.5409,1.0565,0.7778
2009-11-30,52.15,109030280.0,119196.709,15.7354,1.0697,0.7778
2009-12-31,57.82,179047409.0,132166.1236,17.4475,1.1861,0.7778
2010-01-31,49.44,169711389.0,112999.8346,14.9173,1.0141,0.7778
2010-02-28,51.39,181607353.0,117452.7799,15.5051,1.0541,0.7778
2010-03-31,47.19,143847333.0,107869.6354,7.3045,0.8787,0.7778
2010-04-30,46.73,91354217.0,106802.9603,7.2323,0.87,0.7778
2010-05-31,53.87,177688283.0,123141.7137,8.3387,1.0031,0.7778
2010-06-30,69.56,738062206.0,158985.3831,10.7659,1.2951,0.7778
2010-07-31,64.21,727112612.0,146777.8793,9.9392,1.1957,0.7778
2010-08-31,77.9,477731399.0,178067.0154,12.058,1.4506,0.7778
2010-09-30,75.13,330614548.0,171734.6902,11.6292,1.399,1.7778
2010-10-31,72.19,208668717.0,165012.944,11.174,1.3442,1.7778
2010-11-30,61.13,165730280.0,139717.506,9.4611,1.1382,1.7778
2010-12-31,58.02,193406110.0,132623.2701,8.9807,1.0804,1.7778
2011-01-31,53.2,155971103.0,121600.9608,8.2343,0.9906,1.7778
2011-02-28,47.45,137648464.0,108462.2326,7.3446,0.8836,1.7778
