BOOT IN Equity,price,volume,mc,pe,bm,div
1996-05-31,352.5,39900.0,5710.5003,10.7175,12.7962,1.75
1996-06-30,365.88,68900.0,5927.1753,11.1242,13.2818,1.75
1996-07-31,365.0,80300.0,5913.0003,11.0976,13.25,1.75
1996-08-31,372.38,39236.0,6032.4753,11.3218,13.5177,1.75
1996-09-30,328.25,30294.0,5317.6503,9.9802,11.9159,1.75
1996-10-31,263.88,38244.0,4274.7752,8.023,9.579,1.75
1996-11-30,245.0,13730.0,3969.0002,7.4491,8.8938,1.75
1996-12-31,222.5,3682.0,3604.5002,12.9753,6.0237,1.75
1997-01-31,292.88,13750.0,4744.5752,17.0793,7.9289,1.75
1997-02-28,297.0,18856.0,4811.4002,17.3198,8.0406,1.75
1997-03-31,296.75,34346.0,4807.3502,17.3052,8.0338,1.75
1997-04-30,279.0,11632.0,4519.8002,16.2701,7.5533,1.75
1997-05-31,292.5,22460.0,4738.5002,17.0574,7.9188,3.25
1997-06-30,295.0,45766.0,4779.0002,17.2032,7.9865,3.25
1997-07-31,382.5,20786.0,6196.5003,22.3058,10.3553,3.25
1997-08-31,330.0,17488.0,5346.0003,19.2442,8.934,3.25
1997-09-30,326.88,11734.0,5295.3752,19.062,8.8494,3.25
1997-10-31,329.63,80426.0,5339.9253,19.2224,8.9239,3.25
1997-11-30,307.0,5992.0,4973.4002,17.903,8.3113,3.25
1997-12-31,300.0,11292.0,4860.0002,19.0828,4.7586,3.25
1998-01-31,287.5,58284.0,4657.5002,18.2876,4.5603,3.25
1998-02-28,322.63,23718.0,5226.5252,20.5219,5.1175,3.25
1998-03-31,372.88,131864.0,6040.5753,23.7183,5.9145,4.0
1998-04-30,357.75,257594.0,5795.5503,22.7562,5.6746,4.0
1998-05-31,415.0,231710.0,6723.0003,26.3978,6.5827,4.0
1998-06-30,345.0,38594.0,5589.0003,21.9452,5.4724,4.0
1998-07-31,352.5,110866.0,5710.5003,22.4222,5.5914,4.0
1998-08-31,420.75,70196.0,6816.1503,26.7636,6.6739,4.0
1998-09-30,474.25,104751.0,7682.8504,30.1667,7.5226,4.0
1998-10-31,415.75,103831.0,6735.1503,26.4455,6.5946,4.0
1998-11-30,449.75,221644.0,7285.9503,28.6082,7.1339,4.0
1998-12-31,499.25,452175.0,8087.8504,20.0028,6.5883,4.0
1999-01-31,535.0,241666.0,8667.0004,21.4352,7.0601,4.0
1999-02-28,603.75,382093.0,9780.7505,24.1897,7.9673,4.0
1999-03-31,667.75,490593.0,10817.5505,26.7539,8.8119,6.5
1999-04-30,591.0,175531.0,9574.2005,23.6788,7.7991,6.5
1999-05-31,625.0,240270.0,10125.0005,25.0411,8.2477,6.5
1999-06-30,550.5,82980.0,8918.1004,22.0562,7.2646,6.5
1999-07-31,563.15,168438.0,9123.0304,22.563,7.4315,6.5
1999-08-31,586.2,233044.0,9496.4404,23.4865,7.7357,6.5
1999-09-30,618.8,371541.0,10024.5605,24.7927,8.1659,6.5
1999-10-31,567.6,222851.0,9195.1204,22.7413,7.4903,6.5
1999-11-30,542.2,188833.0,8783.6404,21.7236,7.1551,6.5
1999-12-31,533.9,146130.0,8649.1804,22.3324,7.3084,6.5
2000-01-31,506.0,210025.0,8197.2004,21.1653,6.9265,6.5
2000-02-29,385.3,208965.0,6241.8603,16.1166,5.2743,6.5
2000-03-31,391.1,289275.0,6335.8203,16.3592,5.3537,31.0
2000-04-30,325.0,126728.0,5265.0002,13.5943,4.4489,31.0
2000-05-31,372.1,130930.0,6028.0203,15.5645,5.0936,31.0
2000-06-30,351.35,123143.0,5691.8703,14.6965,4.8096,31.0
2000-07-31,339.85,146027.0,5505.5703,14.2155,4.6521,31.0
2000-08-31,325.0,228120.0,5265.0002,13.5943,4.4489,31.0
2000-09-30,297.9,95720.0,4825.9802,12.4608,4.0779,31.0
2000-10-31,305.75,58125.0,4953.1502,12.7891,4.1853,31.0
2000-11-30,311.25,88153.0,5042.2502,13.0192,4.2606,31.0
2000-12-31,349.35,517181.0,5659.4703,9.5846,5.9377,31.0
2001-01-31,339.75,245794.0,5503.9503,9.3212,5.7746,31.0
2001-02-28,329.85,344467.0,5343.5703,9.0496,5.6063,31.0
2001-03-31,299.7,307687.0,4855.1402,8.2224,5.0939,31.0
2001-04-30,301.65,55019.0,4886.7302,8.2759,5.127,31.0
2001-05-31,303.95,124881.0,4923.9902,8.339,5.1661,15.0
2001-06-30,296.25,46735.0,4799.2502,8.1278,5.0352,15.0
2001-07-31,269.05,13731.0,4358.6102,7.3815,4.5729,15.0
2001-08-31,279.45,8640.0,4527.0902,7.6669,4.7497,15.0
2001-09-30,244.0,13721.0,3952.8002,6.6943,4.1472,15.0
2001-10-31,245.4,11147.0,3975.4802,6.7327,4.171,15.0
2001-11-30,258.1,20185.0,4181.2202,8.587,3.1531,15.0
2001-12-31,237.35,15826.0,3845.0702,7.8967,2.8996,15.0
2002-01-31,246.6,14645.0,3994.9202,8.2044,3.0126,15.0
2002-02-28,308.0,145547.0,4989.6002,10.2472,3.7627,15.0
2002-03-31,306.5,36349.0,4965.3002,10.1973,3.7444,15.0
2002-04-30,307.15,49906.0,4975.8302,10.2189,3.7523,10.0
2002-05-31,300.55,34346.0,4868.9102,9.9993,3.6717,10.0
2002-06-30,298.25,13199.0,4831.6502,9.9228,3.6436,10.0
2002-07-31,272.0,8273.0,4406.4002,9.0495,3.3229,10.0
2002-08-31,276.0,4263.0,4471.2002,9.1826,3.3717,10.0
2002-09-30,274.5,8617.0,4446.9002,9.1326,3.3534,10.0
2002-10-31,290.0,9394.0,4698.0002,9.6483,3.5428,10.0
2002-11-30,287.0,9382.0,4649.4002,8.349,2.783,10.0
2002-12-31,279.7,15736.0,4531.1402,8.1367,2.7122,10.0
2003-01-31,306.6,34498.0,4966.9202,8.9192,2.973,10.0
2003-02-28,314.6,65763.0,5096.5202,9.152,3.0506,10.0
2003-03-31,271.45,23249.0,4397.4902,7.8967,2.6322,10.0
2003-04-30,258.65,34428.0,4110.4277,7.5243,2.5081,12.0
2003-05-31,271.0,61513.0,4110.4277,7.8836,2.6278,12.0
2003-06-30,292.4,149897.0,4110.4277,8.5061,2.8353,12.0
2003-07-31,303.7,167585.0,4110.4277,8.8349,2.9449,12.0
2003-08-31,321.65,148752.0,4110.4277,9.357,3.119,12.0
2003-09-30,343.55,272076.0,4110.4277,9.9941,3.3313,12.0
2003-10-31,365.15,396024.0,4110.4277,10.6225,3.5408,12.0
2003-11-30,416.75,416818.0,4110.4277,9.6037,4.3467,12.0
2003-12-31,479.65,308999.0,4110.4277,11.0532,5.0028,12.0
2004-01-31,403.55,164358.0,4110.4277,9.2996,4.2091,12.0
2004-02-29,462.4,221409.0,4110.4277,10.6557,4.8229,12.0
2004-03-31,513.65,164453.0,4110.4277,11.8367,5.3574,12.0
2004-04-30,500.65,186661.0,4110.4277,11.5372,5.2218,35.0
2004-05-31,423.35,83128.0,4110.4277,9.7558,4.4156,35.0
2004-06-30,439.75,79462.0,4110.4277,10.1338,4.5866,35.0
2004-07-31,450.7,85836.0,4110.4277,10.3861,4.7008,35.0
2004-08-31,466.0,88624.0,4110.4277,10.7387,4.8604,35.0
2004-09-30,606.95,333309.0,4110.4277,13.9868,6.3306,35.0
2004-10-31,580.8,208022.0,4110.4277,13.3842,6.0578,35.0
2004-11-30,661.1,374095.0,4110.4277,9.8794,5.3652,35.0
2004-12-31,720.3,280806.0,4110.4277,10.7641,5.8457,35.0
2005-01-31,683.75,193601.0,4110.4277,10.2179,5.5491,35.0
2005-02-28,645.25,285838.0,4110.4277,9.6425,5.2366,35.0
2005-03-31,657.7,147551.0,4110.4277,9.8286,5.3376,35.0
2005-04-30,654.35,218477.0,4110.4277,9.7785,5.3105,35.0
2005-05-31,637.7,144220.0,4110.4277,9.5297,5.1753,35.0
2005-06-30,601.6,208269.0,4110.4277,8.9902,4.8824,35.0
2005-07-31,662.65,152570.0,4110.4277,9.9026,5.3778,35.0
2005-08-31,660.1,250705.0,4110.4277,9.8644,5.3571,35.0
2005-09-30,654.25,166130.0,4110.4277,9.777,5.3096,35.0
2005-10-31,649.2,291981.0,4110.4277,9.7016,5.2687,35.0
2005-11-30,729.85,152311.0,4110.4277,18.8509,5.1526,35.0
2005-12-31,707.05,287723.0,4110.4277,18.262,4.9916,35.0
2006-01-31,681.35,537485.0,4110.4277,17.5982,4.8102,35.0
2006-02-28,704.7,203697.0,4110.4277,18.2013,4.975,35.0
2006-03-31,644.45,238751.0,4110.4277,16.6451,4.5496,35.0
2006-04-30,595.4,207147.0,4110.4277,15.3782,4.2034,17.5
2006-05-31,521.5,134708.0,4110.4277,13.4695,3.6817,17.5
2006-06-30,504.85,405566.0,4110.4277,13.0395,3.5641,17.5
2006-07-31,419.75,95182.0,4110.4277,10.8415,2.9633,17.5
2006-08-31,562.15,442899.0,4110.4277,14.5195,3.9686,17.5
2006-09-30,548.05,99848.0,4110.4277,14.1553,3.8691,17.5
2006-10-31,569.65,129357.0,4110.4277,14.7132,4.0216,17.5
2006-11-30,536.6,101512.0,4110.4277,13.6975,3.3356,17.5
2006-12-31,517.05,64548.0,4110.4277,13.1984,3.2141,17.5
2007-01-31,567.1,139473.0,4110.4277,14.476,3.5252,17.5
2007-02-28,551.15,82110.0,77378.1775,14.0689,3.4261,17.5
2007-03-31,515.75,170054.0,77378.1775,13.1652,3.206,17.5
2007-04-30,473.4,86846.0,77378.1775,12.0842,2.9428,17.5
2007-05-31,485.2,134075.0,77378.1775,12.3854,3.0161,17.5
2007-06-30,513.45,421149.0,77378.1775,13.1065,3.1917,17.5
2007-07-31,520.2,226264.0,77378.1775,13.2788,3.2337,17.5
2007-08-31,567.7,189712.0,77378.1775,14.4913,3.529,17.5
2007-09-30,571.0,154957.0,8264.0828,14.5756,3.5495,17.5
2007-10-31,547.35,95366.0,7921.7963,13.9719,3.4025,17.5
2007-11-30,532.6,84844.0,7708.3196,11.5764,3.3366,17.5
2007-12-31,580.85,98278.0,8406.6418,12.6251,3.6389,17.5
2008-01-31,536.25,109401.0,7761.146,11.6557,3.3595,17.5
2008-02-29,539.85,45289.0,7813.2488,11.7339,3.382,17.5
2008-03-31,525.3,55266.0,7602.6667,11.4177,3.2909,17.5
2008-04-30,530.25,66039.0,7674.308,11.5253,3.3219,17.5
2008-05-31,526.65,92248.0,7622.2052,11.447,3.2993,17.5
2008-06-30,534.85,56475.0,7740.8838,11.6253,3.3507,17.5
2008-07-31,544.8,110292.0,7884.8902,11.8415,3.413,17.5
2008-08-31,560.9,127570.0,8117.9055,12.1915,3.5139,17.5
2008-09-30,485.7,63213.0,6642.0449,10.557,3.0428,17.5
2008-10-31,442.05,51584.0,6045.0338,9.6082,2.7693,17.5
2008-11-30,392.55,15544.0,5368.1213,8.999,2.4263,17.5
2008-12-31,419.8,61430.0,5740.7651,9.6236,2.5947,17.5
2009-01-31,407.15,18567.0,5567.7763,9.3337,2.5166,17.5
2009-02-28,397.0,16560.0,5428.9751,9.101,2.4538,17.5
2009-03-31,391.5,35357.0,5353.7626,8.9749,2.4198,14.0
2009-04-30,432.0,35450.0,5907.6001,9.9033,2.6701,14.0
2009-05-31,477.1,31706.0,6524.3426,10.9372,2.9489,14.0
2009-06-30,470.1,47261.0,6428.6176,10.7767,2.9056,14.0
2009-07-31,499.5,97068.0,6830.6626,11.4507,3.0874,14.0
2009-08-31,543.1,88622.0,7426.8926,12.4502,3.3568,14.0
2009-09-30,731.85,588629.0,10008.0489,16.7772,4.5235,14.0
2009-10-31,673.9,511372.0,9215.5826,15.4487,4.1653,14.0
2009-11-30,731.1,79658.0,9997.7926,12.8346,3.6817,14.0
2009-12-31,779.9,189170.0,10665.1326,13.6913,3.9275,14.0
2010-01-31,730.0,89860.0,9982.7501,12.8153,3.6762,14.0
2010-02-28,907.3,309324.0,12407.3277,15.9278,4.5691,14.0
2010-03-31,883.5,212519.0,12081.8627,15.51,4.4492,17.0
2010-04-30,935.0,110551.0,12786.1252,16.4141,4.7085,17.0
2010-05-31,1016.55,1271541.0,13901.3214,17.8457,5.1192,17.0
2010-06-30,1130.9,527043.0,15465.0577,19.8532,5.6951,17.0
2010-07-31,1141.5,243762.0,15610.0127,20.0393,5.7485,17.0
2010-08-31,1129.35,104585.0,15443.8615,19.826,5.6873,17.0
2010-09-30,1126.4,121913.0,15403.5202,19.7742,5.6724,17.0
2010-10-31,1195.7,81170.0,16351.1969,20.9908,6.0214,17.0
2010-11-30,1410.4,519784.0,19287.2203,31.6526,6.3159,17.0
2010-12-31,1310.2,125447.0,17916.9844,29.4039,5.8672,17.0
2011-01-31,1200.6,110830.0,16418.2052,26.9442,5.3764,17.0
2011-02-28,1234.65,52454.0,16883.839,27.7083,5.5289,17.0
2011-03-31,1343.05,62623.0,18366.2099,30.1411,6.0143,17.0
2011-04-30,1572.45,185104.0,21503.2532,35.2893,7.0415,17.0
2011-05-31,1431.5,354311.0,19575.7628,32.1261,6.4104,17.0
2011-06-30,1482.15,53825.0,20268.4015,33.2628,6.6372,17.0
2011-07-31,1468.95,57886.0,20087.8907,32.9666,6.5781,17.0
2011-08-31,1480.2,143482.0,20241.7344,33.219,6.6284,17.0
2011-09-30,1419.85,77975.0,30170.8186,31.8647,6.3582,17.0
2011-10-31,1452.05,49159.0,30855.0474,32.5873,6.5024,17.0
2011-11-30,1466.15,95835.0,31154.6612,32.9037,6.5655,17.0
2011-12-31,1460.9,38815.0,31043.1024,25.7836,5.705,17.0
2012-01-31,1466.35,37150.0,31158.9111,25.8798,5.7262,17.0
2012-02-29,1535.8,116704.0,32634.6763,27.1055,5.9974,17.0
2012-03-31,1528.2,93499.0,32473.1789,26.9714,5.9678,17.0
2012-04-30,1626.5,148877.0,34561.9865,28.7063,6.3516,17.0
2012-05-31,1386.25,116416.0,29456.8421,24.4661,5.4134,17.0
2012-06-30,1477.2,58570.0,31389.4646,26.0713,5.7686,17.0
2012-07-31,1456.1,61829.0,30941.1057,25.6989,5.6862,17.0
2012-08-31,1608.75,84503.0,34184.8114,28.393,6.2823,17.0
2012-09-30,1600.55,72437.0,34010.5684,28.2483,6.2503,17.0
2012-10-31,1437.7,118416.0,30550.1173,25.3742,5.6144,17.0
2012-11-30,1477.9,38603.0,31404.3405,26.0837,5.7713,17.0
2012-12-31,1482.5,53521.0,31502.0873,21.7695,4.87,17.0
2013-01-31,1448.0,38712.0,30768.9864,21.2628,4.7567,17.0
2013-02-28,1364.1,52524.0,28986.1701,20.0308,4.4811,17.0
2013-03-31,1339.15,145025.0,28456.0001,17.7795,3.5278,17.0
2013-04-30,1406.65,141652.0,29890.3278,18.6757,3.7057,17.0
2013-05-31,1417.6,68238.0,30123.0077,18.821,3.7345,17.0
2013-06-30,1459.6,66431.0,31015.4839,19.3787,3.8451,17.0
2013-07-31,1401.25,203369.0,29775.587,18.604,3.6914,17.0
2013-08-31,1375.2,41389.0,29222.0413,18.2581,3.6228,17.0
2013-09-30,1375.4,91134.0,29226.2925,18.2608,3.6233,17.0
2013-10-31,1339.05,37624.0,28453.8816,17.7781,3.5276,17.0
2013-11-30,1526.3,208153.0,32432.8137,20.2642,4.0209,17.0
2013-12-31,1686.55,167765.0,35838.0147,22.3918,4.443,17.0
2014-01-31,1641.85,51101.0,34888.1695,21.7983,4.3253,17.0
2014-02-28,1724.5,45518.0,36644.4244,22.8956,4.543,17.0
2014-03-31,1755.25,67855.0,37297.8405,18.7948,4.7341,17.0
2014-04-30,1822.65,111274.0,38730.0436,19.5165,4.9159,17.0
2014-05-31,1735.85,55976.0,36885.604,18.5871,4.6818,17.0
2014-06-30,2172.0,216126.0,46153.4879,23.2573,5.8581,0.0
2014-07-31,2100.45,145058.0,44633.0989,22.4912,5.6652,23.0
2014-08-31,2586.05,141935.0,54951.7635,27.6909,6.9749,23.0
2014-09-30,3172.0,188008.0,67402.7917,33.9651,8.5553,23.0
2014-10-31,3098.75,78929.0,65846.2802,33.1807,8.3577,23.0
2014-11-30,3522.25,347900.0,74845.3604,37.7155,9.4999,23.0
2014-12-31,3804.4,186898.0,80840.8488,40.7367,10.2609,23.0
2015-01-31,3976.45,119555.0,84496.7928,42.579,10.725,23.0
2015-02-28,3792.2,181935.0,80580.4586,40.6061,10.228,23.0
2015-03-31,3952.6,94948.0,83990.0009,36.6831,8.9587,23.0
2015-04-30,3940.35,92738.0,83729.697,36.5694,8.9309,23.0
2015-05-31,4040.7,60113.0,85862.0606,37.5007,9.1583,23.0
2015-06-30,3894.65,60988.0,82758.5985,36.1452,8.8273,23.0
2015-07-31,4458.7,112765.0,94744.2749,41.38,10.1058,31.0
2015-08-31,4801.3,189013.0,102024.2784,44.5596,10.8823,31.0
2015-09-30,5681.8,398794.0,120734.2904,52.7313,12.8779,31.0
2015-10-31,5580.9,102091.0,118590.237,51.7949,12.6493,31.0
2015-11-30,5217.9,100506.0,110876.7397,48.426,11.8265,31.0
2015-12-31,6010.75,93764.0,127724.2529,55.7842,13.6235,31.0
2016-01-31,5065.3,85506.0,107634.0946,47.0097,11.4806,31.0
2016-02-29,4786.2,110234.0,101703.4219,44.4195,10.848,31.0
2016-03-31,4705.2,94003.0,99982.2283,39.1708,8.3625,31.0
2016-04-30,4630.05,64181.0,98385.3352,38.5452,8.229,31.0
2016-05-31,4705.05,39961.0,99979.0329,39.1696,8.3623,31.0
2016-06-30,4616.1,49321.0,98088.914,38.4291,8.2042,31.0
2016-07-31,4666.55,34060.0,99160.9347,38.8491,8.2938,35.0
2016-08-31,4660.8,159011.0,99038.7512,38.8012,8.2836,35.0
2016-09-30,4744.75,262714.0,100822.6343,39.5001,8.4328,35.0
2016-10-31,4999.65,62577.0,106239.0792,41.6221,8.8858,35.0
2016-11-30,4901.7,69507.0,104157.7165,40.8067,8.7118,35.0
2016-12-31,4722.3,32926.0,100345.5834,39.3132,8.3929,35.0
2017-01-31,4401.7,49508.0,93533.0646,36.6442,7.8231,35.0
2017-02-28,4463.0,284052.0,94835.6429,37.1545,7.9321,35.0
2017-03-31,4642.6,639584.0,98652.0206,35.6602,7.1129,35.0
2017-04-30,4424.05,99554.0,94007.9786,33.9815,6.7781,35.0
2017-05-31,4177.9,87054.0,88777.4664,32.0908,6.4009,35.0
2017-06-30,4272.7,87031.0,90791.9004,32.819,6.5462,35.0
2017-07-31,4444.85,68767.0,94449.9681,34.1413,6.8099,40.0
2017-08-31,4173.25,61077.0,88678.6572,32.0551,6.3938,40.0
2017-09-30,4231.05,118434.0,89906.8669,32.499,6.4824,40.0
2017-10-31,4231.2,44723.0,89910.0543,32.5002,6.4826,40.0
2017-11-30,5274.25,391196.0,112074.1363,40.5119,8.0807,40.0
2017-12-31,5524.95,102341.0,117401.3366,42.4376,8.4647,40.0
2018-01-31,5625.05,105107.0,119528.3918,43.2065,8.6181,40.0
2018-02-28,5743.1,170816.0,78538.2708,44.1132,8.799,40.0
2018-03-31,5452.95,105324.0,74570.4,28.8806,6.8451,40.0
2018-04-30,6179.65,176613.0,84508.1969,32.7295,7.7573,40.0
2018-05-31,6674.35,319749.0,91273.3381,35.3496,8.3783,40.0
2018-06-30,7238.2,295689.0,98984.1222,38.3359,9.0861,40.0
2018-07-31,7666.8,169729.0,162914.1486,40.6059,9.6242,55.0
2018-08-31,8330.75,328002.0,177022.6226,44.1224,10.4576,55.0
2018-09-30,7773.55,258957.0,165182.5116,41.1713,9.7582,55.0
2018-10-31,7568.7,115450.0,160829.592,40.0863,9.501,55.0
2018-11-30,7420.15,83411.0,157673.0082,39.2996,9.3145,55.0
