HNDL IN Equity,price,volume,mc,pe,bm,div
2002-03-31,65.69,8419144.0,57347.1637,7.656,0.9982,1.0237
2002-04-30,62.13,15202135.0,54237.9577,7.2409,0.944,0.0
2002-05-31,59.39,7420211.0,51847.4065,6.9218,0.9024,0.0
2002-06-30,60.62,8207745.0,52916.0797,7.0644,0.921,0.0
2002-07-31,53.54,7953127.0,46258.7626,6.2397,0.8135,1.1517
2002-08-31,50.68,6527248.0,43785.8795,5.9062,0.77,1.1517
2002-09-30,44.58,8376885.0,38519.4859,5.1958,0.6774,1.1517
2002-10-31,42.27,11737329.0,36525.7008,4.9269,0.6423,1.1517
2002-11-30,46.09,8349361.0,39824.1068,5.3718,0.7004,1.1517
2002-12-31,50.02,12927427.0,43218.3325,5.8296,0.76,1.1517
2003-01-31,51.18,9676059.0,44224.4385,5.9653,0.7777,1.1517
2003-02-28,50.1,5523732.0,43288.3545,5.8391,0.7613,1.1517
2003-03-31,45.6,3986351.0,49428.0498,7.4277,0.803,1.1517
2003-04-30,52.66,8713957.0,57085.0049,8.5784,0.9274,1.1517
2003-05-31,58.36,4864252.0,63266.979,9.5074,1.0278,1.1517
2003-06-30,63.55,9392897.0,68889.4775,10.3523,1.1192,1.1517
2003-07-31,69.83,23372592.0,75695.6598,11.3751,1.2298,1.1517
2003-08-31,77.75,16202228.0,84281.9917,12.6654,1.3693,1.1517
2003-09-30,78.37,10796398.0,84957.0615,12.7668,1.3802,1.1517
2003-10-31,93.71,36225888.0,101579.4915,15.2647,1.6503,1.1517
2003-11-30,105.82,25227340.0,114710.9904,17.238,1.8636,1.1517
2003-12-31,120.14,17578581.0,130232.9759,19.5706,2.1158,1.1517
2004-01-31,99.22,25824329.0,107553.4077,16.1625,1.7473,1.1517
2004-02-29,106.61,15394661.0,115571.0107,17.3673,1.8776,1.1517
2004-03-31,103.83,7791782.0,112556.3158,11.3297,1.6077,1.1517
2004-04-30,95.09,8384575.0,103082.2152,10.3761,1.4724,1.1517
2004-05-31,77.16,24827905.0,83643.9122,8.4194,1.1947,1.1517
2004-06-30,85.14,7483347.0,92290.353,9.2898,1.3182,1.1517
2004-07-31,93.94,10421885.0,101829.1806,10.2499,1.4545,1.4076
2004-08-31,100.56,11923782.0,109005.2642,10.9723,1.557,1.4076
2004-09-30,114.98,12644124.0,124638.22,12.5458,1.7803,1.4076
2004-10-31,101.27,11432973.0,109777.433,11.05,1.568,1.4076
2004-11-30,111.53,7773367.0,120902.212,12.1698,1.7269,1.4076
2004-12-31,121.72,16302172.0,131943.769,13.2812,1.8846,1.4076
2005-01-31,110.99,56221039.0,120310.37,12.1102,1.7185,1.4076
2005-02-28,118.85,54510005.0,128831.9693,12.968,1.8402,1.4076
2005-03-31,110.52,43036250.0,119806.3796,9.3555,1.5783,1.4076
2005-04-30,101.2,23225302.0,110054.1103,8.5662,1.4451,1.4076
2005-05-31,96.33,38445572.0,104756.669,8.1539,1.3755,1.4076
2005-06-30,102.25,41394812.0,111195.2403,8.655,1.4601,1.7062
2005-07-31,107.68,43392735.0,117104.9953,9.115,1.5377,1.7062
2005-08-31,122.29,46901952.0,132992.6738,10.3517,1.7463,1.7062
2005-09-30,125.4,90977956.0,136378.9539,10.6153,1.7908,1.7062
2005-10-31,97.81,70883315.0,106366.3066,8.2792,1.3967,1.7062
2005-11-30,114.04,84522720.0,145830.3961,9.6536,1.6285,1.7062
2005-12-31,130.05,87969729.0,166298.8374,11.0085,1.8571,1.7062
2006-01-31,149.46,105798123.0,191116.0977,12.6514,2.1343,1.7062
2006-02-28,139.07,83287844.0,177773.9077,11.7724,1.986,1.7062
2006-03-31,165.69,129037078.0,211798.4542,11.4045,2.2685,1.7062
2006-04-30,203.55,177467812.0,247214.1234,14.0106,2.7869,1.7062
2006-05-31,161.06,288417331.0,205886.182,11.0861,2.2052,1.7062
2006-06-30,159.16,232348429.0,203451.717,10.9551,2.1791,1.7062
2006-07-31,145.69,113898947.0,186236.5718,10.0281,1.9947,1.9952
2006-08-31,156.12,149733513.0,199568.1657,10.7459,2.1375,1.9952
2006-09-30,155.49,124077771.0,198756.6774,10.7022,2.1288,1.9952
2006-10-31,171.18,113839801.0,218812.0319,11.7821,2.3436,1.9952
2006-11-30,157.03,117113089.0,200727.4348,10.8084,2.1499,1.9952
2006-12-31,157.98,88408779.0,201944.6673,10.8739,2.163,1.9952
2007-01-31,159.75,94383446.0,204205.2419,10.9956,2.1872,1.9952
2007-02-28,126.19,167839596.0,161312.2873,8.686,1.7278,1.9952
2007-03-31,118.17,85494722.0,151052.7563,5.0393,1.1785,1.5417
2007-04-30,132.45,71050279.0,169311.2437,5.6484,1.321,1.5417
2007-05-31,127.51,64081780.0,172534.513,5.4376,1.2717,1.5417
2007-06-30,145.24,183934387.0,196524.9094,6.1937,1.4485,1.5417
2007-07-31,154.13,136783296.0,208550.7858,6.5727,1.5371,1.5417
2007-08-31,143.2,81342001.0,193763.8663,6.1067,1.4281,1.5417
2007-09-30,156.17,78107122.0,211311.7868,6.6597,1.5575,1.5417
2007-10-31,178.21,142519029.0,241131.046,7.5995,1.7773,1.5417
2007-11-30,168.14,161501848.0,227509.9029,7.1702,1.6769,1.5417
2007-12-31,194.85,98130102.0,263648.8815,8.3092,1.9432,1.5417
2008-01-31,148.69,91375517.0,201187.9643,6.3407,1.4829,1.5417
2008-02-29,183.74,104978347.0,248616.539,7.8354,1.8324,1.5417
2008-03-31,149.73,111578737.0,202599.1638,9.689,1.1721,1.5417
2008-04-30,175.8,53568757.0,237879.1514,11.3762,1.3762,1.5417
2008-05-31,174.4,103962991.0,235977.0999,11.2852,1.3652,0.0
2008-06-30,129.05,65467837.0,174620.7387,8.3509,1.0102,0.0
2008-07-31,128.19,80675304.0,173454.9642,8.2952,1.0035,0.0
2008-08-31,122.4,82490841.0,208113.14,7.9205,0.9581,1.6778
2008-09-30,98.25,77934049.0,167051.6014,6.3578,0.7691,1.6778
2008-10-31,60.5,335389613.0,102866.3953,3.915,0.4736,1.6778
2008-11-30,52.95,245277695.0,90029.3492,3.4264,0.4145,1.6778
2008-12-31,51.4,219454971.0,87393.9292,3.3261,0.4024,1.6778
2009-01-31,48.95,153973302.0,83228.2653,3.1676,0.3832,1.6778
2009-02-28,38.6,112664602.0,65630.4604,2.4978,0.3022,1.6778
2009-03-31,52.05,195483603.0,88499.1053,16.215,0.5618,1.6778
2009-04-30,53.75,240923464.0,91389.566,16.7445,0.5801,1.6778
2009-05-31,84.65,292879923.0,143927.9398,26.3707,0.9136,1.6778
2009-06-30,86.45,419153700.0,146988.4276,26.9315,0.9331,1.6778
2009-07-31,100.3,242027225.0,170537.1809,31.2461,1.0826,1.6778
2009-08-31,106.0,339433861.0,180228.7256,33.0218,1.1441,1.6778
2009-09-30,129.05,344618051.0,219419.972,40.2025,1.3929,1.35
2009-10-31,121.85,231969119.0,207179.1216,37.9595,1.3151,1.35
2009-11-30,138.1,213369541.0,234808.672,43.0218,1.4905,1.35
2009-12-31,160.85,282937691.0,307775.715,50.109,1.7361,1.35
2010-01-31,147.35,275544824.0,281944.494,45.9034,1.5904,1.35
2010-02-28,162.65,322880751.0,311220.0336,50.6698,1.7555,1.35
2010-03-31,181.25,242285335.0,346814.994,8.1755,1.6102,1.35
2010-04-30,178.5,131188619.0,341552.9734,8.0514,1.5858,1.35
2010-05-31,150.25,253664489.0,287499.8168,6.7772,1.3348,1.35
2010-06-30,144.5,415273163.0,276497.328,6.5178,1.2837,1.35
2010-07-31,160.35,196457212.0,306828.7267,7.2327,1.4245,1.35
2010-08-31,166.4,165658253.0,318405.3641,7.5056,1.4783,1.35
2010-09-30,197.05,169506670.0,377057.8931,8.8881,1.7506,1.35
2010-10-31,210.5,179735199.0,402799.7928,9.4948,1.8701,1.35
2010-11-30,206.55,178048647.0,395252.8899,9.3166,1.835,1.35
2010-12-31,247.0,180108336.0,472667.3348,11.1412,2.1943,1.35
2011-01-31,229.65,212390546.0,439631.9857,10.3586,2.0402,1.35
2011-02-28,201.35,246214705.0,385460.8564,9.0821,1.7888,1.35
2011-03-31,209.15,196975611.0,400396.3311,16.2889,1.38,1.35
2011-04-30,216.05,120901578.0,413605.6769,16.8263,1.4255,1.35
2011-05-31,197.35,140375046.0,377809.832,15.3699,1.3021,1.35
2011-06-30,180.55,153388387.0,345648.4067,14.0615,1.1913,1.35
2011-07-31,168.45,146994278.0,322483.8713,13.1192,1.1114,1.35
2011-08-31,150.6,202775599.0,288314.0853,11.729,0.9937,1.35
2011-09-30,131.45,183397976.0,251659.1957,10.2375,0.8673,1.5
2011-10-31,135.95,231042783.0,260279.926,10.588,0.897,1.5
2011-11-30,122.95,176478714.0,235391.5872,9.5755,0.8112,1.5
2011-12-31,115.85,214873214.0,221798.417,9.0226,0.7644,1.5
2012-01-31,146.6,235042203.0,280670.6928,11.4174,0.9673,1.5
2012-02-29,148.9,294014148.0,285074.7573,11.5966,0.9824,1.5
2012-03-31,129.4,288676304.0,247741.7812,7.2943,0.7766,1.5
2012-04-30,120.75,179749330.0,231180.9898,6.8067,0.7247,1.5
2012-05-31,116.65,243197117.0,223331.3661,6.5755,0.7,1.5
2012-06-30,119.9,158786322.0,229553.6288,6.7587,0.7196,1.5
2012-07-31,120.1,143099006.0,229936.5372,6.77,0.7208,1.5
2012-08-31,103.85,139362630.0,198828.7228,5.854,0.6232,1.55
2012-09-30,120.7,181380944.0,231089.6976,6.8038,0.7244,1.55
2012-10-31,116.55,132553246.0,223144.1943,6.5699,0.6994,1.55
2012-11-30,116.6,113117166.0,223239.9232,6.5727,0.6997,1.55
2012-12-31,130.5,168393583.0,249852.5728,7.3563,0.7832,1.55
2013-01-31,116.2,168545579.0,222474.5455,6.5502,0.6973,1.55
