IOCL IN Equity,price,volume,mc,pe,bm,div
2002-03-31,11.11,8774010.0,155773.8947,5.55,1.0043,0.5278
2002-04-30,11.69,37922940.0,163833.1789,5.8371,1.0563,0.5278
2002-05-31,11.06,9239994.0,155034.1536,5.5236,0.9996,0.5278
2002-06-30,11.1,6375078.0,155579.226,5.543,1.0031,0.5278
2002-07-31,11.1,7437726.0,155540.2922,5.5417,1.0028,0.5278
2002-08-31,13.5,79784622.0,189217.9775,6.7415,1.22,0.5278
2002-09-30,11.47,12607686.0,160757.4134,5.7275,1.0365,0.6111
2002-10-31,11.97,7752528.0,167804.4204,5.9786,1.0819,0.6111
2002-11-30,12.24,11218140.0,171542.0595,6.1118,1.106,0.6111
2002-12-31,13.24,9750834.0,185558.206,6.6111,1.1964,0.6111
2003-01-31,13.41,14305914.0,187894.2304,6.6944,1.2114,0.6111
2003-02-28,13.34,5469318.0,186959.8206,6.6611,1.2054,0.2778
2003-03-31,12.9,3027546.0,180847.2234,4.1232,0.9315,0.2778
2003-04-30,13.12,3110598.0,183884.0551,4.1925,0.9471,0.2778
2003-05-31,19.77,36180666.0,277091.4292,6.3176,1.4272,0.2778
2003-06-30,22.66,142238880.0,317660.3866,7.2425,1.6362,0.2778
2003-07-31,24.16,50192820.0,338684.6063,7.7219,1.7445,0.2778
2003-08-31,32.01,74850474.0,448633.4887,10.2287,2.3108,0.2778
2003-09-30,31.48,60411528.0,441146.8224,10.0582,2.2723,2.6667
2003-10-31,28.95,70504584.0,405756.9661,9.2513,2.09,2.6667
2003-11-30,31.49,86966028.0,441333.3202,10.0622,2.2732,2.6667
2003-12-31,38.08,107795856.0,533723.0664,12.1687,2.7491,2.6667
2004-01-31,36.98,139469760.0,518305.3085,11.8172,2.6696,1.75
2004-02-29,37.69,96675852.0,528291.8108,12.0448,2.7211,1.75
2004-03-31,41.35,104146524.0,579625.9366,7.737,2.42,1.75
2004-04-30,43.07,87595272.0,603628.5824,8.0574,2.5202,1.75
2004-05-31,27.89,77997480.0,390875.2034,5.2175,1.6319,1.75
2004-06-30,30.71,63370320.0,430412.4083,5.7453,1.797,1.75
2004-07-31,33.35,55399704.0,467379.987,6.2387,1.9514,1.75
2004-08-31,33.84,54263400.0,474329.7573,6.3315,1.9804,1.75
2004-09-30,36.55,38680380.0,512348.5546,6.839,2.1391,1.75
2004-10-31,35.96,41605500.0,504055.6679,6.7283,2.1045,1.75
2004-11-30,36.73,27465948.0,514801.3802,6.8717,2.1493,1.75
2004-12-31,42.76,34808184.0,599365.464,8.0005,2.5024,1.7083
2005-01-31,37.85,133261140.0,530569.545,7.0822,2.2152,1.7083
2005-02-28,40.9,141841584.0,573318.7918,7.6528,2.3937,1.7083
2005-03-31,36.5,155544672.0,511589.3467,9.354,1.8637,1.7083
2005-04-30,36.71,36840396.0,514509.3772,9.4073,1.8744,1.7083
2005-05-31,38.67,67282200.0,542016.0647,9.9103,1.9746,1.7083
2005-06-30,35.28,50291556.0,494536.3685,9.0422,1.8016,1.7083
2005-07-31,33.33,54653724.0,467204.8828,8.5424,1.702,1.7083
2005-08-31,34.86,76570896.0,488637.9068,8.9343,1.7801,1.7083
2005-09-30,37.66,106275408.0,527824.7164,9.6508,1.9229,1.2083
2005-10-31,36.7,68434884.0,514334.1754,9.4041,1.8737,1.2083
2005-11-30,44.24,105778632.0,620039.2801,11.3369,2.2588,1.2083
2005-12-31,46.42,97517040.0,650641.1999,11.8964,2.3703,1.2083
2006-01-31,42.56,50565000.0,596503.8341,10.9065,2.1731,1.2083
2006-02-28,46.45,149593884.0,651108.4048,11.9049,2.372,0.8333
2006-03-31,48.7,88374240.0,682586.3338,13.8385,2.2277,0.8333
2006-04-30,46.74,86022528.0,656598.0622,13.282,2.1381,0.8333
2006-05-31,37.88,75285504.0,530861.5481,10.7625,1.7325,0.8333
2006-06-30,33.32,135439260.0,467029.681,9.4684,1.5242,0.8333
2006-07-31,32.45,48424308.0,454765.5528,9.2197,1.4842,0.8333
2006-08-31,41.29,101818524.0,578691.648,11.7322,1.8886,0.8333
2006-09-30,43.54,138582768.0,610286.3782,12.3727,1.9917,1.0417
2006-10-31,42.72,70977852.0,598781.4579,12.1395,1.9542,1.0417
2006-11-30,36.81,81435120.0,515910.9918,10.4594,1.6837,1.0417
2006-12-31,37.51,71732976.0,525722.2944,10.6583,1.7158,1.0
2007-01-31,41.3,83477748.0,578866.8498,11.7357,1.8892,1.0
2007-02-28,34.44,36441564.0,482739.4452,9.7869,1.5755,1.0
2007-03-31,33.3,37513248.0,466796.0785,6.0571,1.2782,1.0
2007-04-30,36.75,51135420.0,515151.7839,6.6846,1.4106,1.0
