BSE IN Equity,price,volume,mc,pe,bm,div
2017-02-28,105.22,221879808.0,50830.546,38.8891,2.0147,0.5556
2017-03-31,108.63,66216510.0,52478.4659,39.8299,2.0045,0.5556
2017-04-30,111.61,26967204.0,53917.0409,40.9218,2.0595,0.5556
2017-05-31,121.49,41390145.0,58691.7144,44.5456,2.2418,0.5556
2017-06-30,119.28,21169098.0,57626.2027,43.7369,2.2011,0.5556
2017-07-31,120.41,40809465.0,58171.0362,44.1505,2.222,0.5556
2017-08-31,108.14,15719373.0,52244.9658,39.6527,1.9956,3.1111
2017-09-30,108.48,13913064.0,52408.6843,39.777,2.0018,3.1111
2017-10-31,110.05,10749690.0,53165.5465,40.3514,2.0308,3.1111
2017-11-30,103.12,10642221.0,49818.7114,37.8112,1.9029,3.1111
2017-12-31,101.05,35282133.0,48817.6135,37.0514,1.8647,3.1111
2018-01-31,99.17,78568992.0,47907.7685,36.3609,1.8299,3.1111
2018-02-28,88.74,36857466.0,42976.587,32.5394,1.6376,3.1111
2018-03-31,84.02,43196472.0,40689.7397,20.4692,1.3265,3.1111
2018-04-30,91.56,22248774.0,44337.9337,22.3044,1.4455,3.1111
2018-05-31,92.13,27304551.0,44617.7362,22.4452,1.4546,3.1111
2018-06-30,93.31,29443851.0,45185.4124,22.7308,1.4731,3.1111
2018-07-31,88.13,17671977.0,42677.9516,21.4694,1.3914,4.0
2018-08-31,82.2,20714625.0,38313.5037,20.0253,1.2978,4.0
2018-09-30,75.9,24988437.0,35377.0673,18.4905,1.1983,4.0
2018-10-31,66.69,22192506.0,31086.3485,16.2479,1.053,4.0
2018-11-30,67.25,9758655.0,31345.2935,16.3832,1.0617,4.0
2018-12-31,66.49,14446260.0,30990.5388,16.1978,1.0497,4.0
2019-01-31,65.49,11539908.0,30527.0272,15.9555,1.034,4.0
2019-02-28,63.21,12220686.0,29462.7632,15.3993,0.998,4.0
2019-03-31,67.91,32908266.0,31650.8486,16.6156,1.0808,4.0
2019-04-30,68.97,18247995.0,32145.4335,16.8753,1.0977,4.0
2019-05-31,68.8,25330158.0,32067.75,16.8345,1.095,4.0
2019-06-30,68.12,15042240.0,31751.8371,16.6687,1.0842,3.3333
2019-07-31,56.47,19622745.0,26321.7603,13.818,0.8988,3.3333
2019-08-31,59.08,27706797.0,27538.8018,14.457,0.9404,3.3333
2019-09-30,62.69,18311787.0,29221.9444,15.3405,0.9978,3.3333
2019-10-31,61.63,14957946.0,24972.7263,15.0795,0.9808,3.3333
2019-11-30,56.13,13558401.0,22746.2748,13.7351,0.8934,3.3333
2019-12-31,55.72,11480787.0,22577.4337,13.6332,0.8868,2.7778
2020-01-31,59.27,27714519.0,24015.96,14.5018,0.9433,2.7778
2020-02-29,50.33,34592004.0,20396.0065,12.3159,0.8011,2.7778
2020-03-31,32.98,40555764.0,13363.2113,11.9172,0.551,2.7778
2020-04-30,43.42,36609930.0,17593.2441,15.6895,0.7255,2.7778
2020-05-31,41.99,42053346.0,17014.6818,15.1736,0.7016,2.7778
2020-06-30,49.31,47990403.0,19979.5318,17.8176,0.8239,2.7778
2020-07-31,57.22,88974747.0,23185.2617,20.6764,0.9561,1.8889
2020-08-31,55.36,48882762.0,22433.356,20.0059,0.925,1.8889
2020-09-30,60.64,147376017.0,24572.0101,21.9131,1.0132,1.8889
2020-10-31,54.82,32636889.0,22212.7369,19.8091,0.916,1.8889
2020-11-30,61.49,68791932.0,24916.446,22.2203,1.0274,1.8889
2020-12-31,68.8,162788886.0,27879.0447,24.8623,1.1496,1.8889
2021-01-31,65.35,70200414.0,26481.0403,23.6156,1.092,1.8889
2021-02-28,64.61,74792106.0,26181.6287,23.3486,1.0796,1.8889
2021-03-31,63.46,54271044.0,25713.376,18.053,1.0317,1.8889
2021-04-30,66.74,70827111.0,27043.844,18.9871,1.085,1.8889
2021-05-31,106.91,330166728.0,43322.3786,30.4161,1.7382,1.8889
2021-06-30,100.06,123147063.0,40544.3794,28.4657,1.6267,1.8889
2021-07-31,138.76,559883997.0,56226.3421,39.4758,2.2559,1.8889
2021-08-31,133.16,97959591.0,53957.1175,37.8826,2.1648,2.3333
2021-09-30,136.81,134547075.0,55436.1657,38.921,2.2242,2.3333
2021-10-31,147.13,149010408.0,59618.9229,41.8577,2.392,2.3333
2021-11-30,173.32,175121028.0,70231.1497,49.3084,2.8178,2.3333
2021-12-31,213.17,468097641.0,86379.1138,60.6456,3.4657,2.3333
2022-01-31,217.02,193406868.0,87939.2057,61.741,3.5283,2.3333
2022-02-28,218.16,292283370.0,88400.7047,62.065,3.5468,2.3333
2022-03-31,314.67,391600137.0,127508.8091,50.2009,4.8098,2.3333
2022-04-30,299.85,58871505.0,121504.8191,47.8371,4.5833,2.3333
2022-05-31,251.95,73108659.0,102094.8447,40.1953,3.8511,2.3333
2022-06-30,198.97,100753863.0,80625.0086,31.7425,3.0413,4.5
2022-07-31,226.17,75973578.0,91646.9565,36.0819,3.457,4.5
2022-08-31,217.1,61132452.0,87972.9739,34.6354,3.3184,4.5
2022-09-30,201.97,59603712.0,81840.6647,32.2211,3.0871,4.5
2022-10-31,196.7,28516017.0,79706.513,31.3809,3.0066,4.5
2022-11-30,192.4,35536128.0,78189.1807,30.6949,2.9409,4.5
2022-12-31,181.63,43615659.0,73813.7293,28.9772,2.7763,4.5
2023-01-31,171.15,23563779.0,69553.4214,27.3047,2.6161,4.5
2023-02-28,146.92,32898714.0,59705.2692,23.4386,2.2457,4.5
2023-03-31,143.65,52708644.0,58377.7329,26.8337,2.1923,4.5
2023-04-30,174.3,58460064.0,70833.5457,32.5592,2.6601,4.5
