BRCM IN Equity,price,volume,mc,pe,bm,div
2001-03-31,8.5,2725406.0,1641.078,3.4317,0.6558,0.7864
2001-04-30,8.44,371694.0,1629.6948,3.4079,0.6512,0.7864
2001-05-31,10.35,1573152.0,1996.803,4.1756,0.7979,0.7864
2001-06-30,9.93,1174633.0,1916.172,4.007,0.7657,0.0
2001-07-31,8.92,306183.0,1721.709,3.6003,0.688,0.6881
2001-08-31,7.93,768433.0,1530.0918,3.1996,0.6114,0.6881
2001-09-30,7.39,676657.0,1426.6944,2.9834,0.5701,0.6881
2001-10-31,7.37,454122.0,1422.9,2.9755,0.5686,0.6881
2001-11-30,7.67,345836.0,1479.816,3.0945,0.5913,0.6881
2001-12-31,8.55,657095.0,1650.564,3.4515,0.6595,0.6881
2002-01-31,8.46,923432.0,1633.4892,3.4158,0.6527,0.6881
2002-02-28,9.46,1842450.0,1826.055,3.8185,0.7297,0.6881
2002-03-31,11.91,2307630.0,2299.4064,4.8084,0.9188,0.6881
2002-04-30,12.2,3014947.0,2354.4252,4.9234,0.9408,0.0
2002-05-31,11.62,1533459.0,2242.4904,4.6893,0.8961,0.0
2002-06-30,12.79,209697.0,2468.2572,5.1614,0.9863,0.0
2002-07-31,12.09,1792503.0,2333.556,4.8798,0.9325,0.8356
2002-08-31,11.76,1956464.0,2269.0512,4.7449,0.9067,0.8356
2002-09-30,11.46,294912.0,2211.1866,4.6239,0.8836,0.8356
2002-10-31,9.56,244945.0,1845.9756,3.8602,0.7376,0.8356
2002-11-30,11.24,502208.0,2169.4482,4.5366,0.8669,0.8356
2002-12-31,11.34,1486045.0,2189.3688,4.5783,0.8749,0.8356
2003-01-31,9.85,728079.0,1900.0458,3.9732,0.7592,0.8356
2003-02-28,11.04,669221.0,2131.5042,4.4573,0.8517,0.8356
2003-03-31,10.86,493236.0,2095.4574,4.3819,0.8373,0.8356
2003-04-30,10.14,469137.0,1957.9104,4.0942,0.7824,0.8356
2003-05-31,12.05,2122174.0,2325.9672,4.8639,0.9294,0.8356
2003-06-30,13.78,4268081.0,2658.9258,5.5602,1.0625,0.8356
2003-07-31,15.51,3977818.0,2992.833,6.2584,1.1959,0.5407
2003-08-31,17.4,4136774.0,3358.044,7.0221,1.3418,0.5407
2003-09-30,15.41,1034486.0,2974.8096,6.2207,1.1887,0.5407
2003-10-31,16.7,2718448.0,3222.3942,6.7384,1.2876,0.5407
2003-11-30,21.58,4811315.0,4165.3026,8.7102,1.6644,0.5407
2003-12-31,27.42,24003463.0,5292.2394,11.0668,2.1147,0.5407
2004-01-31,24.98,3740716.0,4821.7338,10.0829,1.9267,0.5407
2004-02-29,28.46,2428866.0,5492.394,11.4853,2.1947,0.5407
2004-03-31,29.95,1721203.0,5779.8198,12.0864,2.3096,0.5407
2004-04-30,43.27,6394029.0,8350.5259,17.462,3.3368,0.5407
2004-05-31,28.61,6518409.0,5520.852,11.5448,2.2061,0.5407
2004-06-30,28.52,1853629.0,5504.7258,11.5111,2.1996,0.5407
2004-07-31,34.49,6392492.0,6634.8371,13.9213,2.6602,0.983
2004-08-31,42.2,13469580.0,8115.8705,17.0288,3.254,0.983
2004-09-30,38.76,5741990.0,7454.214,15.6405,2.9887,0.983
2004-10-31,37.86,3603030.0,8044.1899,15.2793,2.9197,0.983
2004-11-30,41.9,5715440.0,8902.5768,16.9098,3.2313,0.983
2004-12-31,53.59,6717860.0,11385.3121,21.6255,4.1324,0.983
2005-01-31,58.36,33993760.0,12398.8036,23.5506,4.5002,0.983
2005-02-28,67.4,45122100.0,14319.5504,27.1989,5.1974,0.983
2005-03-31,69.3,23580097.0,14724.3096,27.9677,5.3443,0.983
2005-04-30,56.8,13758122.0,13166.3537,22.923,4.3803,0.983
2005-05-31,56.65,17085190.0,13131.5834,22.8625,4.3688,0.983
2005-06-30,63.1,30889970.0,14626.7063,25.4655,4.8662,0.983
2005-07-31,80.0,58704876.0,18544.1602,32.286,6.1695,1.6
2005-08-31,89.5,60861451.0,20746.2792,36.1199,6.9021,1.6
2005-09-30,88.45,45213971.0,20502.8871,35.6962,6.8211,1.6
2005-10-31,83.7,16392885.0,19401.8276,33.7792,6.4548,1.6
2005-11-30,88.65,23888426.0,20549.2475,35.7769,6.8365,1.6
2005-12-31,116.45,76363324.0,26993.3431,46.9962,8.9804,1.6
2006-01-31,150.5,83780048.0,34886.2013,60.738,11.6063,1.6
2006-02-28,152.6,44254054.0,37868.3015,61.5855,11.7683,1.6
2006-03-31,187.75,39699676.0,46590.9148,75.7711,14.479,1.6
2006-04-30,190.4,18657464.0,46677.7687,76.8406,14.6833,1.6
2006-05-31,134.8,17202007.0,33451.1601,54.4018,10.3956,4.0
2006-06-30,119.8,27139563.0,29728.85,48.3482,9.2388,4.0
2006-07-31,93.35,38435372.0,23165.1765,37.6737,7.199,4.0
2006-08-31,89.35,213579940.0,22172.5605,36.0594,6.8905,4.0
2006-09-30,101.4,122965759.0,25162.8163,40.9224,7.8198,4.0
2006-10-31,103.2,111114823.0,25609.5644,41.6489,7.9586,4.0
2006-11-30,82.55,87203038.0,20485.17,33.3151,6.3661,4.0
2006-12-31,84.35,87220022.0,20931.8484,34.0415,6.5049,3.5
2007-01-31,67.4,73372871.0,16725.6263,27.2009,5.1978,3.5
2007-02-28,59.15,122671935.0,14678.3501,23.8714,4.5615,3.5
2007-03-31,65.8,91089094.0,16328.5788,26.5552,5.0744,3.5
2007-04-30,61.65,85456383.0,15298.7369,24.8804,4.7543,3.5
2007-05-31,74.35,95099661.0,18450.3015,30.0058,5.7337,3.5
2007-06-30,76.35,91589728.0,18946.6109,30.8129,5.888,3.5
2007-07-31,68.2,85234032.0,16924.1501,27.5238,5.2595,1.5
2007-08-31,59.05,47302602.0,14653.5347,23.8311,4.5538,1.5
2007-09-30,75.5,183456557.0,18735.7024,30.1268,2.1808,1.5
2007-10-31,80.2,189853238.0,19902.0309,30.1268,2.3166,1.5
2007-11-30,100.9,196350691.0,25038.8394,30.1268,2.9145,1.5
2007-12-31,113.0,213257770.0,28041.5149,30.1268,3.264,1.5
2008-01-31,75.9,192820672.0,18834.9644,30.1268,2.1924,1.5
2008-02-29,93.65,193871541.0,23926.9191,30.1268,2.7051,0.0
2008-03-31,80.85,127082913.0,20657.3934,30.1268,2.3354,0.0
2008-04-30,103.45,90663073.0,26431.786,30.1268,2.9882,0.0
2008-05-31,91.85,91563260.0,23467.9511,30.1268,2.6531,0.0
2008-06-30,79.65,102568116.0,20351.6579,30.1268,2.3007,0.0
2008-07-31,85.55,102526219.0,21859.1881,30.1268,2.4711,0.0
2008-08-31,92.35,137588848.0,23596.6806,30.1268,2.6676,0.0
2008-09-30,81.2,88943601.0,20749.5476,26.2783,2.0928,0.0
2008-10-31,42.7,70213607.0,10911.387,13.8188,1.1005,0.0
2008-11-30,32.2,54270535.0,8228.2591,10.4207,0.8299,0.0
2008-12-31,49.75,72240614.0,12712.9158,16.1003,1.2822,0.0
2009-01-31,59.9,68346504.0,15306.6061,19.3851,1.5438,0.5
2009-02-28,47.3,66756856.0,12086.8526,15.3074,1.2191,0.5
