BRCM IN Equity,price,volume,mc,pe,bm,div
2009-03-31,52.8,45749281.0,13492.3006,17.0874,1.3608,0.5
2009-04-30,69.85,97242522.0,17849.1893,22.6052,1.8002,0.5
2009-05-31,87.35,168314002.0,22321.0692,28.2686,2.2513,0.5
2009-06-30,105.3,205123353.0,26907.9403,34.0777,2.7139,0.5
2009-07-31,118.8,166287826.0,30357.6763,38.4466,3.0618,0.5
2009-08-31,116.85,158171422.0,29859.3811,37.8155,3.0116,0.5
2009-09-30,122.2,102864111.0,31375.4728,14.9389,2.7672,0.5
2009-10-31,149.05,182916795.0,38269.3471,18.2213,3.3752,0.5
2009-11-30,131.55,129959176.0,33776.1329,16.0819,2.979,0.5
2009-12-31,132.75,88997760.0,34084.2391,16.2286,3.0061,0.5
2010-01-31,120.3,61425305.0,31085.868,14.7066,2.7242,3.0
2010-02-28,105.55,64269838.0,27274.4254,12.9034,2.3902,3.0
2010-03-31,92.25,124472563.0,23844.1251,11.2775,2.089,3.0
2010-04-30,83.35,85769862.0,21543.7162,10.1895,1.8875,3.0
2010-05-31,80.1,102932205.0,20703.6793,9.7922,1.8139,3.0
2010-06-30,84.45,64209717.0,21899.3633,10.324,1.9124,3.0
2010-07-31,83.1,54928062.0,21549.2847,10.1589,1.8818,3.0
2010-08-31,83.8,35903935.0,21730.8069,10.2445,1.8977,3.0
2010-09-30,92.7,71979835.0,24063.5853,11.3325,2.0992,3.0
2010-10-31,84.4,32611071.0,21912.7467,10.3178,1.9112,3.0
2010-11-30,76.05,45027815.0,19744.8387,9.2971,1.7222,3.0
2010-12-31,87.9,51200993.0,22821.4506,10.7457,1.9905,3.0
2011-01-31,70.6,42081289.0,18336.5208,8.6308,1.5987,3.0
2011-02-28,66.0,47425988.0,17141.79,8.0685,1.4946,3.0
2011-03-31,70.05,25669659.0,18193.6725,8.5697,1.3923,0.0
2011-04-30,74.4,27162829.0,19323.4723,8.5697,1.4788,0.0
2011-05-31,61.9,23570599.0,16076.9212,8.5697,1.2303,0.0
2011-06-30,62.4,26500476.0,16206.7833,8.5697,1.2403,0.0
2011-07-31,59.45,22882693.0,14524.4616,8.5697,1.1816,0.75
2011-08-31,54.4,30432969.0,13290.6764,8.5697,1.0813,0.75
2011-09-30,46.1,30184572.0,11262.871,8.5697,0.9163,0.75
2011-10-31,53.55,41241955.0,13083.0095,8.5697,1.0644,0.75
2011-11-30,43.95,32231067.0,10737.5961,8.5697,0.8736,0.75
2011-12-31,33.75,26758416.0,8245.5943,8.5697,0.6708,0.75
2012-01-31,48.8,40810762.0,11922.5185,8.5697,0.97,0.75
2012-02-29,51.7,31379810.0,12631.0288,8.5697,1.0276,0.75
2012-03-31,57.25,36568096.0,13986.971,2862.5,1.154,0.75
2012-04-30,55.0,22239533.0,13437.2647,2750.0,1.1086,0.75
2012-05-31,49.6,19159254.0,12117.9696,2480.0,0.9998,0.75
2012-06-30,51.75,20152754.0,12643.2445,2587.5,1.0431,0.75
2012-07-31,54.2,47240322.0,13241.8136,2710.0,1.0925,0.75
2012-08-31,67.15,60644918.0,16405.6786,3357.5,1.3535,0.75
2012-09-30,67.3,50994642.0,16442.3257,3365.0,1.3565,0.0
2012-10-31,68.25,31447339.0,16674.4239,3412.5,1.3757,0.0
2012-11-30,63.95,16959982.0,15623.8741,3197.5,1.289,0.0
2012-12-31,49.35,26837426.0,12056.8912,2467.5,0.9947,0.0
2013-01-31,45.7,38385307.0,11165.1454,2285.0,0.9212,0.0
2013-02-28,47.55,25906849.0,11617.1261,2377.5,0.9584,0.0
2013-03-31,43.6,20720488.0,10652.0862,6.6061,0.8094,0.0
2013-04-30,47.15,30290949.0,11519.4006,7.1439,0.8753,0.0
2013-05-31,47.95,12836199.0,11714.8517,7.2652,0.8901,0.0
2013-06-30,38.9,10364817.0,9503.8115,5.8939,0.7221,0.0
2013-07-31,36.3,12772676.0,8868.5953,5.5,0.6739,2.0
2013-08-31,35.95,5074092.0,8783.0854,5.447,0.6674,2.0
2013-09-30,42.6,8428492.0,10407.773,6.4545,0.7908,2.0
2013-10-31,41.15,12863058.0,10053.5178,6.2348,0.7639,2.0
2013-11-30,47.15,21046021.0,11544.2447,7.1439,0.8753,2.0
2013-12-31,46.0,14394073.0,11262.6777,6.9697,0.8539,2.0
2014-01-31,36.8,11144836.0,9010.1422,5.5758,0.6832,2.0
2014-02-28,46.65,12649859.0,11421.8243,7.0682,0.866,2.0
2014-03-31,55.85,18021645.0,13674.3598,159.5714,1.1242,2.0
2014-04-30,56.85,16046623.0,13919.2006,162.4286,1.1443,2.0
2014-05-31,73.05,26057439.0,17885.6219,208.7143,1.4704,2.0
2014-06-30,80.75,35197734.0,19776.988,230.7143,1.6254,2.0
2014-07-31,75.7,12303539.0,18540.1609,216.2857,1.5238,2.0
2014-08-31,71.95,11874341.0,17621.7249,205.5714,1.4483,2.0
2014-09-30,50.0,15676911.0,12245.813,142.8571,1.0065,0.0
2014-10-31,54.9,12051574.0,13445.9027,156.8571,1.1051,0.0
2014-11-30,59.8,36656924.0,14645.9923,170.8571,1.2037,0.0
2014-12-31,59.65,18319147.0,14609.2549,170.4286,1.2007,0.0
2015-01-31,61.75,9534984.0,15123.579,176.4286,1.243,0.0
2015-02-28,58.45,10790200.0,14315.3402,167.0,1.1766,0.0
2015-03-31,49.55,9875557.0,12135.6007,140.0,1.0767,0.0
2015-04-30,45.95,14866949.0,11253.9021,140.0,0.9985,0.0
2015-05-31,42.05,20973779.0,10298.7287,140.0,0.9138,0.0
2015-06-30,40.5,14128958.0,9919.1085,140.0,0.8801,0.0
2015-07-31,50.4,12142052.0,12343.7795,140.0,1.0952,0.0
2015-08-31,39.85,13749162.0,9759.913,140.0,0.866,0.0
2015-09-30,52.75,9846288.0,12919.3327,140.0,1.1463,0.0
2015-10-31,60.75,31795662.0,14878.6628,140.0,1.3201,0.0
2015-11-30,73.3,64229789.0,17952.3618,140.0,1.5928,0.0
2015-12-31,70.0,24971446.0,17145.3996,140.0,1.5211,0.0
2016-01-31,88.95,86399240.0,21786.9042,140.0,1.9329,0.0
2016-02-29,81.4,42840745.0,19937.6504,140.0,1.7689,0.0
2016-03-31,107.85,89777069.0,26417.8308,26.3692,2.1494,0.0
2016-04-30,107.1,57169523.0,26234.1185,26.1858,2.1345,0.0
2016-05-31,108.2,60897751.0,26503.5633,26.4548,2.1564,0.0
2016-06-30,125.7,80313706.0,30790.1839,30.7335,2.5052,0.0
2016-07-31,132.55,38857503.0,32468.0897,32.4083,2.6417,0.0
2016-08-31,107.25,39829039.0,26270.861,26.2225,2.1375,3.5
2016-09-30,107.75,38273591.0,26393.3359,26.3447,2.1474,3.5
2016-10-31,116.4,27409540.0,28512.1512,28.4597,2.3198,3.5
2016-11-30,122.5,41257502.0,30006.3447,29.9511,2.4414,3.5
2016-12-31,125.25,16298298.0,30687.5611,30.6235,2.4962,3.5
2017-01-31,141.7,41241048.0,34717.9832,34.6455,2.8241,3.5
2017-02-28,152.85,18975194.0,37449.85,37.3716,3.0463,3.5
2017-03-31,145.35,26112919.0,35612.2715,5.9839,2.1888,3.5
2017-04-30,162.25,30125385.0,39752.9484,6.6797,2.4433,3.5
2017-05-31,155.0,43401271.0,37976.6225,6.3812,2.3341,3.5
2017-06-30,151.0,35396471.0,36996.5806,6.2166,2.2739,3.5
2017-07-31,165.4,45055694.0,40524.7313,6.8094,2.4908,3.5
2017-08-31,171.75,49405272.0,42080.5478,7.0708,2.5864,2.5
2017-09-30,160.9,30210444.0,39422.1842,6.6241,2.423,2.5
2017-10-31,171.45,34667405.0,42007.0447,7.0585,2.5819,2.5
2017-11-30,159.15,46358671.0,38993.4169,6.5521,2.3966,2.5
2017-12-31,132.4,46153233.0,32439.3868,5.4508,1.9938,2.5
2018-01-31,122.15,54332759.0,29928.0294,5.0288,1.8395,2.5
2018-02-28,119.75,64099157.0,28144.6422,4.93,1.8033,2.5
2018-03-31,75.65,165387527.0,17779.8929,7.6724,1.0686,2.5
2018-04-30,70.0,155746704.0,15989.9829,7.0994,0.9888,2.5
2018-05-31,71.45,187268256.0,16321.9185,7.2465,1.0093,2.5
2018-06-30,64.35,162782348.0,14700.0063,6.5264,0.909,2.5
2018-07-31,73.3,117298270.0,16744.5294,7.4341,1.0354,2.5
2018-08-31,76.45,93888898.0,17464.1101,7.7535,1.0799,2.5
2018-09-30,71.05,487503086.0,16230.5431,7.2059,1.0037,2.5
2018-10-31,107.3,215054266.0,24511.4325,10.8824,1.5157,0.0
2018-11-30,101.15,81921992.0,23106.5368,10.2586,1.4289,0.0
2018-12-31,102.0,48681201.0,23300.7094,10.3448,1.4409,0.0
2019-01-31,101.9,60855410.0,23277.8655,10.3347,1.4395,0.0
2019-02-28,131.0,95176667.0,29925.4208,13.286,1.8505,2.5
2019-03-31,137.1,43918234.0,31318.8946,5.4383,1.4788,2.5
2019-04-30,150.6,52391928.0,34402.812,5.9738,1.6244,2.5
2019-05-31,154.0,34313859.0,35179.5024,6.1087,1.6611,2.5
2019-06-30,139.15,25095859.0,31787.1932,5.5196,1.5009,2.5
2019-07-31,141.65,34313191.0,32358.289,5.6188,1.5279,2.5
2019-08-31,132.85,41902146.0,29227.0,5.2697,1.4329,2.5
2019-09-30,154.45,43304146.0,33979.0,6.1265,1.6659,2.5
2019-10-31,162.95,21806617.0,35849.0,6.4637,1.7576,2.5
2019-11-30,153.0,19102574.0,33660.0,6.069,1.6503,5.0
2019-12-31,183.4,32560798.0,40348.0,7.2749,1.9782,5.0
2020-01-31,166.2,27587597.0,36564.0,6.5926,1.7927,5.0
2020-02-29,142.8,21833655.0,31416.0,5.6644,1.5403,2.5
2020-03-31,104.05,22980656.0,22891.0,4.439,0.9476,2.5
2020-04-30,99.15,13163555.0,21813.0,4.2299,0.903,2.5
2020-05-31,99.75,12174808.0,21945.0,4.2555,0.9084,2.5
2020-06-30,134.05,59193313.0,29491.0,5.7189,1.2208,2.5
2020-07-31,125.5,46346057.0,27610.0,5.3541,1.1429,2.5
2020-08-31,147.45,59738338.0,30964.5,6.2905,1.3428,2.5
2020-09-30,155.2,25701339.0,32592.0,6.6212,1.4134,2.5
2020-10-31,160.4,21077052.0,33684.0,6.843,1.4608,2.5
2020-11-30,164.6,23665892.0,34566.0,7.0222,1.499,2.5
2020-12-31,172.0,40252999.0,36120.0,7.3379,1.5664,0.0
2021-01-31,171.25,24013799.0,35962.5,7.3059,1.5596,0.0
2021-02-28,177.1,30654951.0,37191.0,7.5555,1.6129,5.0
2021-03-31,214.5,80770809.0,45045.0,9.5418,1.7198,5.0
2021-04-30,279.25,76422372.0,58642.5,12.4222,2.239,5.0
2021-05-31,304.15,82720614.0,63871.5,13.5298,2.4386,5.0
2021-06-30,355.7,52041918.0,74697.0,15.823,2.852,5.0
2021-07-31,381.25,29191080.0,80062.5,16.9595,3.0568,5.0
2021-08-31,369.05,36485666.0,77500.5,16.4168,2.959,5.0
2021-09-30,366.5,27573357.0,76965.0,16.3034,2.9386,5.0
2021-10-31,326.95,38263965.0,66710.878,14.544,2.6214,5.0
2021-11-30,311.65,18249598.0,63589.066,13.8634,2.4988,2.5
2021-12-31,367.5,30343809.0,74984.7,16.3479,2.9466,2.5
2022-01-31,424.2,102055598.0,86553.768,18.8701,3.4012,2.5
2022-02-28,397.0,67882890.0,81003.88,17.6601,3.1831,2.5
2022-03-31,489.4,139270234.0,99857.176,21.8093,3.6053,2.5
2022-04-30,443.1,77681559.0,90410.124,19.746,3.2642,2.5
2022-05-31,404.35,94339034.0,82503.574,18.0192,2.9788,2.5
2022-06-30,359.45,63090478.0,73342.178,16.0183,2.648,2.5
2022-07-31,395.1,47175872.0,80616.204,17.607,2.9106,2.5
2022-08-31,350.5,70047223.0,71516.02,15.6194,2.5821,2.5
2022-09-30,347.7,51231646.0,70944.708,15.4947,2.5614,2.5
2022-10-31,315.95,27686981.0,64466.438,14.0798,2.3275,2.5
2022-11-30,384.3,59884692.0,78412.572,17.1257,2.8311,2.5
2022-12-31,396.75,73897421.0,80952.87,17.6805,2.9228,2.5
2023-01-31,378.1,31374611.0,77147.524,16.8494,2.7854,2.5
2023-02-28,357.05,26380749.0,72815.5191,15.9113,2.6303,2.5
2023-03-31,395.75,46881117.0,79936.3034,28.3895,2.7574,2.5
2023-04-30,415.5,41580821.0,83826.8113,29.8063,2.895,2.5
2023-05-31,392.7,30885514.0,79226.9285,28.1707,2.7361,2.5
2023-06-30,384.65,40431572.0,77602.8471,27.5933,2.68,2.5
2023-07-31,403.0,34142733.0,81304.9457,28.9096,2.8079,2.5
2023-08-31,390.05,34924084.0,78692.293,27.9806,2.7177,2.5
2023-09-30,436.8,91607132.0,88124.0702,31.3343,3.0434,2.5
2023-10-31,413.15,26533818.0,83352.7006,29.6377,2.8786,2.5
2023-11-30,473.05,38769984.0,95437.4803,33.9347,3.296,5.5
2023-12-31,410.45,114712627.0,82807.9776,29.444,2.8598,5.5
2024-01-31,395.45,42985636.0,79781.7389,28.368,2.7553,5.5
2024-02-29,372.95,47648592.0,75242.3809,26.7539,2.5985,3.0
2024-03-31,361.95,30344326.0,73023.1392,13.6636,2.1471,3.0
2024-04-30,395.55,38863018.0,79801.9139,14.932,2.3465,3.0
2024-05-31,378.25,18251777.0,76311.6519,14.279,2.2438,3.0
2024-06-30,429.7,74643137.0,86691.6506,16.2212,2.549,3.0
2024-07-31,480.85,51233666.0,97011.1245,18.1521,2.8525,3.0
2024-08-31,598.65,89639170.0,120777.1855,22.5991,3.5513,3.0
2024-09-30,648.9,51470745.0,130915.0851,24.496,3.8494,3.0
2024-10-31,627.8,41200732.0,126658.176,23.6995,3.7242,3.0
2024-11-30,585.1,16854354.0,118133.0773,22.0876,3.4709,3.0
2024-12-31,529.8,13086512.0,106967.8762,20.0,3.1428,3.0
2025-01-31,487.35,15482652.0,98397.1205,18.3975,2.891,3.0
2025-02-28,444.25,10871826.0,89695.1283,16.7705,2.6353,3.0
2025-03-31,547.5,15693313.0,110541.5481,25.2887,2.9124,3.0
2025-04-30,550.9,10227705.0,111228.0162,25.4457,2.9305,3.0
2025-05-31,590.3,9840535.0,119182.9696,27.2656,3.1401,3.0
2025-06-30,593.85,6518744.0,119899.723,27.4296,3.159,3.0
2025-07-31,587.05,7497018.0,118526.7869,27.1155,3.1228,3.0
2025-08-31,536.2,5375860.0,108260.0513,24.7667,2.8523,3.0
2025-09-30,455.65,15899256.0,92015.7645,21.0462,2.4238,3.0
2025-10-31,458.95,7090426.0,92682.1795,21.1986,2.4414,3.0
2025-11-30,447.6,8670475.0,90393.0152,20.6744,2.381,3.5
2025-12-31,444.4,12087379.0,89746.7738,20.5266,2.364,3.5
2026-01-31,420.35,4354866.0,84889.8658,19.4157,2.2361,3.5
2026-02-28,470.6,8235594.0,95037.8752,21.7367,2.5034,3.5
2026-03-31,492.75,9429048.0,99511.0773,22.7598,2.6212,3.5
