MCX IN Equity,price,volume,mc,pe,bm,div
2012-03-31,254.05,159066530.0,64780.7197,22.5943,6.4925,0.0
2012-04-30,218.91,20715840.0,55820.3037,19.4691,5.5945,3.6
2012-05-31,187.31,26265750.0,47762.5531,16.6587,4.7869,3.6
2012-06-30,212.12,31345160.0,54088.9048,18.8652,5.4209,3.6
2012-07-31,205.74,44301435.0,52462.0526,18.2978,5.2579,3.6
2012-08-31,228.87,17768260.0,58360.0209,20.3549,5.849,3.6
2012-09-30,256.35,16918920.0,65367.2013,22.7988,6.5513,4.8
2012-10-31,280.95,22215535.0,71640.0047,24.9867,7.18,4.8
2012-11-30,319.36,21503085.0,81434.2509,28.4027,8.1616,3.6
2012-12-31,294.63,11702175.0,75128.2954,26.2033,7.5296,3.6
2013-01-31,284.12,12559595.0,72448.3294,25.2686,7.261,3.6
2013-02-28,229.78,16749930.0,58592.0636,20.4358,5.8723,3.6
2013-03-31,166.12,43952615.0,42359.2724,14.0541,3.6641,3.6
2013-04-30,181.24,18597530.0,46214.7516,15.3333,3.9976,3.6
2013-05-31,170.65,16478390.0,43514.3862,14.4374,3.7641,3.6
2013-06-30,153.48,10951145.0,39136.1471,12.9848,3.3853,3.6
2013-07-31,127.63,13377750.0,32544.6081,10.7978,2.8152,3.6
2013-08-31,74.79,142892705.0,19070.8395,6.3274,1.6497,3.6
2013-09-30,76.22,99756340.0,19435.4778,6.4484,1.6812,4.8
2013-10-31,94.68,89635465.0,24142.6271,8.0102,2.0884,4.8
2013-11-30,95.47,95614075.0,24344.0706,8.077,2.1058,3.8
2013-12-31,95.81,161282670.0,24430.7679,8.1058,2.1133,3.8
2014-01-31,99.95,491168690.0,25486.4341,8.456,2.2046,3.8
2014-02-28,105.19,220713640.0,26822.5913,8.8993,2.3202,3.8
2014-03-31,98.82,140543815.0,25198.2933,16.3501,2.199,3.8
2014-04-30,106.81,219326000.0,27235.6781,17.6721,2.3768,3.8
2014-05-31,107.54,209137600.0,27421.8221,17.7929,2.393,3.8
2014-06-30,122.89,179561550.0,31335.9468,20.3326,2.7346,3.8
2014-07-31,161.74,387358460.0,41242.3796,26.7604,3.5991,3.8
2014-08-31,168.92,133169245.0,43073.221,27.9484,3.7589,3.8
2014-09-30,159.91,74292915.0,40775.7446,26.4576,3.5584,2.0
