SIGNATUR IN Equity,price,volume,mc,pe,bm,div
2024-03-31,1359.2,10671427.0,190982.1312,1114.0984,30.4763,0.0
2024-04-30,1260.0,10506088.0,177043.4707,1032.7869,28.252,0.0
2024-05-31,1269.9,14995561.0,178434.5265,1040.9016,28.474,0.0
2024-06-30,1386.7,15156775.0,194846.1752,1136.6393,31.093,0.0
2024-07-31,1488.1,14692046.0,209093.9593,1219.7541,33.3666,0.0
2024-08-31,1503.95,12665784.0,211321.0537,1232.7459,33.722,0.0
2024-09-30,1597.75,27624225.0,224500.9565,1309.6311,35.8252,0.0
2024-10-31,1363.15,10242728.0,191537.1484,1117.3361,30.5649,0.0
2024-11-30,1347.35,10087070.0,189317.0795,1104.3852,30.2106,0.0
2024-12-31,1364.75,15068669.0,191761.9655,1118.6475,30.6008,0.0
2025-01-31,1206.6,15474275.0,169540.1998,989.0164,27.0547,0.0
2025-02-28,1045.15,14582188.0,146854.7487,856.6803,23.4346,0.0
2025-03-31,1093.7,12037416.0,153676.5427,152.114,21.1461,0.0
2025-04-30,1148.1,7603506.0,161320.3243,159.6801,22.1979,0.0
2025-05-31,1212.2,7046265.0,170327.0596,168.5953,23.4372,0.0
2025-06-30,1237.3,7824816.0,173853.878,172.0862,23.9225,0.0
2025-07-31,1144.6,8135148.0,160828.5369,159.1933,22.1302,0.0
2025-08-31,1089.1,5732914.0,153030.1936,151.4743,21.0571,0.0
2025-09-30,1054.0,7127976.0,148098.2683,146.5925,20.3785,0.0
2025-10-31,1084.3,7862169.0,152355.7423,150.8067,20.9643,0.0
2025-11-30,1112.9,7377832.0,156374.348,154.7844,21.5173,0.0
2025-12-31,1127.4,5959160.0,158411.753,156.8011,21.7977,0.0
2026-01-31,901.2,18940917.0,126628.2347,125.3408,17.4242,0.0
2026-02-28,989.8,12699186.0,139077.482,137.6634,19.1372,0.0
2026-03-31,933.75,1088200.0,131201.8577,129.8679,18.0535,0.0
