PAG IN Equity,price,volume,mc,pe,bm,div
2007-03-31,296.6,33345673.0,3308.2468,6.9073,4.885,0.0
2007-04-30,336.95,29425519.0,3758.3067,7.847,5.5496,0.0
2007-05-31,395.25,33116479.0,4408.579,9.2047,6.5098,0.0
2007-06-30,409.95,318098.0,4572.5414,9.547,6.7519,0.0
2007-07-31,400.05,346208.0,4462.1178,9.3165,6.5889,0.0
2007-08-31,425.1,125598.0,4741.523,9.8999,7.0014,6.0
2007-09-30,440.0,127245.0,4907.7601,10.2469,7.2468,6.0
2007-10-31,439.8,189108.0,4905.5293,10.2422,7.2435,6.0
2007-11-30,409.9,199457.0,4572.0247,9.5459,6.7511,6.0
2007-12-31,480.1,222649.0,5355.0355,11.1807,7.9073,6.0
2008-01-31,451.95,83767.0,5041.0504,10.5252,7.4437,6.0
2008-02-29,470.0,75158.0,5242.3801,10.9455,7.7409,10.0
2008-03-31,420.0,231069.0,4684.6801,19.6721,6.0544,10.0
2008-04-30,500.95,12058.0,5587.5964,23.4637,7.2213,10.0
2008-05-31,486.8,22776.0,5429.7673,22.8009,7.0174,10.0
2008-06-30,448.0,159501.0,4996.9921,20.9836,6.4581,10.0
2008-07-31,447.9,306473.0,4995.8767,20.9789,6.4566,10.0
2008-08-31,450.0,18040.0,5019.3001,21.0773,6.4869,10.0
2008-09-30,407.5,84298.0,4545.2551,19.0867,5.8742,10.0
2008-10-31,388.85,1203810.0,4337.233,18.2131,5.6054,10.0
2008-11-30,344.7,8588.0,3844.7839,16.1452,4.969,12.0
2008-12-31,334.45,6167.0,3730.4554,15.6651,4.8212,12.0
2009-01-31,315.85,16531.0,3522.991,14.7939,4.5531,12.0
2009-02-28,341.2,20143.0,3805.7449,15.9813,4.9185,12.0
2009-03-31,365.0,48402.0,4071.2101,12.8702,4.6891,12.0
2009-04-30,447.0,34082.0,4985.8381,15.7616,5.7426,15.0
2009-05-31,446.2,239014.0,4976.9149,15.7334,5.7323,15.0
2009-06-30,547.25,136092.0,6104.0267,19.2965,7.0305,13.0
2009-07-31,602.45,196728.0,6719.7275,21.2429,7.7396,12.0
2009-08-31,640.1,104413.0,7139.6756,22.5705,8.2233,12.0
2009-09-30,643.8,75582.0,7180.9454,22.701,8.2708,12.0
2009-10-31,656.25,28146.0,7319.8127,23.14,8.4308,12.0
2009-11-30,712.5,92022.0,7947.2252,25.1234,9.1534,11.0
2009-12-31,870.75,260727.0,9712.3457,30.7035,11.1864,11.0
2010-01-31,827.5,398575.0,9229.9352,29.1784,10.6308,11.0
2010-02-28,809.9,43558.0,9033.6248,28.5578,10.4047,15.0
2010-03-31,806.05,70529.0,8990.6819,69.191,9.0788,15.0
2010-04-30,822.25,60096.0,9171.3767,70.5816,9.2613,15.0
2010-05-31,815.8,28647.0,9099.4334,70.0279,9.1886,15.0
2010-06-30,936.0,90094.0,10440.1443,80.3458,10.5425,22.0
2010-07-31,1119.6,32755.0,12488.0187,96.106,12.6104,22.0
2010-08-31,1247.75,214712.0,13917.4039,107.1063,14.0538,22.0
2010-09-30,1230.1,215296.0,13720.5357,105.5912,13.8551,22.0
2010-10-31,1284.85,110258.0,14331.2173,110.291,14.4717,22.0
2010-11-30,1451.5,113767.0,16190.0314,124.5961,16.3488,24.0
2010-12-31,1522.05,290752.0,16976.9468,130.6521,17.1434,24.0
2011-01-31,1491.25,90525.0,16633.4029,128.0082,16.7965,24.0
2011-02-28,1573.05,81488.0,17545.8008,135.0299,17.7178,22.0
2011-03-31,1627.65,68952.0,18154.8086,31.0078,14.6672,22.0
2011-04-30,1645.2,83710.0,18350.5606,31.3421,14.8253,22.0
2011-05-31,1683.45,63792.0,18777.2011,32.0708,15.17,22.0
2011-06-30,1910.05,110128.0,21304.6989,36.3877,17.212,17.0
2011-07-31,2258.9,342051.0,25195.7698,43.0335,20.3555,17.0
2011-08-31,2580.35,697975.0,28781.226,49.1573,23.2522,13.0
2011-09-30,2533.55,187389.0,28259.2181,48.2658,22.8305,13.0
2011-10-31,2537.95,53970.0,28308.2943,48.3496,22.8701,13.0
2011-11-30,2556.6,143601.0,28516.3185,48.7049,23.0382,25.0
2011-12-31,2393.9,64982.0,26701.5599,45.6053,21.572,25.0
2012-01-31,2464.45,65186.0,27488.4753,46.9494,22.2078,25.0
2012-02-29,2507.35,226939.0,27966.984,47.7666,22.5944,40.0
2012-03-31,2698.15,208510.0,30094.8943,33.4426,18.1515,40.0
2012-04-30,3128.2,276010.0,34891.6297,38.7729,21.0446,40.0
2012-05-31,3091.2,286937.0,34478.9354,38.3143,20.7957,40.0
2012-06-30,2885.15,94805.0,32180.6736,35.7604,19.4095,40.0
2012-07-31,2948.5,207642.0,32887.2746,36.5456,19.8357,40.0
2012-08-31,3007.1,214155.0,33540.8945,37.2719,20.2299,40.0
2012-09-30,3179.65,225957.0,35465.4972,39.4106,21.3907,40.0
2012-10-31,3352.65,66938.0,37395.1219,41.5549,22.5545,40.0
2012-11-30,3351.6,103548.0,37383.4131,41.5419,22.5475,42.0
2012-12-31,3424.35,79979.0,38194.8594,42.4436,23.0369,42.0
2013-01-31,3394.25,133174.0,37859.1256,42.0705,22.8344,42.0
2013-02-28,3277.1,175572.0,36552.4476,40.6185,22.0463,46.0
2013-03-31,3330.55,118084.0,37148.6228,33.0117,17.3986,46.0
2013-04-30,3591.8,125145.0,40062.5792,35.6012,18.7633,46.0
2013-05-31,4237.75,126336.0,47267.4403,42.0037,22.1377,46.0
2013-06-30,4096.55,159256.0,45692.4021,40.6041,21.4001,50.0
2013-07-31,4375.1,315387.0,48799.3173,43.3651,22.8552,54.0
2013-08-31,3995.65,186147.0,44566.9768,39.604,20.873,54.0
2013-09-30,4393.55,139232.0,49005.1028,43.5479,22.9516,54.0
2013-10-31,4470.8,101493.0,49866.7396,44.3136,23.3551,54.0
2013-11-30,5248.55,139210.0,58541.6654,52.0225,27.418,57.0
2013-12-31,5172.6,126722.0,57694.5321,51.2697,27.0213,57.0
2014-01-31,5696.85,142078.0,63541.9508,56.466,29.7599,57.0
2014-02-28,5869.15,779051.0,65464.4977,58.1738,30.66,58.0
2014-03-31,6489.55,456518.0,72384.4386,47.0701,25.0461,58.0
2014-04-30,5822.0,269685.0,64938.588,42.2282,22.4697,58.0
2014-05-31,6464.3,193903.0,72102.8001,46.8869,24.9486,58.0
2014-06-30,7161.75,220716.0,79882.1595,51.9457,27.6404,60.0
2014-07-31,8035.2,144309.0,89624.6229,58.281,31.0114,60.0
2014-08-31,7122.15,162049.0,79440.4597,51.6584,27.4876,62.0
2014-09-30,7950.65,212279.0,88681.5487,57.6677,30.6851,62.0
2014-10-31,8908.8,223927.0,99368.7531,64.6174,34.383,62.0
2014-11-30,9517.6,260001.0,106159.3062,69.0331,36.7327,65.0
2014-12-31,11754.05,535760.0,131104.6716,85.2546,45.3641,65.0
2015-01-31,11794.95,270838.0,131560.8744,85.5512,45.522,65.0
2015-02-28,11823.25,230607.0,131876.5305,85.7565,45.6312,68.0
2015-03-31,13731.05,252855.0,153156.1296,78.1283,39.5992,68.0
2015-04-30,13654.05,169517.0,152297.2716,77.6902,39.3771,68.0
2015-05-31,16204.75,165624.0,180747.7815,92.2034,46.7331,68.0
2015-06-30,15115.25,405802.0,168595.4985,86.0043,43.5911,71.0
2015-07-31,13699.0,354587.0,152798.646,77.9459,39.5068,71.0
2015-08-31,14202.0,542470.0,158409.108,80.808,40.9574,75.0
2015-09-30,13272.1,290928.0,148036.9992,75.5169,38.2756,75.0
2015-10-31,14073.9,196733.0,156980.2848,80.0791,40.5879,75.0
2015-11-30,12992.0,274920.0,144912.768,73.9232,37.4678,78.0
2015-12-31,13369.65,180905.0,149125.0803,76.072,38.5569,78.0
2016-01-31,12103.25,189719.0,134999.6505,68.8663,34.9047,78.0
2016-02-29,9880.95,336695.0,110212.1184,56.2216,28.4958,81.0
2016-03-31,12116.9,604391.0,135151.9068,58.375,25.5063,81.0
2016-04-30,12564.05,169045.0,140139.4116,60.5292,26.4476,81.0
2016-05-31,13794.9,176981.0,153868.3188,66.459,29.0386,84.0
2016-06-30,14017.05,195223.0,156346.1736,67.5293,29.5062,84.0
2016-07-31,14342.2,172033.0,159972.9009,69.0957,30.1906,84.0
2016-08-31,14854.45,277105.0,165686.5374,71.5636,31.2689,88.0
2016-09-30,15117.65,224568.0,168622.2723,72.8316,31.823,88.0
2016-10-31,16436.05,259076.0,183327.7108,79.1832,34.5982,88.0
2016-11-30,13353.25,320167.0,148942.1505,64.3313,28.1089,92.0
2016-12-31,13650.8,223029.0,152261.0211,65.7648,28.7352,92.0
2017-01-31,14494.4,240422.0,161670.5418,69.829,30.511,92.0
2017-02-28,14310.45,239299.0,159618.7614,68.9428,30.1238,96.0
2017-03-31,14620.8,234685.0,163080.4011,61.2415,24.4943,96.0
2017-04-30,14535.15,194600.0,162125.0673,60.8828,24.3508,96.0
2017-05-31,14369.3,198572.0,160275.1722,60.1881,24.073,96.0
2017-06-30,16736.75,690125.0,186681.7095,70.1045,28.0392,100.0
2017-07-31,16378.45,351650.0,182685.2313,68.6037,27.4389,100.0
2017-08-31,17748.35,304310.0,197965.0959,74.3418,29.7339,101.0
2017-09-30,18438.45,293892.0,205662.4713,77.2323,30.8901,101.0
2017-10-31,19956.25,209787.0,222592.0125,83.5899,33.4328,101.0
