HMN IN Equity,price,volume,mc,pe,bm,div
2003-03-31,4.33,8880.0,1459.3384,7.3196,0.523,0.0333
2003-04-30,5.45,360.0,1836.1049,9.2093,0.658,0.0333
2003-05-31,4.17,42360.0,1403.7499,7.0408,0.5031,0.0333
2003-06-30,4.94,46020.0,1665.6897,8.3546,0.597,0.0333
2003-07-31,4.5,24900.0,1516.6114,7.6069,0.5435,0.0333
2003-08-31,5.22,56820.0,1757.4949,8.8151,0.6299,0.0417
2003-09-30,4.72,24600.0,1589.0449,7.9702,0.5695,0.0417
2003-10-31,4.67,132600.0,1572.1999,7.8857,0.5635,0.0417
2003-11-30,4.8,960.0,1618.5237,8.118,0.5801,0.0417
2003-12-31,6.27,70920.0,2112.3629,10.595,0.757,0.0417
2004-01-31,8.31,165120.0,2800.2004,14.045,1.0036,0.0417
2004-02-29,14.65,229560.0,4935.5851,24.7554,1.7688,0.0417
2004-03-31,10.36,88866.0,3489.7226,16.1368,1.2509,0.0417
2004-04-30,9.69,47472.0,3265.1226,15.0983,1.1704,0.0417
2004-05-31,7.67,72864.0,2582.9001,11.9436,0.9258,0.0417
2004-06-30,7.32,24732.0,2464.9851,11.3984,0.8836,0.0417
2004-07-31,6.83,63066.0,2302.1501,10.6454,0.8252,0.0417
2004-08-31,7.0,113580.0,2358.3001,10.905,0.8453,0.05
2004-09-30,7.12,231432.0,2397.6051,11.0868,0.8594,0.05
2004-10-31,7.38,187746.0,2484.6376,11.4892,0.8906,0.05
2004-11-30,11.5,847452.0,3874.3501,17.9154,1.3888,0.05
2004-12-31,16.28,990420.0,5483.0476,25.3542,1.9654,0.05
2005-01-31,13.81,567894.0,4652.0276,21.5115,1.6675,0.05
2005-02-28,14.11,358464.0,4753.0976,21.9788,1.7037,0.05
2005-03-31,12.97,11363820.0,4757.4701,14.9976,1.503,0.05
2005-04-30,12.44,8494140.0,4564.8476,14.3904,1.4422,0.05
2005-05-31,13.09,6191430.0,4803.3326,15.1422,1.5175,0.05
2005-06-30,12.14,2330844.0,4454.7776,14.0434,1.4074,0.05
2005-07-31,13.08,6436788.0,4800.2751,15.1326,1.5166,0.05
2005-08-31,18.83,26241264.0,6909.9502,21.7832,2.1831,0.1667
2005-09-30,18.56,9650586.0,6809.0527,21.4651,2.1512,0.1667
2005-10-31,18.54,4215006.0,6802.9377,21.4458,2.1493,0.1667
2005-11-30,19.75,2579322.0,7246.2752,22.8434,2.2893,0.1667
2005-12-31,21.21,7855512.0,7781.3377,24.5302,2.4584,0.1667
2006-01-31,24.88,13325280.0,9126.6377,28.7712,2.8834,0.1667
2006-02-28,31.58,6566562.0,11587.9253,36.5302,3.661,0.1667
2006-03-31,28.92,32020752.0,10609.5253,21.5322,3.1688,0.1667
2006-04-30,40.54,20958450.0,14541.4704,30.1885,4.4427,0.1667
2006-05-31,45.01,8125212.0,16513.5579,33.5145,4.9322,0.1667
2006-06-30,39.92,3296040.0,14645.4254,29.7231,4.3742,0.1667
2006-07-31,40.01,1725714.0,14679.0579,29.7913,4.3843,0.1667
2006-08-31,44.18,2754588.0,16210.8654,32.9002,4.8418,0.3333
2006-09-30,44.65,1554240.0,16382.0854,33.2477,4.8929,0.3333
2006-10-31,47.34,1588164.0,17369.6579,35.2519,5.1879,0.3333
2006-11-30,44.81,1163460.0,16440.1779,33.3656,4.9103,0.3333
2006-12-31,43.17,8144496.0,15837.8504,32.1431,4.7304,0.3333
2007-01-31,42.18,1263810.0,15474.0079,31.4047,4.6217,0.3333
2007-02-28,35.67,716502.0,13086.1003,26.5584,3.9085,0.3333
2007-03-31,32.57,4479750.0,11948.7103,18.3414,5.2096,0.8333
2007-04-30,33.43,669702.0,12266.6903,18.8295,5.3482,0.8333
2007-05-31,36.53,1136988.0,13404.0803,20.5754,5.8441,0.8333
2007-06-30,34.13,4666842.0,12523.5203,19.2238,5.4602,0.8333
2007-07-31,37.41,2912664.0,13725.1178,21.0682,5.9841,0.8333
2007-08-31,37.82,8151084.0,13874.9353,21.2982,6.0494,0.8333
2007-09-30,36.56,5334702.0,13413.2528,20.5895,5.8481,0.6667
2007-10-31,45.7,10775490.0,17040.1591,25.7381,7.3105,0.6667
2007-11-30,45.48,1660044.0,16959.3706,25.6161,7.2759,0.6667
2007-12-31,53.22,20859786.0,19842.8986,29.9714,8.5129,0.6667
2008-01-31,45.4,4074558.0,16928.2981,25.5691,7.2625,0.6667
2008-02-29,45.25,1245192.0,16872.3676,25.4846,7.2385,0.6667
2008-03-31,47.38,3115272.0,17667.8236,19.5934,6.1682,0.1667
2008-04-30,41.55,610494.0,15492.7486,17.1813,5.4088,0.1667
2008-05-31,52.94,3263868.0,19740.3594,21.8918,6.8917,0.1667
2008-06-30,41.67,4734462.0,15536.2501,17.2295,5.424,0.1667
2008-07-31,40.7,965226.0,15175.8091,16.8298,5.2982,0.1667
2008-08-31,50.17,1068894.0,18705.6451,20.7443,6.5305,0.75
2008-09-30,48.22,1928130.0,17978.5486,19.938,6.2766,0.75
2008-10-31,38.32,6613272.0,14290.2429,15.8477,4.989,0.75
2008-11-30,38.95,2330262.0,14523.2866,16.1061,5.0703,0.75
2008-12-31,37.28,1535412.0,13901.8366,15.417,4.8534,0.75
2009-01-31,33.96,4427502.0,12662.0438,14.042,4.4206,0.75
2009-02-28,33.83,2325144.0,12615.4351,13.9904,4.4043,0.75
2009-03-31,34.32,6735324.0,12798.7628,14.2526,4.2485,0.75
2009-04-30,33.52,467898.0,12497.3596,13.917,4.1485,0.75
2009-05-31,55.9,18654372.0,20843.4332,23.2111,6.9189,0.75
2009-06-30,60.83,11780484.0,22682.9252,25.2595,7.5295,0.75
2009-07-31,70.02,24581172.0,30308.1996,29.0727,8.6662,0.75
2009-08-31,66.78,2643096.0,28908.5827,27.7301,8.266,0.75
2009-09-30,73.9,7106358.0,31989.1828,30.6851,9.1468,0.75
2009-10-31,72.45,1426956.0,31361.5196,30.083,8.9673,0.0
2009-11-30,80.3,7967508.0,34759.5586,33.3426,9.939,0.0
2009-12-31,81.87,27646122.0,35437.7235,33.9931,10.1329,0.75
2010-01-31,83.46,6943572.0,36126.7102,34.654,10.3299,0.75
2010-02-28,91.8,18710808.0,41671.2692,38.1176,11.3624,0.75
2010-03-31,103.26,17922564.0,46872.6123,26.6359,7.4945,0.75
2010-04-30,108.49,17963964.0,49248.2075,27.9858,7.8744,0.75
2010-05-31,111.73,9631920.0,50719.7147,28.822,8.1097,0.75
2010-06-30,130.33,16383918.0,59162.9131,33.6199,9.4597,0.75
2010-07-31,152.6,8983686.0,69270.5412,39.3637,11.0758,1.0
2010-08-31,150.73,7766337.0,68423.1951,38.8822,10.9403,1.0
2010-09-30,153.37,5051322.0,69618.5583,39.5615,11.1314,1.0
2010-10-31,152.25,4686240.0,69111.6638,39.2734,11.0504,1.0
2010-11-30,144.62,6179346.0,65646.6236,37.3044,10.4964,1.0
2010-12-31,134.55,19183422.0,61077.0073,34.7077,9.7657,1.0
2011-01-31,137.53,16115130.0,62431.2479,35.4772,9.9822,1.0
2011-02-28,118.52,6348885.0,53798.9098,30.5718,8.602,1.0
2011-03-31,133.53,5878296.0,60615.5063,26.4947,8.7867,1.0
2011-04-30,138.27,5454861.0,62764.1339,27.4339,9.0982,1.0
2011-05-31,147.22,5503275.0,66826.8556,29.2097,9.6871,1.0
2011-06-30,158.68,6298329.0,72031.9815,31.4848,10.4416,1.0
2011-07-31,164.58,3982242.0,74710.2003,32.6554,10.8299,1.0
2011-08-31,153.65,1854783.0,69747.1733,30.4861,10.1104,1.1667
2011-09-30,141.63,5006541.0,64292.383,28.1019,9.3197,1.1667
2011-10-31,133.93,5293716.0,60797.0805,26.5741,8.813,1.1667
2011-11-30,130.67,8501172.0,59314.2249,25.9259,8.5981,1.1667
2011-12-31,113.7,17359422.0,51612.4543,22.5595,7.4817,1.1667
2012-01-31,117.63,4815792.0,53397.9335,23.3399,7.7405,1.1667
2012-02-29,126.65,4535868.0,57490.9177,25.129,8.3338,1.1667
2012-03-31,134.75,6813993.0,61167.7574,23.6265,8.6562,1.1667
2012-04-30,152.32,4341021.0,69141.8843,26.7066,9.7847,1.1667
2012-05-31,163.78,4673514.0,74347.007,28.7171,10.5213,1.1667
2012-06-30,166.32,4545909.0,75496.976,29.1613,10.6841,1.1667
2012-07-31,165.78,1147695.0,75254.8772,29.0678,10.6498,1.1667
2012-08-31,162.9,4344438.0,73946.031,28.5622,10.4646,2.6667
2012-09-30,166.13,11599608.0,75413.7545,29.1292,10.6723,2.6667
2012-10-31,191.02,13829166.0,86709.1734,33.4921,12.2708,2.6667
2012-11-30,200.83,9376239.0,91165.3032,35.2133,12.9014,2.6667
2012-12-31,199.8,5724366.0,90696.2369,35.0321,12.835,2.6667
2013-01-31,195.02,2055882.0,88524.9139,34.1935,12.5277,2.6667
2013-02-28,197.97,5312565.0,89864.0225,34.7107,12.7172,2.6667
2013-03-31,200.65,11342127.0,91082.0818,28.9399,11.7152,2.6667
2013-04-30,213.82,13206882.0,97058.8942,30.8389,12.4839,2.6667
