HMN IN Equity,price,volume,mc,pe,bm,div
2013-05-31,255.0,16219263.0,115753.4555,36.7788,14.8885,2.6667
2013-06-30,240.15,14787635.0,109012.5483,34.637,14.0214,4.0
2013-07-31,234.05,9309060.0,106243.5433,33.7572,13.6653,4.0
2013-08-31,205.08,9628438.0,93090.7697,29.5781,11.9735,2.6667
2013-09-30,242.5,7329874.0,110079.2961,34.976,14.1586,2.6667
2013-10-31,248.93,5631064.0,112995.83,35.9026,14.5338,2.6667
2013-11-30,249.15,5840818.0,113097.9655,35.9351,14.5469,2.6667
2013-12-31,237.03,6644892.0,107594.0007,34.1863,13.839,2.6667
2014-01-31,228.18,8958608.0,103576.6738,32.9099,13.3223,4.1667
2014-02-28,231.63,7132048.0,105142.7504,33.4075,13.5237,4.1667
2014-03-31,217.65,4867656.0,98799.0054,24.5516,10.5994,4.1667
2014-04-30,237.8,9480922.0,107945.8005,26.8246,11.5807,4.1667
2014-05-31,233.25,10245168.0,105880.3951,26.3113,11.3591,4.1667
2014-06-30,253.9,8173282.0,115254.1579,28.6407,12.3648,1.5
2014-07-31,271.4,5709010.0,123198.0246,30.6148,13.217,1.5
2014-08-31,327.1,8081426.0,148482.2176,36.8979,15.9295,3.5
2014-09-30,348.6,7351286.0,158241.8253,39.3232,16.9766,5.5
2014-10-31,405.1,12048618.0,183889.1664,45.6966,19.7281,5.5
2014-11-30,386.7,3173022.0,175536.758,43.621,18.832,5.5
2014-12-31,393.45,10180232.0,178600.8208,44.3824,19.1607,5.5
2015-01-31,459.88,12544110.0,208753.4693,51.8754,22.3956,4.0
2015-02-28,481.93,10137874.0,218763.109,54.3627,23.4694,4.0
2015-03-31,500.6,8176508.0,227239.982,46.785,18.4652,4.0
2015-04-30,465.23,5690660.0,211182.0228,43.479,17.1604,4.0
2015-05-31,560.17,7837066.0,254283.174,52.3528,20.6627,4.0
2015-06-30,579.88,8743084.0,263225.6983,54.1939,21.3894,4.0
2015-07-31,655.5,9265916.0,297554.5509,61.2617,24.1789,5.5
2015-08-31,596.0,8076212.0,270545.4041,55.7009,21.9842,3.5
2015-09-30,576.3,13607804.0,261602.8798,53.8598,21.2575,1.5
2015-10-31,535.8,6088892.0,243218.5025,50.0748,19.7636,1.5
2015-11-30,464.08,7937000.0,210659.9973,43.3715,17.118,1.5
2015-12-31,499.75,9836644.0,226854.137,46.7056,18.4339,1.5
2016-01-31,503.83,6346876.0,228703.9231,47.0864,18.5842,1.5
2016-02-29,491.95,6880518.0,223313.4422,45.9766,18.1462,1.5
2016-03-31,466.15,7523924.0,211601.9129,58.196,13.1299,1.5
2016-04-30,503.38,6972036.0,228499.6523,62.8433,14.1784,1.5
2016-05-31,512.0,9811318.0,232414.8438,63.9201,14.4213,1.5
2016-06-30,550.13,13873152.0,249721.1248,68.6798,15.4952,1.5
2016-07-31,570.15,8716694.0,258811.1922,71.1798,16.0592,3.5
2016-08-31,573.35,5988372.0,260263.7566,71.5793,16.1493,3.5
2016-09-30,584.95,7070494.0,265529.4196,73.0275,16.4761,3.5
2016-10-31,601.9,3697528.0,273223.6362,75.1436,16.9535,3.5
2016-11-30,554.45,8643288.0,251684.3948,69.2197,15.617,3.5
2016-12-31,475.78,4000058.0,215971.0396,59.3976,13.401,3.5
2017-01-31,515.58,7667480.0,234037.6622,64.3664,14.522,3.5
2017-02-28,520.2,6207656.0,236137.1127,64.9438,14.6523,3.5
2017-03-31,532.17,10168018.0,241572.9873,70.9567,13.7673,4.375
2017-04-30,529.13,8428068.0,240188.4848,70.55,13.6884,4.375
2017-05-31,544.48,7819128.0,247156.3907,72.5967,14.0855,4.375
2017-06-30,537.78,9069052.0,244115.0246,71.7033,13.9121,4.375
2017-07-31,554.05,5258248.0,251502.8207,73.8733,14.3332,3.5
2017-08-31,543.4,11197546.0,246668.4103,72.4533,14.0576,3.5
2017-09-30,547.08,4313068.0,248336.6224,72.9433,14.1527,3.5
2017-10-31,629.13,6848346.0,285582.0089,83.8833,16.2753,3.5
2017-11-30,655.63,7033918.0,297611.3009,87.4167,16.9609,3.5
2017-12-31,665.1,5515716.0,301912.3374,88.68,17.206,3.5
2018-01-31,562.38,9847530.0,255281.8385,74.9833,14.5485,3.5
2018-02-28,540.0,6662148.0,245125.0285,72.0,13.9697,3.5
2018-03-31,534.42,4213028.0,242594.3396,157.8804,12.0477,2.625
2018-04-30,557.6,7835288.0,253114.2887,164.7267,12.5702,2.625
2018-05-31,523.0,9545572.0,237408.1295,154.5052,11.7902,2.625
2018-06-30,529.15,7519182.0,240199.8312,156.322,11.9288,9.625
2018-07-31,591.2,10670820.0,268366.5127,174.6529,13.3276,7.0
2018-08-31,564.65,12508249.0,256314.5321,166.8095,12.7291,7.0
2018-09-30,494.45,4427318.0,224448.2784,146.0709,11.1466,7.0
2018-10-31,395.1,9220210.0,179349.8125,116.7208,8.9069,7.0
2018-11-30,437.45,7016131.0,198573.9699,129.2319,9.8616,7.0
2018-12-31,420.1,4878170.0,190698.1935,124.1064,9.4705,7.0
2019-01-31,410.9,6173151.0,186521.9893,121.3885,9.2631,7.0
2019-02-28,391.75,71176363.0,177829.1295,115.7312,8.8314,7.0
2019-03-31,400.0,7787141.0,181574.0952,59.8802,8.7461,7.0
2019-04-30,387.2,4602005.0,175763.7242,57.9641,8.4662,7.0
2019-05-31,348.3,7216923.0,158105.6434,52.1407,7.6156,7.0
2019-06-30,299.1,112875403.0,135772.0297,44.7754,6.5399,7.0
2019-07-31,320.1,14651495.0,145304.6697,47.9192,6.999,8.0
2019-08-31,297.0,9539970.0,134818.7657,44.4611,6.494,4.0
2019-09-30,318.6,16124031.0,144623.7668,47.6946,6.9663,4.0
2019-10-31,327.15,10992776.0,148504.9131,48.9746,7.1532,4.0
2019-11-30,315.15,3354359.0,143057.6903,47.1781,6.8908,6.0
2019-12-31,309.9,5340484.0,140674.5303,46.3922,6.776,6.0
2020-01-31,294.7,15070744.0,133774.7146,44.1168,6.4437,6.0
2020-02-29,256.55,15103047.0,116457.0853,38.4057,5.6095,6.0
2020-03-31,169.95,22663939.0,77146.2937,25.4798,4.2301,4.0
2020-04-30,194.65,14101995.0,88358.4941,29.1829,4.8449,4.0
2020-05-31,194.85,15668478.0,87973.9504,29.2129,4.8499,4.0
2020-06-30,220.8,26970445.0,99111.5426,33.1034,5.4958,4.0
2020-07-31,239.85,36445299.0,106616.6205,35.9595,5.9699,4.0
2020-08-31,356.95,38555150.0,158669.1795,53.5157,8.8846,4.0
2020-09-30,351.3,8941246.0,156157.6769,52.6687,8.7439,4.0
2020-10-31,361.95,7320258.0,160891.7413,54.2654,9.009,4.0
2020-11-30,440.35,17078889.0,195741.617,66.0195,10.9604,6.0
2020-12-31,423.75,15729206.0,188362.6893,63.5307,10.5472,6.0
2021-01-31,483.05,24840673.0,214722.3529,72.4213,12.0232,6.0
2021-02-28,455.2,13767845.0,202342.6458,68.2459,11.33,8.0
2021-03-31,486.0,18961939.0,216033.6684,47.5073,12.2562,8.0
2021-04-30,491.65,10141556.0,218545.1709,48.0596,12.3987,8.0
2021-05-31,501.1,8820323.0,222745.8256,48.9834,12.637,8.0
2021-06-30,560.35,17267930.0,249083.2636,54.7752,14.1312,8.0
2021-07-31,558.85,18246944.0,248416.5036,54.6285,14.0934,8.0
2021-08-31,597.2,18958791.0,265463.6055,58.3773,15.0605,8.0
2021-09-30,574.0,11483275.0,255150.8868,56.1095,14.4754,8.0
2021-10-31,531.25,16398358.0,236147.9244,51.9306,13.3973,8.0
2021-11-30,527.05,13218254.0,234280.9667,51.52,13.2914,8.0
2021-12-31,519.0,9593358.0,230702.6311,50.7331,13.0884,8.0
2022-01-31,498.3,10098118.0,221501.1966,48.7097,12.5664,8.0
2022-02-28,495.35,5214353.0,220189.8811,48.4213,12.492,8.0
2022-03-31,447.15,12341465.0,197260.2225,23.6838,9.4992,8.0
2022-04-30,491.75,8870145.0,216935.5125,26.0461,10.4467,8.0
2022-05-31,416.35,7821259.0,183672.8025,22.0524,8.8449,8.0
2022-06-30,420.25,8740868.0,185393.2875,22.259,8.9278,8.0
2022-07-31,449.85,5314439.0,198948.6664,23.8268,9.5566,8.0
2022-08-31,484.45,7028419.0,214250.7089,25.6594,10.2916,8.0
2022-09-30,504.3,5202234.0,223029.4819,26.7108,10.7133,8.0
2022-10-31,474.05,4530087.0,209651.2511,25.1086,10.0707,8.0
2022-11-30,478.75,5224763.0,211200.5625,25.3575,10.1705,8.0
2022-12-31,425.05,5952813.0,187510.8075,22.5132,9.0297,8.0
2023-01-31,443.2,4017805.0,195517.68,23.4746,9.4153,8.0
2023-02-28,399.35,5563144.0,176173.2525,21.152,8.4838,8.0
2023-03-31,358.55,14136029.0,158174.3325,24.7276,6.8688,8.0
2023-04-30,374.95,5696082.0,165409.1925,25.8586,7.183,8.0
2023-05-31,391.65,6894386.0,172485.8398,27.0103,7.5029,8.0
2023-06-30,424.7,15493041.0,187041.3281,29.2897,8.136,8.0
2023-07-31,462.9,11419194.0,203864.9183,31.9241,8.8678,8.0
2023-08-31,524.55,21114282.0,231016.0788,36.1759,10.0489,8.0
2023-09-30,538.45,14167582.0,237137.7517,37.1345,10.3151,8.0
2023-10-31,509.9,7043127.0,224564.0999,35.1655,9.7682,8.0
2023-11-30,506.15,9553948.0,222912.5694,34.9069,9.6964,8.0
2023-12-31,563.75,17056891.0,248280.0771,38.8793,10.7998,8.0
2024-01-31,499.85,18139296.0,218184.525,34.4724,9.5757,8.0
2024-02-29,466.0,17083914.0,203409.0,32.1379,8.9272,8.0
2024-03-31,429.35,13522593.0,187411.275,25.9426,7.6601,8.0
2024-04-30,486.9,21076312.0,212531.85,29.4199,8.6869,8.0
2024-05-31,625.5,44287997.0,273030.75,37.7946,11.1597,8.0
2024-06-30,689.3,27454046.0,300879.45,41.6495,12.2979,8.0
2024-07-31,816.95,38052913.0,356598.675,49.3625,14.5753,8.0
2024-08-31,813.2,19522866.0,354961.8,49.136,14.5084,8.0
2024-09-30,766.2,14722403.0,334446.3,46.2961,13.6699,8.0
2024-10-31,703.35,10817714.0,307012.275,42.4985,12.5486,8.0
2024-11-30,684.0,11609552.0,298566.0,41.3293,12.2034,8.0
2024-12-31,600.75,16496436.0,263777.343,36.2991,10.7181,8.0
2025-01-31,589.65,13197878.0,258903.5544,35.6284,10.52,8.0
2025-02-28,529.95,11874569.0,232690.4751,32.0211,9.4549,8.0
2025-03-31,579.9,10975065.0,254622.5239,31.3799,9.3932,8.0
2025-04-30,624.7,11931822.0,274293.3104,33.8041,10.1188,8.0
2025-05-31,584.2,10472429.0,256510.5681,31.6126,9.4628,10.0
2025-06-30,571.6,8738826.0,250978.1594,30.9307,9.2587,10.0
2025-07-31,600.65,18669106.0,263733.435,32.5027,9.7293,10.0
2025-08-31,573.6,20846873.0,251856.3195,31.039,9.2911,10.0
2025-09-30,538.25,13285123.0,236334.8396,29.1261,8.7185,10.0
2025-10-31,534.4,10311769.0,233265.6,28.9177,8.6562,10.0
2025-11-30,530.5,14754488.0,231563.25,28.7067,8.593,10.0
2025-12-31,528.6,14153079.0,230733.9,28.6039,8.5622,10.0
2026-01-31,483.8,9669651.0,211178.7,26.1797,7.8365,10.0
2026-02-28,462.6,15964700.0,201924.9,25.0325,7.4932,12.0
2026-03-31,469.25,1365821.0,204827.625,25.3923,7.6009,12.0
