CRAFTSMA IN Equity,price,volume,mc,pe,bm,div
2021-03-31,1419.45,5175471.0,29990.581,29.376,3.0924,0.0
2021-04-30,1345.6,1252666.0,28430.2553,27.8477,2.9315,0.0
2021-05-31,1706.95,3133840.0,36064.9705,35.326,3.7188,0.0
2021-06-30,1775.4,1460672.0,37511.2033,36.7425,3.8679,0.0
2021-07-31,2003.5,2099510.0,42330.5711,41.4632,4.3648,0.0
2021-08-31,1930.05,635040.0,40778.6966,39.9431,4.2048,0.0
2021-09-30,2109.75,864254.0,44575.4541,43.662,4.5963,0.0
2021-10-31,2628.9,1323199.0,55544.2168,54.406,5.7273,0.0
2021-11-30,2272.05,461022.0,48004.579,47.0209,4.9499,0.0
2021-12-31,2260.95,316381.0,47770.0548,46.7912,4.9257,0.0
2022-01-31,2044.4,595402.0,43194.719,42.3096,4.4539,0.0
2022-02-28,1997.3,249254.0,42199.5756,41.3349,4.3513,0.0
2022-03-31,2358.4,475552.0,49829.0087,30.5532,4.3874,0.0
2022-04-30,2242.4,266519.0,47378.1246,29.0504,4.1716,0.0
2022-05-31,2367.9,511908.0,50029.7276,30.6763,4.405,0.0
2022-06-30,2278.25,884892.0,48135.5745,29.5148,4.2383,3.75
2022-07-31,2797.65,1507599.0,59109.6193,36.2437,5.2045,3.75
2022-08-31,2606.6,979131.0,55073.0555,33.7686,4.8491,3.75
2022-09-30,2769.75,1232494.0,58520.1394,35.8822,5.1526,3.75
2022-10-31,3142.55,1037371.0,66396.7737,40.7119,5.8461,3.75
2022-11-30,3043.3,1175747.0,64299.7889,39.4261,5.6615,3.75
2022-12-31,3493.55,2786227.0,73812.8109,45.2591,6.4991,3.75
2023-01-31,3189.7,1270710.0,67392.9736,41.3227,5.9338,3.75
2023-02-28,3324.5,999615.0,70241.0699,43.0691,6.1846,3.75
2023-03-31,3255.3,1605388.0,68778.9908,27.6905,4.9952,3.75
2023-04-30,3099.9,369046.0,65495.6513,26.3687,4.7567,3.75
2023-05-31,3728.2,1207146.0,78770.5691,31.7132,5.7209,3.75
2023-06-30,4026.6,1047870.0,85075.2571,34.2514,6.1788,11.25
2023-07-31,4655.3,1640577.0,98358.6262,39.5994,7.1435,11.25
2023-08-31,4918.1,814490.0,103911.1463,41.8348,7.5467,11.25
2023-09-30,4635.45,738056.0,97939.2292,39.4305,7.113,11.25
2023-10-31,4868.8,944374.0,102869.5206,41.4154,7.4711,11.25
2023-11-30,5049.75,872987.0,106692.6885,42.9547,7.7488,11.25
2023-12-31,5406.25,643447.0,114224.9313,45.9872,8.2958,11.25
2024-01-31,4376.3,1073998.0,92463.8274,37.2261,6.7154,11.25
2024-02-29,4188.85,1020636.0,88503.3255,35.6316,6.4277,11.25
2024-03-31,4314.9,879541.0,91166.5491,29.9417,5.4987,11.25
2024-04-30,4426.4,1033339.0,93522.3558,30.7154,5.6407,11.25
2024-05-31,4231.1,813200.0,89395.9967,29.3602,5.3919,11.25
2024-06-30,5541.55,4377997.0,132196.906,38.4536,7.0618,11.25
2024-07-31,5589.5,1292831.0,133340.7812,38.7863,7.1229,11.25
2024-08-31,6038.9,1826522.0,144061.4802,41.9048,7.6956,11.25
2024-09-30,6474.6,2228799.0,154455.3577,44.9282,8.2508,11.25
2024-10-31,5099.15,969467.0,121643.1961,35.3837,6.4981,11.25
2024-11-30,5099.3,783334.0,121646.7744,35.3848,6.4982,11.25
2024-12-31,5385.1,1723774.0,128464.7,37.368,6.8625,11.25
2025-01-31,4177.2,1446494.0,99649.5413,28.9862,5.3232,11.25
2025-02-28,4501.85,1345553.0,107394.2563,31.239,5.7369,11.25
2025-03-31,4877.3,1247056.0,116350.835,58.2851,4.0729,11.25
2025-04-30,4605.3,473438.0,109862.1164,55.0347,3.8457,11.25
2025-05-31,5604.4,1720445.0,133696.2294,66.9742,4.68,11.25
2025-06-30,5570.5,1172990.0,132887.5251,66.5691,4.6517,11.25
2025-07-31,6752.0,2079732.0,161072.8964,80.6883,5.6383,5.0
2025-08-31,6912.5,973767.0,164901.7175,82.6064,5.7724,5.0
2025-09-30,6793.5,456725.0,162062.9031,81.1843,5.673,5.0
2025-10-31,6680.0,696028.0,159355.2944,79.8279,5.5782,5.0
2025-11-30,7024.5,1889139.0,167573.5428,83.9448,5.8659,5.0
2025-12-31,7689.5,1510039.0,183437.5055,91.8917,6.4212,5.0
2026-01-31,7317.0,1148133.0,174551.3008,87.4402,6.1102,5.0
2026-02-28,7526.0,1014047.0,179537.1177,89.9379,6.2847,5.0
2026-03-31,7583.5,139460.0,180908.8137,90.625,6.3327,5.0
