Z IN Equity,price,volume,mc,pe,bm,div
2002-03-31,53.15,205451444.0,69218.3398,24.658,1.1005,0.275
2002-04-30,52.74,113163436.0,68682.0833,24.4669,1.0919,0.275
2002-05-31,42.05,141753534.0,54760.0394,19.5074,0.8706,0.275
2002-06-30,40.15,85645992.0,52285.0094,18.6257,0.8313,0.275
2002-07-31,33.18,96705016.0,43209.8993,15.3929,0.687,0.275
2002-08-31,35.05,86520958.0,45643.6788,16.2599,0.7257,0.275
2002-09-30,28.08,102294070.0,36568.5687,13.027,0.5814,0.275
2002-10-31,25.94,158811308.0,33784.1599,12.0351,0.5371,0.275
2002-11-30,31.0,113353946.0,40363.6147,14.3789,0.6417,0.275
2002-12-31,30.88,184918454.0,40219.238,14.3275,0.6394,0.275
2003-01-31,26.37,109327072.0,34341.0417,12.2335,0.546,0.275
2003-02-28,26.61,38405732.0,34650.4204,12.3437,0.5509,0.275
2003-03-31,19.8,40965630.0,25781.5628,7.7591,0.4069,0.275
2003-04-30,24.34,69897920.0,31701.0096,9.5406,0.5004,0.275
2003-05-31,27.11,115731934.0,35310.4284,10.6269,0.5573,0.275
2003-06-30,27.92,126134474.0,36362.3162,10.9435,0.574,0.275
2003-07-31,38.38,166378230.0,49974.9813,15.0403,0.7888,0.275
2003-08-31,32.4,82808012.0,42199.262,12.7002,0.6661,0.275
2003-09-30,39.09,99161072.0,50903.1176,15.3197,0.8035,0.275
2003-10-31,43.33,110672702.0,56430.6847,16.9832,0.8907,0.275
2003-11-30,41.05,55435216.0,53460.6486,16.0894,0.8438,0.275
2003-12-31,47.53,72842122.0,61896.376,18.6282,0.977,0.275
2004-01-31,47.97,131678756.0,62473.883,18.802,0.9861,0.275
2004-02-29,42.16,73912022.0,54904.4161,16.5239,0.8666,0.275
2004-03-31,42.51,79235562.0,55358.1717,11.8131,1.5807,0.275
2004-04-30,40.4,48553900.0,52615.0134,11.2277,1.5024,0.275
2004-05-31,40.59,32274826.0,52862.5164,11.2805,1.5094,0.275
2004-06-30,39.94,39341386.0,52016.8811,11.1001,1.4853,0.275
2004-07-31,44.49,29691888.0,57936.3279,12.3632,1.6543,0.275
2004-08-31,48.35,26194256.0,62968.889,13.4372,1.798,0.275
2004-09-30,48.16,61396238.0,62721.386,13.3844,1.791,0.5
2004-10-31,47.36,15690278.0,61669.4982,13.1599,1.7609,0.5
2004-11-30,48.15,15821222.0,62700.7607,13.3799,1.7904,0.5
2004-12-31,54.2,38630150.0,70579.6063,15.0612,2.0153,0.5
2005-01-31,49.02,71116354.0,63835.1495,13.622,1.8228,0.5
2005-02-28,45.08,86241852.0,58699.4622,12.5261,1.6761,0.5
2005-03-31,44.0,70808870.0,57296.9452,11.5772,1.4794,0.5
2005-04-30,41.56,51453896.0,54120.6566,10.9354,1.3974,0.5
2005-05-31,44.09,131672154.0,57420.6967,11.6022,1.4826,0.5
2005-06-30,49.24,77261602.0,64123.903,12.9566,1.6557,0.5
2005-07-31,59.98,180702412.0,78107.8227,15.7822,2.0168,0.5
2005-08-31,60.2,158384898.0,78396.5762,15.8405,2.0242,0.5
2005-09-30,54.74,205707722.0,71280.8648,14.4028,1.8405,0.5
2005-10-31,44.54,154035334.0,57998.2037,11.7189,1.4975,0.5
2005-11-30,48.92,74524236.0,63711.398,12.8733,1.6451,0.5
2005-12-31,49.67,90624922.0,64680.7848,13.0692,1.6701,0.5
2006-01-31,52.17,41253246.0,67939.5743,13.7276,1.7542,0.5
